Movie,Date Watched,Rating,Liked,Review
The Talented Mr. Ripley,15 Jan 2024,★★★,False,
Thanksgiving,09 Jan 2024,★½,False,
Raging Bull,07 Jan 2024,★★★½,False,
Leave the World Behind,06 Jan 2024,★★★½,False,
Night Swim,05 Jan 2024,★★,False,
Godzilla Minus One,05 Jan 2024,★★½,False,
TÁR,04 Jan 2024,★★★½,False,
Apocalypto,03 Jan 2024,★★★★,False,
Top Secret!,01 Jan 2024,★★★½,False,
Anatomy of a Fall,29 Dec 2023,★★★½,False,
Cat Person,27 Dec 2023,★½,False,
May December,26 Dec 2023,★,False,
Something from Tiffany's,24 Dec 2023,★½,False,
Saltburn,22 Dec 2023,★★★★★,True,
Spin Me Round,19 Dec 2023,★★★½,False,
Falling for Christmas,19 Dec 2023,½,False,
I Believe in Santa,15 Dec 2023,½,False,
Home Alone,14 Dec 2023,★★★½,False,
Home Alone: The Holiday Heist,12 Dec 2023,★½,False,
Home Sweet Home Alone,06 Dec 2023,★★★½,False,
Family Switch,01 Dec 2023,★★,False,
A Haunting in Venice,24 Nov 2023,★★★,False,
Insidious: The Red Door,06 Nov 2023,★½,False,
Run Rabbit Run,05 Nov 2023,★★★,False,
Five Nights at Freddy's,31 Oct 2023,★★,False,
They/Them,28 Oct 2023,★★,False,
Cobweb,25 Oct 2023,★★½,False,
The Tenant,13 Oct 2023,★★★,False,
The Boogeyman,07 Oct 2023,★★★,False,
Haunted Mansion,06 Oct 2023,★,False,
Rosemary's Baby,30 Sep 2023,★★★½,False,
Senior Year,24 Sep 2023,★★,False,
Creep 2,01 Sep 2023,★★★½,False,
Talk to Me,10 Aug 2023,★★★½,False,
The Kissing Booth 3,02 Aug 2023,★★,False,
Michael Clayton,01 Aug 2023,★★★★,False,
Upstream Color,27 Jul 2023,½,False,
Barbie,25 Jul 2023,★,False," In its original intention, Frog Fractions had nothing more to prove than to be a simple joke developer Jim Stormdancer made to entertain his friends. At the very least I cannot imagine he expected it to have as much commotion surrounding it as it did, similar to Stephen Hillenburg’s personal attitude to SpongeBob SquarePants subsequent to it’s Hawaiian-themed luau-music-backdropped pitch. All that was expected was a season and cult favoritism. Today’s analogues: Mission Hill and Firefly. It’s not necessary to… "
Smile,24 Jul 2023,★★★½,False,
Triangle of Sadness,15 Jul 2023,★★★★,False,
Possessor,26 Jun 2023,★★★,False,
Old People,20 May 2023,★,False,
