Movie,Date Watched,Rating,Liked,Review
Judas and the Black Messiah,15 Jan 2024,★★★★½,False,
Selma,15 Jan 2024,★★★★,False,
A Place in the Sun,14 Jan 2024,★★★★½,False,
All Through the Night,14 Jan 2024,★★★★,False,
The Beekeeper,13 Jan 2024,★★★½,False,Nice to see there are people who hate phishing scammers and Logan Paul as much as I do
The Pirate,12 Jan 2024,★★★★,False,
Alien,09 Jan 2024,★★★★★,False,
Gothic,08 Jan 2024,★★★½,False,
Salome's Last Dance,07 Jan 2024,★★★★,False,
L.A. Confidential,07 Jan 2024,★★★★★,False,
Society of the Snow,06 Jan 2024,★★★★½,False,This whole movie is a goddamn nightmare
Adam's Rib,04 Jan 2024,★★★★,False,
Beverly Hills Cop,02 Jan 2024,★★★★★,False,
Killer Joe,01 Jan 2024,★★★★,False,
Miss Pinkerton,01 Jan 2024,★★★,False,This entire movie is people acting obviously suspicious.
Cemetery Man,29 Dec 2023,★★★★½,False,
Ballerina,28 Dec 2023,★★★★,False,
The Color Purple,27 Dec 2023,★★★★,False,
The Color Purple,26 Dec 2023,★★★★,False,
Black Christmas,24 Dec 2023,★★★★½,False,
The Year Without a Santa Claus,24 Dec 2023,★★★½,False,
Frosty the Snowman,24 Dec 2023,★★★,False,
May December,23 Dec 2023,★★★★,False,
The Iron Claw,23 Dec 2023,★★★★½,False,The wrestling world united for this story to be told with passion and respect
American Fiction,21 Dec 2023,★★★★½,False,
Tropic Thunder,20 Dec 2023,★★★★½,False,
Rebel Moon - Part One: A Child of Fire,19 Dec 2023,★★½,False,"I’ve seen this movie already, it was called Battle Beyond the Stars and it had way more colorful characters"
White Christmas,18 Dec 2023,★★★½,False,
Die Hard,17 Dec 2023,★★★★★,False,
Poor Things,16 Dec 2023,★★★★½,False,
It's a Wonderful Life,16 Dec 2023,★★★★★,False,
Big Business,16 Dec 2023,★★★★½,False,Well that escalated quickly 🪓🪓🪓
Eileen,13 Dec 2023,★★★★,False,She just wanted to get laid goddamn!
Rustin,12 Dec 2023,★★★,False,"This feels like a movie that would (and should) play in a high school history class. That’s not necessarily a bad thing, but it could’ve been so much more"
Penny Serenade,11 Dec 2023,★★★½,False,"Fuck you, Merry Christmas"
Treevenge,11 Dec 2023,★★★★,False,
Repligator,10 Dec 2023,★★★★,False,
The Holdovers,10 Dec 2023,★★★★,False,
Zero Motivation,08 Dec 2023,★★★★,False,
The Princess Diaries 2: Royal Engagement,07 Dec 2023,★★,False,
Godzilla Minus One,05 Dec 2023,★★★★½,False,
Baby Face,04 Dec 2023,★★★★½,False,
Andy Hardy Gets Spring Fever,03 Dec 2023,★★½,False,
Silent Night,02 Dec 2023,★★★,False,
King for a Day,02 Dec 2023,★★★½,False,
Baby Blues,02 Dec 2023,★★★,False,
Saltburn,29 Nov 2023,★★★★,False,
Freelance,28 Nov 2023,★★,False,
Anna and the Apocalypse,27 Nov 2023,★★★★,False,
Who's Afraid of Virginia Woolf?,25 Nov 2023,★★★★★,False,I swear Ari Aster saw this before making Hereditary….dear god
Napoleon,24 Nov 2023,★★★½,False,
Once Upon a Studio,24 Nov 2023,★★★★½,False,Had to wash the taste of Wish out of my eyes
"Planes, Trains and Automobiles",23 Nov 2023,★★★★,False,
A Charlie Brown Thanksgiving,23 Nov 2023,★★★★,False,
Wish,21 Nov 2023,★★½,False,"This movie needed one or two more drafts to become something truly great. Just watch Beauty and the Beast, Sleeping Beauty, or Encanto instead."
Thanksgiving,20 Nov 2023,★★★★,False,
Thanksgiving,20 Nov 2023,★★★½,False,
Dream Scenario,19 Nov 2023,★★★★,False,
Mickey's Rival,19 Nov 2023,★★★,False,
The Art of Skiing,19 Nov 2023,★★★,False,
On Ice,19 Nov 2023,★★★★,False,
Daughter of the Dragon,17 Nov 2023,★★,False,
Body Double,17 Nov 2023,★★★★½,False,
Deep Cover,16 Nov 2023,★★★★½,False,
"Now, Voyager",15 Nov 2023,★★★★½,False,
Medusa Deluxe,14 Nov 2023,★★★★,False,
My Cousin Vinny,14 Nov 2023,★★★★,False,
Five Fingers of Death,14 Nov 2023,★★★★,False,
Last Night in Soho,13 Nov 2023,★★★★½,False,
The Naughty Flirt,13 Nov 2023,★★½,False,
George of the Jungle,12 Nov 2023,★★★★,False,
Broken Oath,12 Nov 2023,★★★½,False,
"Dance, Girl, Dance",12 Nov 2023,★★★★,False,
Warlock,11 Nov 2023,★★★½,False,
Horse Feathers,11 Nov 2023,★★★★,False,
Walk Hard: The Dewey Cox Story,11 Nov 2023,★★★★,True,
The God of Cookery,11 Nov 2023,★★★★,False,
Jawan,11 Nov 2023,★★★½,False,
"Dance, Fools, Dance",11 Nov 2023,★★½,False,
Diabolique,09 Nov 2023,★★★★½,False,
"Lust, Caution",08 Nov 2023,★★★★★,False,
Indecent Proposal,06 Nov 2023,★★★,False,
The Holdovers,05 Nov 2023,★★★★,False,
Johnny Guitar,05 Nov 2023,★★★★,False,
Arsenic and Old Lace,04 Nov 2023,★★★★½,False,
Safety Last!,04 Nov 2023,★★★★,False,
The Burial,03 Nov 2023,★★★½,False,
Cassandro,02 Nov 2023,★★★★,False,
Halloween II,31 Oct 2023,★★★★,False,
Pearl,29 Oct 2023,★★★★½,False,
The Killer,28 Oct 2023,★★★★,False,
Killers of the Flower Moon,28 Oct 2023,★★★★½,False,
Little Shop of Horrors,27 Oct 2023,★★★★★,False,
The Night Walker,26 Oct 2023,★★★½,False,
Night of the Creeps,26 Oct 2023,★★★★½,False,
Strait-Jacket,25 Oct 2023,★★★½,False,
Jennifer's Body,23 Oct 2023,★★★★,False,
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,23 Oct 2023,★★★★,False,
Halloweentown,22 Oct 2023,★★★,False,
Saw,22 Oct 2023,★★★★,False,
Blood and Black Lace,22 Oct 2023,★★★★,False,
Amsterdamned,22 Oct 2023,★★★½,False,
Dr. Jekyll and Mr. Hyde,22 Oct 2023,★★★★½,False,
Freaks,21 Oct 2023,★★★½,False,
Saw X,21 Oct 2023,★★★★,False,
Cat People,21 Oct 2023,★★★★,False,
Blind Beast,19 Oct 2023,★★★★,False,
Magic,18 Oct 2023,★★★★,False,
A Woman's Face,17 Oct 2023,★★★★,False,
Carrie,16 Oct 2023,★★★★★,True,
Sissy,16 Oct 2023,★★★★,False,
Doctor X,16 Oct 2023,★★★½,False,
The Princess and the Frog,16 Oct 2023,★★★½,False,
M3GAN,15 Oct 2023,★★★★,False,
Once Upon a Studio,15 Oct 2023,★★★★½,False,Had to wash the taste of Wish out of my eyes
Interrogation,15 Oct 2023,★★,False,
Muppet*Vision 3-D,13 Oct 2023,★★★★,False,
When the Cat's Away,12 Oct 2023,★★★½,False,
Feast,12 Oct 2023,★★★★½,False,
Piper,12 Oct 2023,★★★★,False,
Get a Horse!,12 Oct 2023,★★★★,False,
Cape Fear,10 Oct 2023,★★★★,False,
Behind the Attraction,09 Oct 2023,★★★½,False,
The Rocketeer,09 Oct 2023,★★★★,False,
"20,000 Leagues Under the Sea",09 Oct 2023,★★★★,False,
Cinderella,08 Oct 2023,★★★½,False,
The Zone of Interest,08 Oct 2023,★★★★½,False,
To Live and Die in L.A.,08 Oct 2023,★★★★,False,
Trick or Treat,07 Oct 2023,★★★½,False,
Mr. Duck Steps Out,07 Oct 2023,★★★★,False,
Anatomy of a Fall,07 Oct 2023,★★★★,False,
