Movie,Date Watched,Rating,Liked,Review
Home Alone 2: Lost in New York,26 Dec 2023,,True,
Home Alone,26 Dec 2023,★★★★½,False,
Popstar: Never Stop Never Stopping,25 Dec 2023,★★★★,True,
National Treasure,25 Dec 2023,★★★,False,
National Lampoon's Christmas Vacation,24 Dec 2023,,True,
La La Land,23 Dec 2023,★★★★★,True,
The Boy and the Heron,23 Dec 2023,★★★★★,True,"how do I live? pretty damn well, considering the GOAT is still creating works of art like this. "
It's a Wonderful Life,22 Dec 2023,,True,
Wonka,17 Dec 2023,,True,seeing Sally Hawkins on screen is like getting a hug from a loving mother
Mad Max: Fury Road,15 Dec 2023,★★★★★,True,
Godzilla Minus One,15 Dec 2023,,True,
The Boy and the Heron,07 Dec 2023,★★★★★,True,"how do I live? pretty damn well, considering the GOAT is still creating works of art like this. "
Teenage Mutant Ninja Turtles: Mutant Mayhem,05 Dec 2023,,True,features Unwritten by Natasha Bedingfield - the greatest song of all time - and an Oldboy inspired fight montage. fuckin awesome
Indiana Jones and the Last Crusade,24 Sep 2023,,False,
Talk to Me,19 Sep 2023,,False,scariest part was that fucking CRAZY FROG RINGTONE
"Planes, Trains and Automobiles",16 Sep 2023,,True,"""these were handcrafted for the grand wizard of china in the fourth century. of course they're not the originals, but they're replicas, very good replicas. they're selling for $5."""
Bottoms,13 Sep 2023,,True,"""annie, you may be a black republican, but you're the smartest out of all of us"""
Oppenheimer,22 Aug 2023,,True,just got oppenheimed in 70mm IMAX and I feel like I just saw God
Oldboy,16 Aug 2023,,True,"between the octopus, the hallway fight, those sick ass transitions, and that horrifyingly glorious twist, my mouth was agape several more times than I expected it to be"
Under the Silver Lake,13 Aug 2023,,False,
Barbie,06 Aug 2023,,False,SUBLIME
Oppenheimer,21 Jul 2023,,True,just got oppenheimed in 70mm IMAX and I feel like I just saw God
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,,True,easily the best crashing train sequence since Spider-Man 2
Indiana Jones and the Dial of Destiny,10 Jul 2023,,False,love that the reason the evil plot falls apart is just because the nazis were/are just really fucking stupid
Superbad,06 Jun 2023,,True,prepare to be fucked by the long dick of the law
Spider-Man: Across the Spider-Verse,03 Jun 2023,,True,
Hunt for the Wilderpeople,01 Jun 2023,★★★★★,True,
How to Train Your Dragon: The Hidden World,18 May 2023,,False,
Ip Man,24 Apr 2023,,False,
Beau Is Afraid,23 Apr 2023,,False,
John Wick: Chapter 4,29 Mar 2023,,True,
Shrek 2,20 Mar 2023,,True,
Little Women,09 Mar 2023,★★★★★,True,
Hot Rod,09 Jan 2023,★★★★★,True,
Puss in Boots: The Last Wish,08 Jan 2023,,True,
Princess Mononoke,04 Jan 2023,,True,
21 Jump Street,12 Dec 2022,,False,
It's a Wonderful Life,05 Dec 2022,,True,
The Shawshank Redemption,01 Dec 2022,,False,
The Menu,01 Dec 2022,,False,
Glass Onion,29 Nov 2022,,True,
Puss in Boots: The Last Wish,26 Nov 2022,,True,
My Policeman,04 Nov 2022,,False,
Coraline,28 Oct 2022,,False,
"Monsters, Inc.",28 Aug 2022,★★★★½,False,
Everything Everywhere All at Once,26 Aug 2022,★★★★★,True,
Shrek,17 Aug 2022,,False,
Marcel the Shell with Shoes On,08 Aug 2022,,True,
Lightyear,25 Jun 2022,,False,
Morbius,12 Jun 2022,,False,
Top Gun: Maverick,05 Jun 2022,,True,
Kung Fu Panda 3,22 May 2022,★★★½,False,
How to Train Your Dragon,22 May 2022,★★★★★,True,
Avatar,18 May 2022,,False,
Everything Everywhere All at Once,15 May 2022,★★★★★,True,
Everything Everywhere All at Once,01 May 2022,★★★★★,True,
Everything Everywhere All at Once,24 Apr 2022,★★★★★,True,
Everything Everywhere All at Once,09 Apr 2022,★★★★★,True,
Citizen Kane,04 Apr 2022,★★★★½,True,
The SpongeBob SquarePants Movie,20 Mar 2022,★★★★★,True,
The Batman,05 Mar 2022,,False,
It Happened One Night,21 Feb 2022,,True,
Logan,22 Jan 2022,,True,
La La Land,06 Jan 2022,★★★★★,True,
Paddington 2,29 Dec 2021,,True,
Licorice Pizza,27 Dec 2021,,True,
Spider-Man: No Way Home,17 Dec 2021,,False,
Spider-Man 2,16 Dec 2021,,True,
Spider-Man,16 Dec 2021,,False,
Howl's Moving Castle,11 Dec 2021,★★★★,False,
Paddington,07 Dec 2021,★★★★,False,
Home Alone,21 Nov 2021,★★★★½,False,
Eternals,05 Nov 2021,,False,
Spider-Man 2,04 Nov 2021,,True,
Spider-Man,04 Nov 2021,,False,
Dune,24 Oct 2021,★★★★,False,
The SpongeBob SquarePants Movie,14 Oct 2021,★★★★★,True,
Spirited Away,12 Oct 2021,★★★★★,True,
Mad Max: Fury Road,12 Sep 2021,★★★★½,True,
Mission: Impossible – Fallout,06 Sep 2021,★★★★★,True,
Spider-Man: Into the Spider-Verse,05 Sep 2021,★★★★★,True,
La La Land,30 Aug 2021,★★★★½,True,
The Life Aquatic with Steve Zissou,17 Aug 2021,,False,
The Green Knight,01 Aug 2021,★★★★★,True,
Mission: Impossible – Fallout,21 Jul 2021,★★★★★,True,
Pig,18 Jul 2021,★★★★½,True,
Loki,14 Jul 2021,★★★½,False,
Black Widow,10 Jul 2021,★★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,04 Jul 2021,★★★,False,
Indiana Jones and the Last Crusade,04 Jul 2021,★★★★½,False,
Indiana Jones and the Temple of Doom,04 Jul 2021,★★★½,False,
Raiders of the Lost Ark,04 Jul 2021,★★★★½,False,
Soul,10 Jun 2021,★★★★★,True,
Bo Burnham: Inside,09 Jun 2021,★★★★½,False,
Mission: Impossible – Fallout,05 Jun 2021,★★★★★,True,
The SpongeBob SquarePants Movie,29 May 2021,★★★★★,True,
The Mitchells vs. The Machines,12 May 2021,★★★★½,True,
The Twilight Saga: Breaking Dawn – Part 2,12 Apr 2021,★½,False,
Mission: Impossible – Fallout,08 Apr 2021,★★★★★,True,
Raya and the Last Dragon,06 Mar 2021,★★★★,True,
Hereditary,20 Feb 2021,★★★★,False,
Minari,14 Feb 2021,★★★★,False,
The SpongeBob SquarePants Movie,03 Feb 2021,★★★★★,True,
Wedding Crashers,23 Jan 2021,★★★,False,
Dead Poets Society,16 Jan 2021,★★★★★,True,
Spirited Away,10 Jan 2021,★★★★★,True,
Palm Springs,06 Jan 2021,★★★★½,True,
Despicable Me,01 Jan 2021,★★★½,False,
The SpongeBob SquarePants Movie,30 Dec 2020,★★★★★,True,
Hidden Figures,03 Nov 2020,★★★½,False,
One Flew Over the Cuckoo's Nest,10 Oct 2020,★★★★½,False,
Hunt for the Wilderpeople,26 Sep 2020,★★★★★,True,
I'm Thinking of Ending Things,06 Sep 2020,★★★★,False,
Shaun of the Dead,28 Jul 2020,★★★★,False,
The Kissing Booth 2,28 Jul 2020,½,False,
Little Women,24 Jul 2020,★★★★★,True,
365 Days,30 Jun 2020,½,False,
Booksmart,29 Jun 2020,★★★★,False,
Fighting with My Family,27 Jun 2020,★★★,False,
The Ring,23 May 2020,★★★½,False,
Ford v Ferrari,14 May 2020,★★★½,False,
The Constant Gardener,05 May 2020,★★★,False,
The Secret Life of Walter Mitty,04 May 2020,★★★½,False,
Hunt for the Wilderpeople,03 May 2020,,True,
Hunt for the Wilderpeople,02 May 2020,★★★★★,True,
World of Tomorrow,01 May 2020,★★★★½,False,
Kung Fu Panda,27 Apr 2020,★★★★,False,
Snowpiercer,20 Apr 2020,★★★★,True,
La La Land,03 Mar 2020,★★★★½,True,
Bad Roomies,09 Feb 2020,½,False,
A Hidden Life,01 Feb 2020,,True,
Color Out of Space,28 Jan 2020,★★★½,False,
Drive,25 Jan 2020,★★★★½,True,
The Lighthouse,19 Jan 2020,★★★★½,False,
Little Women,03 Jan 2020,★★★★★,True,
Little Women,27 Dec 2019,★★★★★,True,
Uncut Gems,26 Dec 2019,★★★★,False,
Star Wars: The Rise of Skywalker,21 Dec 2019,★★½,False,
A Beautiful Day in the Neighborhood,07 Dec 2019,★★★★,False,
