Movie,Date Watched,Rating,Liked,Review
Goldman v Silverman,15 Jan 2024,★★★½,False,
The Curse,15 Jan 2024,★★★★,False,
Mean Girls,11 Jan 2024,★★,False,
Oppenheimer,11 Jan 2024,★★★★★,True,
The Muppets Take Manhattan,07 Jan 2024,★★★½,False,
Under the Skin,06 Jan 2024,★★★½,False,
Stalker,06 Jan 2024,★★★★,True,
Planet of the Apes,31 Dec 2023,★★★½,False,
Love Actually,30 Dec 2023,★★★★,False,
Poor Things,29 Dec 2023,★★★★★,True,
Maestro,28 Dec 2023,★★½,False,
The Sound of Music,27 Dec 2023,★★★★★,True,First time seeing it in full but had always seen parts throughout childhood. Breaks top 10 for sure
Bad Santa,27 Dec 2023,★★★,False,
Little Women,27 Dec 2023,★★★★,False,
Saltburn,27 Dec 2023,★★★,False,
My Neighbor Totoro,26 Dec 2023,★★★½,False,
Trading Places,26 Dec 2023,★★★,False,
La La Land,22 Dec 2023,★★★★★,True,
Whiplash,22 Dec 2023,★★★★★,True,
Dazed and Confused,20 Dec 2023,★★★★★,True,
Dazed and Confused,17 Dec 2023,★★★★½,True,
The Princess Bride,16 Dec 2023,★★★★★,True,
The Zone of Interest,15 Dec 2023,★★★★½,True,
Wonka,14 Dec 2023,★★½,False,
Good Will Hunting,12 Dec 2023,★★★★★,True,
Breakfast at Tiffany's,10 Dec 2023,★★★★,True,
Poor Things,09 Dec 2023,★★★★★,True,
May December,08 Dec 2023,★★★½,False,
Double Indemnity,02 Dec 2023,★★★★,True,
American Psycho,02 Dec 2023,★★★,False,
Good Time,30 Nov 2023,★★★★½,True,
Drive,29 Nov 2023,★★★★,True,This time I was sober and I liked it better
Drive,27 Nov 2023,★★★,True,This time I was sober and I liked it better
Se7en,27 Nov 2023,★★★★,False,
The Killer,24 Nov 2023,★★★,False,
The Holdovers,18 Nov 2023,★★★★½,True,
The Big Lebowski,17 Nov 2023,★★★★★,True,
Taylor Swift: The Eras Tour,03 Nov 2023,★★★★½,False,
A Ghost Story,30 Oct 2023,★★★★,True,
Five Nights at Freddy's,28 Oct 2023,★,False,
Taylor Swift: The Eras Tour,23 Oct 2023,★★★★½,False,
Begin Again,16 Oct 2023,★★★,False,
Inside Llewyn Davis,10 Oct 2023,★★★★,True,
The Man Who Wasn't There,03 Oct 2023,★★★½,False,
Killers of the Flower Moon,30 Sep 2023,★★★★½,True,
Cinema Paradiso,27 Sep 2023,★★★★,False,
Career Opportunities,26 Sep 2023,★★★,False,
Burn After Reading,20 Sep 2023,★★★★½,True,So much fun
Apocalypse Now,17 Sep 2023,★★★★½,True,
Lawrence of Arabia,10 Sep 2023,★★★★,False,
Casablanca,10 Sep 2023,★★★★,True,
The Babadook,06 Sep 2023,★★★★,True,
Oldboy,03 Sep 2023,★★★½,False,
The Twilight Saga: New Moon,02 Sep 2023,★★½,False,
The Hateful Eight,30 Aug 2023,★★★★,True,
Twilight,30 Aug 2023,★★½,False,
TÁR,25 Aug 2023,★★★★,True,
Frances Ha,11 Aug 2023,★★★★½,True,This hits different when you’re sitting in your half furnished Brooklyn apartment alone
Oppenheimer,07 Aug 2023,★★★★½,True,
Barbie,06 Aug 2023,★★★★½,True,Greta Gerwig is a fucking legend
In Bruges,28 Jul 2023,★★★★,False,
Barbie,23 Jul 2023,★★★★½,True,Greta Gerwig is a fucking legend
Play Misty for Me,22 Jul 2023,★★★,False,
Her,16 Jul 2023,★★★★,False,
Conan O'Brien Can't Stop,01 Jul 2023,,False,
WarGames,29 Jun 2023,★★★½,False,
Inside Llewyn Davis,29 Jun 2023,★★★★,True,
Being John Malkovich,29 Jun 2023,★★★★,False,
Raising Arizona,27 Jun 2023,★★★★,False,
Blood Simple,26 Jun 2023,★★★,False,
Asteroid City,24 Jun 2023,★★★½,False,
That Thing You Do!,23 Jun 2023,★★★★,True,
Black Mirror: Demon 79,22 Jun 2023,★★★½,False,
Black Mirror: Beyond the Sea,21 Jun 2023,★★★½,False,
Black Mirror: Loch Henry,20 Jun 2023,★★½,False,
Black Mirror: Joan Is Awful,19 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,19 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,12 Jun 2023,★★★★,False,
The Untouchables,06 Jun 2023,★★★,False,
Rain Man,28 May 2023,★★★,False,
Jojo Rabbit,24 May 2023,★★★★½,True,
Guardians of the Galaxy Vol. 3,22 May 2023,★★★,False,
The Super Mario Bros. Movie,18 May 2023,★★,False,
The State Counsellor,03 May 2023,★★½,False,
Return of the Jedi,30 Apr 2023,★★★★★,True,
The Squid and the Whale,24 Apr 2023,★★★★,True,
Pineapple Express,21 Apr 2023,★★★½,False,
The Lord of the Rings: The Return of the King,17 Apr 2023,★★★★★,True,
GoodFellas,27 Mar 2023,★★★★★,True,
The Northman,19 Mar 2023,★★★★½,True,
The Grand Budapest Hotel,09 Mar 2023,★★★★★,True,
Onegin,28 Feb 2023,★★,False,
The Omen,27 Feb 2023,★★½,False,
The Birds,19 Feb 2023,★★½,False,It’s just a bunch of birds
The Hitch-Hiker,16 Feb 2023,★★★,False,
The Thing from Another World,05 Feb 2023,★★★,False,
The Great Silence,02 Feb 2023,★★★,False,
Prisoner of the Mountains,31 Jan 2023,★★½,False,
The Seventh Victim,30 Jan 2023,★★★,False,
Supersonic,27 Jan 2023,,False,I fucking love Oasis
Dracula,23 Jan 2023,★★★,False,
Whiplash,18 Jan 2023,★★★★★,True,
Men in Black,16 Jan 2023,★★★,False,
The Menu,12 Jan 2023,★★★★,False,
The Pale Blue Eye,10 Jan 2023,★★,False,"this movie teaches you how to make Edgar Allan Poe, Christian Bale with a beard, satanists, and murder all boring"
Jennifer's Body,07 Jan 2023,★★★,False,
Glass Onion,29 Dec 2022,★★★½,False,
Working Girl,26 Dec 2022,★★★½,False,
A Christmas Story Christmas,24 Dec 2022,★★★½,False,Extra half star cuz I’m a sucker for Christmas
Babylon,23 Dec 2022,★★★★,False,The trumpet shot in La La Land: ah yes very effectiveThe 1st trumpet shot in Babylon: Ah what a nice little callbackThe 2nd trumpet shot in Babylon: okay well you didn’t have to do it a 2nd timeThe 3rd trumpet shot in Babylon: okay you just really like trumpets I get it.
Avatar: The Way of Water,15 Dec 2022,★★★½,False,Extra half star for the VFX work
Marcel the Shell with Shoes On,10 Dec 2022,★★★,False,
There Will Be Blood,27 Nov 2022,★★★★★,True,
Elvis,27 Nov 2022,★★½,False,Austin Butler carries this movie which is nuts because Tom Hanks is also in it
Birdman or (The Unexpected Virtue of Ignorance),26 Nov 2022,★★★★½,True,
Arrival,24 Nov 2022,★★★★½,True,
The Revenant,21 Nov 2022,★★★★½,True,
Don't Worry Darling,09 Nov 2022,★★★,False,
Weird: The Al Yankovic Story,05 Nov 2022,★★★½,False,
Full Metal Jacket,03 Nov 2022,★★★★,False,
Grown Ups,26 Oct 2022,★★½,False,
The Banshees of Inisherin,19 Oct 2022,★★★,False,
She-Hulk: Attorney at Law,13 Oct 2022,★,False,
Werewolf by Night,12 Oct 2022,★★★,False,
Movie 43,06 Oct 2022,★★½,False,
Amsterdam,05 Oct 2022,★★★★,False,
La La Land,02 Oct 2022,★★★★★,True,
The Internship,25 Sep 2022,★★★★,False,
Smile,23 Sep 2022,★★★,False,
10 Things I Hate About You,15 Sep 2022,★★★½,False,
"Two Cars, One Night",14 Sep 2022,★★★,False,
Bad Trip,09 Sep 2022,★★★½,False,
She-Hulk: Attorney at Law,06 Sep 2022,★½,False,
Back to the Future,31 Aug 2022,★★★★,False,
Interstellar,27 Aug 2022,★★★★★,True,
La La Land,18 Aug 2022,★★★★★,True,
The Truman Show,14 Aug 2022,★★★★½,True,
The Grand Budapest Hotel,02 Aug 2022,★★★★★,True,
Sky High,01 Aug 2022,★★★★,True,
Thor: Love and Thunder,23 Jul 2022,★★½,False,
Ms. Marvel,18 Jul 2022,★★★½,False,
Speed Racer,18 Jul 2022,★½,False,
Top Gun: Maverick,15 Jul 2022,★★★★½,True,
Chef,01 Jul 2022,★★★★½,True,
Obi-Wan Kenobi,23 Jun 2022,★★★,False,
The Godfather,17 Jun 2022,★★★★½,True,
"The Good, the Bad and the Ugly",13 Jun 2022,★★★★,True,
The Muppets Take Manhattan,13 Jun 2022,★★★½,False,
A Fistful of Dollars,12 Jun 2022,★★★★,True,
Gran Torino,09 Jun 2022,★★★★,True,
It Follows,04 Jun 2022,★★½,False,
Top Gun: Maverick,03 Jun 2022,★★★★,True,
Bo Burnham: The Inside Outtakes,02 Jun 2022,★★★★★,True,
Top Gun,30 May 2022,★★½,False,
All That Jazz,24 May 2022,★★★★½,True,
The Northman,21 May 2022,★★★★½,True,
Men,21 May 2022,★★,False,
Eraserhead,19 May 2022,★★½,False,
The Thing,18 May 2022,★★★★,True,
Everything Everywhere All at Once,15 May 2022,★★★★,True,
Doctor Strange in the Multiverse of Madness,07 May 2022,★★★,False,
Moon Knight,05 May 2022,★★★,False,
Star Wars: Episode II – Attack of the Clones,05 May 2022,★★½,False,
The Royal Tenenbaums,03 May 2022,★★★★★,True,
Star Wars: Episode I – The Phantom Menace,29 Apr 2022,★★½,False,
The Muppets,18 Apr 2022,★★★★★,True,
Shrek,16 Apr 2022,★★★★,False,
Star Wars: Episode I – The Phantom Menace,16 Apr 2022,★★½,False,
The Mitchells vs. The Machines,13 Apr 2022,★★★,False,
The Conjuring: The Devil Made Me Do It,12 Apr 2022,★★★,False,
Manchester by the Sea,02 Apr 2022,★★★,False,
The Graduate,01 Apr 2022,★★★★,False,
The Long Goodbye,27 Mar 2022,★★★★,False,
Licorice Pizza,27 Mar 2022,★★★½,False,
Linoleum,17 Mar 2022,★★★★,True,
The Power of the Dog,12 Mar 2022,★★★,False,
Euphoria: Trouble Don't Last Always,07 Mar 2022,★★★½,False,
The Batman,06 Mar 2022,★★★★,False,
The Lord of the Rings: The Two Towers,21 Feb 2022,★★★★½,False,
The Lord of the Rings: The Fellowship of the Ring,20 Feb 2022,★★★★★,True,
A Bronx Tale,12 Feb 2022,★★★★,True,
Encanto,12 Feb 2022,★★★½,False,
CODA,03 Feb 2022,★★★,False,
WALL·E,03 Feb 2022,★★★★½,True,
Silver Linings Playbook,23 Jan 2022,★★★½,False,
The Net,22 Jan 2022,★,False,
The Straight Story,20 Jan 2022,★★★★,True,
Eternals,19 Jan 2022,★★★½,False,
The Electrical Life of Louis Wain,17 Jan 2022,★★★★,True,
Shrek 2,16 Jan 2022,★★★★★,True,
The Big Picture,15 Jan 2022,★★★½,False,
The Tragedy of Macbeth,14 Jan 2022,★★★★★,True,
All the President's Men,14 Jan 2022,★★★★,False,
Art and Craft,12 Jan 2022,★★★★½,False,
Unforgiven,09 Jan 2022,★★★★,False,
The French Dispatch,01 Jan 2022,★★★★,True,
Spider-Man: No Way Home,31 Dec 2021,★★★★½,True,
Elf,25 Dec 2021,★★★★★,True,
A Christmas Story,24 Dec 2021,★★★½,False,
Hawkeye,22 Dec 2021,★★★★,False,
Spider-Man: Into the Spider-Verse,20 Dec 2021,★★★★★,True,
Lady Windermere's Fan,18 Dec 2021,★★★,False,
The Founder,17 Dec 2021,★★★½,False,
Spider-Man: No Way Home,17 Dec 2021,★★★★★,True,
Spider-Man: No Way Home,17 Dec 2021,★★★★,True,
Shang-Chi and the Legend of the Ten Rings,15 Dec 2021,★★★½,False,
Last Night in Soho,14 Dec 2021,★★½,False,
The Amazing Spider-Man 2,13 Dec 2021,★★½,False,
The Amazing Spider-Man,12 Dec 2021,★★★★,False,
Black Widow,10 Dec 2021,★★½,False,
"tick, tick...BOOM!",04 Dec 2021,★★★½,False,
Titanic,29 Nov 2021,★★★½,False,
Napoleon Dynamite,27 Nov 2021,★★★★,False,
Spider-Man 3,26 Nov 2021,★★★,False,
The French Dispatch,07 Nov 2021,★★★★½,True,
Fantastic Mr. Fox,06 Nov 2021,★★★★½,True,
Rogue One: A Star Wars Story,03 Nov 2021,★★★★,False,
The Haunted Mansion,31 Oct 2021,★★,False,
Dune,24 Oct 2021,★★★★,False,
Star Wars: Episode I – The Phantom Menace,24 Oct 2021,★★,False,
The Guilty,23 Oct 2021,★★½,False,
Squid Game,20 Oct 2021,★★★½,False,
Stardust,17 Oct 2021,★★★,False,
No Time to Die,10 Oct 2021,★★★,False,
King Kong,22 Sep 2021,★★★,False,
