Movie,Date Watched,Rating,Liked,Review
Kill Bill: Vol. 1,13 Jan 2024,,True,better than Household Saints
Household Saints,12 Jan 2024,,False,just bad
The Blues Accordin' to Lightnin' Hopkins,11 Jan 2024,,True,
My Own Private Idaho,09 Jan 2024,★★★★★,True,
Youth in Revolt,06 Jan 2024,★★★★★,True,
Poor Things,05 Jan 2024,,True,
Babette's Feast,04 Jan 2024,,True,
McCabe & Mrs. Miller,03 Jan 2024,,True,
Menus Plaisirs – Les Troisgros,01 Jan 2024,,True,A romance for goats. A comedy of wine. A serenade to soil.
Batman Begins,30 Dec 2023,,False,
Vertigo,29 Dec 2023,★★★★★,True,
The Iron Claw,27 Dec 2023,★★★★½,True,bawled like a child
Stroszek,24 Dec 2023,,True,second time listening to Auld Lang Syne today
It's a Wonderful Life,24 Dec 2023,★★★★★,False,
The Sting,23 Dec 2023,,True,
Dressed to Kill,23 Dec 2023,,True,
Howl's Moving Castle,22 Dec 2023,,True,
The Boy and the Heron,18 Dec 2023,,True,
Beau Travail,17 Dec 2023,★★★★★,True,still perfect.
The Zone of Interest,15 Dec 2023,,True,
The River,13 Dec 2023,,True,
My Own Private Idaho,13 Dec 2023,★★★★★,True,
The Firemen's Ball,11 Dec 2023,,True,
Eileen,07 Dec 2023,,False,
GoldenEye,06 Dec 2023,,False,
My Own Private Idaho,05 Dec 2023,★★★★★,True,
Midnight Cowboy,04 Dec 2023,,True,
The Worst Person in the World,30 Nov 2023,★★★★,True,
The Holdovers,27 Nov 2023,★★★★,True,
Badlands,08 Nov 2023,★★★★½,True,
Anatomy of a Fall,03 Nov 2023,★★★★½,True,
The Bourne Identity,28 Oct 2023,,True,
Blade,27 Oct 2023,★★★½,False,A movie about Wesley Snipes killing the vibe.
The Cow,27 Oct 2023,★★★★,True,
Children of Men,24 Oct 2023,★★★★★,True,Stalker but it’s Britain and flip flops.
Sisters,21 Oct 2023,★★★,False,
Killers of the Flower Moon,19 Oct 2023,★★★★½,True,
The Holy Mountain,08 Oct 2023,★★★★,True,
Dog Day Afternoon,30 Sep 2023,★★★★,False,
Some Kind of Heaven,29 Sep 2023,★★★★,True,comfort or freedom; you can’t have it both ways
The Third Man,29 Sep 2023,★★★★½,False,
Postcards from the Edge,25 Sep 2023,★★★½,False,
Sorcerer,24 Sep 2023,★★★★,False,
There Will Be Blood,23 Sep 2023,★★★★★,False,
Anima,23 Sep 2023,,True,
The Rock,23 Sep 2023,★★★★★,False,
7 Days in Hell,23 Sep 2023,★★★★★,False,fuck this and fuck you
Good Will Hunting,17 Sep 2023,,False,
Dune,16 Sep 2023,,False,
Bad Company,14 Sep 2023,★★★,False,
Night Moves,12 Sep 2023,★★★★½,False,
The Long Goodbye,31 Aug 2023,★★★★½,False,
The Graduate,31 Aug 2023,★★★★,False,Just trying to reach the Dennis Hoffman aesthetique
Dick,22 Aug 2023,★★★,False,
Ran,20 Aug 2023,,True,Ran.
Punch-Drunk Love,20 Aug 2023,★★★★½,True,
The Virgin Suicides,20 Aug 2023,★★★★½,False,
Carnal Knowledge,18 Aug 2023,★★★★,False,
Fallen Angels,17 Aug 2023,★★★★★,True,
Oldboy,16 Aug 2023,★★★,False,
The Fast and the Furious: Tokyo Drift,11 Aug 2023,★★★★★,True,
Rashomon,03 Aug 2023,★★★★½,True,
Irma Vep,03 Aug 2023,★★★★½,True,
Punch-Drunk Love,30 Jul 2023,★★★★½,True,
Oppenheimer,21 Jul 2023,★★,False,
Enemy,17 Jul 2023,★★★½,False,
The Unbearable Weight of Massive Talent,14 Jul 2023,★★★★,True,
The Dead Don't Die,11 Jul 2023,★★★,False,
Cyrus,05 Jul 2023,,True,
Beau Travail,01 Jul 2023,★★★★★,True,still perfect.
Asteroid City,18 Jun 2023,★★★½,False,
Skullduggery,15 Jun 2023,,True,
The French Connection,13 Jun 2023,★★★★,True,
Cure,11 Jun 2023,★★★★½,False,
Past Lives,06 Jun 2023,★★★★,False,
Lost Highway,06 Jun 2023,,True,
Starship Troopers,16 May 2023,,True,
Light Sleeper,04 May 2023,★★★,False,
Ghost in the Shell,16 Apr 2023,★★★★★,True,
Perfect Blue,16 Apr 2023,★★★★★,True,
Enys Men,06 Apr 2023,★★★,False,
Easy Rider,24 Mar 2023,★★★★★,True,
A Wonderful Cloud,22 Mar 2023,,True,
The Menu,20 Mar 2023,,False,
TÁR,18 Mar 2023,★★★★★,True,
Deep End,06 Mar 2023,★★★,False,
Suzhou River,28 Feb 2023,★★★★★,True,
Suzhou River,28 Feb 2023,,True,
Persona,21 Feb 2023,★★★★★,True,
Garlic Is as Good as Ten Mothers,16 Feb 2023,★★★★★,True,
