Movie,Date Watched,Rating,Liked,Review
Danger Down Under,15 Jan 2024,,True,The greatest thing I’ve ever watched at 3AM. I have no idea how I found this.
Self Reliance,13 Jan 2024,★★★½,True,Unique and fun debut by Jake Johnson. I love the whole cast. Kinda just wish it wrapped things up with in a better way with him and Anna Kendrick’s character. I love Andy Samberg.
A Star Is Born,13 Jan 2024,★★★★½,True,A super strong directorial debut. But damn to go from this to Maestro is astounding.
Jackass 4.5,10 Jan 2024,★★★★,True,I love how Spike sits in the chair like an elf. Such a mischievous little dude.
Barbie,10 Jan 2024,★★★★½,True,I guess I love this Barbie shit.
They Cloned Tyrone,09 Jan 2024,★★★★½,True,An incredible directorial debut and a super unique take on the noir. Incredible performances from an insanely unique lead trio.
Jackass: The Movie,09 Jan 2024,★★★½,True,They didn’t quite find their groove yet. Some stuff falls flat. Still incredible and something to revisit every few years.
Society of the Snow,09 Jan 2024,★★★★,True,Not an easy watch. The cast is great. Incredible filmmaking. I wish it was a little more precise with its perspective so that I had more of a connection to a few more characters. The hard switches from extreme wides to extreme closeups really put us right in the action with the team trying to survive. Great flick!
7 Days in Hell,07 Jan 2024,★★★★★,True,A goddamn masterpiece.
Popstar: Never Stop Never Stopping,06 Jan 2024,★★★★★,True,5 stars good chap!
The Creator,06 Jan 2024,★★★½,True,Awesome visuals but lacking in story.
This Is Where I Leave You,05 Jan 2024,★★★½,True,A little rough around the edges but the cast is too fucking stacked not to love this.
Greener Grass,04 Jan 2024,★★★★★,True,
Jackass Forever,03 Jan 2024,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,03 Jan 2024,★★★½,True,
The Iron Claw,02 Jan 2024,★★★★½,True,
Villains,02 Jan 2024,★★★½,True,
A Fistful of Dollars,02 Jan 2024,★★★★,True,
Totally Killer,30 Dec 2023,★★★,True,
The Flash,30 Dec 2023,★★,False,
Saltburn,29 Dec 2023,★★,False,
Eyes Wide Shut,27 Dec 2023,★★★★★,True,
Home Alone 2: Lost in New York,26 Dec 2023,★★★★½,True,
Doctor Who: The Church on Ruby Road,26 Dec 2023,,True,
Home Alone,25 Dec 2023,★★★★½,True,
The Muppet Christmas Carol,25 Dec 2023,★★★★½,True,
Elf,25 Dec 2023,★★★★,True,
The Holdovers,25 Dec 2023,★★★★½,True,
Gremlins 2: The New Batch,24 Dec 2023,★★★★,True,
Gremlins,24 Dec 2023,★★★★,True,
Barbie,24 Dec 2023,★★★★½,True,I guess I love this Barbie shit.
No Hard Feelings,24 Dec 2023,★★★,False,
Poor Things,22 Dec 2023,★★★★★,True,
Oppenheimer,21 Dec 2023,★★★★★,True,
Godzilla vs. Kong,18 Dec 2023,★★★,True,
Kung Fu Panda,18 Dec 2023,★★★★½,True,
Barbie,17 Dec 2023,★★★★½,True,I guess I love this Barbie shit.
They Came Together,16 Dec 2023,★★★★★,True,
National Lampoon's Christmas Vacation,10 Dec 2023,★★★½,True,
Caddyshack,10 Dec 2023,★★★★,True,
Tropic Thunder,10 Dec 2023,★★★★★,True,
May December,09 Dec 2023,★★★★½,True,
Saltburn,06 Dec 2023,★★½,False,
Unforgiven,04 Dec 2023,★★★★½,True,
Godzilla Minus One,04 Dec 2023,★★★★½,True,
The Killer,04 Dec 2023,★★★★,True,
The Kid Stays in the Picture,30 Nov 2023,★★★,True,
Maestro,27 Nov 2023,★★★★★,True,
Talk to Me,27 Nov 2023,★★★½,True,
Please Don't Destroy: The Treasure of Foggy Mountain,23 Nov 2023,★★★½,True,
Theater Camp,19 Nov 2023,★★★★½,True,
They Came Together,19 Nov 2023,★★★★★,True,
Fool's Paradise,18 Nov 2023,★★★½,True,
Invasion of the Body Snatchers,18 Nov 2023,★★★★½,True,
Cléo from 5 to 7,18 Nov 2023,★★★★★,True,
Godzilla,17 Nov 2023,★★★★,True,
Dracula,17 Nov 2023,★★★½,True,
Metropolis,17 Nov 2023,★★★½,True,
Chinatown,14 Nov 2023,★★★★½,True,
After Hours,13 Nov 2023,★★★★★,True,
Bodies Bodies Bodies,13 Nov 2023,★★★,True,
Invasion of the Body Snatchers,12 Nov 2023,★★★★,True,
The Warriors,11 Nov 2023,★★★★,True,
Walk the Line,08 Nov 2023,★★★★,True,
The Holdovers,28 Oct 2023,★★★★½,True,
Priscilla,27 Oct 2023,★★★★½,True,
All of Us Strangers,27 Oct 2023,★★★,False,
The Bikeriders,25 Oct 2023,★★★★,True,
The Boy and the Heron,25 Oct 2023,★★★★½,True,
Maestro,24 Oct 2023,★★★★★,True,
Poor Things,23 Oct 2023,★★★★★,True,
Day of the Fight,23 Oct 2023,★★★,True,
American Fiction,23 Oct 2023,★★★★,True,
The Zone of Interest,22 Oct 2023,★★★★,True,
Dream Scenario,22 Oct 2023,★★★½,True,
Double Indemnity,15 Oct 2023,★★★★,True,
Black Dynamite,12 Oct 2023,★★★★½,True,
Casino,25 Sep 2023,★★★★½,True,
GoodFellas,20 Sep 2023,★★★★★,True,
