Movie,Date Watched,Rating,Liked,Review
Trolls Band Together,13 Jan 2024,★★★★★,True,Overwhelmed by the desire to put the trolls living at the mini golf course in my mouth. Little colorful boba i wanna slurp them through one of them thick straws. I get why the bergens were so compelled.
Bones and All,12 Jan 2024,★★★★½,False,So like. How do i learn how to sniff out a twinky little freak who wants to give me his bones????
Legally Blonde,10 Jan 2024,★★★★★,False,The gay stereotyping in this is so rough but also i know at least 8 lesbians exactly like Enid.
Quackodile Tears,10 Jan 2024,,True,I love a man who loves his eggs 🥚
Magic Mike XXL,08 Jan 2024,★★★★★,True,A collection of thoughts/feelings/delights:
A Bigger Splash,07 Jan 2024,★,False,Nothing happened and they didn’t even let tilda talk???? Why did i bother??
Saltburn,06 Jan 2024,★★★½,False,Eat the rich/Eat out the rich. Tomato/tomahtoe?
Who Invited Them,02 Jan 2024,★★★½,False,Film just doesn’t have enough hamsters in your mouth these days. More hamsters in your mouth!!!
Hitch,01 Jan 2024,★★★★★,True,The opening scene voice over about finding true love will never cease to make me sob idk what to tell you.
Death Proof,30 Dec 2023,★★★★★,True,🙏🏻✨ The holy grail of foot shots✨🙏🏻
It's a Wonderful Life,27 Dec 2023,★★★★,False,Shout out to my dad who said he couldn’t watch this because he felt too much like George Bailey 😢
How the Grinch Stole Christmas,25 Dec 2023,★★★★★,False,
A Christmas Story,25 Dec 2023,★★★★,False,My favorite thing about this movie is the dad’s absolute insatiable horniness for turkey. unmatched in any other film to date.
Logan Lucky,22 Dec 2023,★★★★★,True,
Poor Things,18 Dec 2023,★★★★★,False,
Magic Mike,17 Dec 2023,★★½,False,
Chicken People,16 Dec 2023,★★★★,False,
The Smokers,15 Dec 2023,,False,
Cruel Intentions,14 Dec 2023,★★★★★,True,
Biosphere,14 Dec 2023,★★★,False,
Poison,14 Dec 2023,★★★½,False,
Raw,14 Dec 2023,★★★★★,True,
Trolls Holiday,11 Dec 2023,★★★★,False,
Trolls,11 Dec 2023,★★★★★,True,
Home Alone,09 Dec 2023,★★★★½,False,
Animal Passions,07 Dec 2023,½,False,
The Sitter,05 Dec 2023,★★½,False,
Without a Paddle,02 Dec 2023,★★,False,
You Hurt My Feelings,27 Nov 2023,★★★★★,False,
Ready or Not,26 Nov 2023,★★★★★,False,
Quiz Lady,25 Nov 2023,★★★★,False,
Strays,24 Nov 2023,★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,★★★★,False,
D.E.B.S.,21 Nov 2023,★★★★★,True,
Long Shot,16 Nov 2023,★★★★★,True,
Jesus Camp,15 Nov 2023,,False,
Tell Me Who I Am,15 Nov 2023,,False,
Pieces of April,14 Nov 2023,★★★★★,True,
Goodnight Mommy,12 Nov 2023,★★,False,
The Marvels,12 Nov 2023,★★★,False,
Please Baby Please,09 Nov 2023,★★★★,False,
Downsizing,08 Nov 2023,★,False,
Sing,08 Nov 2023,★★★½,False,
I See You,08 Nov 2023,★★★½,False,
Captain Fantastic,04 Nov 2023,★★★★★,False,
Martyrs,03 Nov 2023,★★½,False,
No Hard Feelings,01 Nov 2023,★★★★,False,
The Ritual,30 Oct 2023,★★,False,
Saw X,30 Oct 2023,★★★½,False,
Just Married,29 Oct 2023,★,False,
"Mother, May I?",25 Oct 2023,★★★★,False,
The Craft,25 Oct 2023,★★★★,False,
She's the Man,23 Oct 2023,★★★★★,False,
Scream 2,21 Oct 2023,★★★★★,False,
The Strangers,21 Oct 2023,★★★,False,
Run Rabbit Run,20 Oct 2023,★★,False,
Hellbender,19 Oct 2023,★★★★★,True,
Slotherhouse,18 Oct 2023,★★,False,
The Pez Outlaw,13 Oct 2023,★★★★,False,
Sanctuary,10 Oct 2023,★★★½,False,
Ma,05 Oct 2023,★★½,False,
Scream,04 Oct 2023,★★★★★,True,
Tamara,29 Sep 2023,★★★,False,
Seance,25 Sep 2023,★★★½,False,
Goldfinger,24 Sep 2023,★★★★,False,
Bodies Bodies Bodies,21 Sep 2023,★★★★★,True,
Theater Camp,19 Sep 2023,★★★½,False,
