Movie,Date Watched,Rating,Liked,Review
Bat Pussy,14 Jan 2024,,False,"There’s nothing wrong with ED, but if you’re dude can’t get hard, he probably shouldn’t be the only guy in a porno."
Homoti,13 Jan 2024,,False,E.T. is in this.
Poor Things,08 Jan 2024,,True,"Don't worry Josh, it holds up on the rewatch."
The Town That Was,08 Jan 2024,,True," I visited Centralia for the first and only time this past October. This documentary was supposedly filmed over the course of four years in the mid-2000s, and the amount of identifiable structure this town has lost since then is baffling. I'd believe there used to be hundreds of buildings in this ghost town if it still looked the way it did in 2007. But there's nothing left. There are roads and sidewalks covered with trees. There was a hollowed fire… "
No Country for Old Men,07 Jan 2024,,True,"It's amazing how perfectly McCarthy's novel falls into Coen canon. This is an absurdly faithful adaptation, yet so much of the themes, the dialogue, the dialect and the archetype and genre deconstructions feel hard-written into an original script. It's bleakness transcends to a technical level as it famously shirks its score over silent stares and pounding gunshots. It's a ""cold sweat"" suspense flick, the greatest answer to the neo-western, and it has all the elements of an enduring classic, literarily and cinematically. "
Maestro,07 Jan 2024,,False,Here is a shortcut to the Wikipedia page on Leonard Bernstein.
Worst Laid Plans,06 Jan 2024,,False,Unfortunately didn’t catch much of this between walks to throw up in the toilet.
A Recipe for Seduction,06 Jan 2024,,True,"Barely remember watching this, remember next to nothing after."
Christmas at The Greenbrier,06 Jan 2024,,False,It stinks!
Five Nights at Freddy's,05 Jan 2024,,False,I was not “ready Freddy.”
World of Tomorrow Episode Three: The Absent Destinations of David Prime,02 Jan 2024,,True,Don’t think I could pick a favorite of these with a gun to my head.
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,02 Jan 2024,,True,
World of Tomorrow,02 Jan 2024,,True,"Alright, it’s this one."
Sanctuary,01 Jan 2024,,True,
Saltburn,28 Dec 2023,,False,
The Iron Claw,26 Dec 2023,,True,
American Symphony,26 Dec 2023,,True,
Barbie,25 Dec 2023,,True,
Klaus,24 Dec 2023,,True,
How the Grinch Stole Christmas!,24 Dec 2023,,True,
A Charlie Brown Christmas,24 Dec 2023,,True,
The Holdovers,23 Dec 2023,,True,
Poor Things,22 Dec 2023,,True,"Don't worry Josh, it holds up on the rewatch."
Killers of the Flower Moon,19 Dec 2023,,True,
The Backrooms (Found Footage),16 Dec 2023,,True,
The Boy and the Heron,14 Dec 2023,,True,
Taylor Swift: The Eras Tour,13 Dec 2023,,False,
May December,12 Dec 2023,,True,
Freeland,11 Dec 2023,,True,
The Holdovers,11 Dec 2023,,True,
Dream Scenario,06 Dec 2023,,True,
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",05 Dec 2023,,True,
Godzilla: King of the Monsters,03 Dec 2023,,False,
Godzilla,03 Dec 2023,,True,
Godzilla,03 Dec 2023,,True,
Adventure Time: Islands,01 Dec 2023,,True,
