Movie,Date Watched,Rating,Liked,Review
The Third Man,14 Jan 2024,★★★★★,False,Pretty perfect movie
American Fiction,10 Jan 2024,★★★½,False,
Anatomy of a Fall,10 Jan 2024,★★★★½,False,
The Boy and the Heron,26 Nov 2023,★★★★,False,
Hocus Pocus,30 Oct 2023,★★★½,False,That Ortega touch
Stop Making Sense,04 Oct 2023,★★★★½,False,Would’ve given 5 stars if it weren’t for the people clapping in the theater after every song
Zodiac,12 Sep 2023,★★★★½,False,
My Dinner with Andre,11 Sep 2023,★★★★½,False,"Fascinating dialogue. I feel that I need to rewatch this to develop a true understanding and opinion, but I’m left feeling exhausted, fed, and riddled with uncertainties about our world and the way I conduct my life. Who the hell am I and why am I here. So many late journeys home through the darkened city streets have felt just like Wallace Shawn’s at the end of this film."
Theater Camp,25 Aug 2023,★★★★,False,
A Star Is Born,21 Aug 2023,★★★,False,Vanity project
Oppenheimer,18 Aug 2023,★★★★½,False,"Why does rami malek have to ruin every moment of cinema he appears in with his overactive beady eyes and pursed lips. You’re doing way too much, Rami, it’s just a cameo."
Barbie,30 Jul 2023,★★★★,False,"Funny, visually exciting, necessarily meta and well done to that end. Still there’s no getting around the fact that this is a 2 hour ad for a toy, no matter how clever and feel good it is."
Beau Travail,17 Jul 2023,★★★★½,False,Makes me wanna get a dozen of my closest guy friends together and do tai chi in the arid Djibouti landscape
McCabe & Mrs. Miller,10 Jul 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,28 Jun 2023,★★★★,False,"Inventive, exciting, funny, and occasionally overstimulating"
Beau Is Afraid,20 Apr 2023,★★★★,False,"Hilarious, bewildering."
Michael Clayton,12 Apr 2023,★★★★,False," Great performances all around, a dark and engaging look, and a sometimes clunky plot. It ends a little to cleanly for me, which seems to be a common symptom of mid-2000s screenwriting. One of the most annoying tropes of this period is the overcommitted professional divorcee dad protagonist with a precocious kid son who offers little to the story. We get it: the protagonist is too *complicated* to maintain a marriage, and his loving relationship to his son gives him… "
One Flew Over the Cuckoo's Nest,05 Apr 2023,★★★★★,False,
Beautiful Boy,01 Apr 2023,★★★,False,
Gloria,25 Mar 2023,★★★★,False,
Bay of Angels,15 Mar 2023,★★★★,False,Michel legrand slamming those keys to Jeanne Moreau self destructing on the French Riviera is just what I needed on this cold New York night
The Fugitive,22 Feb 2023,★★★★,False,
High Fidelity,18 Feb 2023,★★★,False,
Pride & Prejudice,18 Feb 2023,★★★★,False,
The Banshees of Inisherin,01 Feb 2023,★★★★,False,
All Quiet on the Western Front,25 Jan 2023,★★★,False,
TÁR,14 Jan 2023,★★★★★,False,
About Time,08 Jan 2023,★★★,False,
Glass Onion,01 Jan 2023,★★★½,False,
The American Friend,20 Dec 2022,★★★★,False,
Thief,11 Dec 2022,,True,
Comedian,07 Dec 2022,,True,
The Fabelmans,04 Dec 2022,★★★★,False,
Where the Crawdads Sing,26 Nov 2022,★★,False,
Aftersun,19 Nov 2022,★★★,False,
Triangle of Sadness,06 Nov 2022,★★★★½,False,
Practical Magic,30 Oct 2022,★★,False,
Another Round,25 Oct 2022,★★★★,False,
Papillon,28 Sep 2022,★★★½,False,
CODA,21 Sep 2022,★★★★,False,
Moonage Daydream,18 Sep 2022,★★★★,False,
When Harry Met Sally...,16 Sep 2022,★★★★½,False,
Belfast,07 Sep 2022,,True,
The Great Race,28 Aug 2022,,True,
Elvis,10 Aug 2022,★★★½,False,
Once Upon a Time in the West,30 Jul 2022,★★★★,False,
Marcel the Shell with Shoes On,27 Jul 2022,★★★★,False,
Nope,25 Jul 2022,★★★★,False,
Saving Private Ryan,23 Jul 2022,★★★★,False,
C'mon C'mon,23 Jul 2022,★★★★½,False,
Catch Me If You Can,15 Jul 2022,★★★½,False,
The Sting,04 Jul 2022,★★★★,False,
Arrival,07 Jun 2022,★★★★,False,
Top Gun: Maverick,24 May 2022,★★★★½,False,
Rosemary's Baby,11 May 2022,★★★★★,False,
The Northman,09 May 2022,★★,False,
High Anxiety,08 May 2022,,True,
Everything Everywhere All at Once,25 Apr 2022,★★★★,False,
Thank You for Smoking,18 Apr 2022,★★½,False,
The Batman,02 Apr 2022,★★★,False,
The Trial of the Chicago 7,07 Feb 2022,★★★½,False,
Bowfinger,04 Feb 2022,★★★,False,
"Hail, Caesar!",02 Feb 2022,★★★★½,False,
"tick, tick...BOOM!",31 Jan 2022,★★★★,False,
Strangers on a Train,23 Jan 2022,★★★★,False,
The Visitors,06 Jan 2022,★★★★,False,
