Movie,Date Watched,Rating,Liked,Review
Perfect Blue,13 Jan 2024,★★★★★,False,
Paprika,13 Jan 2024,★★★★½,False,
American Fiction,09 Jan 2024,★★★½,False,
The Iron Claw,04 Jan 2024,★★★★★,False,Dudes rock 🥲
Poor Things,31 Dec 2023,★★★½,False,
A Man Called Otto,25 Dec 2023,★★★,False,
The Christmas Chronicles,24 Dec 2023,★★½,False,I can’t believe the cute animated elves tried to cut that kids dick off
After Yang,24 Dec 2023,★★★½,False,
Godzilla Minus One,24 Dec 2023,★★★½,False,
The Holdovers,22 Dec 2023,★★★★★,False,Feels like a Salinger novel
Maestro,22 Dec 2023,★★★★½,False,
The Boy and the Heron,12 Dec 2023,★★★★★,False,
May December,03 Dec 2023,★★★★,False,
Saltburn,03 Dec 2023,★★★★,False,
Next Goal Wins,25 Nov 2023,★★★,False,
Killers of the Flower Moon,07 Nov 2023,★★★★★,False,
The Hypnosis,13 Oct 2023,★★★★★,False,
A Knight's Tale,17 Sep 2023,★★★,False,
A Haunting in Venice,16 Sep 2023,★½,False,
The Naked Gun: From the Files of Police Squad!,04 Sep 2023,★★★½,False,
Nausicaä of the Valley of the Wind,02 Sep 2023,★★★★½,False,
Manhattan,01 Sep 2023,★★★,False,*Sigh*…
No Hard Feelings,27 Aug 2023,★★★½,False,
Annie Hall,25 Aug 2023,★★★★,False,Jeff Goldblum jump scare
Oldboy,22 Aug 2023,★★★★★,False,
Shortcomings,17 Aug 2023,★★★,False,
Whisper of the Heart,16 Aug 2023,★★★★★,False,
Ran,13 Aug 2023,★★★★,False,
Oppenheimer,11 Aug 2023,★★★★★,False,
Clue,11 Aug 2023,★★★,False,Never thought the “communism was a red herring“ line would make more sense after watching Oppenheimer
Barbie,08 Aug 2023,★★★★★,False,
The Nice Guys,30 Jul 2023,★★★★,False,
C'mon C'mon,28 Jul 2023,★★★★★,False,"Watched it with my parents. Man, it still hits."
Mission: Impossible – Dead Reckoning Part One,19 Jul 2023,★★★,False,
Heat,08 Jul 2023,★★★★,False,
Asteroid City,08 Jul 2023,★★★★,False,
Punch-Drunk Love,08 Jul 2023,★★★★★,False,I can redeem the mileage
Spider-Man: Across the Spider-Verse,18 Jun 2023,★★★★★,False,
To Every You I've Loved Before,18 Jun 2023,★★★★★,False,
Past Lives,10 Jun 2023,★★★★★,False,
The Master,02 Jun 2023,★★★★★,False,I watched this after binging the new season of I Think You Should Leave and I noticed that Joaquin Phoenix moves just like Tim Robinson in this movie.
Puss in Boots: The Last Wish,27 Apr 2023,★★★★½,False,
The Super Mario Bros. Movie,27 Apr 2023,★★★½,False,
Princess Mononoke,25 Apr 2023,★★★★★,False,
Beau Is Afraid,25 Apr 2023,★★★★½,False,
Suzume,16 Apr 2023,★★★,False,
Dungeons & Dragons: Honor Among Thieves,02 Apr 2023,★★★½,False,
Vengeance,31 Mar 2023,★★★½,False,
John Wick: Chapter 4,26 Mar 2023,★★★★,False,Broke: John Wick is an action movie Woke: John Wick is an art nouveau comedy
Howl's Moving Castle,11 Mar 2023,★★★★★,False,
Elvis,11 Mar 2023,★★★,False,
A Silent Voice,04 Mar 2023,★★★★,False,I would die for Nagatsuka
What If,25 Feb 2023,★★★,False,
Black Bear,20 Feb 2023,★★★★,False,
The Handmaiden,18 Feb 2023,★★★½,False,
Broker,01 Feb 2023,★★★★★,False,
Bad Behaviour,29 Jan 2023,★★,False,Dasha jump scare
Run Rabbit Run,29 Jan 2023,★★★,False,
Onyx the Fortuitous and the Talisman of Souls,28 Jan 2023,★★★½,False,
Sorcery,28 Jan 2023,★★½,False,
Sometimes I Think About Dying,26 Jan 2023,★★★½,False,
The Persian Version,24 Jan 2023,★★½,False,
RRR,14 Jan 2023,★★★★½,False,
The Menu,07 Jan 2023,★★★,False,
This Place Rules,01 Jan 2023,★½,False,
The Banshees of Inisherin,01 Jan 2023,★★★★,False,
Triangle of Sadness,29 Dec 2022,★★★½,False,
Bones and All,29 Dec 2022,★★★★,False,
Babylon,27 Dec 2022,★★★★★,False,
The Whale,26 Dec 2022,★★,False,
Avatar: The Way of Water,21 Dec 2022,★★★½,False,
Something from Tiffany's,10 Dec 2022,★★,False,
Stutz,03 Dec 2022,★★★★,False,
Glass Onion,25 Nov 2022,★★★★★,False,
Spirited,24 Nov 2022,★★★,False,
She Said,22 Nov 2022,★★★,False,
Ticket to Paradise,22 Nov 2022,★★,False,
Falling for Christmas,22 Nov 2022,★,False,
See How They Run,12 Nov 2022,★★★½,False,
Aftersun,30 Oct 2022,★★★★½,False,
Barbarian,29 Oct 2022,★★★½,False,
Decision to Leave,29 Oct 2022,★★★★,False,
TÁR,29 Oct 2022,★★★★½,False,
Kiki's Delivery Service,15 Oct 2022,★★★★½,False,
Young Frankenstein,08 Oct 2022,★★★★½,False,
Thoroughbreds,08 Oct 2022,★★½,False,
Don't Worry Darling,07 Oct 2022,★★★,False,
Do Revenge,18 Sep 2022,★★★,False,
Three Thousand Years of Longing,03 Sep 2022,★★★★,False,
Bodies Bodies Bodies,16 Aug 2022,★★½,False,
Not Okay,13 Aug 2022,★★★,False,
Bullet Train,07 Aug 2022,★★★,False,
Nope,28 Jul 2022,★★★★,False,
Persuasion,17 Jul 2022,★,False,
A Whisker Away,10 Jul 2022,★★★,False,
Father of the Bride,10 Jul 2022,★★★,False,
Cha Cha Real Smooth,20 Jun 2022,★★½,False,
Boogie Nights,04 Jun 2022,★★★★★,False,
The Hobbit: An Unexpected Journey,31 May 2022,★★★,False,
Chip 'n Dale: Rescue Rangers,30 May 2022,★★★,False,
Men,30 May 2022,★★,False,
Doctor Strange in the Multiverse of Madness,15 May 2022,★★★,False,
Bubble,01 May 2022,★★,False,
They Came Together,01 May 2022,★★★★,False,
The Northman,23 Apr 2022,★★★½,False,
Everything Everywhere All at Once,10 Apr 2022,★★★★★,False,
The Lost City,02 Apr 2022,★★★½,False,
Windfall,19 Mar 2022,★★★,False,
jeen-yuhs: A Kanye Trilogy,09 Mar 2022,★★★,False,
The Batman,08 Mar 2022,★★★★½,False,
The Lost Daughter,08 Mar 2022,★★★½,False,
Nightmare Alley,26 Feb 2022,★★★½,False,
Antlers,20 Feb 2022,★★½,False,
Gonjiam: Haunted Asylum,20 Feb 2022,★★★½,False,
I Want You Back,13 Feb 2022,★★★★,False,
Castle in the Sky,29 Jan 2022,★★★★,False,
Am I Ok?,26 Jan 2022,★★½,False,
Alice,23 Jan 2022,★½,False,
Every Day in Kaimukī,23 Jan 2022,★★★,False,
Honk for Jesus. Save Your Soul.,23 Jan 2022,★★★½,False,
You Won't Be Alone,22 Jan 2022,★★★★,False,
Dual,22 Jan 2022,★★★★,False,
"Good Luck to You, Leo Grande",22 Jan 2022,★★★,False,
Call Jane,21 Jan 2022,★★½,False,
We Met in Virtual Reality,21 Jan 2022,★★,False,
Fresh,21 Jan 2022,★★★,False,
The Worst Person in the World,20 Jan 2022,★★★★½,False,
When You Finish Saving The World,20 Jan 2022,★★★½,False,
Pig,09 Jan 2022,★★★★½,True,
Red Rocket,08 Jan 2022,★★★★,False,
Encanto,07 Jan 2022,★★★½,False,
Drive My Car,01 Jan 2022,★★,False,
Don't Look Up,30 Dec 2021,★★★,False,
Licorice Pizza,30 Dec 2021,★★★★,False,
West Side Story,29 Dec 2021,★½,False,
Waves,19 Dec 2021,★★★½,False,
Arrival,18 Dec 2021,★★★★½,False,
Words Bubble Up Like Soda Pop,14 Dec 2021,★★★½,False,
The Power of the Dog,11 Dec 2021,★★★½,False,
A Castle for Christmas,08 Dec 2021,½,False,
C'mon C'mon,06 Dec 2021,★★★★★,False,"Watched it with my parents. Man, it still hits."
"tick, tick...BOOM!",04 Dec 2021,★★★★,False,
House of Gucci,27 Nov 2021,★★★,False,
Kung Pow: Enter the Fist,26 Nov 2021,★★★,False,
Love & Other Drugs,26 Nov 2021,★★★,False,
King Richard,24 Nov 2021,★★★½,False,
Belfast,18 Nov 2021,★★★½,False,
Shang-Chi and the Legend of the Ten Rings,14 Nov 2021,★★★½,False,
Freaky,14 Nov 2021,★½,False,
Eternals,08 Nov 2021,★★½,False,
The French Dispatch,07 Nov 2021,★★★½,False,
