Movie,Date Watched,Rating,Liked,Review
Mean Girls,11 Jan 2024,,False,"I’m so conflicted! Some aspects shined more than the original, especially with Janice shining much more as a character as well as a lot of the messaging of the film. I just think that the idea of modernizing a movie and making it for a “new generation”  by adding TikTok and some iPhones where the audience of the movie still LOVES the first movie and probably has seen it feels like a bit of overreach. But the performances are pretty great and make up for it! iPad babies are gonna loveeee this one"
The Holdovers,08 Jan 2024,★★★★★,True,they don’t make films like they used to (unironically)… love being the youngest person at a screening it makes me feel special
The Iron Claw,01 Jan 2024,★★★★★,True,first movie of the year the best movie of the year. I weeeeped! thanks Zach Efron! if you make me cry it’s an auto five stars I don’t make the rules
Dave Chappelle: The Dreamer,31 Dec 2023,★½,False,
Poor Things,22 Dec 2023,★★★★½,True,NYFF #1“Jumping furiously” is an all time line among a film of all time lines
Eileen,21 Dec 2023,★★★,False,
The Nice Guys,19 Dec 2023,★★★★,True,
Making Squid Game: The Challenge,18 Dec 2023,★★,False,
The Favourite,17 Dec 2023,★★★★,True,
Melancholia,16 Dec 2023,★★★★½,True,
Leave the World Behind,15 Dec 2023,★★★½,False,add to “movies not to watch when recovering from wisdom tooth surgery” list
How to Blow Up a Pipeline,14 Dec 2023,★★★★,True,
Those Were The Days,10 Dec 2023,,False,
Godzilla Minus One,05 Dec 2023,★★★★★,True,turns out having the monster actually mean something makes a monster movie good?! crazy concept! such a beautiful balance between community and the personal and a haunting portrayal of post WW2 Japan. totally blown away!
The Boy and the Heron,05 Dec 2023,★★★★,False,
Fallen Leaves,04 Dec 2023,★★★★½,True,perfection! 👏👏 move over phoebe bridgers a new saddest song ever just dropped
May December,03 Dec 2023,★★★★,True,
Ferrari,02 Dec 2023,★★★½,False,marriage story italiano!
Monster,02 Dec 2023,★★★★½,True,if only ryuchi sakamoto’s score wasn’t interrupted by Beyoncé playing next door. I’m gonna need to watch this one a few more times. Kore-eda continues to be one of my favorite filmmakers!
Saltburn,01 Dec 2023,,True,
Napoleon,30 Nov 2023,★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,26 Nov 2023,★★★★,True,
Life of Brian,23 Nov 2023,★★★½,True,
Next Goal Wins,18 Nov 2023,★★★,False,
Scott Pilgrim Takes Off,18 Nov 2023,★★★★★,True,
Saltburn,16 Nov 2023,,True,
Dream Scenario,14 Nov 2023,★★★★,True,
Priscilla,09 Nov 2023,★★★★,True,
But I'm a Cheerleader,09 Nov 2023,★★★★★,True,
The Holdovers,29 Oct 2023,★★★★★,True,they don’t make films like they used to (unironically)… love being the youngest person at a screening it makes me feel special
Dicks: The Musical,20 Oct 2023,★★★,True,
Killers of the Flower Moon,19 Oct 2023,★★★★½,True,
The Other Guys,18 Oct 2023,★★★★½,True,
Under the Skin,18 Oct 2023,★★★½,True,
Léon: The Professional,16 Oct 2023,★★★★½,True,
She Came to Me,12 Oct 2023,★★★,False,
Anatomy of a Fall,08 Oct 2023,★★★★½,True,the old couple sitting next to me towards the end of the film; “maybe the son did it!”
The Zone of Interest,08 Oct 2023,,True,
The Human Voice,06 Oct 2023,★★★★,True,
Strange Way of Life,06 Oct 2023,★★½,False,
Poor Things,02 Oct 2023,★★★★½,True,NYFF #1“Jumping furiously” is an all time line among a film of all time lines
The Swan,29 Sep 2023,★★★½,True,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★,True,
Get Out,26 Sep 2023,★★★★★,True,
Stop Making Sense,25 Sep 2023,★★★★★,True,thank you rabbi david byrne for today’s service… u truly invented the word slay
The Dark Knight,18 Sep 2023,★★★★★,True,
Dumb Money,15 Sep 2023,★★★★,True,watching a movie at an AMC made by a major studio during a writers and actors strike about an event that happened two years ago is so 2023
Jurassic Park,05 Sep 2023,★★★★½,True,
Bottoms,03 Sep 2023,★★★★½,True,
The Killing,01 Sep 2023,,True,
Bottoms,29 Aug 2023,★★★★½,True,
Oldboy,23 Aug 2023,★★★★★,True,
Theater Camp,23 Aug 2023,★★★,False,
Talk to Me,22 Aug 2023,★★★★,True,
Little Miss Sunshine,21 Aug 2023,★★★★½,True,
Oppenheimer,31 Jul 2023,★★★★½,True,
Oppenheimer,27 Jul 2023,★★★★½,True,
Shiva Baby,26 Jul 2023,★★★★,True,
Barbie,23 Jul 2023,★★★★,True,
Barbie,21 Jul 2023,,True,
No Hard Feelings,17 Jul 2023,★★★,True,
No Country for Old Men,16 Jul 2023,★★★★★,True,
Jennifer's Body,14 Jul 2023,★★★½,True,
Vivarium,12 Jul 2023,★★★½,False,
Past Lives,04 Jul 2023,★★★★½,True,
Black Mirror: Loch Henry,20 Jun 2023,★★★★,True,
Black Mirror: Fifteen Million Merits,19 Jun 2023,★★★★½,True,
Black Mirror: Nosedive,18 Jun 2023,★★★★½,True,
Black Mirror: Joan Is Awful,17 Jun 2023,★★★★,True,
Reality,09 Jun 2023,★★★,True,
Bama Rush,07 Jun 2023,★,False,
"Are You There God? It's Me, Margaret.",06 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★★,True,
Four Days in October,29 May 2023,★★★★½,True,
mother!,14 May 2023,★★★★,True,
The Pope's Exorcist,14 May 2023,★,False,
The Bling Ring,13 May 2023,★★½,False,
Jason Isbell: Running With Our Eyes Closed,22 Apr 2023,★★★★½,True,
Raging Bull,20 Apr 2023,★★★★½,True,
Dungeons & Dragons: Honor Among Thieves,14 Apr 2023,★★★,True,
Daisy Jones & the Six,25 Mar 2023,★★★★½,True,
The Unbearable Weight of Massive Talent,23 Mar 2023,★★★,False,
Aftersun,19 Mar 2023,★★★★★,True,
65,19 Mar 2023,★★,False,
RRR,14 Mar 2023,★★★★½,True,
Popstar: Never Stop Never Stopping,13 Mar 2023,★★★★,True,
A Little White Lie,04 Mar 2023,★★★★★,True,
A Little White Lie,03 Mar 2023,★★★★★,True,
Donnie Darko,29 Jan 2023,★★★★,True,
All the Beauty and the Bloodshed,27 Jan 2023,★★★★½,True,
Osmosis Jones,26 Jan 2023,★★½,False,
Ghost Dogs,26 Jan 2023,★★★★,True,
The Pacific,25 Jan 2023,★★★½,False,
All Quiet on the Western Front,24 Jan 2023,★★★★,True,
The Fabelmans,23 Jan 2023,★★★★,True,
TÁR,15 Jan 2023,★★★★½,True,
M3GAN,14 Jan 2023,★★½,False,
This Place Rules,05 Jan 2023,★★★½,False,
Aftersun,02 Jan 2023,★★★★★,True,
Babylon,29 Dec 2022,★★★★,True,
Ted 2,25 Dec 2022,★★★½,True,
The Full Monty,25 Dec 2022,★★★½,True,
Love Actually,24 Dec 2022,★★★½,True,
It's a Wonderful Life,21 Dec 2022,★★★★½,True,
Avatar: The Way of Water,20 Dec 2022,★★★★,True,
The Banshees of Inisherin,18 Dec 2022,★★★★½,True,
Triangle of Sadness,17 Dec 2022,★★★★★,True,
The Whale,13 Dec 2022,★★★★½,True,
The Hand of God,11 Dec 2022,★★★★,True,
Undone,10 Dec 2022,★★★★½,False,
Tusk,04 Dec 2022,½,False,
Dick Johnson Is Dead,03 Dec 2022,★★★★½,True,
Cameraperson,03 Dec 2022,★★★★½,True,
Holiday,02 Dec 2022,★★★★,True,
The Fabelmans,28 Nov 2022,★★★★★,True,
Glass Onion,26 Nov 2022,★★★★,True,
The Menu,19 Nov 2022,★★★½,True,
Bullet Train,07 Nov 2022,★★★,False,
Fall,29 Oct 2022,★★½,False,
On the Count of Three,29 Oct 2022,★★★★,True,
TÁR,28 Oct 2022,★★★★½,True,
Suspiria,27 Oct 2022,★★★★,True,
Coherence,26 Oct 2022,★★★★,True,
Happy Gilmore,25 Oct 2022,★★★★,True,
Kundun,22 Oct 2022,★★★,False,
The Banshees of Inisherin,21 Oct 2022,★★★★½,True,
Triangle of Sadness,09 Oct 2022,★★★★★,True,
Jackass Forever,03 Oct 2022,★★★★,True,
Don't Worry Darling,01 Oct 2022,★★½,False,
Marcel the Shell with Shoes On,30 Sep 2022,★★★★,True,
Heat,30 Sep 2022,★★★★,True,
The Outlaw,29 Sep 2022,★★½,False,
The Royal Tenenbaums,29 Sep 2022,★★★★,True,
Pearl,28 Sep 2022,★★★★½,True,
Dangerous Liaisons,22 Sep 2022,★★½,False,
Nausicaä of the Valley of the Wind,21 Sep 2022,★★★★,True,
X,17 Sep 2022,★★★★½,True,
X,14 Sep 2022,★★★★½,True,
Everything Everywhere All at Once,10 Sep 2022,★★★★★,True,
Hot Fuzz,31 Aug 2022,★★★½,False,
The Babadook,30 Aug 2022,★★½,True,
Whiplash,28 Aug 2022,★★★★★,True,
Prey,20 Aug 2022,★★★½,False,
(500) Days of Summer,18 Aug 2022,★★★½,True,
Bodies Bodies Bodies,17 Aug 2022,★★★½,True,
Fresh,16 Aug 2022,★★★,True,
Prisoners,12 Aug 2022,★★★★,True,
They/Them,10 Aug 2022,★,True,
mother!,04 Aug 2022,★★★½,True,
The Black Phone,03 Aug 2022,★★★½,True,
Catch Me If You Can,03 Aug 2022,★★★★,True,
The Silence of the Lambs,30 Jul 2022,★★★★½,True,
Divorce Italian Style,23 Jul 2022,★★★★,True,
Nope,22 Jul 2022,★★★★,True,
The Shining,21 Jul 2022,★★★★★,True,
Before Sunset,20 Jul 2022,★★★★★,True,
Before Sunrise,20 Jul 2022,★★★★½,True,
Bringing Up Baby,18 Jul 2022,★★★★,True,
Ready Player One,17 Jul 2022,★½,False,
Where the Crawdads Sing,14 Jul 2022,★★½,False,
M,13 Jul 2022,★★★★½,False,
Monty Python and the Holy Grail,13 Jul 2022,★★★★,True,
High and Low,11 Jul 2022,★★★★½,True,
Last Night in Soho,09 Jul 2022,★★★½,True,
The Piano Teacher,07 Jul 2022,★★★★½,True,
Gone Girl,07 Jul 2022,★★★★,True,
Forrest Gump,06 Jul 2022,★★★½,True,
300,05 Jul 2022,,False,
Memento,05 Jul 2022,★★★★★,True,
Tombstone,05 Jul 2022,★★★,False,
American Psycho,02 Jul 2022,★★★★,True,
Elvis,02 Jul 2022,★★★,True,
Requiem for a Dream,29 Jun 2022,★★★★½,True,
The Shawshank Redemption,28 Jun 2022,★★★★½,True,
The Handmaiden,27 Jun 2022,★★★★½,True,
Psycho,22 Jun 2022,★★★★★,True,
Seconds,22 Jun 2022,★★★★,False,
Cha Cha Real Smooth,20 Jun 2022,★★★★,True,
Memoria,16 Jun 2022,★★★★½,True,
Columbus,14 Jun 2022,★★★★★,True,
Irma Vep,13 Jun 2022,★★★★,True,
Crimes of the Future,03 Jun 2022,★★★,True,
Scott Pilgrim vs. the World,02 Jun 2022,★★★★★,True,
"tick, tick...BOOM!",20 May 2022,★★★★,True,
Oldboy,11 May 2022,★★★★★,True,
Ma mère,10 May 2022,★½,False,
Sorry to Bother You,04 May 2022,★★★★★,True,
Transit,04 May 2022,★★★★½,True,
Wheel of Fortune and Fantasy,02 May 2022,★★★★½,True,
