Movie,Date Watched,Rating,Liked,Review
A Confucian Confusion,07 Jan 2024,★★★,True,
Mahjong,03 Jan 2024,★★★½,True,
Ferrari,02 Jan 2024,★★★½,True,
Yi Yi,30 Dec 2023,★★★★★,True,
Taipei Story,29 Dec 2023,★★★★,True,
The Iron Claw,28 Dec 2023,★★★½,True,
The Kidnapping of Michel Houellebecq,23 Dec 2023,★★★,False,
Elf,22 Dec 2023,★★★,False,
The Florida Project,16 Dec 2023,★★★★½,True,
The Zone of Interest,16 Dec 2023,,True,
Poor Things,10 Dec 2023,★★★,True,
The Sweet East,07 Dec 2023,★★★½,True,
May December,04 Dec 2023,★★★★,True,
Godzilla Minus One,02 Dec 2023,★★★,True,
Monster,30 Nov 2023,★★★½,True,
The Boy and the Heron,26 Nov 2023,,True,i watched y'all copy how i sound bitch y'all some parakeets
Peppermint Candy,26 Nov 2023,★★★½,True,
Christiane F.,25 Nov 2023,★★★,True,my mama think she made me great i think it's the drugs
A Dog's Will,23 Nov 2023,★★★,True,
Fallen Leaves,19 Nov 2023,★★★,True,
The Killer,15 Nov 2023,★★★,True,
Anatomy of a Fall,05 Nov 2023,★★★★,True,
Killers of the Flower Moon,20 Oct 2023,,True,
The Rat Catcher,05 Oct 2023,,False,
Poison,05 Oct 2023,,True,
The Swan,04 Oct 2023,,True,
The Wonderful Story of Henry Sugar,04 Oct 2023,,True,
Sorcerer,17 Sep 2023,★★★★,True,
Bottoms,13 Sep 2023,★★★,True,
Spinners and Losers,09 Sep 2023,,True,
The Rise of the Nutters,09 Sep 2023,,True,
My Night at Maud's,23 Aug 2023,,True,
The Green Ray,20 Aug 2023,,True,
A Summer's Tale,18 Aug 2023,★★★★,True,
Eternal Sunshine of the Spotless Mind,18 Aug 2023,,True,
Twin Peaks: The Missing Pieces,17 Aug 2023,,True,
F for Fake,16 Aug 2023,,True,
Antichrist,14 Aug 2023,★★★½,True,
Tenet,12 Aug 2023,,True,
Dunkirk,10 Aug 2023,,True,
Contempt,09 Aug 2023,,True,
The Godfather,06 Aug 2023,★★★★★,True,
Baraka,03 Aug 2023,,True,
Little Women,30 Jul 2023,★★★★,True,
How to Blow Up a Pipeline,30 Jul 2023,,True,
Barbie,29 Jul 2023,,True,
Mean Streets,26 Jul 2023,★★★★,True,
Ghost in the Shell,24 Jul 2023,,True,
Oppenheimer,22 Jul 2023,,True,
Mulholland Drive,22 Jul 2023,★★★★★,True,just forget you ever saw it. it’s better that way
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,,True,
Fallen Angels,09 Jul 2023,★★★★★,True,
Nefarious,27 Jun 2023,½,False,
Asteroid City,27 Jun 2023,,True,
Ikiru,27 Jun 2023,,True,
Se7en,20 Jun 2023,,True,
Early Summer,18 Jun 2023,,True,
R.M.N.,16 Jun 2023,,True,
Spider-Man: Across the Spider-Verse,16 Jun 2023,,True,
Spider-Man: Into the Spider-Verse,11 Jun 2023,,True,
Burn After Reading,06 Jun 2023,,True,
Winchester '73,30 May 2023,,True,
Nana,29 May 2023,,True,
Master Gardener,19 May 2023,★★★,True,
The Wicker Man,16 May 2023,,True,
Down by Law,15 May 2023,,True,
All the Way,14 May 2023,,False,
The Tale of Zatoichi,12 May 2023,,True,
Rouge,11 May 2023,,True,
Mulholland Drive,08 May 2023,★★★★★,True,just forget you ever saw it. it’s better that way
Rear Window,06 May 2023,,True,
Escape from New York,29 Apr 2023,,True,
The Color of Money,28 Apr 2023,,True,
Dune,23 Apr 2023,,True,
Beau Is Afraid,21 Apr 2023,★★½,False,
Au Hasard Balthazar,17 Apr 2023,,True,
As Tears Go By,16 Apr 2023,★★★½,True,
Dune,15 Apr 2023,★★★,True,
Mission: Impossible,11 Apr 2023,,True,
Memento,09 Apr 2023,,True,
The Long Good Friday,08 Apr 2023,★★★½,True,
John Wick: Chapter 4,06 Apr 2023,,True,
John Wick: Chapter 3 – Parabellum,05 Apr 2023,,True,
John Wick: Chapter 2,04 Apr 2023,,True,
John Wick,03 Apr 2023,,True,
Rebels of the Neon God,02 Apr 2023,,True,
"Police, Adjective",02 Apr 2023,★★★½,True,
Body Double,01 Apr 2023,,True,
Dressed to Kill,01 Apr 2023,★★★★,True,
Zodiac,31 Mar 2023,,True,
Melancholia,30 Mar 2023,★★★★,True,
Mahjong,26 Mar 2023,,True,
Scarface,26 Mar 2023,,True,
King of New York,26 Mar 2023,,True,
The Gospel According to St. Matthew,19 Mar 2023,,True,
Ergo Proxy,22 Feb 2023,,True,
Missing,10 Feb 2023,★★,False,
Nostalgia,09 Feb 2023,,True,
City of God,06 Feb 2023,,True,
Mishima: A Life in Four Chapters,05 Feb 2023,,True,
Blue Collar,05 Feb 2023,★★★★,True,
The Card Counter,04 Feb 2023,,True,
Knock at the Cabin,04 Feb 2023,★★★,True,
Spirited Away,31 Jan 2023,,True,
My Neighbor Totoro,30 Jan 2023,,True,
The Death of Mr. Lazarescu,29 Jan 2023,★★★½,True,
Jujutsu Kaisen 0,28 Jan 2023,,True,
"I Was Born, But...",28 Jan 2023,,True,
Lost Highway,25 Jan 2023,,True,
Terrorizers,24 Jan 2023,,True,
Skinamarink,23 Jan 2023,★★★,True,
M3GAN,22 Jan 2023,★★,False,
The Kiss of Death,21 Jan 2023,★★★,True,
Harlan County U.S.A.,21 Jan 2023,★★★½,True,
Primary,20 Jan 2023,★★★,True,
Nuts in May,20 Jan 2023,★★★½,True,
