Movie,Date Watched,Rating,Liked,Review
Barbarian,14 Jan 2024,★★★★,True,so pussy slay the short stay housing rental market
South ParQ Vaccination Special,12 Jan 2024,,False,
South Park: The Pandemic Special,12 Jan 2024,,False,
The Incredibles,01 Jan 2024,★★★★★,True,
Zootopia,01 Jan 2024,★★★½,False,
Hercules,01 Jan 2024,★★★★,True,
Saltburn,30 Dec 2023,★★,False,dj play hot mess by shamir
Star Wars: The Last Jedi,24 Dec 2023,★★★★★,True,Merry Christmas Eve Day!!!!!! I want a porg tattoo!!
Aquaman and the Lost Kingdom,23 Dec 2023,★½,False,james wan direct an original horror filmé again challenge!!!!!!
The Iron Claw,21 Dec 2023,★★★★,True,boy virgin suicides
A Murder at the End of the World,19 Dec 2023,★★★★,True,
Poor Things,16 Dec 2023,★★★★★,True,she’s just like me fr
Wonka,15 Dec 2023,★★,False,lost two stars for the fatphobic “gag”why didn’t they market this as a musical???
Wish,12 Dec 2023,★★,False,we use to be a proper country with real disney songs
The Boy and the Heron,08 Dec 2023,★★★★★,True,
How the Grinch Stole Christmas,02 Dec 2023,★★★★,True,wow this shit is lit
The Hunger Games: The Ballad of Songbirds & Snakes,01 Dec 2023,★★★,True,
May December,01 Dec 2023,★★★★★,True,"If you told me Charles Melton would be the first riverdale cast member to be nominated for an Oscar, I’d say “who?”"
Gone Girl,11 Nov 2023,★★★★★,True,"WHERE IS YOUR WIFE, NICK!"
Anatomy of a Fall,10 Nov 2023,★★★★★,True,did she do it? maybe. but she is guilty of serving cunt!!!!! sandra hüller is incredible!!!!!!!!
Little Shop of Horrors,31 Oct 2023,★★★★,True,
The Killer,31 Oct 2023,★★★★½,True,
In the Mouth of Madness,30 Oct 2023,★★★★,True,
The Big Shave,28 Oct 2023,,True,
Five Nights at Freddy's,28 Oct 2023,★★,False,
Dicks: The Musical,26 Oct 2023,★★★★,True,
Haunted Mansion,24 Oct 2023,★★,False,
The Seventh Seal,24 Oct 2023,★★★★,True,
Killers of the Flower Moon,23 Oct 2023,★★★★★,True,
The Creator,17 Oct 2023,★★★,False,
Once Upon a Studio,16 Oct 2023,,True,
Beetlejuice,13 Oct 2023,★★★★½,True,
Addams Family Values,08 Oct 2023,★★★★½,True,
The Addams Family,08 Oct 2023,★★★★,True,
Poison,02 Oct 2023,,False,
The Rat Catcher,02 Oct 2023,,False,
The Swan,02 Oct 2023,,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★,False,
No One Will Save You,24 Sep 2023,★★★★,True,
Theater Camp,19 Sep 2023,★★★★,True,
Se7en,18 Sep 2023,★★★★½,True,
Porco Rosso,17 Sep 2023,★★★★,True,
Suspiria,14 Sep 2023,★★★★½,True,
Bottoms,08 Sep 2023,★★★★★,True,
The Faculty,07 Sep 2023,★★★½,True,
Bottoms,04 Sep 2023,★★★★★,True,
To Die For,26 Aug 2023,★★★★,True,
The Fisher King,26 Aug 2023,★★★★½,True,
The Eight Mountains,24 Aug 2023,★★★★,True,
"Red, White & Royal Blue",15 Aug 2023,★½,False,
Desperately Seeking Susan,11 Aug 2023,★★★★,True,
Barb & Star Go to Vista Del Mar,06 Aug 2023,★★★★★,True,
Talk to Me,02 Aug 2023,★★★★,True,
Barbie,26 Jul 2023,★★★★★,True,
Totally Fucked Up,25 Jul 2023,★★★★,True,
The Meg,25 Jul 2023,★★,False,
13 Going on 30,23 Jul 2023,★★★★★,True,
Game Night,22 Jul 2023,★★★★,True,
Oppenheimer,21 Jul 2023,★★,False,
Singin' in the Rain,20 Jul 2023,★★★★★,True,
Barbie,19 Jul 2023,★★★★★,True,
Gentlemen Prefer Blondes,18 Jul 2023,★★★★★,True,
The Odd Couple,17 Jul 2023,★★★★,True,
Joy Ride,13 Jul 2023,★★★½,True,
Indiana Jones and the Temple of Doom,06 Jul 2023,,False,
Nimona,03 Jul 2023,★★★½,True,
No Hard Feelings,29 Jun 2023,★★★½,True,
Asteroid City,23 Jun 2023,★★★★½,True,
Past Lives,22 Jun 2023,★★★★★,True,
The Mitchells vs. The Machines,19 Jun 2023,★★★★★,True,
The Flash,16 Jun 2023,★½,False,
Art and Pep,11 Jun 2023,★★★★★,True,
Lynch/Oz,09 Jun 2023,★★★★,True,
Sanctuary,07 Jun 2023,★★★★,True,
Cabaret,05 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★★,True,
You Hurt My Feelings,26 May 2023,★★★★,True,
The Little Mermaid,26 May 2023,★★½,False,
"Are You There God? It's Me, Margaret.",23 May 2023,★★★★,True,
Monica,20 May 2023,★★★★★,True,
Master Gardener,19 May 2023,★★★★,True,
Evil Dead Rise,11 May 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,05 May 2023,★★★½,False,
Return of the Jedi,03 May 2023,★★★★,False,
Showing Up,22 Apr 2023,★★★★★,True,
Beau Is Afraid,22 Apr 2023,★★★★½,True,
Mafia Mamma,17 Apr 2023,★★★★,True,
Renfield,14 Apr 2023,★★★,False,
The Super Mario Bros. Movie,05 Apr 2023,★★★★,True,
Dungeons & Dragons: Honor Among Thieves,31 Mar 2023,★★★½,False,
Juno,25 Mar 2023,★★★★★,True,
John Wick: Chapter 4,24 Mar 2023,★★★★★,True,
The Batman,18 Mar 2023,★★★★,True,
Shazam! Fury of the Gods,17 Mar 2023,★½,False,
The Lost City,16 Mar 2023,★★★,True,
65,13 Mar 2023,★★★,True,
The Menu,13 Mar 2023,★★★★,True,
Scream VI,10 Mar 2023,★★★½,True,
Everything Everywhere All at Once,05 Mar 2023,★★★★★,True,
Triangle of Sadness,05 Mar 2023,★★★★,True,
The Intern,05 Mar 2023,★★★★,True,
Emily,27 Feb 2023,★★½,False,
The First Wives Club,25 Feb 2023,★★★★,True,
Cocaine Bear,24 Feb 2023,★★★★,True,
Antlers,19 Feb 2023,★★½,False,
Of an Age,18 Feb 2023,★★★½,True,
Ant-Man and the Wasp: Quantumania,17 Feb 2023,★½,False,
Sky Captain and the World of Tomorrow,05 Feb 2023,★★★½,True,
Knock at the Cabin,04 Feb 2023,★★★,False,
Infinity Pool,27 Jan 2023,★★★½,True,
"Hello, Dolly!",24 Jan 2023,★★★★,True,
Puss in Boots: The Last Wish,24 Jan 2023,★★★★,True,
Clue,23 Jan 2023,★★★★★,True,
The Best Little Whorehouse in Texas,19 Jan 2023,★★★½,True,
Finding Nemo,15 Jan 2023,★★★★★,True,
