Movie,Date Watched,Rating,Liked,Review
Godzilla Minus One,07 Jan 2024,,True,
Anatomy of a Fall,05 Jan 2024,,True,Husband: I want my time backWife: You’ve wasted all of your timeMe: I’m not getting older… time is just an illusion…
Diary of a Country Priest,31 Dec 2023,★★★★½,True,"What a remarkably dull, difficult and dreary world that we live in! "
American Fiction,28 Dec 2023,,False,"Not a perfect movie, but I feel grateful and excited that projects like this are being funded!"
The Zone of Interest,27 Dec 2023,,True,
Fallen Leaves,17 Dec 2023,,True,
O.J.: Made in America,11 Dec 2023,★★★★★,True,
Anselm,09 Dec 2023,,False,
American Symphony,07 Dec 2023,,False,
Living,01 Dec 2023,,False,
The Boy and the Heron,26 Nov 2023,,True,
Dream Scenario,24 Nov 2023,,False,
Parasite,23 Nov 2023,★★★★★,True,
The Tree of Life,12 Nov 2023,,True,
Nausicaä of the Valley of the Wind,19 Oct 2023,,True,
Janet Planet,09 Oct 2023,,True,I’m just very grateful right now :)
Rustin,03 Sep 2023,,False,
Wildcat,03 Sep 2023,,False,
Anatomy of a Fall,02 Sep 2023,,True,Husband: I want my time backWife: You’ve wasted all of your timeMe: I’m not getting older… time is just an illusion…
The Zone of Interest,01 Sep 2023,,True,
Saltburn,01 Sep 2023,,False,
Janet Planet,01 Sep 2023,,True,I’m just very grateful right now :)
The Bikeriders,31 Aug 2023,,False,
The Holdovers,31 Aug 2023,,True,big comeback for Alexander Payne
Poor Things,30 Aug 2023,,True,a blast
Under the Skin,27 Aug 2023,,True,
Barbie,06 Aug 2023,,True,banger
Still Walking,30 Jul 2023,★★★★½,True,Absolutely delightful and I will cry for the rest of the day now.
Aftersun,23 Jul 2023,★★★★★,True,
Barbie,23 Jul 2023,,True,banger
Oppenheimer,22 Jul 2023,,True,
La Chimera,16 Jul 2023,,True,!!!!! 😛🤫
Paddington 2,09 Jul 2023,,True,this movie basically cures depression
Life Is Sweet,02 Jul 2023,,True,
The Straight Story,24 Jun 2023,★★★★★,True,
Zero Dark Thirty,19 Jun 2023,,False,
The Secret of Roan Inish,15 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,10 Jun 2023,,True,
Lefty/Righty,10 Jun 2023,,False,
Chuj Boys of Summer,10 Jun 2023,,True,
Maestro,17 May 2023,,True,
Far from Heaven,16 May 2023,★★★★½,True,
In America,05 May 2023,,False,
Beau Is Afraid,30 Apr 2023,,True,
Black Swan,24 Apr 2023,,False,
Munich,21 Apr 2023,★★★★½,True,
Air,20 Apr 2023,,False,
Beau Is Afraid,17 Apr 2023,,True,
The Last Temptation of Christ,17 Apr 2023,,True,
Showing Up,09 Apr 2023,★★★★★,True,
Showing Up,07 Apr 2023,★★★★,True,
One Fine Morning,02 Apr 2023,,True,
Earth Mama,30 Mar 2023,,True,
The Quiet Girl,11 Mar 2023,,True,
Full Metal Jacket,03 Mar 2023,,False,
Kate Berlant: Cinnamon in the Wind,25 Feb 2023,,True,
The Banshees of Inisherin,01 Jan 2023,,True,
Babylon,28 Dec 2022,,True,
Love Actually,25 Dec 2022,,False,
"Paris, Texas",19 Dec 2022,★★★★★,False,
The Clock,13 Dec 2022,,True,
On the Waterfront,12 Dec 2022,★★★★½,False,
The Eternal Daughter,06 Dec 2022,,True,
All the Beauty and the Bloodshed,04 Dec 2022,,True,
Guillermo del Toro's Pinocchio,03 Dec 2022,,True,
The Fabelmans,13 Nov 2022,,True,
Aftersun,05 Nov 2022,★★★★★,True,
Decision to Leave,29 Oct 2022,,True,
Armageddon Time,28 Oct 2022,,False,
Dave Chappelle's Block Party,26 Oct 2022,,True,
American Hustle,25 Oct 2022,,False,
The Squid and the Whale,24 Oct 2022,,True,
Amsterdam,22 Oct 2022,,False,
Triangle of Sadness,15 Oct 2022,,False,
TÁR,15 Oct 2022,★★★★★,True,
She Said,13 Oct 2022,,False,
All the Beauty and the Bloodshed,07 Oct 2022,,True,
Stars at Noon,02 Oct 2022,,False,
White Noise,30 Sep 2022,,True,
Marcel the Shell with Shoes On,29 Sep 2022,,True,
Don't Worry Darling,27 Sep 2022,,False,
TÁR,31 Aug 2022,,True,
The Gray Man,17 Jul 2022,★½,False,
Charade,04 Jul 2022,,True,
Memoria,17 May 2022,,True,
West Side Story,12 May 2022,★★★★,True,
Everything Everywhere All at Once,29 Apr 2022,,True,
The Northman,27 Apr 2022,,False,
Everything Everywhere All at Once,12 Apr 2022,,True,
20th Century Women,10 Apr 2022,,True,
Joan Didion: The Center Will Not Hold,08 Apr 2022,,True,
Schindler's List,08 Apr 2022,,True,
Jerrod Carmichael: Rothaniel,04 Apr 2022,,True,
Lady Bird,29 Mar 2022,★★★★★,False,
The Piano,27 Mar 2022,★★★★★,True,
Scream,26 Mar 2022,,True,
Jackass Forever,26 Mar 2022,★★★½,False,
The Batman,24 Mar 2022,,False,
The Boondock Saints,15 Mar 2022,,False,
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",09 Mar 2022,★★★★★,False,
Procession,07 Mar 2022,,True,
Swingers,05 Mar 2022,,False,
Broadcast News,03 Mar 2022,,True,
Beasts of the Southern Wild,28 Feb 2022,,True,
Drive My Car,26 Feb 2022,,True,
Spirited Away,15 Feb 2022,,True,
The Worst Person in the World,05 Feb 2022,★★★★★,True,
Little Women,29 Jan 2022,★★★★★,False,
Over the Garden Wall,29 Jan 2022,,True,
Spider-Man: No Way Home,08 Jan 2022,,False,
Harry Potter 20th Anniversary: Return to Hogwarts,03 Jan 2022,,False,
C'mon C'mon,21 Dec 2021,,True,
Red Rocket,13 Dec 2021,,True,
West Side Story,10 Dec 2021,★★★★,True,
The Power of the Dog,07 Dec 2021,★★★★½,False,
Licorice Pizza,04 Dec 2021,,True,
The Souvenir: Part II,17 Nov 2021,,True,
Dune,22 Oct 2021,,True,
No Time to Die,20 Oct 2021,,False,
The Tragedy of Macbeth,09 Oct 2021,,True,
Parallel Mothers,09 Oct 2021,,True,
The Card Counter,02 Oct 2021,★★½,False,
Sound of Metal,08 Apr 2021,,True,
Promising Young Woman,11 Feb 2021,,True,
Hunt for the Wilderpeople,02 Jan 2021,★★★★,False,
America to Me,03 Nov 2020,★★★★½,False,
Minari,15 Oct 2020,★★★★½,False,
No Country for Old Men,01 Sep 2020,★★★★★,False,
Before Sunrise,27 Aug 2020,★★★★½,False,
Shakespeare in Love,20 Aug 2020,★★★½,False,
Mad Max: Fury Road,26 Jul 2020,★★★★★,False,
Watchmen,24 May 2020,,True,
Days of Heaven,16 Nov 2019,★★★★½,False,
Beanpole,09 Oct 2019,★★★★,False,
Parasite,24 Sep 2019,★★★★★,True,
Amazing Grace,21 Sep 2019,★★★★,False,
Between Two Ferns: The Movie,21 Sep 2019,★,False,
Can You Ever Forgive Me?,17 Sep 2019,★★★★½,False,
