Movie,Date Watched,Rating,Liked,Review
Scarface,29 Dec 2023,,False,
The Covenant,29 Dec 2023,,False,
Saving Private Ryan,27 Dec 2023,,False,
Love Actually,26 Dec 2023,,False,
Quiz Lady,26 Dec 2023,,False,
No Hard Feelings,26 Dec 2023,,False,
Theater Camp,24 Dec 2023,,False,
Saltburn,24 Dec 2023,,False,
Maestro,23 Dec 2023,★★★★,False,
Gran Turismo,23 Dec 2023,,False,
May December,14 Dec 2023,,False,
Dream Scenario,30 Nov 2023,★★★½,False,
The Killer,26 Nov 2023,★★★½,False,
Fingernails,03 Nov 2023,★★★,False,
Priscilla,01 Nov 2023,,False,
Love at First Sight,19 Sep 2023,,False,
Collateral,16 Sep 2023,★★★½,False,
Bottoms,02 Sep 2023,★★★,False,Shout out Wesleyan
BS High,25 Aug 2023,,True,
Valkyrie,13 Aug 2023,★★,False,
The Silence of the Lambs,13 Aug 2023,★★★★,False,
The Outsiders,29 Jul 2023,,False,
Oppenheimer,21 Jul 2023,★★★★,False,
Barbie,20 Jul 2023,★★½,False,Why’s the cast of Sex Education in a Chevy commercial?
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,,False,
Past Lives,01 Jul 2023,★★★,False,
Spider-Man: Across the Spider-Verse,01 Jul 2023,★★★★,False,
The Super Mario Bros. Movie,12 Apr 2023,,False,
Air,29 Mar 2023,,True,
A Thousand and One,22 Mar 2023,,False,
John Wick: Chapter 4,20 Mar 2023,,True,
Scream VI,20 Mar 2023,,False,
Creed III,05 Mar 2023,★★½,False,
Sharper,21 Feb 2023,★★½,False,
Fair Play,24 Jan 2023,★★★★,False,
The Redeem Team,01 Jan 2023,,False,
Glass Onion,01 Jan 2023,★★★,False,
Notting Hill,30 Dec 2022,,True,
Something from Tiffany's,30 Dec 2022,,False,
Retrograde,15 Dec 2022,,True,
The Good Nurse,27 Nov 2022,★★★½,False,
Margin Call,27 Nov 2022,★★★½,False,
Free Guy,26 Nov 2022,★★★★,False,
"I Love You, Man",26 Nov 2022,★★★,False,
The Menu,21 Nov 2022,,True,
The Banshees of Inisherin,13 Nov 2022,★★★,False,
Bruiser,10 Nov 2022,,True,
The Blue Caftan,09 Nov 2022,★★★½,False,I really want a tangerine
Dirty Dancing,06 Nov 2022,★★★½,False,
Nope,06 Nov 2022,★★★,False,
Aftersun,23 Oct 2022,★★★★,False,
When Harry Met Sally...,09 Oct 2022,★★★★,False,
Sleepless in Seattle,06 Oct 2022,★★★,False,My friend Ari said this movie was a banger and boy was he right
Barbarian,23 Sep 2022,★★★½,False,Never going to an Airbnb again
Whiplash,09 Sep 2022,★★★★★,False,
You've Got Mail,02 Sep 2022,★★★★,False,I<3NY
