Movie,Date Watched,Rating,Liked,Review
Mean Girls,14 Jan 2024,★★★,True,renee rapp is the hottest bitch alive and she knows it
Poor Things,13 Jan 2024,★★★★½,True,more movies where mark ruffalo gets to be the whiniest little loser guy!!!
All of Us Strangers,05 Jan 2024,★★★★,True,I will never be free of the chokehold Andrew Scott has on me and I am ok with that
Saltburn,29 Dec 2023,★★★★,True,new favorite use of a song in any movie goes to murder on the dance floor
The Boy and the Heron,24 Dec 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,02 Dec 2023,★★★½,True,never trust a man with a buzzcut
Coraline,25 Oct 2023,★★★★★,True,shes still perfect just like every time I rewatch
Halloweentown,20 Oct 2023,★★★,False,idk how I had never seen this before but so cute and goofy
Taylor Swift: The Eras Tour,14 Oct 2023,★★★★,True,I’m removing a star like she removed long live from the movie
Bottoms,07 Sep 2023,★★★★,True,no one has ever had more fun than nicholas galitzine did making this movie
The Umbrellas of Cherbourg,02 Sep 2023,★★★★★,True,
"Red, White & Royal Blue",14 Aug 2023,★★★,True,it’s a crime that uma Thurman was not allowed to give the most iconic PowerPoint presentation of all time
Theater Camp,30 Jul 2023,★★★★½,True,"I actually have not laughed so hard in a long time, 10/10 no notes"
Barbie,22 Jul 2023,★★★★★,True,this movie just solidified the fact that I will forever worship the ground Greta gerwig walks on
Oppenheimer,22 Jul 2023,★★★★,False,
Memories of Murder,18 Jul 2023,★★★½,False,
The Little Mermaid,17 Jul 2023,★★★,True,
Nimona,07 Jul 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,06 Jul 2023,★★★½,True,
Hanna,17 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,08 Jun 2023,★★★★★,True,
She Said,30 May 2023,★★★½,True,
The Fabelmans,29 May 2023,★★★,False,
Broker,29 May 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,13 May 2023,★★★½,True,
Dungeons & Dragons: Honor Among Thieves,26 Apr 2023,★★★,False,
Murder Mystery 2,05 Apr 2023,★★★,False,
John Wick: Chapter 4,29 Mar 2023,★★★,False,
John Wick,27 Mar 2023,★★★½,True,
