Movie,Date Watched,Rating,Liked,Review
Cameraperson,08 Feb 2017,★★★★★,False,
Lion,30 Dec 2016,★★★½,False,
Harry Potter and the Half-Blood Prince,30 Dec 2016,★★★½,False,
Trainspotting,29 Dec 2016,★★★★,False,
Strictly Ballroom,28 Dec 2016,★★★½,False,
Three Colours: Red,28 Dec 2016,★★★★½,False,
Three Colours: White,27 Dec 2016,★★★½,False,
Toni Erdmann,26 Dec 2016,★★★,False,
Nine Queens,26 Dec 2016,★★★½,False,
The Thin Man,25 Dec 2016,★★★★,False,
La La Land,25 Dec 2016,★★★★★,False,
Gaslight,24 Dec 2016,★★★★,False,
Harry Potter and the Order of the Phoenix,24 Dec 2016,★★★,False,
Passengers,23 Dec 2016,★★½,False,
Sing Street,22 Dec 2016,★★★★,False,
To Be or Not to Be,21 Dec 2016,★★★★,False,
The Young Girls of Rochefort,20 Dec 2016,★★★★½,False,
Rogue One: A Star Wars Story,19 Dec 2016,★★★,False,
Breaking the Waves,18 Dec 2016,★★★★½,False,
Midnight Special,18 Dec 2016,★★★★,False,
The Gold Rush,17 Dec 2016,★★★★½,False,
The Player,16 Dec 2016,★★★½,False,
Eat Drink Man Woman,16 Dec 2016,★★★★½,False,
O.J.: Made in America,10 Dec 2016,★★★★★,False,
Ninotchka,10 Dec 2016,★★★★½,False,
The Shining,09 Dec 2016,★★★★½,False,
Fire at Sea,08 Dec 2016,★★½,False,
Gravity,08 Dec 2016,★★★★,False,
Get a Horse!,08 Dec 2016,,False,
The Umbrellas of Cherbourg,07 Dec 2016,★★★★½,False,
Around Is Around,06 Dec 2016,,False,
La luna,06 Dec 2016,,False,
Cairo Station,05 Dec 2016,★★★,False,
Beauty and the Beast,03 Dec 2016,,False,
Wadjda,03 Dec 2016,★★★★½,False,
Life of Pi,01 Dec 2016,★★★★,False,
The Mermaid,30 Nov 2016,★★★,False,
Breathless,30 Nov 2016,★★★★,False,
Jackie,29 Nov 2016,★★★★★,False,
Hugo,29 Nov 2016,★★★½,False,
Awaara,28 Nov 2016,★★★★,False,
Money Monster,25 Nov 2016,★★★,False,
Weiner,25 Nov 2016,★★★★,False,
The Edge of Seventeen,25 Nov 2016,★★★★,False,
Moana,23 Nov 2016,★★★★,False,
Coraline,22 Nov 2016,★★★★,False,
Bicycle Thieves,21 Nov 2016,★★★★★,False,
