Movie,Date Watched,Rating,Liked,Review
House,13 Jan 2024,★★★★★,True,Just inject this shit into my veins please
All of Us Strangers,08 Jan 2024,★★★★½,True,"Even if the ending lost me slightly, felt like 95% of this was some of the most emotional potent and mesmerizing filmmaking I’ve seen in a bit. Left it feeling lighter."
American Fiction,01 Jan 2024,★★★★,False,
Anyone But You,29 Dec 2023,★★½,False,Glen Powell needs a hot girl euphoria role
The Iron Claw,25 Dec 2023,★★★★,False,More like “the sad claw” cuz of what happens in the film
The Holdovers,23 Dec 2023,★★★★,False,Big winter hug movie with more than enough nuance to make the classic Christmas curmudgeon story taste new enough and warm ya tummy :)
Saltburn,20 Dec 2023,★★★,False,Love it whenever a director realizes they can probably make Barry Keoghan do any weird thing on screen that they want
Inherent Vice,19 Dec 2023,★★★★,False,Watching this high is like trying to build a puzzle with no edge pieces
Fallen Leaves,18 Dec 2023,★★★½,False,There were way too many zombies
Poor Things,18 Dec 2023,★★★★½,True,No one’s showing people getting goat-brained like Yorgos.
The Hunger Games: The Ballad of Songbirds & Snakes,06 Dec 2023,★★★,False,Lotta anus names
Pig,02 Dec 2023,★★★★★,True,Idk if this is stupid or not but I kinda have no notes at all for this movie I love pretty much everything about it
Dream Scenario,01 Dec 2023,★★★★½,True,
Five Nights at Freddy's,26 Nov 2023,★½,False,
65,17 Nov 2023,★½,False,Literally a time
Only Lovers Left Alive,05 Nov 2023,★★★★½,False,
When Evil Lurks,31 Oct 2023,★★★,False,
Killers of the Flower Moon,27 Oct 2023,★★★★½,False,
Cassandro,12 Oct 2023,★★★,False,
White God,05 Oct 2023,★★★★,True,
The Great Silence,27 Sep 2023,★★★★½,False,
Moonstruck,20 Sep 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,10 Sep 2023,★★★½,False,
Bottoms,06 Sep 2023,★★★★,False,
Oldboy,27 Aug 2023,★★★★½,True,
Paranoia Agent,26 Aug 2023,★★★★★,True,
Jennifer's Body,08 Aug 2023,★★★½,False,
Asteroid City,04 Aug 2023,★★½,False,
Talk to Me,03 Aug 2023,★★★★,True,
Oppenheimer,01 Aug 2023,★★★★,False,
Barbie,27 Jul 2023,★★★★,True,
Lethal Weapon,15 Jul 2023,★★★★,False,
Twilight,02 Jul 2023,★★,False,
Mystery Train,29 Jun 2023,★★★★½,True,
The Raid 2,25 Jun 2023,★★★★,True,
Sisu,26 May 2023,★★★½,False,
The Wolf House,22 May 2023,★★★★½,True,
Audition,14 May 2023,★★★★,False,
How to Blow Up a Pipeline,09 May 2023,★★★★,False,
Unicorn Wars,29 Apr 2023,★★,False,
Women on the Verge of a Nervous Breakdown,28 Apr 2023,★★★★½,True,
Beau Is Afraid,24 Apr 2023,★★★½,True,
Ip Man,20 Apr 2023,★★★½,False,
Enys Men,11 Apr 2023,★★★★,False,
Speed,10 Apr 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,07 Apr 2023,★★★½,False,
M3GAN,04 Apr 2023,,False,
Knock at the Cabin,03 Apr 2023,★★,False,
Lady Snowblood,27 Mar 2023,★★★★½,False,
John Wick: Chapter 4,25 Mar 2023,★★★★½,True,
Cocaine Bear,20 Mar 2023,★★★,False,
RRR,17 Mar 2023,★★★★½,True,
2023 Oscar Nominated Shorts: Animation,13 Mar 2023,,True,
RoboCop,02 Mar 2023,★★★★½,True,
"Goodbye, Dragon Inn",20 Feb 2023,★★★★★,True,
On-Gaku: Our Sound,18 Feb 2023,★★★★★,True,
Shaolin Soccer,17 Feb 2023,★★★★,False,
Mad God,14 Feb 2023,★★★★½,True,
Puss in Boots: The Last Wish,14 Feb 2023,★★★★½,True,
Infinity Pool,09 Feb 2023,★★★,False,
Nosferatu the Vampyre,28 Jan 2023,★★★½,False,
Skinamarink,26 Jan 2023,★★★½,False,
The Shining,17 Jan 2023,★★★★★,True,
Guillermo del Toro's Pinocchio,14 Jan 2023,★★★★,False,
M3GAN,11 Jan 2023,★★★★,False,
Force Majeure,01 Jan 2023,★★★★½,True,
21 Jump Street,31 Dec 2022,,False,
Hardcore Henry,30 Dec 2022,★,False,
The Banshees of Inisherin,27 Dec 2022,★★★★★,True,
Ocean's Eight,22 Dec 2022,,False,
Uncharted,22 Dec 2022,,False,
Jungle Cruise,22 Dec 2022,,False,
The Menu,20 Dec 2022,★★★½,False,
TÁR,19 Dec 2022,★★★★½,False,
Songs from the Second Floor,11 Dec 2022,★★★★★,True,
Cure,30 Nov 2022,★★★★½,True,
Weird: The Al Yankovic Story,28 Nov 2022,★★★★,True,
Glass Onion,27 Nov 2022,★★★★,True,
Bones and All,26 Nov 2022,★★★★,True,
Triangle of Sadness,08 Nov 2022,★★★★½,True,
The Banshees of Inisherin,02 Nov 2022,★★★★½,True,
Decision to Leave,31 Oct 2022,★★★★,False,
See How They Run,30 Sep 2022,★★★,False,
Withnail & I,26 Sep 2022,★★★½,False,
Police Story,25 Sep 2022,★★★★½,True,
Moonage Daydream,25 Sep 2022,★★★★,False,
X,14 Sep 2022,★★★★,False,
Barbarian,12 Sep 2022,★★★★½,True,
House,01 Sep 2022,★★★★★,True,Just inject this shit into my veins please
Three Thousand Years of Longing,28 Aug 2022,★★½,False,
Last Night in Soho,27 Aug 2022,★★,False,
Bodies Bodies Bodies,12 Aug 2022,★★★★,False,
Bullet Train,09 Aug 2022,★★★,False,
Boogie Nights,31 Jul 2022,★★★★½,False,
Ghost Dog: The Way of the Samurai,31 Jul 2022,★★★★,False,
Nope,23 Jul 2022,★★★★½,False,
Thor: Love and Thunder,11 Jul 2022,★★,False,
"Hail, Caesar!",03 Jul 2022,★★★★,False,
Elvis,02 Jul 2022,★★★½,False,
CODA,30 Jun 2022,★★★★,False,
Everything Everywhere All at Once,29 Jun 2022,,True,
Doctor Strange in the Multiverse of Madness,22 Jun 2022,★★,False,
Brian and Charles,16 Jun 2022,★★★,False,
The Innocents,14 Jun 2022,★★★★,False,
Lamb,13 Jun 2022,★★★,False,
Jurassic World Dominion,12 Jun 2022,★½,False,
The Bob's Burgers Movie,11 Jun 2022,★★★½,False,
Top Gun: Maverick,04 Jun 2022,★★★★,False,
Everything Everywhere All at Once,20 May 2022,★★★★★,True,
The Unbearable Weight of Massive Talent,12 May 2022,★★★½,False,
"You, the Living",11 May 2022,★★★★½,False,
