Movie,Date Watched,Rating,Liked,Review
The Deepest Breath,08 Jan 2024,★★★,False,
Lady Macbeth,11 Dec 2023,★★★,False,idk really wanted to love it but the characters felt flat. Visually stunning and but could’ve had better character development.
Saltburn,03 Dec 2023,★★★★,False,
Killers of the Flower Moon,16 Nov 2023,★★★½,False,
"20,000 Species of Bees",03 Nov 2023,★★★★,False,the writting is 👏✨ felt like an immersive documentary so so good
Evil Does Not Exist,01 Nov 2023,★½,False,felt flat - it tried to say a lot with a little and 🫠
Guardians of the Formula,01 Nov 2023,★★★½,False,"Beautiful and important story, the young actors were great. missed out on defining the stakes/historical context but all in all great watch, recommend!"
Smoke Sauna Sisterhood,18 Oct 2023,★★★★,False,Beautiful and powerful
Past Lives,30 Sep 2023,★★★,False,"went in wanting to love it, but nora felt a bit distant in the end. Lots of conversations about love but in the end never felt connected to the inner world of the characters. beautiful shots tho!"
Barbie,06 Aug 2023,★★★★,False,"SO fun,  the set was 10/10, Ryan Gosling killed it, but the feminism was from 2005 🥲"
Oppenheimer,06 Aug 2023,★★★★½,False,1/2 star less cause it failed the bechdel test
Polite Society,25 Apr 2023,★★★½,False,super fun!
Bombay,08 Apr 2023,★★★½,False,
Last Night,02 Apr 2023,★★★½,False,
Return to Seoul,02 Apr 2023,★★★,False,a story of alienation that has some great moments but keeps the viewer at a distance so kind of lost me in the end
God's Creatures,02 Apr 2023,★★½,False,so much potential with the story/cast but just kinda falls flat emotionally. the eerie music tries to make up for lackluster script
The English,13 Mar 2023,★★★★,False,
Touki Bouki,22 Feb 2023,★★★★½,False,
Time of the Gypsies,22 Feb 2023,★★★★,False,
Elvis,21 Feb 2023,★★★,False,
Passing,22 Jan 2023,★★★★,False,
The Pale Blue Eye,18 Jan 2023,★★½,False,
Triangle of Sadness,07 Jan 2023,★★½,False,
Avatar: The Way of Water,21 Dec 2022,★★★★,False,visually SO beautiful- story was a bit lacking at points but would have easily sat through 6 hours of watching the visuals and the world they built
The Menu,24 Nov 2022,★★,False,
Aftersun,19 Nov 2022,★★★★½,False,
Decision to Leave,20 Oct 2022,★★★★,False,
Amsterdam,09 Oct 2022,★½,False,
Entergalactic,05 Oct 2022,★★★½,False,
Don't Worry Darling,22 Sep 2022,★★★,False,
Persuasion,19 Jul 2022,★½,False,
Reprise,13 Jun 2022,★★★★,False,
Everything Everywhere All at Once,29 May 2022,★★★★★,False,
No Time to Die,29 May 2022,★★★,False,
The Northman,28 Apr 2022,★★★½,False,
Happening,21 Apr 2022,★★★★,False,
White Hot: The Rise & Fall of Abercrombie & Fitch,19 Apr 2022,★½,False,
West Side Story,19 Apr 2022,★★,False,
The Worst Person in the World,17 Apr 2022,★★★★★,False,
Benedetta,13 Apr 2022,★★,False,
Brokeback Mountain,12 Apr 2022,★★★½,False,
The Batman,14 Mar 2022,★★★½,False,
Honeyland,04 Mar 2022,★★★★½,False,
14 Peaks: Nothing Is Impossible,03 Mar 2022,★★★,False,
Flee,20 Feb 2022,★★★★★,False,
The Tragedy of Macbeth,03 Feb 2022,★★★,False,
Don't Look Up,01 Feb 2022,★½,False,
The Hand of God,01 Feb 2022,★★★½,False,
House of Gucci,06 Jan 2022,★★★,False,
Beau Travail,13 Dec 2021,★★★★★,False,
Point Break,05 Dec 2021,★½,False,
Dune,03 Nov 2021,★★★★,False,
Squid Game,31 Oct 2021,★★★,False,
The French Dispatch,31 Oct 2021,★★★,False,
The Talented Mr. Ripley,28 Aug 2021,★★½,False,
Queen & Slim,28 Aug 2021,★★★,False,
In the Heights,27 Aug 2021,★★★½,False,
La Belle Époque,19 Jul 2021,,False,
Thelma & Louise,19 Jul 2021,★★★★½,False,
Breathless,19 Jul 2021,★★½,False,
Soul,19 Jul 2021,★★★½,False,
Underground,19 Jul 2021,★★★★½,False,
La Haine,28 May 2021,★★★★★,False,
Shoplifters,13 May 2021,★★★★½,False,
Forrest Gump,05 May 2021,★★★★,True,
Portrait of a Lady on Fire,05 May 2021,★★★★★,True,
Blade Runner 2049,05 May 2021,★★★★½,True,
The Godfather,05 May 2021,★★★★½,True,
Dunkirk,05 May 2021,★★★★,True,
Kill Bill: Vol. 1,05 May 2021,★★★★★,True,
Marriage Story,05 May 2021,★★★,False,
The Social Network,05 May 2021,★★★,False,
Moonlight,05 May 2021,★★★★★,True,
Django Unchained,05 May 2021,★★★★,True,
Call Me by Your Name,05 May 2021,★★★★,True,
1917,05 May 2021,★★★½,True,
Little Women,05 May 2021,★★★★,True,
Spirited Away,05 May 2021,★★★★½,True,
Mad Max: Fury Road,05 May 2021,★★★★,True,
Black Panther,05 May 2021,★★★,False,
The Wolf of Wall Street,05 May 2021,★★★★,True,
Whiplash,05 May 2021,★★★★½,True,
Inglourious Basterds,05 May 2021,★★★★½,False,
Her,05 May 2021,★★★½,False,
Baby Driver,05 May 2021,★★,False,
Interstellar,05 May 2021,★★★½,False,
The Grand Budapest Hotel,05 May 2021,★★★½,False,
La La Land,05 May 2021,★★★½,False,
The Dark Knight,05 May 2021,★★★½,False,
Fight Club,05 May 2021,★★★★★,False,
Once Upon a Time… in Hollywood,05 May 2021,★★★,False,
Lady Bird,05 May 2021,★★★,False,
Get Out,05 May 2021,★★★★★,False,
Inception,05 May 2021,★★★★½,False,
Pulp Fiction,05 May 2021,★★★★★,False,
Knives Out,05 May 2021,★★,False,
Joker,05 May 2021,★★★½,False,
Parasite,05 May 2021,★★★★,True,
Cold War,05 May 2021,★★★★,False,
Love Actually,05 May 2021,★★★½,False,

Followers
youssefhanna,johnnylindgren,spruill,xhayatyx,ghxostt,natekrieger,sar2143,melissalimonc,cahughte,joseystokes,augustusv,notapro192,imaximilian,lmetlicka

Following
johnnylindgren,xhayatyx,ghxostt,cahughte,melissalimonc,natekrieger,sar2143,silkee,joseystokes,lmetlicka,augustusv,notapro192,imaximilian
