Movie,Date Watched,Rating,Liked,Review
The Favourite,14 Jan 2024,★★★★,False,
The Dance of Two Left Feet,09 Jan 2024,★★★★,True," “Pag tumitingin ka ba sa babae, hinuhubaran mo ba siya ng tingin o binibihisan?”Where sensuality often comes tethered to sin, Ang Sayaw ng Dalawang Kaliwang Paa exists in a world where intimacy is pure. To touch is to meet eyes, to kiss is to long, and to have sex is to remember. How often do we come across a love that exists quietly yet is still so…there? — between the margins of the mundane, made alive by poetry and… "
Sleeping with Other People,06 Jan 2024,★★★★½,True,
And So We Put Goldfish in the Pool.,05 Jan 2024,★★★★½,True,
The Hows of Us,04 Jan 2024,★★★,False,
When I Met You In Tokyo,02 Jan 2024,★★,False,
Die Beautiful,28 Dec 2023,★★★½,False,
Saltburn,28 Dec 2023,★★★,False,
"Isa Pa, with Feelings",23 Dec 2023,★★★★,True,
Third World Romance,11 Dec 2023,★★★,False,
Divine Factory,19 Nov 2023,★★½,False,
Taylor Swift: The Eras Tour,04 Nov 2023,,False,
Impermanence Is Eternity,01 Nov 2023,,False,
A Very Good Girl,11 Oct 2023,★★★½,True,
Bottoms,01 Oct 2023,★★★★,True,
Mamma Mia!,24 Sep 2023,★★★★½,True,
The Pope's Exorcist,03 Sep 2023,★★,False,
Past Lives,31 Aug 2023,★★★★,True,
The Woman King,27 Aug 2023,★★★,False,
Barbie,25 Jul 2023,★★★½,False,
"I'm Drunk, I Love You",04 Jul 2023,★★★,False,
Moonlight,28 Jun 2023,★★★★½,True,
Elemental,27 Jun 2023,★★★½,True,gf crying made this movie for me HAHAHAHAHHA
Spider-Man: Across the Spider-Verse,05 Jun 2023,★★★★★,True,the five star rating may or may not have to do with the girl beside me who couldn’t stop staring at me the entire movie and told me the visuals were “pretty”
Guardians of the Galaxy Vol. 3,17 May 2023,★★★★,False,
Ang Cute Ng Ina Mo!,15 May 2023,★★★,False,
John Mulaney: Baby J,01 May 2023,★★★★,False,
John Wick: Chapter 4,30 Apr 2023,,False,
Cleaners,27 Apr 2023,★★★½,False,
House of Gucci,21 Apr 2023,★★,False,
BEEF,13 Apr 2023,★★★★½,True,
Nocebo,08 Apr 2023,★★★,False,
Hamilton,28 Mar 2023,★★★★★,True,naligo sa laway ni jonathan groff
D.E.B.S.,13 Mar 2023,★★★½,True,
Nick and Norah's Infinite Playlist,13 Mar 2023,★★½,False,
She's Gotta Have It,12 Mar 2023,★★★★,False,
Ten Little Mistresses,12 Mar 2023,,False,
Babylon,08 Mar 2023,★★★★½,False,
Something from Tiffany's,06 Mar 2023,,False,
An Inconvenient Love,25 Feb 2023,,False,
Kuch Kuch Hota Hai,25 Feb 2023,★★★,True,
I Do Bidoo Bidoo: Heto nApo sila!,25 Feb 2023,★★½,False,ANG SYOTA KONG BURGIS HAHAHAHAHA ANG BENTA
Think Like a Man,24 Feb 2023,½,False,
Stardust,19 Feb 2023,★★★★★,True,comfort movie forever!
Decision to Leave,16 Feb 2023,★★★★,True,
RRR,16 Feb 2023,★★★½,False,
Kabhi Khushi Kabhie Gham,05 Feb 2023,★★½,False,
A Beautiful Life,04 Feb 2023,★★★,False,
Triangle of Sadness,28 Jan 2023,★★★½,False,
Bodies Bodies Bodies,28 Jan 2023,★★★½,False,
Jab We Met,25 Jan 2023,★★★★,True,Aditya is a fucking cute man made for lesbians.
The Banshees of Inisherin,24 Jan 2023,★★★★½,True,"“It takes two to tango.”“I don’t want to tango.”“Well, you danced with your dog.”one of the funniest (arguably most Catholic) screenplays I’ve encountered recently!"
Sweet Home Alabama,21 Jan 2023,★½,False,
There's No End,11 Jan 2023,★★★★,True,"“The question of music or anything else…that gets ambiguous. But I still have to make three meals a day and put her to bed at a reasonable hour, no matter what — and that’s enough to fill the rest of my life.”"
Good Will Hunting,11 Jan 2023,★★★½,False,
While You Were Sleeping,10 Jan 2023,★★★,False,
The Royal Tenenbaums,09 Jan 2023,★★★★,True,
The Menu,08 Jan 2023,★★★,False,
