Movie,Date Watched,Rating,Liked,Review
Watch Your Left,15 Jan 2024,★★½,True,
"Seeing, Searching, Being: William Segal",15 Jan 2024,★★,False,
Not for Ourselves Alone: The Story of Elizabeth Cady Stanton & Susan B. Anthony,15 Jan 2024,★★★½,True,
Frank Lloyd Wright,15 Jan 2024,★★★,False,
Lewis & Clark - The Journey of the Corps of Discovery,15 Jan 2024,★★★,True,
Fun Sunday,14 Jan 2024,★★½,True,
Thomas Jefferson,14 Jan 2024,★★★,True,
Secret Invasion,12 Jan 2024,★½,False,
After Hours,12 Jan 2024,★★★★½,True,Eyes Wide Shut’s little brother.
The Book of Clarence,12 Jan 2024,★★½,False," A film as good looking as this one deserves more substance. Director Jeymes Samuel and DP Rob Hardy do an excellent job cultivating a stunning visual aesthetic beginning with the opening Ben-Hur inspired chariot race, and throughout I enjoyed the look of it all. I was especially fond of the frozen last supper scene and our main characters being stared down by the Roman legion. However, there’s about 30 different ideas floating around here, and by the end it all… "
Brute Wanted,11 Jan 2024,★★★,True,
Mean Girls,11 Jan 2024,½,False," When will there be a movie that contains an even slightly realistic depiction of the internet? It makes no sense to “update” this for Gen Z when, culturally, this story is unable to be located in the present day. The satire is de-fanged to the point where it is debatable whether it even still exists, which is the entire point of Mean Girls in the first place. They’re supposed to be mean for god’s sake, not “moderately unpleasant.” The revenge… "
Night Swim,09 Jan 2024,½,False,They called it Night Swim instead of Killer Pool because they knew some schmuck would buy a ticket thinking it was another Jaws ripoff. That schmuck was me.
Nickelodeon,08 Jan 2024,★★★★½,True," This has probably my favorite love theme ever. The ragtime piano that dominates the score slows as the heartbeat increases. The way Bogdanovich shoots and directs the scenes of intimacy here– longing glances, chance encounters, kisses, and near infidelities– calls to mind Nicholas Ray or Sirk, the greatest depicters of this phenomena we call love in classic Hollywood. Since my first watch of this film, I’ve fallen madly in love with the silent era and learned much about that time… "
Screwball Comedies... Remember Them?,07 Jan 2024,,True,
"What's Up, Doc?",07 Jan 2024,★★★★★,True,
Professor Goudet's Lessons,06 Jan 2024,,True,"Great primer on Tati. I’ve been sitting on this boxset for awhile, and now I feel excited to dive into his work. These “lessons” provide a strong sense of what to look for in his work, and there are some great insights from Wes Anderson and David Lynch as well. It’s always interesting to see my favorite artists talk about their own influences and how they think about them."
"Nogent, Eldorado du dimanche",06 Jan 2024,★★★,False,
Trolls,05 Jan 2024,★★½,True,
Zodiac,05 Jan 2024,★★★★½,True,
Rewind & Play,04 Jan 2024,★★★★,True," “It’s no secret is it?”“It’s not nice.”A similar documentary to Meeting The Man: James Baldwin in Paris. Both consist of a legendary Black artist being utterly disrespected by French TV interviewers. The Baldwin doc is remarkable because he becomes so fed up that he essentially commandeers the interview, tells the interviewer to go fuck himself, and says what he wants to. However, Baldwin was a virtuoso of words, not piano. Monk was incredibly shy, and, as we see… "
Baseball,03 Jan 2024,★★★★★,True,"Watched over the past month or so. Incredible. Probably the magnum opus of Burns’s career. I am so happy the decision was made to include the entirety of Curt Gibson’s at bat in the ‘87 World Series. Paired with a young Bob Costas’s commentary, I now have a new favorite moment in sports history."
The Super Mario Bros. Movie,03 Jan 2024,★,False,There wasn’t even a proper boss fight!
Poor Things,02 Jan 2024,★★,False," What Nik said about Barbie in relation to Little Women, I feel about this and The Favourite.I thought Saltburn was stupid as hell, but at least I enjoyed watching it. This was painful. Its “insights” are little more than lip-flapping, and it has a juvenile, if not outright regressive, portrayal of feminism. Her liberation is entirely tied to sexual liberation, and the film completely ignores the material conditions and exploitation that constitute sex work. Sex work is work, yes,… "
The Holdovers,01 Jan 2024,★★★★½,True,
When Harry Met Sally...,31 Dec 2023,★★★★★,True,Obviously.
Godzilla Minus One,30 Dec 2023,★★★,True,"Jawszilla. I guess the characters are cool, but this script was so cheesy. The final fight was solid, but that last scene was absolutely awful. The effects didn’t even look that great. It’s a mess politically, thematically– what’s with the hype?"
Ferrari,30 Dec 2023,★★★½,True,
Flying Padre,27 Dec 2023,★★,False,
Water Ritual #1: An Urban Rite of Purification,22 Dec 2023,,False,
Eyes Wide Shut,22 Dec 2023,★★★★★,True,
The Bear and the Hare,22 Dec 2023,★★★,True,
Colored Spade,21 Dec 2023,,True,
666 Smielyz,21 Dec 2023,,True,
Mouth to Mouth,21 Dec 2023,,True,
Rebus-Film Nr. 1,20 Dec 2023,★★★,True,
L.A. Confidential,19 Dec 2023,★★★½,True,
Bad Santa,19 Dec 2023,★★★★½,True,
Radio Days,18 Dec 2023,★★★★½,True,
National Lampoon's Christmas Vacation,17 Dec 2023,★★★★½,True,
Christmas Vacation 2: Cousin Eddie's Island Adventure,17 Dec 2023,½,False,
Saltburn,16 Dec 2023,★★★,True,
Meet Me in St. Louis,16 Dec 2023,★★★★½,True,
The Future Tense,12 Dec 2023,★★★★½,True,
Miracle on 34th Street,11 Dec 2023,★★★★½,True,
Die Hard,08 Dec 2023,★★★★★,True,
The Shop Around the Corner,08 Dec 2023,★★★★★,True,
Casablanca,05 Dec 2023,★★★★★,True,
Sideways,05 Dec 2023,★★★★★,True,
Pier Paolo Pasolini - Agnès Varda - New York - 1967,04 Dec 2023,,True,
The Girl and The Robot,03 Dec 2023,,True,
A Charlie Brown Christmas,03 Dec 2023,★★★★½,True,
