Movie,Date Watched,Rating,Liked,Review
Ferrari,27 Dec 2023,,False,
Wonka,26 Dec 2023,,False,
Jackass Forever,24 Dec 2023,,False,
Le Pupille,24 Dec 2023,,False,
Harry Potter and the Half-Blood Prince,21 Dec 2023,,False,
Indiana Jones and the Dial of Destiny,19 Dec 2023,,False,
Last Christmas,08 Dec 2023,,False,
Harry Potter and the Order of the Phoenix,07 Dec 2023,,False,
Napoleon,03 Dec 2023,,False,
Harry Potter and the Goblet of Fire,30 Nov 2023,,False,
Mrs. Doubtfire,21 Nov 2023,,False,
"Planes, Trains and Automobiles",20 Nov 2023,,False,
Harry Potter and the Prisoner of Azkaban,16 Nov 2023,,False,
Harry Potter and the Chamber of Secrets,12 Oct 2023,,False,
La Chimera,04 Sep 2023,,True,
The Taste of Things,03 Sep 2023,,True,
Tehachapi,03 Sep 2023,,False,
Wildcat,03 Sep 2023,,False,
The Mission,02 Sep 2023,,True,
Janet Planet,02 Sep 2023,,False,
All That Is Sacred,02 Sep 2023,,False,
Tarpon,02 Sep 2023,,True,
Anatomy of a Fall,31 Aug 2023,,False,
Poor Things,31 Aug 2023,,False,
"Lies, Politics and Democracy",03 Aug 2023,,False,
The Way,15 Jun 2023,,True,
Star 80,22 May 2023,,False,never seen a film so easy to watch yet so horrifying
All That Jazz,15 May 2023,,True,
Showing Up,13 May 2023,,False,
Lenny,08 May 2023,,False,
Polite Society,03 May 2023,,False,girl power
Dungeons & Dragons: Honor Among Thieves,02 May 2023,,False,
Twister,20 Apr 2023,,True,
Dick Johnson Is Dead,15 Apr 2023,,True,
Cameraperson,14 Apr 2023,,True,
A Moment of Innocence,06 Apr 2023,,True,
Cabaret,04 Apr 2023,,True,
Tarnation,02 Apr 2023,,True,
Cowboys,26 Mar 2023,,False,"This is the movie that made me understand that I love Steve Zahn so much because when I look at him, I see someone that looks just like me. It really is wild."
"Crouching Tiger, Hidden Dragon",20 Mar 2023,,True,
Age of Easy Money,16 Mar 2023,,False,
The Spy in Your Mobile,15 Mar 2023,,False,
North by Current,14 Mar 2023,,True,
Everything Everywhere All at Once,10 Mar 2023,,False,
The Mummy,06 Mar 2023,,False,rachel weisz
Three Women,05 Mar 2023,,True,
Natalia,05 Mar 2023,,False,
"Feet in Water, Head on Fire",05 Mar 2023,,False,
Bobi Wine: The People's President,04 Mar 2023,,False,
Moosa Lane,04 Mar 2023,,True,
Milisuthando,03 Mar 2023,,True,
Hummingbirds,02 Mar 2023,,True,
Spirited Away,28 Feb 2023,,True,That was nice that Chihiro still wanted to be No Face's friend after he ate some people because she knew he really didn't mean it.
Princess Mononoke,20 Feb 2023,,False,"I loved that the characters of this film lived in the gray area, mirroring so much of how we understand our interactions with the natural world and technological progress. My mouth was open in wonder for most of the film because of how beautiful the animation was. This one has more danger than the other Ghiblis that I have watched, which have not been many."
Kiki's Delivery Service,13 Feb 2023,,True,my heart is full
My Neighbor Totoro,06 Feb 2023,,True,"Whenever I am down, I will sing the Totoro song and imagine I am riding on the catbus. Might be the best kids movie I've ever seen."
Grave of the Fireflies,06 Feb 2023,,False,
The Killing of a Chinese Bookie,30 Jan 2023,,False,John Cassavetes watch-a-thon* #6/10
A Woman Under the Influence,23 Jan 2023,,True,John Cassavetes watch-a-thon #5/10
Minnie and Moskowitz,16 Jan 2023,,False,Cassavetes watch-a-thon film #4/10
EO,13 Jan 2023,,True,put me through the highest of highs and the lowest of lows
The Menu,12 Jan 2023,,False,
Husbands,09 Jan 2023,,False,
Top Gun,03 Jan 2023,,False,
Italianamerican,30 Dec 2022,,False,
Glass Onion,28 Dec 2022,,True,
Amsterdam,27 Dec 2022,,False,
Christmas in Connecticut,26 Dec 2022,,False,
Little Women,25 Dec 2022,,False,
The Shop Around the Corner,24 Dec 2022,,True,
Avatar: The Way of Water,23 Dec 2022,,True,
Prancer,22 Dec 2022,,True,
A Little Princess,15 Dec 2022,,False,
The Fabelmans,30 Nov 2022,★★★★,False,
The Night Before,29 Nov 2022,★★★½,True,
The Noel Diary,28 Nov 2022,★★,False,
Bulletproof,15 Nov 2022,,False,
Decision to Leave,14 Nov 2022,★★★★,False,
Catherine Called Birdy,08 Nov 2022,,False,
The Banshees of Inisherin,04 Nov 2022,,False,
La Danse: The Paris Opera Ballet,26 Oct 2022,,True,
The Cruise,25 Oct 2022,,False,
Be Here to Love Me,22 Oct 2022,★★★★,False,
Portrait of Jason,18 Oct 2022,,False,
The Store,12 Oct 2022,,False,
Look At Me: XXXTENTACION,11 Oct 2022,,False,
Welfare,05 Oct 2022,★★★★½,False,
Whose Streets?,04 Oct 2022,,False,
Au Hasard Balthazar,03 Oct 2022,,False,
Howl's Moving Castle,28 Sep 2022,,True,
The Cool World,28 Sep 2022,,False,
Dont Look Back,27 Sep 2022,,False,
High School,21 Sep 2022,,False,
Primary,20 Sep 2022,,False,
The Territory,18 Sep 2022,★★★½,False,
Geographies of Solitude,18 Sep 2022,★★★★,True,
My Imaginary Country,18 Sep 2022,★★★,False,
Crows Are White,17 Sep 2022,★★★★,True,
A Compassionate Spy,17 Sep 2022,★★★,False,
Cowboy Poets,16 Sep 2022,★★★,False,
Sr.,16 Sep 2022,★★★★,False,
All the Beauty and the Bloodshed,15 Sep 2022,★★★★★,False,
Titicut Follies,14 Sep 2022,,False,
Holy Spider,05 Sep 2022,★★★★,False,
The March on Rome,05 Sep 2022,★★★,False,
Getting to Know the Big Wide World,05 Sep 2022,★★★★,False,
Women Talking,04 Sep 2022,★★★,False,
TÁR,04 Sep 2022,★★★★,False,
Kentucky Pride,04 Sep 2022,★★,False,
Armageddon Time,04 Sep 2022,★★★,False,
Él,03 Sep 2022,★★★★,False,
Angola Do You Hear Us? Voices from a Plantation Prison,03 Sep 2022,★★★½,False,
Anastasia,03 Sep 2022,★★★,False,
Godland,03 Sep 2022,★★★★½,False,
Broker,02 Sep 2022,★★★★,False,
The Future Tense,02 Sep 2022,★★★½,False,
Navalny,01 Sep 2022,,False,
Marcel the Shell with Shoes On,04 Aug 2022,,False,
Mrs. Harris Goes to Paris,03 Aug 2022,,False,
You've Got Mail,21 Jul 2022,,False,
The Beach Bum,10 Jul 2022,,False,
Suite Française,09 Jul 2022,,False,
Doctor Dolittle,07 Jul 2022,,False,
The Empire Strikes Back,06 Jul 2022,,False,
Scream,06 Jul 2022,,False,
The Empire Strikes Back,06 Jul 2022,,False,
Independence Day,04 Jul 2022,,False,
Downton Abbey: A New Era,05 Jun 2022,,False,
Last Night in Soho,26 May 2022,,False,
Petite Maman,16 May 2022,,False,
Rock Bottom Riser,05 May 2022,,False,
The Northman,26 Apr 2022,,False,
Paris Is Burning,10 Apr 2022,,False,
Everything Everywhere All at Once,09 Apr 2022,,False,
Memoria,09 Apr 2022,,False,
jeen-yuhs: A Kanye Trilogy,31 Mar 2022,,False,
CODA,26 Mar 2022,,False,
Compartment No. 6,26 Mar 2022,,False,
Stormy Weather,25 Mar 2022,,False,
El Father Plays Himself,23 Mar 2022,,True,
Anbessa,20 Mar 2022,,True,
Grizzly Man,17 Mar 2022,,False,
Eve's Bayou,14 Mar 2022,,True,
Mija,06 Mar 2022,,False,
Turn Your Body to the Sun,05 Mar 2022,,False,
We Met in Virtual Reality,04 Mar 2022,,False,
GES-2,04 Mar 2022,,False,
Where Are We Headed?,03 Mar 2022,,True,
After Sherman,03 Mar 2022,,False,
In the Same Breath,24 Feb 2022,,False,
The Worst Person in the World,21 Feb 2022,,False,
Licorice Pizza,15 Feb 2022,,False,
Flee,09 Feb 2022,,False,
Parallel Mothers,08 Feb 2022,,True,
Drive My Car,07 Feb 2022,,False,
The World to Come,04 Feb 2022,,True,
The B-Side: Elsa Dorfman's Portrait Photography,03 Feb 2022,,False,
The Alpinist,02 Feb 2022,,False,
House of Gucci,31 Jan 2022,,False,
Athlete A,29 Jan 2022,,False,
The Rescue,21 Jan 2022,,False,
The Last Duel,16 Jan 2022,,False,
The Ice Road,15 Jan 2022,,False,
Swiss Family Robinson,15 Jan 2022,,False,
The Lost Daughter,13 Jan 2022,,False,
