Movie,Date Watched,Rating,Liked,Review
The Conversation,15 Jan 2024,★★★½,False,
Sideways,15 Jan 2024,★★★★,False,
Theater Camp,12 Jan 2024,★★★½,False,
Wonka,11 Jan 2024,★★★,True,I wish Mike Teeve was in this
Now You See Me,07 Jan 2024,★★★,False,Does not hold up to when I watched this as a middle schooler lol
The Iron Claw,05 Jan 2024,★★★★,False,
Maestro,03 Jan 2024,★★★,True,Frustrating bc this had the potential to be amazing
Oldboy,29 Dec 2023,★★★★,True,
Ferrari,28 Dec 2023,★★,False,
Rounders,26 Dec 2023,★★★★,True,
Nocturnal Animals,26 Dec 2023,★★★½,False,
Triangle of Sadness,24 Dec 2023,★★★★½,True,
Leave the World Behind,18 Dec 2023,★★,False,Kinda boring
American Fiction,17 Dec 2023,★★★★,True,
The Zone of Interest,17 Dec 2023,★★★★,False,Evil
The Boy and the Heron,12 Dec 2023,★★★★,True,
Poor Things,10 Dec 2023,★★★★½,True,"Barbie in the morning, poor things at night"
Monster,04 Dec 2023,★★★★½,True,
Saltburn,02 Dec 2023,★★½,False,Talented Mr Ripley for the Gen Z viewer
Godzilla Minus One,29 Nov 2023,★★★½,True,ideal viewing: Oppenheimer in the morning and Godzilla in the night
Whisper of the Heart,28 Nov 2023,★★★★,True,some flaws for sure but an overall diamond in the rough - just like how the characters feel they are
The Wailing,27 Nov 2023,★★★★,True,I wish I watched this while I was still in school so I could write an essay about it
The Devil Wears Prada,22 Nov 2023,★★★½,False,Fun movie to watch in ur early 20s and at ur first job
Napoleon,22 Nov 2023,★★,False,"Felt like I was watching a YouTube history vid called something like “Napoleon’s greatest moments and fails” rather than a real movie. Was choppy, corny and I felt bored watching"
Dream Scenario,14 Nov 2023,★★★★,True,
Weathering with You,05 Nov 2023,★★½,False,
The Holdovers,05 Nov 2023,★★★★★,True,
Suzume,02 Nov 2023,★★★½,True,
The Killer,31 Oct 2023,★★★½,True,
Anatomy of a Fall,13 Oct 2023,★★★★½,True,
How to Train Your Dragon: The Hidden World,10 Oct 2023,★★★,False,
How to Train Your Dragon 2,10 Oct 2023,★★★★½,True,
How to Train Your Dragon,10 Oct 2023,★★★★★,True,
The Exorcist: Believer,10 Oct 2023,★★,False,
The Creator,03 Oct 2023,★★★,True,
Carrie,30 Sep 2023,★★★★½,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★★,True,
It Lives Inside,23 Sep 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,21 Sep 2023,,False,
Bottoms,19 Sep 2023,★★★½,True,
My Dinner with Andre,09 Sep 2023,★★★★,True,
The Nun II,07 Sep 2023,½,False,
In Bruges,04 Sep 2023,★★★½,True,
Network,04 Sep 2023,★★★★½,False,
Malignant,03 Sep 2023,★★½,False,
"Paris, Texas",29 Aug 2023,★★★★½,True,
Columbus,21 Aug 2023,★★★★★,True,
Infinity Pool,20 Aug 2023,★★★★,False,
Ballerina,16 Aug 2023,,False,
The Squid and the Whale,13 Aug 2023,★★★★,False,
Talk to Me,07 Aug 2023,★★★½,True,
Saw X,07 Aug 2023,,False,
Ordinary Angels,07 Aug 2023,,False,
Dungeons & Dragons: Honor Among Thieves,31 Jul 2023,,False,
Oppenheimer,31 Jul 2023,★★★★★,True,
Oppenheimer,28 Jul 2023,★★★★,True,
Barbie,28 Jul 2023,★★★★½,True,
Mission: Impossible – Ghost Protocol,13 Jul 2023,,False,
Mission: Impossible – Dead Reckoning Part One,13 Jul 2023,,False,
Indiana Jones and the Dial of Destiny,08 Jul 2023,★★★,False,
Insomnia,08 Jul 2023,★★★½,False,
No Hard Feelings,02 Jul 2023,★★★½,False,
High and Low,29 Jun 2023,★★★★★,False,
The Flash,28 Jun 2023,★,False,
Fast X,12 Jun 2023,★★,False,
The Secret World of Arrietty,07 Jun 2023,★★★★,False,
Spider-Man: Into the Spider-Verse,06 Jun 2023,★★★★,False,
Nobody Knows,02 Jun 2023,★★★★½,False,
Aftersun,02 Jun 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,02 Jun 2023,★★★★½,True,
Rounders,29 May 2023,★★★★,True,
Rounders,29 May 2023,★★★★,True,
Norwegian Wood,29 Apr 2023,½,False,
A Scene at the Sea,05 Apr 2023,★★★★,False,
John Wick: Chapter 4,25 Mar 2023,★★★★,False,
John Wick: Chapter 3 – Parabellum,22 Mar 2023,★★★½,False,
John Wick: Chapter 2,22 Mar 2023,★★★★½,False,
Only Yesterday,28 Feb 2023,★★★★½,True,
Ant-Man and the Wasp: Quantumania,22 Feb 2023,★★,False,
The Legend of Fong Sai Yuk,21 Feb 2023,★★★★,False,
The Power of Kangwon Province,09 Feb 2023,★★★,False,
Tampopo,09 Feb 2023,★★★★,False,
Peking Opera Blues,31 Jan 2023,★★★★,False,
Marcel the Shell with Shoes On,24 Jan 2023,★★★★,False,
After Yang,23 Jan 2023,★★★★★,False,
Ad Astra,20 Jan 2023,★★★★,False,
The Whale,18 Jan 2023,★★★½,False,
Puss in Boots: The Last Wish,17 Jan 2023,★★★★,False,
M3GAN,14 Jan 2023,★★★½,False,
Waltair Veerayya,14 Jan 2023,★★,False,
Om Shanti Om,14 Jan 2023,★★★★½,True,
The Gentlemen,12 Jan 2023,★★★½,False,
Decision to Leave,07 Jan 2023,★★★★,True,
The Menu,03 Jan 2023,★★★,True,
Rush Hour 2,02 Jan 2023,★★½,False,
Rush Hour,02 Jan 2023,★★★,False,
Kimi,02 Jan 2023,★★★,False,
Babylon,31 Dec 2022,★★★★½,True,
Glass Onion,23 Dec 2022,★★★★,False,
