Movie,Date Watched,Rating,Liked,Review
The Midnight Meat Train,05 Jan 2024,★½,False,
Saltburn,04 Jan 2024,★★★,False,
The Green Knight,25 Dec 2023,★★★★★,True,
Black Christmas,24 Dec 2023,★★★★½,True,
Krampus,24 Dec 2023,★★★★,True,
Black Christmas,19 Dec 2023,★★★½,True,
Better Watch Out,14 Dec 2023,★★★★,True,
It's a Wonderful Knife,13 Dec 2023,★★★,False,
The Holdovers,09 Dec 2023,★★★★,True,
The Abyss,06 Dec 2023,★★★½,False,
May December,03 Dec 2023,★★★★,False,
Wish,29 Nov 2023,★★½,False,
Black Christmas,28 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,★★★½,False,
The Marvels,14 Nov 2023,★★★½,True,
No Hard Feelings,13 Nov 2023,★★★★½,True,
Priscilla,10 Nov 2023,★★★★,False,
Look Away,06 Nov 2023,★,False,
Hocus Pocus,01 Nov 2023,★★★★½,True,
Halloween Ends,01 Nov 2023,★★★★,True,
Halloween Kills,31 Oct 2023,★★★,True,
Halloween,31 Oct 2023,★★★★,True,
Halloween,31 Oct 2023,★★★★★,True,
The House of the Devil,30 Oct 2023,★★★★★,True,
Five Nights at Freddy's,30 Oct 2023,★★★,False,
Trick 'r Treat,28 Oct 2023,★★★★★,True,
"Elvira, Mistress of the Dark",25 Oct 2023,★★★,False,
Seance,24 Oct 2023,★★,False,
The Fall of the House of Usher,21 Oct 2023,★★★★,True,
The Exorcist: Believer,15 Oct 2023,★★★½,True,
Taylor Swift: The Eras Tour,15 Oct 2023,,False,
Friday the 13th,13 Oct 2023,★★★,False,
Scream,11 Oct 2023,★★★★★,True,
Totally Killer,08 Oct 2023,★★★,False,
Scream VI,06 Oct 2023,★★★★½,True,
The Babysitter Murders,05 Oct 2023,★★★½,False,
Saw X,03 Oct 2023,★★★½,False,
Scream,01 Oct 2023,★★★★½,True,
Saw,24 Sep 2023,★★★,False,
No One Will Save You,23 Sep 2023,★★★½,False,
Prom Night,21 Sep 2023,★★,False,
Possession,18 Sep 2023,★★★★,False,"A film that is equal parts beautiful and disgusting.Weirdly, it was also kinda sexy?"
The Fabelmans,14 Sep 2023,★★★★,False,
The Nun II,12 Sep 2023,★★½,False,
Bottoms,11 Sep 2023,★★★★½,True,
It Follows,09 Sep 2023,★★★★,True,
Cobweb,02 Sep 2023,★★★½,True,
Pulp Fiction,01 Sep 2023,★★★★,True,
The Conjuring,30 Aug 2023,★★★★,True,
The Big Shave,30 Aug 2023,★★★,False,
Doctor Sleep,27 Aug 2023,★★★★,False,
Bereavement,20 Aug 2023,★½,False,
Malevolence,20 Aug 2023,★★★,False,
Moonrise Kingdom,20 Aug 2023,★★★★★,True,
Monstrous,17 Aug 2023,★,False,
The Last Voyage of the Demeter,13 Aug 2023,★★½,False,
"Red, White & Royal Blue",13 Aug 2023,★★★,True,
Interstellar,08 Aug 2023,★★★★★,True,
Malum,07 Aug 2023,★★,False,
White Noise,06 Aug 2023,★★,False,
Talk to Me,31 Jul 2023,★★★½,True,
Oppenheimer,30 Jul 2023,★★★★½,True,
Haunted Mansion,30 Jul 2023,★★½,False,
65,24 Jul 2023,★½,False,
Barbie,20 Jul 2023,★★★½,True,
Babylon,17 Jul 2023,★★★½,False,
A Quiet Place Part II,16 Jul 2023,★★★★½,True,
Bird Box Barcelona,16 Jul 2023,★★½,False,
Insidious: The Red Door,12 Jul 2023,★★½,False,
