Movie,Date Watched,Rating,Liked,Review
The Boy and the Heron,10 Dec 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,01 Dec 2023,★★★½,True,
About the Beginning,08 Nov 2023,★★★★★,True,
Event Horizon,05 Nov 2023,★★★★,True,
In a Better World,24 Oct 2023,,False,
About the Beginning,24 Oct 2023,★★★★★,True,
The First Two,24 Oct 2023,★★★★★,True,
Eraserhead,28 Sep 2023,★★★½,False,
Reign of Fire,22 Aug 2023,★★★,False,
Lamia,07 Aug 2023,,True,This film is available for free on Vimeo! Enjoy :) vimeo.com/417062331
Mood Indigo,05 Aug 2023,★★★,False,
Oppenheimer,02 Aug 2023,★★★★½,True,
Barbie,26 Jul 2023,★★★★,True,
Nimona,08 Jul 2023,★★★,False,"The story was charming and sweet, tho I did feel torn between the first and seconf half of the film. The first half was unsatisfying in terms of technical aspects like the animation being too blend (the environments needed another pass and more detail, particularly in the sequence where they reveal Nimona's shapeshifting) and the comedy coming from cliché or cheap jokes. The second half, however, was a lot more nuanced--that's the story they wanted to tell."
Spider-Man: Across the Spider-Verse,18 Jun 2023,★★★★★,True,
El amor amenazado,10 Jun 2023,★★★★★,True,Fucking awesome!
Mujer sin hijo,10 Jun 2023,★★★★★,True,Fucking awesome!
Into Nothingness,10 Jun 2023,★★★★★,True,Fucking awesome!
Te jodes y bailas,10 Jun 2023,★★★★★,True,Fucking awesome!
Strange Way of Life,07 Jun 2023,★★★★½,True,"Almodovar here excels at making a film with great performances, striking use of color, unapologetically corny dialogue and thoughtful editing. The overall arc of tension built and climaxed excellently. But please, more footage of gay Pascal. I really wanted this to be longer and not to cut the sex scene out. Otherwise a wonderful campy film."
"20,000 Species of Bees",17 May 2023,★★★★½,True,
The Party,16 May 2023,★★★½,False,
"Crazy, Stupid, Love.",16 May 2023,★★★½,True,
Thesis,15 May 2023,★★★★,False,
Lip Stick,13 May 2023,,True,Thanks whomever added this to the database! You can check out this film on YouTube :) youtu.be/5LHLjsapkmY
Spider-Man: Into the Spider-Verse,26 Apr 2023,★★★★★,True,This film slaps!!!
THX 1138,16 Apr 2023,★★,False,
Guillermo del Toro's Pinocchio,06 Mar 2023,★★★★,True,
My Neighbor Totoro,20 Feb 2023,★★★★,True,
RRR,08 Feb 2023,★★★★½,True," This epic action-drama Tollywood bromance flick tells the story of two revolutionaries against the British Raj in the 1920's. It has probably the best action sequences and use of cinematography I've seen in Indian cinema, with Bollywood-influenced use of melodrama and musical sequences, echoes of revolutionary movies like Lagaan mixed with Ramayama references, and a bromance that directly resembles that of the classic 1975 film Sholay. This film has something for everyone.The cinematography was masterfully achieved, with breathtaking lighting,… "
