Movie,Date Watched,Rating,Liked,Review
BlackBerry,25 Dec 2023,,False,
The Boy and the Heron,18 Dec 2023,,False,
Fool's Paradise,15 Dec 2023,,False,
Please Don't Destroy: The Treasure of Foggy Mountain,02 Dec 2023,,False,
Our Home Out West,02 Dec 2023,,False,
Puparia,26 Nov 2023,,False,
Finding Vivian Maier,22 Nov 2023,,False,
Dream Scenario,18 Nov 2023,,False,
The Mask,07 Nov 2023,,False,
Nate Bargatze: Hello World,05 Nov 2023,,False,
PLUTO,01 Nov 2023,,False,
Minari,16 Oct 2023,,False,
After Yang,15 Oct 2023,,False,
Joe Pera: Slow & Steady,07 Oct 2023,,False,
Asteroid City,29 Sep 2023,,False,
Telemarketers,23 Sep 2023,,False,
Neon Genesis Evangelion: The End of Evangelion,12 Sep 2023,,False,
Thief,20 Aug 2023,,False,
Barbie,26 Jul 2023,,False,
Johnny Mnemonic,19 Jul 2023,,True,
Heat,12 Jul 2023,,True,
12 Angry Men,09 Jul 2023,,False,
Koyaanisqatsi,21 Jun 2023,,False,
Would It Kill You to Laugh? Starring Kate Berlant + John Early,19 Jun 2023,,False,
John Early: Now More Than Ever,17 Jun 2023,,False,
Nausicaä of the Valley of the Wind,31 May 2023,,True,
John Mulaney: Baby J,26 Apr 2023,,False,
The Super Mario Bros. Movie,08 Apr 2023,,False,
Tokyo Melody: A Film about Ryuichi Sakamoto,02 Apr 2023,,True,
PlayTime,16 Mar 2023,,True,
One Week,15 Mar 2023,,False,
Return to Seoul,03 Mar 2023,★★★★,False,
The Banshees of Inisherin,24 Feb 2023,★★★½,False,
In the Mood for Love,31 Jan 2023,★★★★,False,
John Wick: Chapter 2,31 Jan 2023,,False,
Marcel the Shell with Shoes On,20 Jan 2023,★★★★,False,
Avatar: The Way of Water,15 Jan 2023,,False,
Fallen Angels,14 Jan 2023,,True,
The Menu,11 Jan 2023,,False,
Glass Onion,25 Dec 2022,,False,
s01e03,14 Dec 2022,,False,
Swiss Army Man,13 Dec 2022,,False,
Evangelion: 3.0+1.0 Thrice Upon a Time,11 Dec 2022,,False,
Sisters with Transistors,10 Dec 2022,,False,
Evangelion: 3.0 You Can (Not) Redo,06 Dec 2022,,False,
TÁR,30 Nov 2022,★★★★★,True,
Melancholia,14 Nov 2022,,False,
Evangelion: 2.0 You Can (Not) Advance,30 Oct 2022,,False,
The Witch,26 Oct 2022,,False,
Over the Garden Wall,25 Oct 2022,,False,
Fantastic Fungi,23 Oct 2022,,False,
TÁR,17 Oct 2022,★★★★★,True,
Chungking Express,14 Oct 2022,★★★★,False,
Trainwreck: Woodstock '99,12 Oct 2022,,False,
Hasan Minhaj: The King's Jester,08 Oct 2022,,False,
"Paris, Texas",29 Sep 2022,★★★★★,True,
