Movie,Date Watched,Rating,Liked,Review
"Crouching Tiger, Hidden Dragon",14 Jan 2024,★★★★★,True,Absolutely no notes ever. Perfect movie.
The Iron Claw,08 Jan 2024,★★★★½,True,If you’re going to tell a tragic story of a dysfunctional family masquerading as champions and then tell it through the lens of what they were good at—wrestling— do it like Sean Durkin. 
Light of Day,07 Jan 2024,,False,
Wonka,06 Jan 2024,,True,"Baby’s first movie. Well, it was at our local drive-in, but nevertheless, I’m counting it!"
This Is 40,05 Jan 2024,,True,"I remain convinced that this is one of the greatest, funniest sequels of the past 20 years."
Guardians of the Galaxy Vol. 3,05 Jan 2024,★★★★,True,First movie I watched when I found out I was pregnant. Now I got to sit and hold my baby and rewatch this with her. The dog days are over. 🥹🥹
Saltburn,05 Jan 2024,★★½,False,"This movie is so dumb, but damn do I really like the direction and look of it."
Shampoo,04 Jan 2024,★★★½,False,"I FINALLY get why Carly Simon wrote a song about the Beattster. Like damn, you’ve coifed your hair in the most likeable way possible. This male bimbo version of Beatty is IT, MAN!"
Nashville,04 Jan 2024,,False,
Rolling Thunder,03 Jan 2024,★★★½,False,
Taylor Swift: The Eras Tour,03 Jan 2024,,False,
Amy,02 Jan 2024,★★★★,False,
Wham!,02 Jan 2024,,True,I MISSGEORGEMICHAEL
Teenage Mutant Ninja Turtles: Mutant Mayhem,01 Jan 2024,★★★★,True,"We watched with our newborn this afternoon. She didn’t get it! Kids today, man."
Phantom Thread,01 Jan 2024,★★★★★,True,FIRST WATCH OF 2024
Beau Is Afraid,31 Dec 2023,★★,False,This movie is like a fuqqed up Truman Show that im too dumb to understand
The Wolf of Wall Street,30 Dec 2023,★★★★½,False,It’s so annoying that Leo had to lay under a damn bear for him to get that Oscar when this performance was *right there*
Beverly Hills Cop II,30 Dec 2023,,True,
Flowers in the Attic,30 Dec 2023,★★½,False,
Cats Don't Dance,27 Dec 2023,,True,
Beverly Hills Cop,26 Dec 2023,★★★★,True,
The Wedding Singer,26 Dec 2023,★★★★,True,
Titane,25 Dec 2023,★★★★,False,
Bottoms,25 Dec 2023,,True,
Tremors,24 Dec 2023,,True,
Little Women,24 Dec 2023,★★★★½,True,
Maestro,24 Dec 2023,★★½,False,
Once Upon a Time… in Hollywood,24 Dec 2023,★★★★½,True,
Texasville,23 Dec 2023,★★★★½,True,
Saltburn,21 Dec 2023,★★½,False,"This movie is so dumb, but damn do I really like the direction and look of it."
House of Gucci,21 Dec 2023,★★★½,True,
Taxi Driver,20 Dec 2023,★★★★,False,
"Confess, Fletch",19 Dec 2023,★★★½,True,
A Star Is Born,19 Dec 2023,★★★★,True,
Music and Lyrics,19 Dec 2023,★★★★,True,
Four Weddings and a Funeral,18 Dec 2023,★★,False,
About a Boy,18 Dec 2023,★★★★,False,
Home Alone,08 Dec 2023,★★★½,True,
The Boy and the Heron,07 Dec 2023,★★★★★,True,
Jingle All the Way,06 Dec 2023,★★½,True,
Sense and Sensibility,03 Dec 2023,★★★★½,True,
Dream Scenario,03 Dec 2023,,False,
May December,01 Dec 2023,★★★★,False,
American Pie,30 Nov 2023,★★,False,
Wish,24 Nov 2023,★½,False,
Leo,24 Nov 2023,★★★,True,
Napoleon,23 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★★★,False,
The Holdovers,19 Nov 2023,★★★★,True,
The Counselor,18 Nov 2023,,True,
Thanksgiving,17 Nov 2023,★★★,False,
The Girl with the Dragon Tattoo,05 Nov 2023,★★★★★,True,
Priscilla,05 Nov 2023,★★★½,False,
Gone Girl,01 Nov 2023,★★★★½,False,
Land of the Dead,30 Oct 2023,★★½,False,
The Damned,30 Oct 2023,★★★,False,
The Kindred,30 Oct 2023,★★★★,True,
The Social Network,29 Oct 2023,★★★★★,True,
The Devil's Advocate,28 Oct 2023,★★★★,True,
Erin Brockovich,27 Oct 2023,★★★½,False,
The Curious Case of Benjamin Button,27 Oct 2023,★★★½,False,
Five Nights at Freddy's,27 Oct 2023,★,False,
The Burial,25 Oct 2023,★★★,False,
The Church,23 Oct 2023,★★★,False,
The Wolfman,22 Oct 2023,★,False,
Angel,20 Oct 2023,,True,
Killers of the Flower Moon,19 Oct 2023,★★★★½,True,
Puppet Master 4,18 Oct 2023,★★★,False,
Crystal Eyes,09 Oct 2023,★★★★,True,
Hell Fest,09 Oct 2023,★★½,False,
Frankenstein Created Woman,08 Oct 2023,★★★,False,
Final Destination 3,08 Oct 2023,★★★,False,
Lake of the Dead,08 Oct 2023,★★★,False,
Totally Killer,08 Oct 2023,★½,False,
The Exorcist: Believer,05 Oct 2023,★★,False,
She's the Man,01 Oct 2023,,True,
Déjà Vu,26 Sep 2023,★★★★,True,
The Covenant,26 Sep 2023,★,False,
The Haunted Palace,25 Sep 2023,★★★,False,
Slotherhouse,24 Sep 2023,★★★½,True,
No One Will Save You,24 Sep 2023,★★★,False,
V/H/S,17 Sep 2023,★★½,False,
Julie Darling,17 Sep 2023,★★½,False,
Night of the Demons 2,17 Sep 2023,★★★½,True,
The French Connection,16 Sep 2023,★★★,False,
Talk to Me,15 Sep 2023,★★★,False,
Asteroid City,15 Sep 2023,★★★★,True,
The Nun II,12 Sep 2023,★,False,
Thunderbolt and Lightfoot,03 Sep 2023,★★★★,True,
The Equalizer 3,03 Sep 2023,★★½,False,
Bottoms,03 Sep 2023,,True,
Austin Powers: International Man of Mystery,30 Aug 2023,★½,False,
Wonder,28 Aug 2023,★★★★,False,
You Are So Not Invited to My Bat Mitzvah,28 Aug 2023,,True,
Bring It On,25 Aug 2023,,False,
Blue Beetle,24 Aug 2023,★★★½,False,
Glass Onion,22 Aug 2023,★★★★,True,
