Movie,Date Watched,Rating,Liked,Review
Avatar: The Way of Water,26 Dec 2022,,False,
Russia 1985-1999: TraumaZone,26 Oct 2022,,False,
The End of Summer,21 Sep 2022,,False,
Good Sam,22 Dec 2021,,False,
The Beatles: Get Back,06 Dec 2021,,False,
Yearning,26 Oct 2021,★★★,False,
Dune,26 Oct 2021,★★,False,The worst kind of film: one which gets many disparate things right but just a couple foundational things so wrong that none of the good things can ever coalesce into an emotionally engaging whole. 
The Flavor of Green Tea Over Rice,14 Oct 2021,★★★½,False,
Cluny Brown,13 Oct 2021,★★★½,False,
The Many Saints of Newark,01 Oct 2021,★★,False,
Mr. Thank You,14 Sep 2021,★★★,False,
"Goodbye, Mr. Chips",02 Sep 2021,★★★,False,
Black Narcissus,26 Aug 2021,★★★★,False,
Mank,14 Aug 2021,★★★,False,
Journey to Italy,24 Jul 2021,★★½,False,
Elevator to the Gallows,14 Jul 2021,★★★½,False,
Out of the Past,11 Jul 2021,★★★½,False,
Rebecca,07 Jul 2021,★★★★,False,
The Misfits,05 Jul 2021,★★★,False,
Bringing Up Baby,26 Jun 2021,★,False,
The Maltese Falcon,25 Jun 2021,★★½,False,
Greenberg,23 Jun 2021,★★★½,False,
Double Indemnity,21 Jun 2021,★★★★,False,
Only Angels Have Wings,07 Jun 2021,★★★★★,False,
Secret Sunshine,31 May 2021,★★★½,False,
Made of Air,01 May 2021,★★★★,False,
Can't Get You Out of My Head,17 Apr 2021,★★★★,False,
It Happened One Night,14 Apr 2021,★★★½,False,
First Cow,27 Mar 2021,★★★½,False,
Judas and the Black Messiah,10 Mar 2021,★★,False,
Design for Living,23 Feb 2021,★★★,False,
Beastie Boys Story,11 Feb 2021,★★,False,
Bitter Lake,01 Feb 2021,★★★★,False,
Soul,31 Jan 2021,★★½,False,
Into the Abyss,19 Jan 2021,★★★½,False,
The China Syndrome,10 Jan 2021,★★★,False,
How Green Was My Valley,03 Jan 2021,★★★★,False,
Make Way for Tomorrow,25 Dec 2020,★★★½,False,
Christmas in Connecticut,24 Dec 2020,★★★,False,
All That Heaven Allows,24 Dec 2020,★★★½,False,
Remember the Night,20 Dec 2020,★★★★,False,
Borat Subsequent Moviefilm,23 Oct 2020,★★½,False,
Early Summer,26 Sep 2020,★★★½,False,
Toy Story 4,26 May 2020,★★★½,False,
The Sacrifice,16 Apr 2020,★★★★,False,
Oasis,04 Apr 2020,★★★½,False,
Equinox Flower,27 Mar 2020,★★★★,False,
Early Spring,22 Mar 2020,★★★★½,False,
The Caine Mutiny,08 Feb 2020,★★,False,
1917,22 Jan 2020,★★★½,False,
A Beautiful Day in the Neighborhood,04 Jan 2020,★,False,
Once Upon a Time… in Hollywood,31 Dec 2019,★★½,False,
Uncut Gems,28 Dec 2019,★★★★½,False,
Remember the Night,25 Dec 2019,★★★★,False,
The Shop Around the Corner,22 Dec 2019,★★★½,False,
Star Wars: The Rise of Skywalker,20 Dec 2019,★★,False,
Ad Astra,14 Dec 2019,★★½,False,
Marriage Story,14 Dec 2019,★★★,False,
Parasite,30 Nov 2019,★★★★,False,
The Irishman,28 Nov 2019,★★★½,False,
The Big Sleep,11 Nov 2019,★★★,False,
His Girl Friday,06 Nov 2019,★★★★,False,
L'Avventura,21 Oct 2019,★★★½,False,
Joker,06 Oct 2019,★★,False,
Can You Ever Forgive Me?,05 Sep 2019,★★,False,
Mr. Smith Goes to Washington,13 Aug 2019,★★½,False,
The Grapes of Wrath,06 Aug 2019,★★★½,False,
Fort Apache,23 Jul 2019,★★★,False,
The Day the Earth Stood Still,13 Jul 2019,★★★,False,
If Beale Street Could Talk,10 May 2019,★★,False,
The Hunt,05 May 2019,★★★½,False,
Knock Down the House,04 May 2019,★★,False,
United 93,28 Apr 2019,★★½,False,
Avengers: Endgame,27 Apr 2019,★★,False,
Rio Bravo,15 Apr 2019,★★★★½,False,
Ikiru,09 Apr 2019,★★★,False,
Us,31 Mar 2019,★★★,False,
The Front Runner,05 Mar 2019,★★,False,
Junebug,05 Mar 2019,★★,False,
Vice,04 Mar 2019,★,False,
Burning,22 Feb 2019,★★★★,False,
Le Samouraï,21 Jan 2019,★★★,False,
Distant,20 Jan 2019,★★★,False,
Cool Hand Luke,12 Jan 2019,★★★,False,
Fantastic Voyage,11 Jan 2019,★★★,False,
A Star Is Born,06 Jan 2019,★,False,
Capitalism: A Love Story,29 Dec 2018,★,False,
Leave No Trace,23 Dec 2018,★★★,False,
First Man,22 Dec 2018,★★★,False,
The House That Jack Built,18 Dec 2018,★★★½,False,
Mystic River,17 Dec 2018,★★½,False,
Roma,14 Dec 2018,★★½,False,
Happy as Lazzaro,09 Dec 2018,★★,False,
The Piano Teacher,05 Dec 2018,★★★½,False,
The Ballad of Buster Scruggs,17 Nov 2018,★★★,False,
Being There,11 Nov 2018,★★,False,
Floating Weeds,10 Nov 2018,★★★★,False,
Lawrence of Arabia,04 Nov 2018,★★★★,False,
Incredibles 2,27 Oct 2018,★★★,False,
Private Life,09 Oct 2018,★★½,False,
The Bridge on the River Kwai,08 Oct 2018,★★★★½,False,
Come and See,06 Oct 2018,★★★½,False,
Red River,30 Sep 2018,★★★½,False,
The African Queen,27 Sep 2018,★★★½,False,
The Nice Guys,26 Sep 2018,★★,False,
The Duke of Burgundy,22 Sep 2018,★★,False,
In the Mood for Love,22 Sep 2018,★★★½,False,
Casting JonBenet,16 Sep 2018,★,False,
13 Hours: The Secret Soldiers of Benghazi,15 Sep 2018,★★½,False,
BlacKkKlansman,08 Sep 2018,★½,False,
A Matter of Life and Death,07 Sep 2018,★★★,False,
First Reformed,05 Sep 2018,★★★½,False,
Imitation of Life,30 Aug 2018,★★½,False,
Guardians of the Galaxy Vol. 2,26 Aug 2018,★★,False,
Punishment Park,24 Aug 2018,★★½,False,
Anatomy of a Murder,24 Aug 2018,★★★½,False,
Buffalo '66,23 Aug 2018,★★★★½,False,
To Live and Die in L.A.,20 Aug 2018,★★★½,False,
Solaris,19 Aug 2018,★★★½,False,
Walkabout,16 Aug 2018,★★★½,False,
Sabrina,15 Aug 2018,★★½,False,
The Grand Budapest Hotel,15 Aug 2018,★★★½,False,
Sweet Smell of Success,13 Aug 2018,★★★★,False,
Das Boot,12 Aug 2018,★★★★½,False,
Young Mr. Lincoln,10 Aug 2018,★★★½,False,
Red Eye,10 Aug 2018,★★½,False,
Nostalgia,05 Aug 2018,★★★★,False,
Punch-Drunk Love,04 Aug 2018,★★★,False,
Lo and Behold: Reveries of the Connected World,29 Jul 2018,,False,
Happy People: A Year in the Taiga,29 Jul 2018,,False,
Miami Vice,26 Jul 2018,,False,
After Hours,14 Jul 2018,,False,
It,06 Jul 2018,★★,False,
Song to Song,01 Jul 2018,★★★★,False,
The Great White Silence,30 Jun 2018,★★★½,False,
Still Walking,23 Jun 2018,★★★½,False,
Strangers on a Train,22 Jun 2018,★★★,False,
The Rules of the Game,17 Jun 2018,★★★½,False,
The Treasure of the Sierra Madre,17 Jun 2018,★★★★,False,
Canyon Passage,09 Jun 2018,★½,False,
La Belle Noiseuse,09 Jun 2018,★★★★,False,
Master and Commander: The Far Side of the World,08 Jun 2018,★★★½,False,
Terrorizers,06 Jun 2018,★★★½,False,
Only Angels Have Wings,04 Jun 2018,★★★★,False,
Stalker,03 Jun 2018,★★★★½,False,
High Noon,02 Jun 2018,★★★,False,
Sunrise: A Song of Two Humans,02 Jun 2018,★★★½,False,
Intolerance: Love's Struggle Throughout the Ages,28 May 2018,★★★½,False,
The Thing,25 May 2018,★★★★,False,
The Night of the Hunter,24 May 2018,★★★½,False,
Days of Heaven,22 May 2018,★★★★,False,
American Movie,21 May 2018,★★★★½,False,
Stagecoach,19 May 2018,★★★★,False,
3:10 to Yuma,09 May 2018,★★½,False,
In the Realm of the Senses,06 May 2018,★★½,False,
The Birth of a Nation,06 May 2018,,False,
The Assassination of Jesse James by the Coward Robert Ford,29 Apr 2018,★★★★½,False,
Raw,28 Apr 2018,★★½,False,
Roman Holiday,28 Apr 2018,★★★½,False,
You Were Never Really Here,22 Apr 2018,★★,False,
Knight of Cups,15 Apr 2018,★★★★,False,
The Thin Red Line,15 Apr 2018,★★★★½,False,
Election,31 Mar 2018,★★★,False,
Annihilation,13 Mar 2018,★★,False,
The Ascent,11 Mar 2018,★★★★,False,
Detachment,06 Mar 2018,★★½,False,
The Shape of Water,04 Mar 2018,★★½,False,
Late Spring,22 Feb 2018,★★★★,False,
Silence,21 Feb 2018,★★★½,False,
Taipei Story,20 Feb 2018,★★★★,False,
Landscape in the Mist,17 Feb 2018,★★★½,False,
Black Panther,16 Feb 2018,★★,False,
Last Flag Flying,15 Feb 2018,★★½,False,
Columbus,14 Feb 2018,★★★★,False,
The Man Who Sleeps,12 Feb 2018,★★★★,False,
Okja,12 Feb 2018,★½,False,
A Ghost Story,12 Feb 2018,★★★,False,
