Movie,Date Watched,Rating,Liked,Review
A Thousand Suns,11 Jan 2024,★★★★½,True,
The Illustrated Man,07 Jan 2024,,False,
A Touch of Zen,28 Dec 2023,★★★★★,True,Boss fight all the time
West Side Story,25 Dec 2023,★★★★,True,
The Muppet Christmas Carol,25 Dec 2023,,True,
The Departed,25 Dec 2023,★★★★★,True,I need a break from cop films
Le Cercle Rouge,24 Dec 2023,★★★★½,True,
How Green Was My Valley,19 Dec 2023,★★★★½,True,
Prison Images,14 Dec 2023,,True,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,03 Dec 2023,,False,
The Potemkinists,02 Dec 2023,,True,
Do Not Expect Too Much from the End of the World,01 Dec 2023,★★★★½,True,W Radu Jude (what a G) at hfbk
Dragon Inn,24 Nov 2023,★★★★,True,
The Strange Case of Angelica,22 Nov 2023,★★★★★,True,
Time of the Gypsies,19 Nov 2023,★★★★,True,
Blow Up My Town,19 Nov 2023,,True,
"Je, Tu, Il, Elle",18 Nov 2023,★★★★,True,
Vertigo,18 Nov 2023,★★★★★,True,70mm Hamburg Savoy
My Darling Clementine,17 Nov 2023,★★★★★,True,
Harun Farocki: The Counter-Image,16 Nov 2023,,True,
Schlagworte – Schlagbilder. Ein Gespräch mit Vilém Flusser,16 Nov 2023,,True,
Images of the World and the Inscription of War,16 Nov 2023,,True,
Train Again,06 Nov 2023,,True,
Sorcerer,01 Nov 2023,★★★★,True,
Labyrinth of Cinema,28 Oct 2023,★★★★★,True,
"Love, Deutschmarks and Death",26 Oct 2023,★★★,False,
Phantom of the Paradise,24 Oct 2023,★★★★,True,
Killers of the Flower Moon,22 Oct 2023,★★★★,True,
Mon Oncle,10 Sep 2023,★★★★½,True,
Mystery Train,10 Sep 2023,★★★★,True,
The Decline of Western Civilization,04 Sep 2023,★★★★,True,
Oppenheimer,30 Aug 2023,★★★½,True,
Zabriskie Point,27 Aug 2023,★★★★★,True,
Music,23 Aug 2023,★★★★,True,
Barbarian Invasion,18 Aug 2023,★★½,False,
The Exorcist,13 Aug 2023,,True,
Almayer's Folly,12 Aug 2023,★★★★★,True,
Down There,06 Aug 2023,★★★★★,True,
From the East,05 Aug 2023,★★★★,True,
South,05 Aug 2023,★★★★,True,
American Stories,05 Aug 2023,★★★★½,True,
Golden Eighties,30 Jul 2023,★★★,True,
The Eighties,30 Jul 2023,,True,
Toute une nuit,30 Jul 2023,★★★★★,True,
Hotel Monterey,29 Jul 2023,,True,
Beauty and the Beast,25 Jul 2023,★★★★★,True,
Barbie,25 Jul 2023,★★★,False,
The Hotel,22 Jul 2023,★★,True,
Monsieur Verdoux,22 Jul 2023,★★★★★,True,
Red Moon Tide,21 Jul 2023,★★★★,True,
Raging Bull,11 Jul 2023,★★★★½,True,
House,10 Jul 2023,★★★★,True,"Profoundly Lynchian, the ending kind of reminded me the ending of Fire Walk With Me. "
Spider-Man: Across the Spider-Verse,08 Jul 2023,★★★½,False,Nice lil rom com
Snakes and Earrings,05 Jul 2023,★★★½,True,
Gummo,02 Jul 2023,★★★★½,True,
Müdigkeitsgesellschaft: Byung-Chul Han in Seoul/Berlin,02 Jul 2023,,True,
Memoria,27 Jun 2023,★★★★★,True,Second viewing at a theatre with dolby system definitely made the film even better. The spaceship thing is kinda growing on me.
Caravaggio,26 Jun 2023,★★★★½,True,
Four Nights of a Dreamer,23 Jun 2023,★★★★★,True,
Little Women,14 Jun 2023,★★★★½,True,
Afire,04 Jun 2023,,False,"Watched it in Berlin, no subtitles. Need a rewatch for sure."
The Master,24 May 2023,,True,
Magnolia,24 May 2023,★★★★,True,
Apocalypse Now,19 May 2023,★★★★½,True,
Honour of the Knights,19 May 2023,★★★★½,True,
Heaven Can Wait,15 May 2023,★★★★½,True,
The Meetings of Anna,07 May 2023,★★★★★,True,
Sophie Scholl: The Final Days,04 May 2023,★★½,False,
EO,04 May 2023,★★★,False,
Parkland of Decay and Fantasy,30 Apr 2023,★★★,False,
Tótem,30 Apr 2023,★★★½,True,
Here,29 Apr 2023,★★★★½,True,Bas sees what we don’t see. 
Chocolat,29 Apr 2023,★★★★½,True,
The Plough,28 Apr 2023,★★★★½,True,
Casablanca,27 Apr 2023,★★★★★,True,
The Conformist,27 Apr 2023,★★★★,True,
Youth,26 Apr 2023,★★★★,True,
The Beast in the Jungle,25 Apr 2023,★★★,True,
On the Adamant,25 Apr 2023,★★★★,False,
Gate of Flesh,24 Apr 2023,★★★½,False,
Blood,23 Apr 2023,★★★★,True,
Super Natural,23 Apr 2023,★★★½,False,
Mama,22 Apr 2023,★★★★,True,
Hellhole,22 Apr 2023,★★★★½,True,
Violet,22 Apr 2023,★★★★,True,
In Water,21 Apr 2023,★★★★½,True,
Walk Up,21 Apr 2023,★★★★★,True,
Journey to the West,21 Apr 2023,★★½,False,
A Chinese Ghost Story,16 Apr 2023,★★★★½,True,
A E I O U – A Quick Alphabet of Love,16 Apr 2023,★★★,False,
France,14 Apr 2023,★★★★,True,
Ashes of Time,14 Apr 2023,★★★★,True,
The Moon Has Risen,21 Mar 2023,★★★★,True,
Theorem,18 Mar 2023,★★★★★,True,If Anne left me like that I’d be just like her for real
Theorem,18 Mar 2023,★★★★★,True,If Anne left me like that I’d be just like her for real
