Movie,Date Watched,Rating,Liked,Review
Slums of Beverly Hills,12 Jan 2024,★★★,True,very cute! love Natasha Lyone! And the Mena Suvari cameo <333
American Psycho,12 Jan 2024,★★★,False,Classic
Green Room,12 Jan 2024,★★★,True,"I feel like the situation they were in could’ve been avoided Idk. However, I do enjoy how some Nazis got their asses beat."
Poor Things,05 Jan 2024,★★★★,True,"Would’ve been better with less French because girl wtf y’all saying 😭good af tho, make those men hurt queen!!Shoutout to Willem Defoe, fellow Wisconsin baddie"
Godzilla Minus One,05 Jan 2024,★★★½,True,probably the best Monster movie I’ve ever seen (I don’t watch a lot of them because they’re all the same). Also a love story.
Burlesque,05 Jan 2024,★★½,True,camp
Wonka,02 Jan 2024,★★★,True,bussy! Timotheé kinda ate
No Hard Feelings,27 Dec 2023,★★½,True,"not terrible not great either. there were really only 2 predictable options for a “feel-good” ending here and this met one of them, to no surprise."
Aquaman and the Lost Kingdom,26 Dec 2023,½,False,"Snoozefest. Once again DC has made a movie that does not only FAIL the Bechdel test, but also has some of the corniest dialogue in theaters now that could only maybe appeal to 8 year old boys or teen moms who never left their hometown and wear dirty pajamas to the local AMC."
The Iron Claw,21 Dec 2023,★★★★½,True,oh my god
May December,20 Dec 2023,★★★,True,oh my god is that Harrison Kracht and Connor Meccay
Saltburn,20 Dec 2023,★★★★,True,
Priscilla,20 Dec 2023,★★★★,True,"been reading the autobiography, the character development across the board seems mostly internal (but extremely moving) and the dramatic points thirst for long-lost pain & experiences that aren’t ours to analyze nor break down."
Saltburn,16 Dec 2023,★★★★,True,
Priscilla,17 Nov 2023,★★★★,True,"been reading the autobiography, the character development across the board seems mostly internal (but extremely moving) and the dramatic points thirst for long-lost pain & experiences that aren’t ours to analyze nor break down."
Saw X,06 Oct 2023,★★,False,
Theater Camp,21 Sep 2023,★★,False,
Lanier,08 Sep 2023,,True,
We Are Your Friends,05 Sep 2023,★★★½,True,
Meg 2: The Trench,13 Aug 2023,★★,False,
Evil Dead Rise,12 Aug 2023,★★★,True,
The Little Hours,27 Jul 2023,★★★½,True,
Last Night in Soho,20 Jul 2023,★★★,True,
Hell House LLC,13 Jul 2023,★★★,True,
Polyester,06 Jun 2023,,False,
Bama Rush,06 Jun 2023,,False,
White Men Can't Jump,19 May 2023,,True,
Swarm,18 May 2023,★★½,True,
BEEF,07 May 2023,,True,
Billie Eilish: The World's a Little Blurry,05 May 2023,,True,
Beau Is Afraid,30 Apr 2023,,True,
The Banshees of Inisherin,03 Feb 2023,,False,
Infinity Pool,02 Feb 2023,★★★★,True,
American Hustle,29 Jan 2023,★★★½,True,
M3GAN,14 Jan 2023,★★,False,
Amsterdam,02 Jan 2023,,False,
The Whale,29 Dec 2022,★★★★★,True,
Love,25 Nov 2022,★★★★★,True,
Dahmer – Monster: The Jeffrey Dahmer Story,03 Oct 2022,★★★½,True,
Samaritan,02 Oct 2022,★½,False,
Don't Worry Darling,27 Sep 2022,★★★½,True,
Elvis,10 Sep 2022,★★★,True,
Eyes Wide Shut,28 Aug 2022,,True,
8 Mile,11 Aug 2022,★★★½,True,
Nope,09 Aug 2022,★★★,True,
Bullet Train,08 Aug 2022,★★★,True,
Hobo with a Shotgun,30 Jun 2022,,False,
Blood Diamond,15 Jun 2022,★★★★,True,
Everything Everywhere All at Once,27 May 2022,★★★★,True,
Run,03 May 2022,★★★,True,
Censor,03 May 2022,★★½,False,
Avatar,09 Apr 2022,★½,False,
The Batman,03 Apr 2022,★★★½,True,
Black Bear,12 Jan 2022,★★★★,True,
"I, Tonya",16 Dec 2021,★★★★,True,
The French Dispatch,27 Nov 2021,★★★,True,
The Devil All the Time,25 Nov 2021,★★★½,True,
Spencer,18 Nov 2021,★★★★,True,
Squid Game,10 Oct 2021,★★★★½,True,
Promising Young Woman,26 Sep 2021,★★★★,True,
The Platform,02 Sep 2021,★★★½,True,
Doctor Sleep,24 Jul 2021,★★★,False,
Lux Æterna,24 Jul 2021,★★★★,True,
John Wick,14 Jul 2021,★★★★,False,
Minari,11 Jul 2021,★★★★,False,
Flower,02 Jul 2021,★★★,False,
The Conjuring: The Devil Made Me Do It,08 Jun 2021,★★★½,True,
I'm Thinking of Ending Things,26 Mar 2021,★★★★,True,
Ocean's Eight,13 Jan 2021,★★★★★,True,
Hereditary,13 Jan 2021,★★★★★,True,
Dunkirk,13 Jan 2021,★★★★,True,
Love,13 Jan 2021,★★★★★,True,

Followers
ethanhacker,rick_ortiz,aletineo,chiv_joelington,kayleeradue,srirachapassion,j_douggy,klnmn1,ashleyaevers,malwild,chasemcnaughton,pipeherlamphe,sydneybusch,jonahtron2,zoelipman,jrobinson37,kygracey,jordynmjacobson,jmilo28,filmsunshine,c__handler,zoesanders,jaxwise,jakilles,joshkirkland,rebecaatha,swampsnake,tashazoey,geneva_drive,salernocinema,raise_hail,helennich,p_ersen,katielecluyse,harsanger,nefelifeyd,ndrewgood,reeceq,vocloz

Following
rick_ortiz,aletineo,savanahgarcia,srirachapassion,j_douggy,klnmn1,malwild,sydneybusch,jrobinson37,kygracey,jmvescio,jonahtron2,chasemcnaughton,swampsnake,tashazoey,jaxwise,zoesanders,c__handler,jordynmjacobson,jmilo28,copes,filmguy197,joshkirkland,rebecaatha,geneva_drive
