Movie,Date Watched,Rating,Liked,Review
The Vast of Night,06 Dec 2020,,True,
David Byrne's American Utopia,17 Oct 2020,,True,
Emma,08 Sep 2020,,False,
Shutter Island,07 Sep 2020,,False,
Irma Vep,23 Aug 2020,,False,
Too Funny to Fail: The Life & Death of The Dana Carvey Show,21 Aug 2020,,False,
I'll Be Gone in the Dark,04 Aug 2020,,False,
Last Christmas,13 Jul 2020,,False,
Palm Springs,10 Jul 2020,,True,
Juice,23 Jun 2020,,False,
Watchmen,20 Jun 2020,,True,
Gully Boy,10 Jun 2020,,False,
Big Night,25 May 2020,,True,
Ready or Not,24 May 2020,,True,
Becoming,10 May 2020,,False,
Swiss Army Man,18 Apr 2020,,False,
Devs,16 Apr 2020,,True,
"Tiger King: Murder, Mayhem and Madness",28 Mar 2020,,False,
Little Women,25 Dec 2019,,True,
Ford v Ferrari,14 Dec 2019,,False,
Knives Out,27 Nov 2019,,True,
Parasite,21 Oct 2019,,True,
Pain and Glory,19 Oct 2019,,True,
Once Upon a Time… in Hollywood,25 Jul 2019,,True,
The Art of Self-Defense,17 Jul 2019,,False,
Toy Story 4,11 Jul 2019,,False,
Midsommar,09 Jul 2019,,False,
Spider-Man: Far from Home,02 Jul 2019,,True,
Colossal,26 Jun 2019,,False,
The Souvenir,11 Jun 2019,,True,
Vox Lux,10 Jun 2019,,True,
Mystery Train,06 Jun 2019,,True,
Booksmart,27 May 2019,,True,
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,26 May 2019,,True,
John Wick: Chapter 3 – Parabellum,17 May 2019,,False,
The Last Picture Show,08 May 2019,,True,
Gloria Bell,23 Mar 2019,,True,
Us,22 Mar 2019,,True,
The Inventor: Out for Blood in Silicon Valley,21 Mar 2019,★½,False,
Can You Ever Forgive Me?,15 Mar 2019,,False,
Leaving Neverland,04 Mar 2019,,False,
Nights of Cabiria,26 Feb 2019,,True,
Burn!,20 Feb 2019,,False,
Journey to Italy,19 Feb 2019,,False,
Serenity,05 Feb 2019,,False,
Tully,20 Jan 2019,,False,
Sideways,09 Jan 2019,,False,
Under the Silver Lake,08 Jan 2019,★★★½,False,
Ralph Breaks the Internet,08 Jan 2019,,False,
The Apartment,07 Jan 2019,,False,
Vice,05 Jan 2019,,False,
Crimes and Misdemeanors,03 Jan 2019,,False,
Game Night,03 Jan 2019,★★★★,True,
Black Mirror: Bandersnatch,28 Dec 2018,,False,
If Beale Street Could Talk,25 Dec 2018,,False,
Spider-Man: Into the Spider-Verse,21 Dec 2018,,True,
Dumplin',16 Dec 2018,,False,
Blockers,15 Dec 2018,,False,
Marie Antoinette,15 Dec 2018,,False,
The Favourite,14 Dec 2018,,True,
Burning,24 Nov 2018,,True,
Widows,23 Nov 2018,,False,
Inherent Vice,21 Nov 2018,,True,
Girlfriends,20 Nov 2018,,True,
The Silence of the Lambs,22 Oct 2018,,False,
A Star Is Born,21 Oct 2018,,False,I was peeing during the thing that led him to relapse/kill himself and I’m wicked confused!!
Cabaret,20 Oct 2018,,False,
A Simple Favor,16 Sep 2018,,False,
Sharp Objects,26 Aug 2018,,True,AIFPFNSKDOCNDJSIKSJFLSKDNDKSKSFKDKDJDJDNDNBDDDKFIDIDJDHD
To All the Boys I've Loved Before,20 Aug 2018,,False,
Funny Girl,18 Aug 2018,,True,
Everybody Wants Some!!,16 Aug 2018,,True,
Crazy Rich Asians,15 Aug 2018,,True,
A Serious Man,14 Aug 2018,,False,
BlacKkKlansman,10 Aug 2018,,True,
Eighth Grade,08 Aug 2018,,False,
Blindspotting,03 Aug 2018,,True,
Three Identical Strangers,01 Aug 2018,,False,
Sorry to Bother You,31 Jul 2018,,False,
An Education,29 Jul 2018,,True,
Mission: Impossible – Fallout,29 Jul 2018,,False,
Eighth Grade,26 Jul 2018,,False,
Blindspotting,25 Jul 2018,,True,
Mamma Mia! Here We Go Again,23 Jul 2018,★★½,False,
The Little Hours,18 Jul 2018,,False,
Chef,18 Jul 2018,,False,
Won't You Be My Neighbor?,08 Jul 2018,,False,
Leave No Trace,03 Jul 2018,★★★½,False,
The Staircase,01 Jul 2018,,False,
Incredibles 2,18 Jun 2018,★★★★,False,
