Movie,Date Watched,Rating,Liked,Review
May December,23 Dec 2023,★★★★,False,
Godzilla Minus One,11 Dec 2023,★★★★½,False,
Pee-wee's Big Adventure,11 Nov 2023,★★★★,False,
Decision to Leave,09 Sep 2023,★★★★½,False,what a fucken way to decide to leave
Passages,31 Aug 2023,★★★★½,False,another one for the disaster bisexual film list
Theater Camp,20 Aug 2023,★★★★,False,
Oppenheimer,30 Jul 2023,★★★★½,False,
Barbie,24 Jul 2023,★★★★,False,"""mothers stand still so our daughters can look back and see how far they've come"" WTF!!!!"
Asteroid City,12 Jul 2023,★★★★½,False,
Past Lives,29 Jun 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,16 Jun 2023,★★★★★,False,
"One Sings, the Other Doesn't",09 Jun 2023,★★★★★,False,what a beautiful film :(
Black Panthers,09 Jun 2023,★★★★,False,
The Case Against 8,02 Jun 2023,★★★,False,
Barb & Star Go to Vista Del Mar,28 Apr 2023,★★★★★,False,absolutely perfect no notes
The Post,23 Apr 2023,★★★★,False,
While You Were Sleeping,22 Apr 2023,★★★★,False,
The Dawn Wall,15 Apr 2023,★★★★,False,the doctor who told him to find a new career after he lost a finger must be feeling really silly now
The Banshees of Inisherin,02 Apr 2023,★★★★,False,
Free Solo,24 Mar 2023,★★★★,False,it really is a magnificent rock
Pride & Prejudice,22 Mar 2023,★★★★★,False,"the hands the stares the arguments the intensity the tenderness!!!!!! ""one word from you will silence me forever"" !!!!! are you kidding me !!!!!!!!"
Shiva Baby,04 Feb 2023,★★★★,True,I LOVE MESS. also this is the realest depiction of the bisexual experience i have ever seen
Palm Springs,04 Feb 2023,★★★,False,the dinosaur scene..... want that for me
The Menu,04 Feb 2023,★★★½,False,"cool film! i laughed out loud at ""student loans?"" ""no"" ""i'm sorry, you're dying"""
TÁR,27 Jan 2023,★★★★½,False,"i really liked this. i just wish the ending wasn't that careless, especially compared to the rest of the film"
Bodies Bodies Bodies,26 Jan 2023,★★★,False,
Glass Onion,04 Jan 2023,★★★★,False,
See How They Run,30 Dec 2022,★★★,False,
Don't Worry Darling,30 Dec 2022,★★½,False,
Top Gun: Maverick,30 Dec 2022,★★★★,False,
Bones and All,19 Nov 2022,★★★½,False,
She Said,19 Nov 2022,★★★★★,False,
The Mitchells vs. The Machines,02 Sep 2022,★★★★,False,
Nope,21 Aug 2022,★★★★,False,
The Gray Man,17 Aug 2022,★★,False,
Cargo,06 Aug 2022,★★½,False,
Will Your Heart Beat Faster?,23 Jul 2022,★★★★★,False,
Thor: Love and Thunder,10 Jul 2022,★★★½,False,
Portrait of a Lady on Fire,05 Jul 2022,★★★★,False,
In the Heights,05 Jul 2022,★★★½,False,
The Worst Person in the World,26 Jun 2022,★★★★,False,
Erin Brockovich,21 Jun 2022,★★★★,False,
