Movie,Date Watched,Rating,Liked,Review
Black Mirror: Joan Is Awful,20 Aug 2023,★★★,False,Did they lie
John Mulaney: Baby J,17 Jun 2023,★★★★★,True,Let me brag real quick and say that I heard this live right after he got out of rehab so therefore I heard this before all of you guys so therefore I’m better than all of you guys
Maid,06 Jun 2023,★★★★★,True,Ik this is based on a real story but I want a fucking spin off where they track down Danielle and get her out of that relationship and away from that man where tf is Danielle
Mean Girls,19 Feb 2023,★★★★★,True,This movie is our nations greatest work
The Hunger Games,17 Feb 2023,★★★★★,True,This movie made me who I am today
Run,10 Jan 2023,★★★,True,•_____• : me the entire movie :D : me when she said now open wide
Where the Crawdads Sing,08 Jan 2023,★★★½,True,what was gained from killing jumpin!!?? no seriously tell me what was gained? what did you gain?
Not Okay,05 Jan 2023,★★★½,True,If it meant getting out of a midterm or something sorry but I’d do this and I’d do it better
Inventing Anna,01 Jan 2023,★★★★,True,"Me every five seconds: sorry for the screw up.,. won’t happen again!"
Peppermint,31 Dec 2022,★½,False,Rent was due …
Glass Onion,31 Dec 2022,★★★★,True,YES this is a good movie NO it is not better than the first knives out
Nocturnal Animals,29 Dec 2022,★★★½,True,sending amy adams a u up? text
Glass Onion,29 Dec 2022,★★★★,True,YES this is a good movie NO it is not better than the first knives out
Bodies Bodies Bodies,29 Dec 2022,★★★★½,True,
Baby Mama,29 Jul 2022,★★★★,True,
Miss Congeniality,29 Jul 2022,★★★½,True,
Miss Sloane,24 May 2022,★★★★½,True,
American Psycho,17 May 2022,★★★★,True,
This Is 40,16 May 2022,★★★½,True,
We Need to Talk About Kevin,15 May 2022,★★★★,True,
Grown Ups,12 May 2022,★★★,True,
Prisoners,11 May 2022,★★★★½,True,
Everything Everywhere All at Once,08 May 2022,★★★★½,True,
Ted,06 May 2022,★★★,True,
Rough Night,05 May 2022,★★,False,
American Animals,04 May 2022,★★★★½,True,
Passengers,03 May 2022,★★½,False,
Forgetting Sarah Marshall,03 May 2022,★★★★½,True,
Jenny Slate: Stage Fright,29 Apr 2022,★★★★,True,
Anthony Jeselnik: Thoughts and Prayers,26 Apr 2022,★★★★,True,
Amy Schumer: The Leather Special,26 Apr 2022,★,False,
White Chicks,25 Apr 2022,★★★,True,
Election,24 Apr 2022,★★★★★,True,
Bad Words,21 Apr 2022,★★★½,True,
50/50,18 Apr 2022,★★★★,True,
Black Mirror: Nosedive,18 Apr 2022,★★★★★,True,
Molly's Game,17 Apr 2022,★★★★,True,
The Wolf of Wall Street,16 Apr 2022,★★★★½,True,
Bridesmaids,15 Apr 2022,★★★★½,True,
Sarah Silverman: A Speck of Dust,11 Apr 2022,★★★★½,False,
Shiva Baby,10 Apr 2022,★★★★★,True,
Ronny Chieng: Speakeasy,10 Apr 2022,★★★,False,
The Heat,03 Apr 2022,★★★★,True,
Miss Sloane,02 Apr 2022,★★★★½,True,
Black Mirror: Shut Up and Dance,23 Mar 2022,★★★,False,
Black Mirror: Fifteen Million Merits,22 Mar 2022,★★★★,False,
Black Mirror: Hang the DJ,21 Mar 2022,★★★★½,True,
Deep Water,21 Mar 2022,★★,False,
Don't Look Up,16 Mar 2022,★★★,False,
Interstellar,16 Mar 2022,★★★★★,True,
Inception,14 Mar 2022,★★★★★,True,
The Glass Castle,12 Mar 2022,★★★,False,
Scream,12 Mar 2022,★★★½,False,
The Batman,12 Mar 2022,★★★★½,True,
Citizen Kane,29 Apr 2021,★★★★★,False,
Little Fires Everywhere,29 Apr 2021,★★★★,False,
David Attenborough: A Life on Our Planet,14 Apr 2021,★★★★,False,
The Captive,25 Mar 2021,★★★½,False,
The Impossible,15 Mar 2021,★★,False,
12 Years a Slave,11 Mar 2021,★★★★½,False,
Lars and the Real Girl,03 Mar 2021,★★★★,False,
Nomadland,22 Feb 2021,★★★★½,True,
I Care a Lot,21 Feb 2021,★★★½,True,
You've Got Mail,18 Feb 2021,★★★½,True,
Beau Is Afraid,18 Feb 2021,,True,
Music,18 Feb 2021,½,False,
Joker,16 Feb 2021,★★,False,
Judas and the Black Messiah,16 Feb 2021,★★★★½,True,
Locked Down,16 Feb 2021,★,False,
Moonrise Kingdom,15 Feb 2021,★★★★,True,
Saint Maud,15 Feb 2021,★★½,False,
John Mulaney: The Comeback Kid,15 Feb 2021,★★★★★,True,
Battle of the Sexes,15 Feb 2021,★★★½,True,
Wild,15 Feb 2021,★★★★½,True,
Murder Mystery,14 Feb 2021,★★½,False,
Marriage Story,14 Feb 2021,★★★★½,True,
Tag,13 Feb 2021,★★★,False,
Game Night,13 Feb 2021,★★½,False,
The Wolf of Wall Street,13 Feb 2021,★★★★★,True,
Trainwreck,13 Feb 2021,★★★½,True,
Blended,13 Feb 2021,★★★½,True,
The Peanut Butter Falcon,12 Feb 2021,★★★★,True,
Burnt,12 Feb 2021,★★½,False,
Eternal Sunshine of the Spotless Mind,11 Feb 2021,★★★★,True,
Life of Pi,11 Feb 2021,★★★★,True,
Euphoria: F*ck Anyone Who’s Not a Sea Blob,11 Feb 2021,★★★★★,True,
