Movie,Date Watched,Rating,Liked,Review
The Book of Clarence,15 Jan 2024,★★,False,way too overscored
Sleeping with Other People,12 Jan 2024,,True,
The Zone of Interest,08 Jan 2024,★★★★½,True,
The Handmaiden,06 Jan 2024,★★★★½,True,"was too shocked by the twists on first watch to even notice the soundtrack but definitely didn’t miss it this time, and DAMN it slaps"
The Iron Claw,05 Jan 2024,★★★★,True,
All of Us Strangers,05 Jan 2024,★★★★½,True,
The Prestige,03 Jan 2024,★★★★★,True,
Polisse,03 Jan 2024,★★★★½,True,
The Nature of Love,24 Dec 2023,★★★½,True,
Past Lives,23 Dec 2023,★★★★,True,
The Nightmare Before Christmas,22 Dec 2023,★★★★½,True,
Corpse Bride,22 Dec 2023,,False,
Arrival,20 Dec 2023,★★★★½,True,
American Fiction,19 Dec 2023,★★★½,True,
The Boy and the Heron,19 Dec 2023,,False,
The Dark Knight,17 Dec 2023,★★★★★,True,
Poor Things,15 Dec 2023,★★★★½,False,
Pride & Prejudice,11 Dec 2023,★★★★★,True,
Love Actually,10 Dec 2023,★★★★½,True,
Klaus,09 Dec 2023,★★★★,True,
The Holiday,01 Dec 2023,★★★★,True,
She's the Man,28 Nov 2023,★★★,False,
Se7en,27 Nov 2023,★★★★,False,
Tinker Tailor Soldier Spy,26 Nov 2023,★★★★,True,
Napoleon,24 Nov 2023,★★,False,Ridley’s use of the 2005 Pride and Prejudice theme score during the Napoleon and Josephine scenes should be morally and ethically illegal.
The Hunger Games: Mockingjay – Part 2,22 Nov 2023,★★★,False,
The Hunger Games: Mockingjay – Part 1,22 Nov 2023,★★★½,False,
The Hunger Games: Catching Fire,19 Nov 2023,★★★★½,True,
The Hunger Games,19 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,★★½,False,
To Catch a Killer,17 Nov 2023,★★½,False,
Next Goal Wins,17 Nov 2023,★★★,False,
Anatomy of a Fall,02 Nov 2023,★★★★,False,
Beckham,25 Oct 2023,,True,
No Hard Feelings,24 Oct 2023,,False,
Killers of the Flower Moon,21 Oct 2023,★★★★½,True,
The Nightmare Before Christmas,20 Oct 2023,★★★★½,True,
Beetlejuice,18 Oct 2023,★★★★,True,
The Wonderful Story of Henry Sugar,13 Oct 2023,,False,
The Creator,03 Oct 2023,★★★★,True,
Dumb Money,27 Sep 2023,,False,
A Haunting in Venice,17 Sep 2023,★★★,False,
"Red, White & Royal Blue",08 Sep 2023,★★★½,True,
Bottoms,08 Sep 2023,★★★,False,
Yannick,21 Aug 2023,★★★½,False,
Oppenheimer,11 Aug 2023,★★★★,False,
Theater Camp,29 Jul 2023,★★★★½,True,
Haunted Mansion,29 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,24 Jul 2023,★★★★,True,
Barbie,21 Jul 2023,★★★½,True,
Indiana Jones and the Dial of Destiny,20 Jul 2023,★★,False,
Pirates of the Caribbean: The Curse of the Black Pearl,09 Jul 2023,★★★★½,True,
Living,28 Jun 2023,★★★,True,
Snow Dogs,27 Jun 2023,★★,False,oh to rewatch your 5yr old self’s favorite film 20 yrs later and realize how god awful it truly was this entire time
The Haunted Mansion,24 Jun 2023,,False,
