Movie,Date Watched,Rating,Liked,Review
Gone Baby Gone,16 Jan 2024,,True,
M3GAN,16 Jan 2024,,True,
Clue,16 Jan 2024,,True,
The Mask,14 Jan 2024,,True,
The Devils,12 Jan 2024,,True,
Strangers on a Train,10 Jan 2024,★★★★½,True,
The Wailing,09 Jan 2024,★★½,False,
Saltburn,09 Jan 2024,★★★,True,
Before the Devil Knows You're Dead,08 Jan 2024,,True,
Rise of the Planet of the Apes,05 Jan 2024,,False,
Rear Window,04 Jan 2024,,True,
Marathon Man,03 Jan 2024,,True,
Tropic Thunder,02 Jan 2024,,True,
The Lord of the Rings: The Return of the King,02 Jan 2024,★★★★★,True,
The Lord of the Rings: The Two Towers,02 Jan 2024,★★★★★,True,
Zoolander,01 Jan 2024,,True,
The Lord of the Rings: The Fellowship of the Ring,31 Dec 2023,★★★★★,True,
Life of Brian,31 Dec 2023,★★★★★,True,
Anatomy of a Fall,30 Dec 2023,,True,
eXistenZ,27 Dec 2023,,True,
24 Hour Party People,27 Dec 2023,,True,
National Lampoon's Christmas Vacation,26 Dec 2023,,True,
Feast of the Seven Fishes,25 Dec 2023,,True,
Jingle All the Way,25 Dec 2023,,False,
Die Hard 2,25 Dec 2023,,True,
The Piano Teacher,23 Dec 2023,,True,
"Aguirre, the Wrath of God",21 Dec 2023,,False,
The Umbrellas of Cherbourg,21 Dec 2023,,True,
The Cranes Are Flying,21 Dec 2023,,True,
Die Hard,21 Dec 2023,,True,
Get Smart,21 Dec 2023,,True,
X2,18 Dec 2023,,True,
X-Men,16 Dec 2023,,True,
The Year Without a Santa Claus,14 Dec 2023,,True,
How the Grinch Stole Christmas!,14 Dec 2023,,True,
Guardians of the Galaxy Vol. 3,05 Dec 2023,,True,
Blazing Saddles,04 Dec 2023,,True,
Nebraska,30 Nov 2023,★★★★★,True,
Freddy Got Fingered,30 Nov 2023,,True,
Bram Stoker's Dracula,30 Nov 2023,★★★,False,
Bringing Out the Dead,29 Nov 2023,,True,
The Holdovers,29 Nov 2023,★★★★★,False,
Fat City,29 Nov 2023,,True,
The Sting,28 Nov 2023,★★★★★,False,
Elf,28 Nov 2023,,True,
The Big Lebowski,14 Nov 2023,★★★★★,True,
The Killer,14 Nov 2023,,True,
Suspiria,01 Nov 2023,,True,
Brain Damage,01 Nov 2023,,True,
Re-Animator,01 Nov 2023,,True,
Austin Powers: International Man of Mystery,30 Oct 2023,,True,
Meg 2: The Trench,29 Oct 2023,,True,
All That Jazz,26 Oct 2023,★★★★★,False,
Killers of the Flower Moon,25 Oct 2023,,True,
Black Narcissus,25 Oct 2023,,True,
A Matter of Life and Death,24 Oct 2023,,True,
Death at a Funeral,24 Oct 2023,,True,
Fast Times at Ridgemont High,23 Oct 2023,,True,
The Pink Panther 2,20 Oct 2023,,False,
The Pink Panther,20 Oct 2023,,True,
Batman Returns,18 Oct 2023,★★★★½,True,
Amadeus,17 Oct 2023,,True,
Sorcerer,16 Oct 2023,,True,
Dark City,16 Oct 2023,★★½,False,
Smoking Causes Coughing,16 Oct 2023,,True,
In the Mouth of Madness,16 Oct 2023,,True,
Little Shop of Horrors,11 Oct 2023,★★★★★,True,
Psycho,11 Oct 2023,,True,
"Paris, Texas",10 Oct 2023,★★★★★,True,
"See No Evil, Hear No Evil",10 Oct 2023,,True,
I Now Pronounce You Chuck & Larry,10 Oct 2023,,True,
Ed Wood,08 Oct 2023,,True,
The Virgin Spring,07 Oct 2023,,False,
The Warriors,04 Oct 2023,★★★★★,True,
To Live and Die in L.A.,02 Oct 2023,,True,
The Godfather,30 Sep 2023,★★★★★,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,,True,
Under the Silver Lake,26 Sep 2023,,True,
You Don't Mess with the Zohan,24 Sep 2023,,True,
The Cabin in the Woods,23 Sep 2023,,True,
Spaceballs,21 Sep 2023,,True,
Signs,20 Sep 2023,,True,
Oppenheimer,19 Sep 2023,,True,
The Red Shoes,18 Sep 2023,★★★★★,True,
The Longest Yard,18 Sep 2023,,True,
Wind River,11 Sep 2023,,True,
Possession,11 Sep 2023,,True,"Dude, what the fuck"
The Meg,09 Sep 2023,,True,
The Naked Gun: From the Files of Police Squad!,07 Sep 2023,,True,
The Asphalt Jungle,23 Aug 2023,,True,
A Fish Called Wanda,22 Aug 2023,,True,
The Lady from Shanghai,22 Aug 2023,,True,
Witness for the Prosecution,22 Aug 2023,★★★★★,True,
The Magnificent Seven,22 Aug 2023,,True,
Rio Bravo,20 Aug 2023,★★★★½,False,
Suspicion,20 Aug 2023,,True,
Four Lions,29 Jul 2023,,True,
Barbie,27 Jul 2023,,True,Michael Cera is back baby!
La Notte,25 Jul 2023,,True,
Hot Rod,24 Jul 2023,,True,
"It's Not Just You, Murray!",24 Jul 2023,,True,
I Saw the Devil,23 Jul 2023,,True,
Stagecoach,13 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,,True,
"What's Up, Doc?",09 Jul 2023,★★★★★,False,
Mission: Impossible III,09 Jul 2023,,True,
Calvary,08 Jul 2023,★★★★★,False,
Tommy Boy,06 Jul 2023,★★★★,False,
Renfield,06 Jul 2023,★★,False,
The Birdcage,02 Jul 2023,★★★★½,False,
Mission: Impossible – Fallout,02 Jul 2023,,True,
12 Angry Men,26 Jun 2023,★★★★★,True,
After Life,24 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,21 Jun 2023,,True,
Hot Fuzz,20 Jun 2023,,True,
We're the Millers,19 Jun 2023,★★★★,False,
Asteroid City,17 Jun 2023,,True,
Billy Madison,09 Jun 2023,★★★★,False,
Gone in Sixty Seconds,09 Jun 2023,,True,
Three Days of the Condor,08 Jun 2023,★★★½,False,
Kindergarten Cop,18 May 2023,,True,
Minions: The Rise of Gru,18 May 2023,,True,
Murder Mystery 2,18 May 2023,,True,
The Mask,18 May 2023,,True,
Guardians of the Galaxy Vol. 2,18 May 2023,,True,
Forgetting Sarah Marshall,17 May 2023,★★,False,
Murder Mystery,15 May 2023,,True,
Dungeons & Dragons: Honor Among Thieves,12 May 2023,,True,
The Super Mario Bros. Movie,12 May 2023,,True,
Master and Commander: The Far Side of the World,29 Apr 2023,,True,
Distant Constellation,25 Apr 2023,,False,
Bedtime Stories,22 Apr 2023,,True,
Nacho Libre,15 Apr 2023,★★★★,True,
Cocaine Bear,11 Apr 2023,★★,False,
Cunk on...,06 Apr 2023,★★★★★,False,
War of the Worlds,04 Apr 2023,,True,
Cunk on Shakespeare,02 Apr 2023,,True,
Monty Python and the Holy Grail,02 Apr 2023,★★★★★,True,
Cop Land,28 Mar 2023,★★★★,True,
John Wick: Chapter 4,25 Mar 2023,,True,
Zero for Conduct,23 Mar 2023,★★★★,True,
Click,22 Mar 2023,,True,Fuck you now I’m crying at the airport
Out of the Past,21 Mar 2023,★★★★½,True,
MacGruber,14 Mar 2023,,True,
Big Daddy,12 Mar 2023,,False,
Vivre Sa Vie,06 Mar 2023,,True,
Miami Connection,04 Mar 2023,,True,
Mission: Impossible II,28 Feb 2023,,True,
RockNRolla,26 Feb 2023,,True,
Basic Instinct,22 Feb 2023,,True,
Life Is Beautiful,20 Feb 2023,,True,
Amarcord,14 Feb 2023,★★★★½,True,
The Sword of Doom,12 Feb 2023,,True,
The Long Goodbye,07 Feb 2023,★★★★★,True,
Aftersun,07 Feb 2023,★★★★½,True,
High and Low,05 Feb 2023,★★★★★,True,
Brüno,03 Feb 2023,,True,
Force Majeure,31 Jan 2023,,True,
Glass Onion,29 Jan 2023,★★★½,True,
Little Nicky,28 Jan 2023,,True,
Val,24 Jan 2023,,True,
A Very Harold & Kumar Christmas,24 Jan 2023,,False,
Triangle of Sadness,24 Jan 2023,★★,False,
The Dictator,23 Jan 2023,,True,
Puss in Boots: The Last Wish,20 Jan 2023,★★★½,False,
I Can Quit Whenever I Want,20 Jan 2023,,True,
Top Secret!,20 Jan 2023,★★★★★,True,
Putney Swope,16 Jan 2023,,True,
The Banshees of Inisherin,12 Jan 2023,,False,
Strange Days,12 Jan 2023,,True,
The Menu,05 Jan 2023,★★★½,False,
This Place Rules,04 Jan 2023,★★★★½,True,
Top Gun: Maverick,01 Jan 2023,,True,
Violent Night,01 Jan 2023,★★★★,True,
Shadow of a Doubt,31 Dec 2022,,True,
Spaceballs,31 Dec 2022,,True,
The Other Guys,30 Dec 2022,,True,
Austin Powers: International Man of Mystery,28 Dec 2022,,True,
