Movie,Date Watched,Rating,Liked,Review
Barbie,15 Jan 2024,★★★½,False,Should’ve had more Alan
Poor Things,15 Jan 2024,★★★★½,False,My friend said he thought he was tripping out while seeing this without seeing any substances and I agree
Tangled,11 Jan 2024,★★★★½,False,A very Disney Disney film in Modern Disney
Kiki's Delivery Service,11 Jan 2024,★★★★½,True,Failure sucks but damn this film makes me feel better about it
Tombstone,10 Jan 2024,★★★★½,False,I’ll be your huckleberry
Akira,07 Jan 2024,★★★★,False,"Hype Movie, I don’t get it, but cool motorcycle!"
The Prince of Egypt,03 Jan 2024,★★★★½,False,"Believe or Don’t Believe, great movie"
Spirited Away,03 Jan 2024,★★★★½,False,Beautiful
Lost in Translation,22 Dec 2023,★★★★,False,How fascinating it is to be bored
The Killer,22 Dec 2023,★★★★,False,Fassbender is a king
Hacksaw Ridge,22 Dec 2023,★★★★,False,Guys will see Andrew Garfield giving an A+ performance and say hell yeah
Lady Bird,22 Dec 2023,★★★½,False," I’d like to make an apology to this film for thinking it was way worse when I was high school, I didn’t really understand it back thenI appreciated a lot of what this film was doing and striving for while also doing some things you don’t see often with this kind of story, Greta Gerwig deserves a lot of recognition for this oneAs an adult, it’s definitely a way better film than I ever gave it credit for,… "
Perfect Blue,22 Dec 2023,★★★★★,True,
Indiana Jones and the Last Crusade,12 Dec 2023,★★★★★,True,
Indiana Jones and the Dial of Destiny,12 Dec 2023,★★,False,
Bill & Ted's Excellent Adventure,27 Nov 2023,★★★★,False,
Scott Pilgrim Takes Off,27 Nov 2023,★★★★½,True,
The Outsiders,20 Aug 2023,★★★½,False,
Edward Scissorhands,20 Aug 2023,★★★★★,True,
Harry Potter and the Philosopher's Stone,20 Aug 2023,★★★½,False,
Good Will Hunting,20 Aug 2023,★★★★★,True,
Nightcrawler,20 Aug 2023,★★★★½,False,
Drive,20 Aug 2023,★★★★½,True,
The Notebook,20 Aug 2023,★★★½,False,
Walk the Line,20 Aug 2023,★★★½,False,
Superman,26 Jul 2023,★★★★★,True,
Spider-Man: Into the Spider-Verse,26 Jul 2023,★★★★★,False,
Dead Poets Society,26 Jul 2023,★★★★½,True,
The Flash,26 Jul 2023,½,False,
Spider-Man: Across the Spider-Verse,26 Jul 2023,★★★★,False,
Cowboy Bebop: The Movie,20 Jul 2023,★★★★,False,
Cowboy Bebop,20 Jul 2023,★★★★½,False,
Pulp Fiction,08 Jul 2023,★★★★,False,
Indiana Jones and the Temple of Doom,08 Jul 2023,★★★★½,False,
Indiana Jones and the Last Crusade,08 Jul 2023,★★★★★,True,
Raiders of the Lost Ark,08 Jul 2023,★★★★★,False,
Asteroid City,08 Jul 2023,★★★★,False,
The Ballad of Buster Scruggs,17 Jun 2023,★★★★,False,
Khonjin House: The Movie,15 Jun 2023,★★★★★,True,
Guardians of the Galaxy Vol. 3,06 May 2023,★★★★½,True,
The Super Mario Bros. Movie,26 Apr 2023,★★★★,False,
The Super Mario Bros. Movie,26 Apr 2023,★★★½,False,
Neon Genesis Evangelion,02 Apr 2023,★★★★★,True,
Neon Genesis Evangelion: The End of Evangelion,02 Apr 2023,★★★★★,True,
Everything Everywhere All at Once,22 Mar 2023,★★★★,False,
Meet the Robinsons,10 Mar 2023,★★★½,False,
La La Land,02 Mar 2023,★★★★½,False,
Black Panther: Wakanda Forever,02 Mar 2023,★★½,False,
Babylon,26 Feb 2023,★★★½,False,
Ant-Man and the Wasp: Quantumania,19 Feb 2023,★,False,
Pokémon: Zoroark - Master of Illusions,27 Jan 2023,½,False,
Pokémon: Giratina and the Sky Warrior,27 Jan 2023,★,False,
Pokémon the Movie: I Choose You!,27 Jan 2023,★★½,False,
Pokémon: Arceus and the Jewel of Life,27 Jan 2023,★★★,False,
Pokémon: Mewtwo Returns,27 Jan 2023,★★,False,
Pokémon the Movie: The Power of Us,27 Jan 2023,★★★½,False,
Pokémon Detective Pikachu,27 Jan 2023,★★★,False,
Pokémon: The Rise of Darkrai,27 Jan 2023,★★½,False,
Pokémon Ranger and the Temple of the Sea,27 Jan 2023,★★,False,
Pokémon: Lucario and the Mystery of Mew,27 Jan 2023,★★★½,False,
Pokémon: Destiny Deoxys,27 Jan 2023,★★½,False,
Pokémon: Jirachi - Wish Maker,27 Jan 2023,★½,False,
Pokémon Heroes,27 Jan 2023,★★★½,False,
Pokémon 4Ever,27 Jan 2023,★★★½,False,
Pokémon 3: The Movie,27 Jan 2023,★★★★½,True,
Pokémon: The Movie 2000,27 Jan 2023,★★★★,False,
Pokémon: The First Movie - Mewtwo Strikes Back,27 Jan 2023,★★★★,False,
A Quiet Place,26 Jan 2023,★★★★,False,
El Camino: A Breaking Bad Movie,24 Jan 2023,★★★★½,True,
Scott Pilgrim vs. the World,23 Jan 2023,★★★★½,False,
Baby Driver,23 Jan 2023,★★★★★,True,
Batman Beyond: Return of the Joker,22 Jan 2023,★★★★,True,
Batman Beyond,22 Jan 2023,★★★★½,True,
Bullet Train,17 Jan 2023,★★½,False,
Avatar: The Way of Water,17 Jan 2023,★★★½,False,
Puss in Boots: The Last Wish,17 Jan 2023,★★★★,False,
The Guardians of the Galaxy Holiday Special,03 Dec 2022,★★★★★,True,
Guardians of the Galaxy Vol. 2,16 Oct 2022,★★★★★,True,
The Mitchells vs. The Machines,23 Sep 2022,★★★★★,False,
How to Train Your Dragon,22 Sep 2022,★★★★★,False,
Shrek 2,22 Sep 2022,★★★★½,False,
Speed Racer,17 Sep 2022,★★★★★,True,
Spider-Man 2,17 Sep 2022,★★★★★,True,
Run Lola Run,17 Sep 2022,★★★★,True,
The SpongeBob SquarePants Movie,17 Sep 2022,★★★★★,True,
Joker,17 Sep 2022,★★★★½,True,
A Beautiful Day in the Neighborhood,17 Sep 2022,★★★★½,True,
Doctor Strange in the Multiverse of Madness,17 Sep 2022,★★★½,False,
A Goofy Movie,17 Sep 2022,★★★★★,True,
Whiplash,17 Sep 2022,★★★★½,True,
The Batman,17 Sep 2022,★★★½,False,
Top Gun: Maverick,17 Sep 2022,★★★★½,True,
Thor: Love and Thunder,17 Sep 2022,★★½,False,
Elvis,17 Sep 2022,★★★★½,True,

Followers
acid_at_711,crlos15,angelotantuico,lynzramish,chrisjmays,rammadeus,abaldw27,oliviaalice,candlestick19,alicewinter,olbe1802,zarakxo,kaceyg,dan_felix,brendonyu668,anamorphile,fischie,blakehunter198,retronerd

Following
acid_at_711,crlos15,mscorsese,angelotantuico,lynzramish,chrisjmays,estheronfilm,fischie,abaldw27,rammadeus,oliviaalice,candlestick19,aidonahue96,lz,connoreatspants,alicewinter,zarakxo,kaceyg,aarnavojha,schaffrillas,blakehunter198,courtneysawitch,vocloz,anamorphile,retronerd
