Movie,Date Watched,Rating,Liked,Review
Self Reliance,14 Jan 2024,★★★,False,i love jake johnson and anna kendrick but this never fully gelled for me. it felt like the script needed another draft - there wasn't enough character development for me to be invested in the romance and it was truly all over the place.
Support the Girls,13 Jan 2024,★★★½,False,this is immaculate. no notes
Joy Ride,13 Jan 2024,★★★★,False,"i cackled - and cried! - this was deeply funny and weirdly moving. the four leads are excellent, with some of the best buddy chemistry i think i've ever seen. i do think it loses a little steam in the last third or so - but the rest is so fun that i don't even care!"
The Hunger Games: The Ballad of Songbirds & Snakes,12 Jan 2024,★★★½,False,"i still think the same things that don't work very well in the book (namely the pacing) don't work here, but i was completely captivated from start to finish and thought the performances were good. it LOOKED gorgeous."
A Walk to Remember,10 Jan 2024,★★,False,"mandy moore's performance in this is proof that you can become a better actor with practice and work, and shane west's is proof that you have to want to!"
Anatomy of a Fall,09 Jan 2024,★★★★,False,"very good performances and lots to chew on here, but i think it's like 30 minutes too long (sorry)!"
Killers of the Flower Moon,07 Jan 2024,★★★★½,False,i don't have anything profound or unique to say but uh yeah this was pretty incredible
Priscilla,03 Jan 2024,★★★★½,False,really moving and upsetting and handled with such care for its central character. i was riveted watching her become increasingly isolated from literally everyone at such a young age. what a heartbreaker of a movie.
Cat Person,03 Jan 2024,★★,False,what the fuck was that third act? 
Anyone But You,28 Dec 2023,★★★½,False,"a bit uneven tbh but i laughed a lot and i thought the chemistry was great, even if i couldn't stop thinking about that meme that said glen powell looks like a capybara that made a wish to become human."
The Family Stone,24 Dec 2023,★★★★★,True,
Home Alone 2: Lost in New York,24 Dec 2023,★★★½,False,"i remember really loving this as child, though i suspect a lot of that was wanting to stay in a fancy hotel. this was darker and more violent than i remembered and doesn't quite capture the magic of the first. still fun, though."
Home Alone,24 Dec 2023,★★★★,False,"much more fun than i remembered, but his family still feels like the biggest bunch of assholes!"
"Miracle in Bethlehem, PA",22 Dec 2023,★,False,
While You Were Sleeping,21 Dec 2023,★★★★★,True,
The Holiday Proposal Plan,19 Dec 2023,★½,False,
A Christmas Intern,19 Dec 2023,½,False,
Friends & Family Christmas,18 Dec 2023,★★★,False,
She's All That,17 Dec 2023,★★★½,False,
Sealed with a List,17 Dec 2023,★★★,False,
The Secret Gift of Christmas,16 Dec 2023,★★,False,
Christmas As Usual,16 Dec 2023,★,False,
Holiday in the Vineyards,15 Dec 2023,★★,False,
Heaven Down Here,15 Dec 2023,½,False,
"Yes, Chef! Christmas",12 Dec 2023,★★,False,
Yuletide the Knot,12 Dec 2023,★½,False,
"Silent Night, Fatal Night",12 Dec 2023,½,False,
A Cowboy Christmas Romance,12 Dec 2023,★★½,False,
Round and Round,11 Dec 2023,★★★★,False,
Rescuing Christmas,10 Dec 2023,★★½,False,
Christmas on Cherry Lane,10 Dec 2023,★★,False,
To All a Good Night,09 Dec 2023,★★,False,
Magic in Mistletoe,09 Dec 2023,★,False,
Leave the World Behind,08 Dec 2023,★★★★,False,
Mistletoe Match,05 Dec 2023,★,False,
Ladies of the '80s: A Divas Christmas,04 Dec 2023,★½,False,
Christmas in Maple Hills,04 Dec 2023,½,False,
Christmas with a Kiss,04 Dec 2023,★★,False,
A Not So Royal Christmas,03 Dec 2023,★,False,
Josie and the Pussycats,02 Dec 2023,★★★,True,
May December,02 Dec 2023,★★★★,True,
My Norwegian Holiday,02 Dec 2023,★½,False,
Love Has Won: The Cult of Mother God,02 Dec 2023,★★★½,False,
Time for Her to Come Home for Christmas,01 Dec 2023,★,False,
Laughing All the Way,30 Nov 2023,★,False,
"Are You There God? It's Me, Margaret.",29 Nov 2023,★★★½,False,
The Holdovers,29 Nov 2023,★★★★,False,
Escaping Twin Flames,28 Nov 2023,★★★,False,
A Biltmore Christmas,28 Nov 2023,★★★★★,False,
Our Christmas Mural,28 Nov 2023,★,False,
Christmas at the Chalet,27 Nov 2023,★★½,False,
Haul Out the Holly: Lit Up,27 Nov 2023,★★,False,
Holiday Road,27 Nov 2023,★★★,False,
Letters to Santa,26 Nov 2023,★,False,
