Movie,Date Watched,Rating,Liked,Review
Carnival of Souls,13 Jan 2024,,False,You cannot live in isolation from the human race you know
NightMare,13 Jan 2024,★★★,False,Would not consider this a horror genre. But is horror in my mind. Couple get an apartment Boy assumes children are in the future Girl becomes entrapped in her mind trying to make him happy when she does not know what she really wants in real life She seeks help with nightmares and sleep walkingBecomes ‘coma-ed’ and stuck in the reality she imagined life he wants for them. Nightmare become real life
No One Will Save You,12 Nov 2023,★★★★,False,
The Cleansing Hour,27 Oct 2023,★★★,False,Cut the feed
The House on Sorority Row,27 Oct 2023,★★,False,
The Mill,10 Oct 2023,★★,False,"I like the idea and the concept of the movie, but I really did not need to be that long"
A Tourist's Guide to Love,19 Aug 2023,★★★★,False,This is exactly the cheesy romance film that I prefer to watch over other romance films
Burnt Offerings,05 Jul 2023,★★★,False,The house takes care of itself
Unwelcome,28 Jun 2023,★,False,Tried too hard to make their issue a huge deal
Final Exam,20 May 2023,★★,False,
The Offering,22 Apr 2023,★★★★,False,I really like this movie. I thought it was good.I would’ve liked to have gotten more into the folklore of the belief
Grizzly,17 Apr 2023,★★,False,Very 70’s
Bodies Bodies Bodies,17 Apr 2023,★★★,False,Did not expect that endingThe movie drive down a little bitI will too much woman screaming for me
Black Roses,07 Mar 2023,★★★★,False,This is one of those movies where it’s just so bad that it’s so goodIt’s just cheesy and horrible and the acting is bad and the plot line is horrible and the main storyline is going nowhere
Ebola Rex,26 Feb 2023,★,False,Not a lot of T-rex action
M3GAN,26 Feb 2023,★★★,False,
Slash/Back,25 Feb 2023,★★★★,False,
Slapface,25 Feb 2023,★★,False,
The Stylist,23 Feb 2023,★★★★★,True,
Censor,22 Feb 2023,★★★★,False,
Piggy,22 Feb 2023,★★★,False,
Blood Relatives,21 Feb 2023,★★,False,
Wake in Fright,20 Feb 2023,★,False,
Isolation,20 Feb 2023,★★★,False,
A Demon Within,14 Feb 2023,★★,False,
The Last Thing Mary Saw,29 Jan 2023,★★,False,
Horsehead,29 Jan 2023,★★,False,
Under Her Control,19 Jan 2023,★★,False,
The Mutations,18 Jan 2023,★★,False,
Rampage,16 Jan 2023,★★★,False,
Total Recall,15 Jan 2023,★★,False,
Wicked,14 Jan 2023,★★★,False,
Unhuman,14 Jan 2023,★★,False,
The Menu,14 Jan 2023,★★★★,False,
Jack Frost,08 Jan 2023,★★,False,
Doors,07 Jan 2023,★★★,False,
Troll,04 Jan 2023,★★,False,
Better Watch Out,02 Jan 2023,★★★★,False,
X,31 Dec 2022,★★★★,False,
Guillermo del Toro's Pinocchio,29 Dec 2022,★★★★,False,
Out of the Dark,29 Dec 2022,★★★,False,
Forget Me Not,29 Dec 2022,★,False,
Mothman,29 Dec 2022,★★,False,
The Woods,27 Dec 2022,★★★★,False,
Dead End,23 Dec 2022,★★★,False,
Red Christmas,23 Dec 2022,★,False,
Black Christmas,22 Dec 2022,★★★★,False,
Black Christmas,22 Dec 2022,★★★,False,
A Nasty Piece of Work,21 Dec 2022,★,False,
Winterbeast,17 Dec 2022,★,False,
Await Further Instructions,17 Dec 2022,★★★,False,
The Night Watchmen,17 Dec 2022,★★★★,False,
Nope,17 Dec 2022,★★★★,False,
The Wolf of Snow Hollow,09 Dec 2022,★★,False,
Dual,04 Dec 2022,★★,False,
The Golem,02 Dec 2022,★★★,False,
Stir of Echoes,28 Nov 2022,★★★★,False,
Dolls,28 Nov 2022,★★★★,False,
The Good Nurse,27 Nov 2022,★★★,False,
The Mist,26 Nov 2022,★★★,False,
Terrifier,25 Nov 2022,★★★,False,
All Hallows' Eve,25 Nov 2022,★★★,False,
Village of the Damned,25 Nov 2022,★★,False,
They Live,25 Nov 2022,★★★★,False,
Eat Locals,24 Nov 2022,★,False,
Bloodsucking Bastards,24 Nov 2022,★★,False,
Fresh Meat,24 Nov 2022,★★★★,False,
Some Guy Who Kills People,24 Nov 2022,★★★,False,
Willow Creek,23 Nov 2022,★★,False,
All the Kind Strangers,20 Nov 2022,★,False,
Smile,19 Nov 2022,★★★★,False,
Torn Hearts,15 Nov 2022,★,False,
Deadline,14 Nov 2022,★★★,False,
Kiss of the Damned,14 Nov 2022,★★★,False,
Popcorn,12 Nov 2022,★★,False,
Blue Sunshine,12 Nov 2022,★★,False,
Sometimes They Come Back,11 Nov 2022,★★,False,
Dashcam,11 Nov 2022,★★,False,
Promising Young Woman,06 Nov 2022,★,False,
After Midnight,01 Oct 2022,★★★,False,
Sole Survivor,30 Sep 2022,★★★,False,
The Mutilator,30 Sep 2022,★★,False,
Carved,25 Sep 2022,★★★★,False,
Trespassers,25 Sep 2022,★★,False,
Nekrotronic,24 Sep 2022,★★★,False,
Tales of Terror,19 Sep 2022,★★★,False,
To All a Goodnight,19 Sep 2022,,False,
Henry: Portrait of a Serial Killer,13 Sep 2022,★★★★,False,
The Cellar,10 Sep 2022,★★,False,
Watcher,03 Sep 2022,★★★,False,
Fried Barry,07 Aug 2022,★★★★,False,
12/12/12,03 Aug 2022,★,False,
Final Draft,03 Aug 2022,★,False,
Luther the Geek,03 Aug 2022,★,False,
The Wailing,03 Aug 2022,★★,False,
The House of the Devil,02 Aug 2022,★★,False,
I Am Lisa,02 Aug 2022,★★★,False,
You Won't Be Alone,01 Aug 2022,★★,False,
The Woman,08 Jul 2022,★★★★,True,
Face of Evil,08 Jul 2022,★,False,
