Movie,Date Watched,Rating,Liked,Review
The Iron Claw,15 Jan 2024,,False,
May December,11 Jan 2024,,False,
Sunburn,07 Jan 2024,,False,
Mulholland Drive,06 Jan 2024,,False,
The Killer,02 Jan 2024,,False,
The King of Comedy,01 Jan 2024,,False,
Saltburn,30 Dec 2023,,False,
Love Actually,29 Dec 2023,,False,
Lost in Translation,27 Dec 2023,,False,
Anatomy of a Fall,24 Dec 2023,,True,
Poor Things,22 Dec 2023,,False,
The Holdovers,19 Dec 2023,,False,
Kes,19 Dec 2023,,False,
Lady Bird,17 Dec 2023,,False,
Heat,16 Dec 2023,,False,
Shrek,15 Dec 2023,,False,
La Haine,07 Dec 2023,,False,
Freaky Friday,07 Dec 2023,,False,
Dream Scenario,01 Dec 2023,,False,
Whiplash,19 Nov 2023,,False,
Quiz Lady,19 Nov 2023,,False,
All the Light We Cannot See,15 Nov 2023,,False,
Anatomy of a Fall,05 Nov 2023,,True,
"Good Night, and Good Luck.",03 Nov 2023,,False,
The Exorcist,31 Oct 2023,,False,
Death Becomes Her,30 Oct 2023,,False,
Bottoms,27 Oct 2023,,False,
The Elephant Man,24 Oct 2023,,False,
Killers of the Flower Moon,20 Oct 2023,,False,
Evil Does Not Exist,06 Oct 2023,,False,
Kate & Leopold,27 Sep 2023,,False,Oof
You've Got Mail,25 Sep 2023,,False,
Wimbledon,17 Sep 2023,,False,
Monster,08 Sep 2023,,False,
Past Lives,06 Sep 2023,,False,
The Music Box,24 Aug 2023,,False,
No Reservations,22 Aug 2023,,False,
First Reformed,13 Aug 2023,,False,
Barbie,11 Aug 2023,,False,
Stranger Than Paradise,10 Aug 2023,,False,
A Summer's Tale,09 Aug 2023,,False,
They Live,09 Aug 2023,,False,
Before Sunset,08 Aug 2023,,False,
The Flash,22 Jul 2023,,False,
EO,10 Jul 2023,,False,
Frances Ha,02 Jul 2023,,False,
Spider-Man: Across the Spider-Verse,25 Jun 2023,,True,
The Meyerowitz Stories (New and Selected),22 Jun 2023,,False,
Whip It,18 Jun 2023,,False,
Asteroid City,16 Jun 2023,,False,
Barcelona,15 Jun 2023,,False,
Sullivan's Travels,07 Jun 2023,,False,
The Lady Eve,06 Jun 2023,,False,
One Fine Morning,04 Jun 2023,,False,
The Doom Generation,22 May 2023,,False,
About Time,20 May 2023,,False,
Air,19 May 2023,,False,
All the Beauty and the Bloodshed,05 Apr 2023,★★★★★,True,
News from Home,05 Apr 2023,,False,
Garden State,04 Apr 2023,,False,
Living,02 Apr 2023,,False,
10 Things I Hate About You,02 Apr 2023,,False,
Whisper of the Heart,24 Mar 2023,,False,
Harlan County U.S.A.,19 Mar 2023,★★★★★,True,
My Year of Dicks,12 Mar 2023,,False,
Metropolitan,05 Mar 2023,,False,
In Bruges,03 Mar 2023,,False,
Lovers Rock,07 Feb 2023,,False,
After Yang,04 Feb 2023,,False,
Minority Report,26 Jan 2023,,False,
Wild Relatives,25 Jan 2023,,False,
TÁR,24 Jan 2023,,False,
Bambi,22 Jan 2023,,False,
The Menu,18 Jan 2023,,False,
Aftersun,17 Jan 2023,,True,
All Quiet on the Western Front,13 Jan 2023,,False,
Infernal Affairs,12 Jan 2023,,False,
The Rules of the Game,12 Jan 2023,,False,
Me and You and Everyone We Know,09 Jan 2023,,False,
High Fidelity,04 Jan 2023,,False,
Léon: The Professional,03 Jan 2023,,False,
The Wolfpack,03 Jan 2023,,False,
La Jetée,03 Jan 2023,,False,
The Apartment,24 Dec 2022,,False,
Collateral,24 Dec 2022,,False,
Bones and All,19 Dec 2022,,False,
Stories We Tell,26 Nov 2022,,False,
La Haine,26 Oct 2022,,False,
The Harder They Come,12 Sep 2022,,True,

Followers
forestgrape,slcurrie,jackieo422,helensaranoh,lizardeagles,chasemayo,kyler,djkimchi,aweinstock,qtucker,maxheff

Following
helensaranoh,forestgrape,slcurrie,mscorsese,jackieo422,lizardeagles,chasemayo,kyler,djkimchi,aweinstock,qtucker,maxheff,beccaweinzimer
