Movie,Date Watched,Rating,Liked,Review
Pink Flamingos,13 Jan 2024,,False,he’s a legend but if I see John Waters walking towards me I’m crossing the street
Minions,12 Jan 2024,,False,why the minions say que paso to eachother that’s not minionese that’s spanish
Those Who Wish Me Dead,10 Jan 2024,★★½,False,tyler perry is in this
The Polar Express,07 Jan 2024,★★★★★,False,the gross all white elves need to go to jail
The Prestige,03 Jan 2024,,False,chrissy noly such a girls girl for exposing magicians as poor lovers
My Fault,02 Jan 2024,,False,when is the wattpad documentary coming out these women run the industry now
Children of Men,01 Jan 2024,,False,i Have Thoughts
Along for the Ride,30 Dec 2023,★★,False,what this lacked in plot it made up for in accuracy about eastern europeans working in beach towns
The Iron Claw,28 Dec 2023,,False,i rebuke this. this movie should not be seen. this movie must be buried deep deep underground where no one can lay eyes on it. i wish i could go back to life before this movie. it was a fantastic movie. i rebuke. i rebuke
Wonka,25 Dec 2023,★★★★,True,if timothée the chocolate man then call me a chocoholic 😏🍫❤️
The Only Living Boy in New York,23 Dec 2023,★★★★,False,more incel stuff but fun watch w the sisters :)
Saltburn,22 Dec 2023,★★★½,False,fun🙂
Wanda Sykes: I'm an Entertainer,21 Dec 2023,★★★★,True,
Greenberg,21 Dec 2023,★½,False,
The Grinch,20 Dec 2023,,True,
The Adjustment Bureau,19 Dec 2023,,False,
Catch Me If You Can,13 Dec 2023,★★★½,False,
Poor Things,11 Dec 2023,,True,
The Hunger Games,11 Dec 2023,★★★★½,True,
Where the Crawdads Sing,06 Dec 2023,★★★,False,
May December,05 Dec 2023,,False,
Anatomy of a Fall,27 Nov 2023,★★★½,False,
Desert Hearts,21 Nov 2023,★★★★,True,
Live Flesh,15 Nov 2023,★★★★,False,
A Tale of Autumn,13 Nov 2023,★★★,False,
Superbad,09 Nov 2023,★★★★,True,
The Amazing Spider-Man,05 Nov 2023,★★★½,True,
Jawbreaker,22 Oct 2023,★★★★,True,
Ms .45,22 Oct 2023,★★★½,False,
I Was a Teenage Serial Killer,22 Oct 2023,★★★,False,
Mermaid Legend,22 Oct 2023,★★★,False,
Sex and Lucía,20 Oct 2023,★★½,False,
Taylor Swift: The Eras Tour,14 Oct 2023,,True,
Children of Shatila,14 Oct 2023,★★★★★,True,
Dicks: The Musical,13 Oct 2023,★★★★½,True,
Hoot,08 Oct 2023,★★,False,
AAA-AAA,04 Oct 2023,,False,
Theater Camp,23 Sep 2023,★★½,False,
Hot Irons,21 Sep 2023,,True,
Moonstruck,20 Sep 2023,★★★★½,True,
Chocolate Babies,14 Sep 2023,★★★½,True,
Hello America,12 Sep 2023,★★★★½,True,
Dog Day Afternoon,08 Sep 2023,★★★★,True,
Bottoms,05 Sep 2023,★★★★½,True,
You Are So Not Invited to My Bat Mitzvah,03 Sep 2023,★½,False,
Set It Up,28 Aug 2023,★★½,False,
Shiva Baby,26 Aug 2023,★★★★,True,
Cloudscape,16 Aug 2023,★★★★,True,
Which Way Is East: Notebooks from Vietnam,16 Aug 2023,★★★,False,
Buffy the Vampire Slayer,15 Aug 2023,★★★★,False,
"Red, White & Royal Blue",14 Aug 2023,★★½,False,
Barbie,23 Jul 2023,,False,
Oppenheimer,22 Jul 2023,,False,
I Care a Lot,14 Jul 2023,★★½,False,
Bama Rush,11 Jul 2023,★★,False,
Millennium Mambo,06 Jul 2023,★★★,False,
Volver,01 Jul 2023,★★★★,True,
Polite Society,08 May 2023,★★★★½,True,
Showing Up,07 May 2023,★★½,False,
Frances Ha,06 May 2023,★★★★,True,
John Mulaney: Baby J,29 Apr 2023,★★★½,False,
Puss in Boots,16 Apr 2023,★★★★,True,
Gone Girl,09 Apr 2023,★★½,False,
Garden State,09 Apr 2023,★★½,False,
The Devil Queen,26 Mar 2023,★★★½,False,
Louis Tomlinson: All of Those Voices,26 Mar 2023,★★★,False,
An Ostrich Told Me the World Is Fake and I Think I Believe It,17 Mar 2023,★★★½,True,
Navalny,17 Mar 2023,★★★★,True,
Night Ride,15 Mar 2023,★★★★,True,
An Irish Goodbye,15 Mar 2023,★★★½,False,
The Red Suitcase,15 Mar 2023,★★,False,
Le Pupille,15 Mar 2023,★★½,False,
The Banshees of Inisherin,12 Mar 2023,★★★½,False,
Elvis,10 Mar 2023,★★,False,
Not Okay,23 Feb 2023,★★,False,
Penguins of Madagascar,19 Feb 2023,★★★★½,True,
21,10 Feb 2023,★,False,
Eternal Sunshine of the Spotless Mind,08 Feb 2023,★★★★,True,
The Menu,07 Feb 2023,★★★½,False,
Emily the Criminal,05 Feb 2023,★★★,False,
You People,04 Feb 2023,★★★,False,
Skinamarink,16 Jan 2023,★½,False,
Scott Pilgrim vs. the World,14 Jan 2023,,False,
Juno,28 Dec 2022,★★★★½,True,
Your Christmas or Mine?,26 Dec 2022,,False,
Glass Onion,24 Dec 2022,★★★,False,
Aftersun,17 Dec 2022,★★★★,True,
Bullet Train,16 Dec 2022,★★½,False,
Bones and All,22 Nov 2022,★★★★,True,
My Policeman,22 Oct 2022,★★½,False,
"Good Luck to You, Leo Grande",15 Oct 2022,★★★½,False,
Luckiest Girl Alive,10 Oct 2022,,False,
Don't Worry Darling,26 Sep 2022,★★★½,False,
Bodies Bodies Bodies,03 Sep 2022,★★★,False,
Nope,13 Aug 2022,★★★½,True,
Everything Everywhere All at Once,04 Aug 2022,★★★★,True,
The Batman,13 Mar 2022,★★★½,False,
The Tinder Swindler,05 Mar 2022,,False,
Moxie,22 Jan 2022,★★½,False,
West Side Story,04 Jan 2022,★★★½,False,

Followers
jeeves_k,burgerc,zulexaco,sfacpplmnlndng,ggarrison,csilvermanlloyd,jratkinson,bouchh,salmasssss,mfa024,sparmet,asmvk,antsnmypants,natekrieger,enriquem,ssaai,ivorc,drdew,fratosweeney,defrazio,saskiacurry,duckbaby205,hgoodwinpier,steviemovies,irmakgur,lilililicaplan,baizluhrmann,awestreich_bog,jcicco,racconarmy,lepelstat,hlevine,gr00vyj,dustintmorris,lilyrspar,lailag13,indecisivejack,davidmovies123,marcelthompson

Following
burgerc,sfacpplmnlndng,csilvermanlloyd,salmasssss,asmvk,enriquem,defrazio,ivorc,saskiacurry,hgoodwinpier,duckbaby205,irmakgur,pabloakira,baizluhrmann,steviemovies,jcicco,awestreich_bog,racconarmy,lailag13,marcelthompson,davidmovies123,hlevine,lilililicaplan,bowenyang,gr00vyj
