Movie,Date Watched,Rating,Liked,Review
"New York, New York",13 Jan 2024,★½,False,
Poor Things,12 Jan 2024,★★½,False,
Working Girls,02 Jan 2024,★★★★,False,
Sleeper,29 Dec 2023,,False,
Fanny and Alexander,28 Dec 2023,★★★★★,False,
News from Home,27 Dec 2023,,False,
"Je, Tu, Il, Elle",27 Dec 2023,,False,
The Holdovers,25 Dec 2023,★★½,False,
Le Grand Amour,25 Dec 2023,★★★½,False,
Maestro,23 Dec 2023,★★★½,False,
The Shop Around the Corner,21 Dec 2023,,False,
Christmas in Connecticut,21 Dec 2023,,False,
"Olive, The Other Reindeer",21 Dec 2023,,True,
Annie Hall,17 Dec 2023,★★★★★,False,
Body Double,17 Dec 2023,★½,False,
It's a Wonderful Life,16 Dec 2023,★★★★★,False,
May December,05 Dec 2023,,True,
"I Love You, Daddy",02 Dec 2023,★½,False,
Killers of the Flower Moon,30 Nov 2023,★★★★,False,
Elf,24 Nov 2023,,False,
About My Father,23 Nov 2023,★½,False,
"Bell, Book and Candle",21 Nov 2023,★★★,False,
A Charlie Brown Christmas,21 Nov 2023,,False,
A Charlie Brown Thanksgiving,21 Nov 2023,,False,
Tampopo,18 Nov 2023,★★★½,False,
The Chambermaid Lynn,16 Nov 2023,★★,False,
The Conversation,15 Nov 2023,★★★½,False,
Carol,14 Nov 2023,★★★★,False,
"Hi, Mom!",09 Nov 2023,★★★,False,
Singin' in the Rain,09 Nov 2023,★★★★★,False,
Sisters,08 Nov 2023,★★★½,False,
Phantom of the Paradise,06 Nov 2023,★★★★★,False,
Priscilla,04 Nov 2023,★★★★,False,
The Bonfire of the Vanities,03 Nov 2023,★½,False,
Fox and His Friends,31 Oct 2023,★★★★,False,
Autumn Sonata,27 Oct 2023,★★★★,False,
Public Speaking,24 Oct 2023,,False,
Pootie Tang,21 Oct 2023,★★★,False,
David Lynch: The Art Life,21 Oct 2023,★★★½,False,
Walk Hard: The Dewey Cox Story,19 Oct 2023,★★★,False,
Hearts of Darkness: A Filmmaker's Apocalypse,14 Oct 2023,,False,
Apocalypse Now,13 Oct 2023,★★★★★,False,
Rope,10 Oct 2023,★★★½,False,
North by Northwest,10 Oct 2023,★★★★,False,
Funny People,25 Sep 2023,★★★,False,
All About Eve,23 Sep 2023,★★★★★,False,
Black Orpheus,23 Sep 2023,★★★,False,
Taxi Driver,20 Sep 2023,★★★★★,False,
Stop Making Sense,11 Sep 2023,★★★★,False,
The Mother and the Whore,09 Sep 2023,★★★,False,
Santa Claus Has Blue Eyes,07 Sep 2023,,False,
Robinson's Place,07 Sep 2023,,False,
My Big Fat Greek Wedding 3,31 Aug 2023,,False,
Yi Yi,28 Aug 2023,★★★★½,False,
Atsuko Okatsuka: The Intruder,27 Aug 2023,,False,
Tokyo Pop,26 Aug 2023,★★★★,False,
Introduction to Arnold Schoenberg’s Accompaniment to a Cinematic Scene,24 Aug 2023,,False,
"The Bridegroom, the Actress, and the Pimp",24 Aug 2023,,False,
A Corner in Wheat,24 Aug 2023,,False,
Take Out,23 Aug 2023,★★★★½,False,
Eat Drink Man Woman,22 Aug 2023,★★½,False,
The Love Witch,18 Aug 2023,★★★★,False,
The Hypnotist,16 Aug 2023,★★★½,False,
Three Examples of Myself as Queen,15 Aug 2023,★★★½,False,
Jackie Brown,14 Aug 2023,★★★★★,False,
A Visit from the Incubus,13 Aug 2023,★★★,False,
Coffy,13 Aug 2023,★★★,False,
Viva,10 Aug 2023,★★★★,False,
Doug Stanhope: The Dying of a Last Breed,09 Aug 2023,,False,
Person to Person,07 Aug 2023,★★★½,False,
Person to Person,07 Aug 2023,★★★½,False,
Showgirls,04 Aug 2023,,False,
"What's Up, Doc?",22 Jul 2023,★★½,False,
Barbie,20 Jul 2023,★★,False,
Asteroid City,15 Jul 2023,★★★,False,
The Crown Jewels of Iran,10 Jul 2023,★★★,False,
The Brick and the Mirror,09 Jul 2023,★★★★,False,
Something Wild,08 Jul 2023,★★½,False,
Romeo + Juliet,06 Jul 2023,★★★★,False,
Happy Together,28 Jun 2023,★★★★,False,
When It Rains,27 Jun 2023,★★★,False,
California Typewriter,23 Jun 2023,★★★,False,
The Florida Project,22 Jun 2023,★★★★,False,
Red Rocket,21 Jun 2023,★★★★½,False,
Show Me Love,16 Jun 2023,★★★★★,False,
Starlet,13 Jun 2023,★★★★,False,
Magic Mike XXL,30 May 2023,,False,
Bergman Island,29 May 2023,★★★½,False,
Magic Mike,28 May 2023,,False,
Master Gardener,28 May 2023,★,False,
The Human Stain,27 May 2023,★½,False,
The Addiction,23 May 2023,★★★,False,
3 Women,16 May 2023,★★★★½,False,
13 Going on 30,15 May 2023,,False,
Old Enough,15 May 2023,★★★,False,
Dogtooth,13 May 2023,,False,
Heaven Knows What,10 May 2023,,False,
Career Girls,07 May 2023,★★★,False,
Kiki's Delivery Service,02 May 2023,★★★½,False,
Blue Jasmine,02 May 2023,★★★½,False,
Happy-Go-Lucky,02 May 2023,★★★★★,False,
Andrei Rublev,30 Apr 2023,★★★★,False,
The Red Shoes,28 Apr 2023,★★★★,False,
Mulholland Drive,27 Apr 2023,★★★★,False,
Original Cast Album: Company,26 Apr 2023,★★★★½,False,
Showing Up,26 Apr 2023,★★★★,False,
River of Grass,09 Apr 2023,★★★½,False,
Old Joy,07 Apr 2023,★★★½,False,
Donnie Darko,02 Apr 2023,★★★★½,False,
Wild at Heart,31 Mar 2023,★★★½,False,
TÁR,21 Mar 2023,,False,
Reality Bites,13 Mar 2023,,False,
Legally Blonde,12 Mar 2023,,False,
Satantango,11 Mar 2023,,False,
Asparagus,07 Mar 2023,★★★★½,False,
Scenes from a Marriage,05 Mar 2023,★★★★,False,
Goodbye Jerome!,02 Mar 2023,,False,
Céline and Julie Go Boating,25 Feb 2023,★★★★½,False,
Sunday in Peking,23 Feb 2023,,False,
What's a Nice Girl Like You Doing in a Place Like This?,23 Feb 2023,★★★★,False,
Klute,22 Feb 2023,★★★,False,
"Paris, Texas",11 Feb 2023,★★★★,False,
The Devil Wears Prada,09 Feb 2023,,False,
The September Issue,07 Feb 2023,★★★½,False,
Marty,06 Feb 2023,★★★½,False,
The Watermelon Woman,05 Feb 2023,★★★★,False,
Zach Galifianakis: Live at the Purple Onion,03 Feb 2023,★★★½,False,
Adoption,31 Jan 2023,★★★★,False,
Crocus,31 Jan 2023,★★★,False,
A Family Portrait,31 Jan 2023,★★★,False,
Acid Rain,31 Jan 2023,★★★★½,False,
The Tenant,29 Jan 2023,★★★,False,
The Leopard,28 Jan 2023,★★★★,False,
Legal Smuggling with Laurie Lindeen,25 Jan 2023,,False,
Legal Smuggling with Christine Choy,25 Jan 2023,★★★★½,False,
Maya at 24,25 Jan 2023,,False,
Age of Bloom,25 Jan 2023,,False,
Deep End,25 Jan 2023,★★★,False,
"I, Olga Hepnarova",21 Jan 2023,★★★,False,
Once Upon a Time in the West,20 Jan 2023,★★★,False,
Nuts in May,18 Jan 2023,★★★,False,
Barton Fink,17 Jan 2023,★★★★,False,
Babylon,16 Jan 2023,★,False,
Do the Right Thing,15 Jan 2023,★★★★★,False,
The Squid and the Whale,15 Jan 2023,★★★★,False,
Marriage Story,14 Jan 2023,★★★★,False,
White Noise,10 Jan 2023,★★½,False,
Pretend It's a City,09 Jan 2023,★★★½,False,
Come and See,08 Jan 2023,★★★★★,False,
The Virgin Spring,07 Jan 2023,★★★★½,False,
The Idiots,04 Jan 2023,★½,False,
Abigail's Party,03 Jan 2023,,False,
Bad Timing,02 Jan 2023,★★★,False,
Tootsie,29 Dec 2022,★★★,False,
Smithereens,28 Dec 2022,★★★,False,
Mistress America,27 Dec 2022,★★★,False,
Margot at the Wedding,27 Dec 2022,★★★★,False,
Under the Sand,27 Dec 2022,★★★½,False,
Mamma Mia!,25 Dec 2022,★★★★,False,
Licorice Pizza,24 Dec 2022,★★★★½,False," Had a blast watching this. The theatre audience was primarily elderly folks and their reactions and comments made it even more entertaining. Got uncontrollable laughter during the Bradley cooper car sequence because this one woman in the theatre was losing it and it was ripple effect from there. Overall just seems like it was a lot of fun to film.Some thoughts...-there were parts that felt a bit random and perhaps even unnecessary to the story at large, such… "
Scrooged,24 Dec 2022,,False,
8 Women,22 Dec 2022,★★★½,True,
Phantom Thread,17 Dec 2022,★★★★★,True,
Inglourious Basterds,13 Dec 2022,★★★★½,False,
The Last Metro,13 Dec 2022,★★★½,False,
Nights of Cabiria,12 Dec 2022,★★★★,True,
The Short & Curlies,12 Dec 2022,★★★,False,
Zelig,10 Dec 2022,★★★,False,
Black Orpheus,09 Dec 2022,★★★,False,
Paterson,08 Dec 2022,★★★,False,
Withnail & I,07 Dec 2022,★★★★½,True,
Larry David: Curb Your Enthusiasm,06 Dec 2022,★★★½,False,
Saving Christmas,05 Dec 2022,★,False,
Night Games,04 Dec 2022,★★★,False,
Big Daddy,04 Dec 2022,★,False,
Ghost Dog: The Way of the Samurai,03 Dec 2022,★★★,False,
Hannah Takes the Stairs,03 Dec 2022,★★★,False,
Nights and Weekends,03 Dec 2022,★★★½,False,
Rosemary's Baby,02 Dec 2022,★★★★★,True,
The Apartment,02 Dec 2022,★★★½,False,
Postcards from the Edge,01 Dec 2022,★★,False,
Bubble Bath,30 Nov 2022,★★★½,False,
The Prime of Miss Jean Brodie,29 Nov 2022,★★★,False,
The American Friend,28 Nov 2022,★★★★★,True,
Wings of Desire,26 Nov 2022,★★★★★,True,
Bananas,24 Nov 2022,★★★,False,
American Boy: A Profile of Steven Prince,24 Nov 2022,,False,
Italianamerican,24 Nov 2022,★★★★,False,
Barry Lyndon,22 Nov 2022,★★★★½,False,
Wrong Move,22 Nov 2022,★★★,False,
Ice Cream,21 Nov 2022,,False,
Uncle,21 Nov 2022,,False,
Putney Swope,21 Nov 2022,★★★★,False,
Jennifer's Body,19 Nov 2022,★★½,False,
The Match Factory Girl,15 Nov 2022,★★★,False,
The Meetings of Anna,06 Nov 2022,★★★★★,False,
The Daytrippers,05 Nov 2022,★★★½,False,
Social Butterfly,05 Nov 2022,★½,False,
Nosferatu the Vampyre,03 Nov 2022,★★★★,False,
Good Time,31 Oct 2022,★★★★,False,
Caché,31 Oct 2022,★★★½,False,
Death in Venice,28 Oct 2022,★★★★½,False,
It's Complicated,27 Oct 2022,★★★,False,
Sunset Boulevard,27 Oct 2022,★★★½,False,
Everything Everywhere All at Once,15 Oct 2022,★★½,False,
Happy Together,12 Oct 2022,★★★★,False,
The Double Life of Véronique,10 Oct 2022,★★★,False,
Lola,03 Oct 2022,★★★,False,
Cat People,02 Oct 2022,★★★,False,
In the Mood for Love,01 Oct 2022,★★★★½,False,
Blue Collar,28 Sep 2022,★★★★½,False,
Raw,23 Sep 2022,★★★,False,
California Split,19 Sep 2022,★★★★,False,
Sam Morril: Same Time Tomorrow,15 Sep 2022,,False,
Cat on a Hot Tin Roof,11 Sep 2022,★★½,False,
Mirror,10 Sep 2022,★★★★★,False,
Who's Afraid of Virginia Woolf?,07 Sep 2022,★★★★★,False,
Nope,03 Sep 2022,★,False,
Vertigo,31 Aug 2022,★★★★,False,
The Player,27 Aug 2022,★★★★½,False,
Hannibal Buress: Comedy Camisado,21 Aug 2022,,False,
The Long Goodbye,20 Aug 2022,★★★★,False,
Rosebud Baker: Whiskey Fists,13 Aug 2022,,False,
Pierrot le Fou,11 Aug 2022,★★★★,False,
Au Hasard Balthazar,10 Aug 2022,★★★,False,
Fourth of July,10 Aug 2022,★★½,False,
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",05 Aug 2022,★★★★,False,
Symbiopsychotaxiplasm: Take One,05 Aug 2022,★★★½,False,
Once Upon a Time… in Hollywood,31 Jul 2022,★★★½,False,
Peppermint Soda,29 Jul 2022,★★★½,False,
U.S. Go Home,24 Jul 2022,★★★½,False,
Blue Velvet,23 Jul 2022,★★★★,False,
Punch-Drunk Love,09 Jul 2022,★★★★,False,
Entertainment,04 Jul 2022,,False,
Fitzcarraldo,01 Jul 2022,★★★★½,False,
OPAL,26 Jun 2022,★★★★,False,
SHOP: A Pop Opera,26 Jun 2022,★★★½,False,
Closed Mondays,26 Jun 2022,★★★★,False,
Santa Sangre,22 Jun 2022,★★★★,False,
The Hole,22 Jun 2022,★★★½,False,
Cockaboody,22 Jun 2022,,False,
The Black Balloon,22 Jun 2022,★★★★,False,
Norm MacDonald: One Night Stand,17 Jun 2022,,False,
All That Jazz,16 Jun 2022,★★★★½,False,
The Square,15 Jun 2022,★½,False,
There Will Be Blood,13 Jun 2022,★★★★,False,
Opening Night,12 Jun 2022,★★★½,False,
The Killing of a Chinese Bookie,11 Jun 2022,★★★★,False,
Badlands,08 Jun 2022,★★★★½,False,
Come and See,03 Jun 2022,★★★★★,False,
Le Bonheur,03 Jun 2022,★★★½,False,
Genius Loci,01 Jun 2022,★★★★,False,
Meetin' WA,01 Jun 2022,★★,False,
Blow Out,01 Jun 2022,★★★★,False,
Never on Sunday,30 May 2022,,False,
The Tree of Life,29 May 2022,★★★★½,False,
Take Aim at the Police Van,25 May 2022,,False,
"Life, and Nothing More...",19 May 2022,★★★★,False,
Enter the Void,17 May 2022,★★,False,
Vortex,16 May 2022,★★★★½,False,gasp. oh. no way!gut wrenching.intimate with a sense of realism and domestic horror reminiscent of a woman under the influence. really made me fear the slow decline of my parents aging.these images are going to be rattling in the head for a while.
Joe List: This Year's Material,12 May 2022,,False,
Where Is the Friend's House?,07 May 2022,★★★★★,False,
Queen of Diamonds,07 May 2022,★★★½,False,
The Great Sadness of Zohara,06 May 2022,★★★,False,
We're All Going to the World's Fair,02 May 2022,★,False,"the highlight was definitely walking out of the theater and finding a promotional photo for ""The Unbearable Weight of Massive Talent."" of Nick Cage screaming glued to a popsicle stick ripe for the taking. made it all worth it."
Julien Donkey-Boy,02 May 2022,★★★,False,needed more herzog
Curb Dance,01 May 2022,★★★★,False,
Smooth Talk,01 May 2022,★★★,False,
Gummo,27 Apr 2022,★★★★★,False," ""Venomous in story; genius in character; victorious in structure; teasingly gentle in epilogue; slapstick in theme; rebellious in nature; honest at heart; inspirational in its creation and with contempt at the tip of its tongue, [Gummo] is a portrait of small-town Middle American life that is both bracingly realistic and hauntingly dreamlike.""-Gus-Van Santa masterpiece. One of the best depictions of blue collar realism in film hands down. loss of innocence, disintegration-coming of age in a granular dream.got… "
Chungking Express,26 Apr 2022,★★★★,False,
The Burden,26 Apr 2022,★★★★,False,
On the Silver Globe,25 Apr 2022,,False,"pleasing to the eyes, hurting to the brain."
Chan Is Missing,23 Apr 2022,★★★★,False,
The Northman,23 Apr 2022,★★★½,False,
Stand Up,19 Apr 2022,★★½,False,
The Pub,19 Apr 2022,★★★½,False,
Hardcore,18 Apr 2022,★★★★,False,my kinda movie!long live schrader.
Watermelon Man,18 Apr 2022,,False,
