Movie,Date Watched,Rating,Liked,Review
Vertigo,10 Jan 2024,★★★★,False," C'est un classique, c'est toujours difficile de noter un film de cet acabit en étant complètement objectif, et en accord avec son ressenti sans faire le suceur. Vertigo est une très belle œuvre, surtout pour 1958 c'est assez ouf, même si je trouve qu'évidemment de le faire au jour d'aujourd'hui change quelque chose sur la façon de croire à 100% en une diégèse. Il y a énormément de plans réalisés en studio, ça se voit, c'est pas ultra gênant, mais… "
Yacine Belhousse : 2022,10 Jan 2024,★★★½,False,"C'était marrant, je suis content de m'être intéressé à lui ça en valait vraiment la peine. C'est un très bon spectacle du début à la fin."
Five Years From Now,07 Jan 2024,★★,False,"L'idée de faire un film à sketch est très bancale, et ce film en est la preuve."
Three Colours: White,05 Jan 2024,★★★,False," Un peu comme l'avis général je trouve ce deuxième volet moins intéressant que le premier. La réalisation est moins percutante, au final il y a peu d'effets de style, et on nous montre que la neige de la Pologne. C'est quand même moins beau que dans le 1 on va pas se mentir.Le jeu d'acteur est moins ouf aussi même si c'est très bien. Passer après Juliette Binoche c'est pas simple en même temps. Et le scénario est assez… "
Three Colours: Blue,05 Jan 2024,★★★★,False," C'est un très beau film. Il est difficile de dire l'inverse, je comprends pourquoi il a marqué le cinéma d'auteur des années 90. Un classique pile au milieu entre poésie et destruction, définissant complètement le mot sensibilité. Que dire du jeu d'acteur, ptn Juliette Binoche je t'aime de ouf, en plus t'es celib depuis que Magimel a pris de la coke et qu'il a une gueule de chou-fleur. Tu portes le film à toi toute seule, chapeau l'artiste. En plus… "
Le Bonheur,04 Jan 2024,★★★½,False," Très intéressant comme film, mais je le trouve un peu mal construit, ou du moins il aurait pu mieux l'être.En fait c'est un peu relou que sur un film d'1h15 on a 1h de contextualisation, sans réellement de montée en tension, c'est très vite fait, et au final on voit plus une mauvaise romance qui met mal à l'aise qu'autre chose. Ça renforce le climax, qui change complètement tout le regard qu'on a du film vu précédemment. Mais bon,… "
Uncle Boonmee Who Can Recall His Past Lives,04 Jan 2024,★★★,False," C'est pas un film très gai, c'est le moins qu'on puisse dire. Ça a pour but de nous amener quelque part. On reconnaît bien l'Asie et sa grande spiritualité. Ce film est du coup très psychique, complètement métaphorique, trop métaphorique. En général j'aime bien les films assez lents, qui prennent leur temps, mais la c'est trop lent. Et c'est assurément à cause de la réal, qui propose que des plans fixes, encore une fois j'aime bien ce style de plan,… "
Alexis Le Rossignol - La Cigale pour moi tout seul,03 Jan 2024,★★★★,False,"Je penserai pas que ça serait aussi drôle. Ce type est barge ptn, il me fume.C'est vraiment un gars qui raconte full merde pendant 1h15 mais c'est un super orateur, il maîtrise parfaitement son personnage de petit teubé. C'est vraiment très marrant."
Hakim Jemili : Super,03 Jan 2024,★★★,False,"Je l'aime bien le gars Hakim, son spectacle est golri mais il varie pas assez les sujets c'est dommage ça tourne trop en rond."
Kyan Khojandi : Pulsions,02 Jan 2024,★★★★,False,"Je l'avais déjà vu, mais fallait que je le remate, ce mec est trop drôle ptn"
