Movie,Date Watched,Rating,Liked,Review
Bridesmaids,14 Jan 2024,★★★½,False,
Pulse,13 Jan 2024,★★★★,False,
BlackBerry,11 Jan 2024,★★★★,False,Shot like a wildlife documentary- I’m using that.
Avatar: The Way of Water,09 Jan 2024,★★★,False,
Portrait of a Lady on Fire,07 Jan 2024,★★★★★,True,It’s so impressive how deeply and symmetrically woven the Orpheus myth is in this film. To take an ancient Greek tale about the deletion and sin of the male gaze and evolve it into a story of equality is truly a brilliant feat.
Ponyo,07 Jan 2024,★★★★,False,
One Cut of the Dead,03 Jan 2024,★★★★★,False,Fucking incredible I feel high!!!
Asteroid City,02 Jan 2024,★★★★½,False,
Love and Monsters,01 Jan 2024,★★★½,False,
The Last Man on the Moon,01 Jan 2024,,False,
Avatar,30 Dec 2023,★★★½,False,
Antwone Fisher,28 Dec 2023,,False,
Belle de Jour,28 Dec 2023,★★★★,False,
Love Actually,27 Dec 2023,,False,
Wonka,25 Dec 2023,★★★½,False,IN PAUL KING WE TRUST 🐻
Rebel Moon - Part One: A Child of Fire,25 Dec 2023,,False,Kurosawa turning in his grave.
Scavengers Reign,24 Dec 2023,★★★★½,False,"Some missed character writing opportunities near the end, but otherwise what a great time! I want to live in this insane brutal Rube Goldberg world all the more."
Scavengers,24 Dec 2023,★★★★,False,
The Family Plan,22 Dec 2023,,False,What a saltine cracker! Mmm just a mouthful of dry tasteless mush mmm! Yummy.
Her,20 Dec 2023,★★★★½,True,
Poor Things,19 Dec 2023,★★★★½,False,Barbie for horny people.
Gran Turismo,18 Dec 2023,,False,
Love Letter,17 Dec 2023,★★★,False,
Wonka,15 Dec 2023,★★★★,False,IN PAUL KING WE TRUST 🐻
BLUE EYE SAMURAI,11 Dec 2023,★★★★,False,
Asian Persuasion,10 Dec 2023,,True,
The Boy and the Heron,09 Dec 2023,★★★★★,True,"Third viewing, IMAX dub. Rob Pattinson as the heron is transformative. I knew he was playing the heron and still couldn’t recognize him! "
May December,09 Dec 2023,★★★★,False,
The Woman in Black,05 Dec 2023,★★★★,False,One of the scariest movies I’ve seen wtf.
Lawrence of Arabia,05 Dec 2023,★★★★,False,
House on Haunted Hill,04 Dec 2023,★★★½,False,
Poor Things,04 Dec 2023,★★★★½,False,Barbie for horny people.
Spider-Man: No Way Home,04 Dec 2023,★★★½,False,
Godzilla Minus One,03 Dec 2023,★★★★,False,Best godzilla movie i’ve ever watched.
Red Panda: World's Cutest Animal,02 Dec 2023,★★★★,False,
