Movie,Date Watched,Rating,Liked,Review
Saltburn,14 Jan 2024,,False,the epitome of a style>substance movie. Drugs are fun.  Candy bars are meant to be bitten in the middle they just don’t tell you that on the packaging.
Poor Things,10 Jan 2024,,True,"Dude why did you have to make The Killing of a Sacred Deer (2017) so dark when you clearly have so much fun with colors sets and costumes, Yorgos?"
Maestro,09 Jan 2024,,True,well shit Coop you know how to direct an engaging dance number that’s for sure. 
The Zone of Interest,07 Jan 2024,,False,"“Zoned out, uninterested”"
American Fiction,05 Jan 2024,,True,"A Filmmaker’s film, especially that third act. A great debut feature - Cord Jefferson is a bonafide writer and has got those directing chops; can’t wait to see what he makes next."
Rebel Moon - Part One: A Child of Fire,04 Jan 2024,,False,"The more unsaid the better. Contender for worst movie of all time relative to its budget. Tedious, such a slog, and took two sit downs to finish despite its relatively modest runtime in todays cinema economy (only 134 mins; ya know the 3+ hour cut Snyder has would probably qualify as torture in some countries)."
Aquaman and the Lost Kingdom,04 Jan 2024,,False,"The final image of a battered, bruised and buried franchise is - fittingly - someone eating a cockroach and enjoying it.  Look at what these studios produce and how we consume them. Disgraceful. "
The Iron Claw,26 Dec 2023,,True,"took till the third act to hook me, but it did get there. A humbling movie…. making these things work all the way through is hard. And this is a real peaks and valleys movie: when it works it’s really good but when it fails it flops HARD"
The Holdovers,25 Dec 2023,,True,i too have baked while skiing and let me tell you it is a tragedy. should be illegal to get sunburned during the winter months
Paddington 2,23 Dec 2023,★★★★★,True,a guarantee good cry. Actors: this is the best audition material (will get the tears going)
Leave the World Behind,21 Dec 2023,,True,god bless Andrew Callahan’s blue ray collection.
Anatomy of a Fall,20 Dec 2023,,True,"so like, in france, do you need to do a semester of drama school to become a lawyer?"
Wonka,17 Dec 2023,,True,
Mr. Monk's Last Case: A Monk Movie,16 Dec 2023,,False,
May December,14 Dec 2023,,True,
Napoleon,10 Dec 2023,,True,
The Parent Trap,08 Dec 2023,,True,
The Boy and the Heron,05 Dec 2023,,True,
Elemental,03 Dec 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,02 Dec 2023,,False,
Dream Scenario,02 Dec 2023,,True,
Scott Pilgrim Takes Off,29 Nov 2023,,True,
Priscilla,25 Nov 2023,,True,
