Movie,Date Watched,Rating,Liked,Review
RoboCop,06 Sep 2023,,True,
To Die For,05 Sep 2023,,True,
Singin' in the Rain,04 Sep 2023,★★★★★,True,
The Plot Against Harry,03 Sep 2023,,True,
Chan Is Missing,02 Sep 2023,,True,
Telemarketers,29 Aug 2023,,False,
The Day After Trinity,22 Aug 2023,,True,
Boogie Nights,18 Aug 2023,★★★★★,True,
Oppenheimer,17 Aug 2023,★★★★★,True,
Talk to Me,15 Aug 2023,,True,
How to Marry a Millionaire,12 Aug 2023,,True,
Winter Kills,11 Aug 2023,,True,
Once Were Brothers: Robbie Robertson and The Band,10 Aug 2023,,False,
Barbie,05 Aug 2023,,False,
Thelma & Louise,04 Aug 2023,,True,Intro by Karina Longworth
Pee-wee's Big Adventure,31 Jul 2023,,True,RIP Paul Reubens
Best in Show,30 Jul 2023,,True,
The Velvet Underground,25 Jul 2023,,True,
Oppenheimer,23 Jul 2023,★★★★★,True,
Oppenheimer,22 Jul 2023,★★★★★,True,
Tenet,20 Jul 2023,,True,
The Prestige,20 Jul 2023,,True,
Blade Runner,19 Jul 2023,,True,Final Cut
Insomnia,18 Jul 2023,,True,
Jackie Brown,18 Jul 2023,★★★★★,True,
Memento,17 Jul 2023,,True,
Heat,16 Jul 2023,★★★★★,True,
Double Indemnity,15 Jul 2023,★★★★★,True,
Who's Afraid of Virginia Woolf?,10 Jul 2023,,True,
Midnight Cowboy,09 Jul 2023,★★★★★,True,
Asteroid City,04 Jul 2023,★★★★★,True,
Contempt,04 Jul 2023,,True,
Indiana Jones and the Dial of Destiny,30 Jun 2023,,False,
Indiana Jones and the Last Crusade,29 Jun 2023,,True,
Indiana Jones and the Temple of Doom,29 Jun 2023,,True,
When We Lived in Miami,28 Jun 2023,,True,
Sea Devil,27 Jun 2023,,True,
Yearbook,27 Jun 2023,,False,
The Mother and the Whore,25 Jun 2023,,True,
The End of Summer,24 Jun 2023,,True,
Nacho Libre,20 Jun 2023,,False,
Asteroid City,15 Jun 2023,★★★★★,True,
Some Came Running,14 Jun 2023,,True,
The Misfits,03 Jun 2023,,True,
Roman Holiday,02 Jun 2023,,True,
The Hitch-Hiker,02 Jun 2023,,True,
Bad Day at Black Rock,01 Jun 2023,,True,
Alice Doesn't Live Here Anymore,01 Jun 2023,,True,
The Naked City,29 May 2023,★★★★★,True,Intro and Q&A by Bruce Goldstein
You Hurt My Feelings,27 May 2023,,False,
Kundun,26 May 2023,,True,
All That Jazz,25 May 2023,★★★★★,True,
The Card Counter,25 May 2023,,True,
Master Gardener,23 May 2023,,True,
First Reformed,23 May 2023,,True,
Shaft,19 May 2023,,True,
"Merry Christmas, Mr. Lawrence",18 May 2023,★★★★★,True,
Air,16 May 2023,,False,
Blissfully Yours,16 May 2023,,True,
All About My Mother,14 May 2023,,True,
Girl 6,14 May 2023,,True,
Army of Shadows,13 May 2023,★★★★★,True,
Yeelen,13 May 2023,★★★★★,True,
The Royal Tenenbaums,11 May 2023,★★★★★,True,
Xalé,10 May 2023,,False,Q&A with Moussa Sène Absa
The Truman Show,09 May 2023,,True,
Moneyball,08 May 2023,,True,
The Puppetmaster,06 May 2023,★★★★★,True,Intro by Apichatpong Weerasethakul
I Vitelloni,05 May 2023,,True,
I Walked with a Zombie,04 May 2023,★★★★★,True,Intro by Apichatpong Weerasethakul
Duck Duck,03 May 2023,,False,
Notes on an American Film Director at Work,02 May 2023,,True,
Butterfly,01 May 2023,,False,
Moonshiners,01 May 2023,,True,
Affliction,28 Apr 2023,,True,Q&A with Paul Schrader
Ugetsu,27 Apr 2023,,True,
Raging Bull,24 Apr 2023,★★★★★,True,
Casino,22 Apr 2023,★★★★★,True,
Donkey Skin,21 Apr 2023,,True,
Foureyes,20 Apr 2023,,False,
The River,19 Apr 2023,,True,
Beau Is Afraid,17 Apr 2023,,True,Q&A with Ari Aster and Martin Scorsese
How to Blow Up a Pipeline,15 Apr 2023,,True,
Beau Is Afraid,14 Apr 2023,,True,Q&A with Ari Aster and Martin Scorsese
Mishima: A Life in Four Chapters,13 Apr 2023,★★★★★,True,Q&A with Paul Schrader
Midsommar,11 Apr 2023,,True,Director’s cut
Hereditary,11 Apr 2023,,True,
How to Blow Up a Pipeline,09 Apr 2023,,True,
Night Moves,09 Apr 2023,,True,
Walk Up,08 Apr 2023,,True,
Enys Men,07 Apr 2023,,True,
Fishing with John,07 Apr 2023,,True,
Born to Win,30 Mar 2023,,True,We sat in front of Ethan Coen and Tim Blake Nelson
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,30 Mar 2023,,False,
Isle of Dogs,30 Mar 2023,,True,
Suzhou River,27 Mar 2023,,True,
A Personal Journey with Martin Scorsese Through American Movies,24 Mar 2023,,True,
The House of the Devil,22 Mar 2023,,False,
Deadly Weapons,21 Mar 2023,,False,
Pockets,20 Mar 2023,,False,
Demolishing and Building Up the Star Theatre,20 Mar 2023,,False,
But Why?,20 Mar 2023,,False,
A Man Escaped,19 Mar 2023,★★★★★,True,
You Were Never Really Here,19 Mar 2023,,True,
Broken Mirror,18 Mar 2023,,False,
Drylongso,17 Mar 2023,,True,
Guillermo del Toro's Pinocchio,16 Mar 2023,,True,
The Brood,15 Mar 2023,,True,
Apollo 10½: A Space Age Childhood,14 Mar 2023,,True,
Nude on the Moon,13 Mar 2023,,False,
Bad Girls Go to Hell,11 Mar 2023,,True,
The Headless Woman,11 Mar 2023,,True,
Diary of a Chambermaid,09 Mar 2023,,True,
Spring Breakers,08 Mar 2023,,True,
Come and See,07 Mar 2023,★★★★★,True,
Q,06 Mar 2023,,True,
Birth of the Pearl,05 Mar 2023,,True,
Down the Hudson,05 Mar 2023,,False,
"Dorothy, the Kansas City Pot Head",05 Mar 2023,,False,
A Funny Shave,05 Mar 2023,,False,
Passage of Venus,05 Mar 2023,,False,
Workers Leaving the Lumière Factory,05 Mar 2023,,True,
Annabelle Serpentine Dance,05 Mar 2023,,True,
The Four Troublesome Heads,05 Mar 2023,,True,
Husbands,05 Mar 2023,,True,
The White Ribbon,05 Mar 2023,,True,
Hairat,04 Mar 2023,,True,
Gloria,03 Mar 2023,★★★★★,True,
Minnie and Moskowitz,01 Mar 2023,,True,
Way Out on a Limb,28 Feb 2023,,False,
McCabe & Mrs. Miller,28 Feb 2023,★★★★★,True,
Day of the Outlaw,28 Feb 2023,,True,
The Parallax View,27 Feb 2023,,True,
"Distant Voices, Still Lives",26 Feb 2023,★★★★★,True,
Safeguarding Military Information,26 Feb 2023,,False,
Chocolat,26 Feb 2023,★★★★★,True,
You Never Can Tell,25 Feb 2023,,True,
Jaws,25 Feb 2023,★★★★★,True,
The Far Country,24 Feb 2023,,True,
Neighbours,22 Feb 2023,,True,
Ride the High Country,22 Feb 2023,,True,
Begone Dull Care,21 Feb 2023,,True,
Mobilize,21 Feb 2023,,True,
Zodiac,21 Feb 2023,★★★★★,True,
