Movie,Date Watched,Rating,Liked,Review
The Long Goodbye,15 Jan 2024,★★★★★,True,
The Brood,14 Jan 2024,★★★★,True,i love oliver reed
The Celebration,08 Jan 2024,★★★★★,True,
The Devils,08 Jan 2024,★★★★★,True,
Easy Rider,19 Dec 2023,★★★★½,True,
X,17 Dec 2023,★★★½,True,
Edge of Tomorrow,15 Dec 2023,★★★★,True,
Birdman or (The Unexpected Virtue of Ignorance),05 Dec 2023,★★★★★,True,
Gravity,16 Nov 2023,★★★★½,True,
Minions: The Rise of Gru,03 Jul 2022,★★★★★,True,please make this the highest rated movie on the app
Last Night in Soho,27 Jun 2022,★,False,what a disappointment
Lightyear,23 Jun 2022,★★½,False,what in the mid
Ghost Dog: The Way of the Samurai,19 Jun 2022,★★★★½,True,
Sonic the Hedgehog 2,19 Jun 2022,½,False,this movie is off limits to my future children
Sweet Sweetback's Baadasssss Song,04 Jun 2022,,False,just watched the first 5 minutes and that is definitely gonna be a no from me dawg.
Big Little Lies,25 May 2022,★★★★★,True,
The Witch,24 Apr 2022,★★★★,True,
Mandy,18 Apr 2022,★★★★½,True,
Everything Everywhere All at Once,12 Apr 2022,★★★★★,True,idek
Fargo,04 Apr 2022,★★★★,True,still great.
The Favourite,01 Apr 2022,★★★★½,True,
No Time to Die,01 Apr 2022,★★★½,False,
In Bruges,28 Mar 2022,★★★★,True,a roller coaster of emotions this shit was having me now feeling guilty about each time i chuckled while watching this
Holes,26 Mar 2022,½,False,mid as fuck. fuck silas dreyer he’s mid as well.
Akira,09 Feb 2022,★★★★★,True,life hack: watch this on 50 mg of edibles. best viewing experience of my life
The Incident,06 Sep 2021,★★★★★,True,i want whatever that bum was on so i can fucking sleep through the night
Star Wars: Episode II – Attack of the Clones,06 Sep 2021,★★★½,True,
Badlands,06 Sep 2021,★★★★½,True,
The Thing,05 Sep 2021,★★★★★,True,
The Dead Zone,05 Sep 2021,★★★★½,True,
The Cat in the Hat,04 Sep 2021,★★★★,True,
Spider-Man 3,27 Aug 2021,★★★★,True,
Spider-Man 2,27 Aug 2021,★★★★,True,
Spider-Man,27 Aug 2021,★★★★,True,
Spider-Man: No Way Home,24 Aug 2021,,True,
Until the End of the World,23 Aug 2021,★★★★,True,
Incendies,22 Aug 2021,★★★★½,True,
Naked,22 Aug 2021,★★★★★,True,
Dora and the Lost City of Gold,20 Aug 2021,½,False,
Mikey and Nicky,20 Aug 2021,★★★★,True,
