Movie,Date Watched,Rating,Liked,Review
Sansho the Bailiff,15 Aug 2023,,True,
Ugetsu,12 Aug 2023,,True,that's the thing about both money and undead succubus princesses: they make you forget what's really important
Yella,01 Jun 2023,,True,who says that we do not get to keep being accountants after death
Azor,03 Jan 2022,★★★★,False,"suits in the jungle, old money in the new world, right and wrong ways to discuss your family's castle in geneva, useless sons and mournful fathers, priests who play the currency market, the aristocratic invention of privacy and its hieroglyph the swimming pool."
Drive My Car,02 Jan 2022,★★★★,False,"the symmetries stood out to me on a second viewing. kafuku's dead child with oto would be about misaki's age, misaki's absent father is a kafuku-shaped void. lee yoon-a's korean sign language over vanya's shoulders in the crushing last scene of the play tells & shows him that he's not the only person in the world who suffers, once misaki and kafuku understand where each other is coming & that it's the same place there's a release from blame no one else could have offered."
Light Sleeper,31 Oct 2021,★★★★,False,"the elevator stops counting on its way down from the penthouses because when you're close enough to the street, no one knows you. wearing cheap cologne, the kind they sell on airplanes, to the handoff. the city out of proportion to the lone night walker, a unit of human motion that doesn't fit anywhere. the unaccompanied dead body, the stiff, attracts a crowd; the unaccompanied live body repels one."
The Thing,02 Oct 2021,★★★★,False,"“Well, what do we do?”“Why don’t we just wait here for a little while. See what happens.”"
The Bride of Frankenstein,01 Oct 2021,★★★★,False,KARLOFF
Drácula,01 Oct 2021,★★★,False,"sets like you wouldn’t believe, Dr Van Helsing’s mirrored cigarette case outs Dracula for a shade, the prolific Pablo Álvarez Rubio as contaminated Renfield a wonderful flailer, lots of mugging for the camera whenever the doctors and society types see a bite mark"
Jezebel,27 Sep 2021,★★★,False,"duel-worthy offenses in antebellum louisiana: saying ladies' names in a bar, making a bet concerning members of a gentleman's family, coarseness at dinner, passim."
Shattered Glass,26 Sep 2021,★★★½,False,"highland park kids who smile too big always land on their feet. all the president’s men for a world where hallowed newsroom ethics square off with the content mill. feel like this exact guy would get away with it now and is likely doing so. RIP the new republic, dead of facebook poisoning this many a day."
After Hours,26 Sep 2021,★★★★,False,"when your job sucks and someone in a diner offers you a hookup on some paperweights, always say yes. you’ll have plenty more opportunities to sleep but if you don’t spend all night in soho finding a string of lonely beautiful nightcrawlers slightly beneath your standards as a square word processor who doesn’t know the train gets more expensive at night, that chance won’t come again."
The Young and the Damned,27 Apr 2021,,True,
Simon of the Desert,27 Apr 2021,,True,
The Exterminating Angel,27 Apr 2021,,True,
Viridiana,25 Apr 2021,,False,Nothing will happen to you miss. We're all good people here!
The Magician,25 Apr 2021,,True,
Shiva Baby,24 Apr 2021,★★★★,False,
Wild Strawberries,20 Apr 2021,★★★★★,False,
The Seventh Seal,19 Apr 2021,,False,
In a Year with 13 Moons,16 Apr 2021,,True,
Collateral,15 Apr 2021,,True,
Night of the Living Dead,15 Apr 2021,,True,
Pain & Gain,13 Apr 2021,★★★★,False,
