Movie,Date Watched,Rating,Liked,Review
Priscilla,15 Nov 2023,,False,
Insidious,30 Oct 2023,,True,
Nightmare Alley,30 Aug 2023,,False,
Election,13 Aug 2023,,True,
Miracle Mile,12 Aug 2023,,True,
Beyond the Infinite Two Minutes,11 Aug 2023,,True,
Cool Hand Luke,11 Aug 2023,,False,
"O Brother, Where Art Thou?",09 Aug 2023,,True,
The Hudsucker Proxy,08 Aug 2023,,True,
Something Wild,07 Aug 2023,,True,
The Seventh Seal,07 Aug 2023,,True,
The Long Goodbye,05 Aug 2023,,True,
Midnight Cowboy,05 Aug 2023,,True,
Three Days of the Condor,04 Aug 2023,,True,
A Most Wanted Man,02 Aug 2023,,False,
The Prestige,30 Jul 2023,,True,
Mad God,12 Jun 2023,,True,
Coonskin,30 Mar 2023,,True,
Chungking Express,26 Mar 2023,,True,
Everything Everywhere All at Once,16 Mar 2023,,False,
Triangle of Sadness,14 Mar 2023,,True,
From Russia with Love,22 Feb 2023,,False,
Barbarian,28 Jan 2023,,True,
RRR,30 Dec 2022,★★★★★,True,
Master and Commander: The Far Side of the World,28 Dec 2022,,True,
White Noise,18 Dec 2022,,False,
Kiki's Delivery Service,04 Dec 2022,,True,
Bingo,04 Dec 2022,,False,
Le Bonheur,16 Nov 2022,,True,
Funny Pages,07 Nov 2022,,True,
Pearl,31 Oct 2022,,True,
The Wailing,26 Oct 2022,,True,
Candyman,24 Oct 2022,,True,
House of 1000 Corpses,17 Oct 2022,,True,
Mikey and Nicky,17 Oct 2022,,True,
The Wicker Man,06 Oct 2022,,True,
American Beauty,25 Sep 2022,,True,
Bad Lieutenant,20 Sep 2022,,True,
Grizzly Man,06 Sep 2022,,True,
Seconds,11 Jun 2022,,True,
The Green Knight,31 May 2022,,False,
The Taking of Pelham One Two Three,14 May 2022,,True,
Nowhere,06 May 2022,,True,
The Green Ray,05 May 2022,,True,
Gummo,03 Apr 2022,,True,
Manhunter,29 Mar 2022,,True,
Hands on a Hardbody: The Documentary,16 Mar 2022,,True,
Fallen Angels,15 Mar 2022,,True,
Freddy Got Fingered,12 Mar 2022,★★★★★,True,
Zone,24 Jan 2022,,True,
Rachel Getting Married,24 Jan 2022,★★★★,True,
Beau Travail,16 Jan 2022,,True,
Amélie,16 Jan 2022,,False,
Red Rocket,12 Jan 2022,,True,Pretty neato
Don't Look Up,11 Jan 2022,,False,
Licorice Pizza,28 Dec 2021,,True,They said 🏃🏼‍♂️🏃🏻‍♀️ 💨💨
Moonstruck,25 Dec 2021,,True,
Wild at Heart,20 Dec 2021,★★★★,True,"I, too, impersonate Elvis to impress my gf"
Margaret,18 Dec 2021,★★★★★,True,Another one rides the bus
Videodrome,16 Dec 2021,,True,He pud da goo box in da chest pussy and and den he gedded his hand eated and it go 💥🤤
Mysterious Skin,15 Dec 2021,,True,
The Beatles: Get Back,06 Dec 2021,,True,Give me the footage Peter I will watch all 60 hours
Tampopo,25 Nov 2021,,True,
Mishima: A Life in Four Chapters,21 Nov 2021,,True,
Hardcore,16 Nov 2021,,True,
Drugstore Cowboy,13 Nov 2021,★★★,False,
"Woodstock 99: Peace, Love, and Rage",19 Aug 2021,,False,
Mean Streets,01 Aug 2021,,True,
Short Cuts,31 Jul 2021,,True,
"All Light, Everywhere",30 Jul 2021,,True,
Bulworth,30 Jul 2021,,True,
Body Double,30 Jul 2021,,True,Sexy!
A Quiet Place Part II,31 May 2021,,False,
Nomadland,31 May 2021,,False,
Shiva Baby,31 May 2021,,True,
DAICON IV Opening Animation,09 May 2021,★★★★★,True,
The Kid Detective,15 Apr 2021,,True,
Scream,03 Apr 2021,,True,I was scared but if he wasn’t Shaggy I think I would have been at least a little bit more scared
Fritz the Cat,24 Mar 2021,,False,
Sound of Metal,24 Mar 2021,,False,Got distracted and stopped watching just as he started playing with the deaf children and something tells me I’ve seen the best part already
Some Kind of Heaven,15 Mar 2021,,True,
Vertigo,14 Mar 2021,,True,Cool colors I like when she comes out of the bathroom and is glowing green from the sign like an apparition
The Wrong Guy,14 Mar 2021,,True,Very good bits
Brawl in Cell Block 99,06 Mar 2021,,True,He was able to do this due to dodgeball abilities and skill set
Heat,03 Mar 2021,,True,
Los Angeles Plays Itself,18 Feb 2021,,False,
The Invisible Man,14 Feb 2021,,False,
The Driver,11 Feb 2021,,True,
Chilly Scenes of Winter,11 Feb 2021,,True,
Talk Radio,08 Feb 2021,,True,
Adaptation.,05 Feb 2021,,True,
Citizen Kane,04 Feb 2021,★★★★★,False,
Deep Cover,31 Jan 2021,,True,
Zappa,20 Jan 2021,,True,
Paper Moon,19 Jan 2021,,True,
The Girl with the Dragon Tattoo,12 Jan 2021,,True,
Showgirls,21 Dec 2020,,True,
The Assassination of Jesse James by the Coward Robert Ford,20 Dec 2020,,True,
Magnolia,19 Dec 2020,,True,
Repo Man,19 Dec 2020,,True,
First Cow,17 Dec 2020,,True,
"Aguirre, the Wrath of God",08 Dec 2020,,True,
Mystic River,02 Dec 2020,,True,
A Serious Man,01 Dec 2020,,True,
Killing Them Softly,25 Nov 2020,,True,
Gran Torino,24 Nov 2020,,True,
Thief,23 Nov 2020,,True,
Sorcerer,14 Nov 2020,,True,
Down by Law,12 Nov 2020,,True,
First Reformed,11 Nov 2020,,True,
Borat Subsequent Moviefilm,03 Nov 2020,,False,
Chinatown,02 Nov 2020,,True,
Carrie,01 Nov 2020,,True,
Halloween,30 Oct 2020,,True,
Fright Night,29 Oct 2020,,True,
Hereditary,28 Oct 2020,,True,
THX 1138,19 Oct 2020,,True,
The Texas Chain Saw Massacre,18 Oct 2020,★★★★★,False,
Hellraiser,16 Oct 2020,★★★★,False,
La Haine,13 Sep 2020,★★★★½,False,
The Royal Tenenbaums,02 Sep 2020,★★★½,False,
Hearts of Darkness: A Filmmaker's Apocalypse,01 Sep 2020,,True,
Apocalypse Now,01 Sep 2020,★★★★★,False,
All That Jazz,01 Sep 2020,★★★★½,False,
The King of Comedy,01 Sep 2020,★★★★,False,
Force Majeure,08 Aug 2020,★★★,False,
Y Tu Mamá También,24 Jul 2020,★★★★,False,
Paprika,11 Jul 2020,★★★½,False,
Misery,10 Jul 2020,,True,
Death Proof,10 Jul 2020,★★★★,False,
Black Panthers,24 Jun 2020,,True,
28 Days Later,24 Jun 2020,★★★★★,False,
"The Good, the Bad and the Ugly",15 Jun 2020,★★★★,True,
A Touch of Sin,11 Jun 2020,★★★½,False,
Burning,09 Jun 2020,★★★★,False,
Eraserhead,09 Jun 2020,★★½,False,
Waiting for Guffman,01 Jun 2020,★★★,False,
The Silence of the Lambs,29 May 2020,★★★★★,False,
The Last Dance,20 May 2020,★★★★,False,
Sideways,14 May 2020,★★★★,True,
Breathless,12 May 2020,★★★½,False,
Persona,09 May 2020,★★★★★,False,
The Godfather: Part II,06 May 2020,★★★★½,False,
New Rose Hotel,29 Apr 2020,,True,
Honey Boy,28 Apr 2020,★★★★,False,
A.I. Artificial Intelligence,26 Apr 2020,★★★★½,False,
A Fistful of Dollars,25 Apr 2020,★★★,False,
The Handmaiden,22 Apr 2020,★★★½,False,
Taxi Driver,08 Apr 2020,★★★★½,False,
Moonlight,07 Apr 2020,★★★★½,False,
GoodFellas,04 Apr 2020,★★★★★,True,
Black Orpheus,28 Mar 2020,★★★★,False,
Snowpiercer,19 Mar 2020,★★★½,False,
El Camino: A Breaking Bad Movie,19 Mar 2020,★★★,False,
Frances Ha,17 Mar 2020,★★★★,True,
The Master,16 Mar 2020,★★★½,False,
Perfect Blue,15 Mar 2020,★★★★½,False,
Rosemary's Baby,15 Mar 2020,★★★★,False,
Boogie Nights,05 Mar 2020,★★★★★,True,

Followers
megans_world,bboyhehe,jpew,bobandykong,bagelb420,ludortgame7,duffbeer1,e_mma_,leagueoffice,lover_of_films,d_an,wjacobson124,apark1245,zlang,crabbyabby,sashabaker_,maggiesflicks,realzestylemon,beccamovies,spraytham,caseytomchek,meekaveli,poopandpeeforme,omgjaye,christo1,dan_felix,noahschifrin,tittiboi,meeshkm,cryptkeeper95,nikpol,oh_yugi_boi,sgrund

Following
megans_world,bagelb420,ludortgame7,e_mma_,smithharrison,leagueoffice,duchamps_urinal,pd187,worsethan,nibiru_truth,d_an,wjacobson124,jgrund,apark1245,crabbyabby,sashabaker_,maggiesflicks,realzestylemon,stavvybaby69,poopandpeeforme,hypeitemson,zlang,dash_cam,caseytomchek,meekaveli
