Movie,Date Watched,Rating,Liked,Review
Crawl,13 Jan 2024,★★½,False,God can she swim. 
Mean Girls,13 Jan 2024,★★★★,False," Regina George spare hand in marriage? Janice spare hand in marriage? Karen spare hand in marriage? Gretchen spare-Will begin by saying I do not know the musical at all but really liked their approach here. Clearly put a lot of thought into translating the stage musical to film - great camera work, outstanding lighting, decent editing. I was worried it would take The Prom route (aka horrible uninspired etc etc) but there was good film technique and a creative… "
Saltburn,02 Jan 2024,★★★,False," I have too much to say. Firstly, I think Emerald Fennell did quite well with her season of Killing Eve considering what she had to follow up (I initially thought she was showrunner for season 3, which went downhill). I remember having high hopes for Promising Young Woman, particularly in terms of aesthetic, but was let down by a combination of the ending and tone. I did like Saltburn more than Promising Young Woman, but feel it fell into all… "
Leave the World Behind,30 Dec 2023,★★½,False,Shh… put down the canted angle… it’s okay ..
Home Alone,24 Dec 2023,★★★½,False,Love a silly little trap
Friends & Family Christmas,22 Dec 2023,★★★,False,"for a hallmark movie I honestly think it’s pretty decent. Sure it’s silly and the lighting was made by a lighthouse, but love a meet cute!"
Poor Things,14 Dec 2023,★★★★½,True,most earnest movie I have seen in quite a while
Ginger Snaps,10 Dec 2023,★★★,False,The practical effects … yeah …
Come Play,10 Dec 2023,★★½,False,monster is a passenger princess confirmed
It's a Wonderful Knife,10 Dec 2023,★,False,gay per capita of this town is off the fucking charts
Godzilla Minus One,10 Dec 2023,★★★★½,False,my favorite war movie
Trolls World Tour,09 Dec 2023,★★★,False,Barb your bitch too bad. Your music too rock. Your hair too gay. They’ll kill you barb
The Rocky Horror Picture Show,09 Dec 2023,★★★,False,
The Color Purple,09 Dec 2023,★★★★,False,
Migration,09 Dec 2023,★★★,False,
The Cursed,04 Dec 2023,★★★,False,
Lucy,02 Dec 2023,½,False,
Troll 2,02 Dec 2023,★★★,True,
The Hunt,02 Dec 2023,★★½,False,
Totally Killer,02 Dec 2023,★★★½,False,
Eileen,02 Dec 2023,★★★½,False,
The Sacrifice Game,30 Nov 2023,★★★½,False,
Carol,20 Nov 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,18 Nov 2023,★★★½,False,
The Hunger Games: Catching Fire,16 Nov 2023,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,★★★,False,
The Marvels,10 Nov 2023,★★★½,False,
Infested,08 Nov 2023,★★★★,False,
Scooby-Doo,29 Oct 2023,★★★★,False,
Clue,29 Oct 2023,★★★★★,False,
Scream,21 Oct 2023,★★★★,False,
Saw II,14 Oct 2023,★★★,False,
Saw,14 Oct 2023,★★★,False,
Saint Maud,07 Oct 2023,★★★,False,
Paddington,04 Oct 2023,★★★★,False,
Theater Camp,29 Sep 2023,★★★★½,True,
Game Night,27 Sep 2023,★★★★,True,
No One Will Save You,23 Sep 2023,★★★★½,True,
Meg 2: The Trench,18 Sep 2023,★★★,False,
Malignant,16 Sep 2023,★★★,False,
Talk to Me,16 Sep 2023,★★★★,False,
A Haunting in Venice,14 Sep 2023,★★★,False,
The Nun II,10 Sep 2023,★★★★,True,
The Assistant,07 Sep 2023,★★★★,True,
Pirates of the Caribbean: Dead Men Tell No Tales,04 Sep 2023,★★½,False,
The Lobster,31 Aug 2023,★★★★,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,25 Aug 2023,★★★★,True,
Bottoms,22 Aug 2023,★★★★,True,
Bottoms,20 Aug 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,02 Aug 2023,★★★★,True,
Isle of Dogs,31 Jul 2023,★★★½,False,
The Sea Beast,28 Jul 2023,★★★★,False,
Haunted Mansion,28 Jul 2023,★★★½,False,
The Last Unicorn,26 Jul 2023,★★★★½,True,
Fire Island,25 Jul 2023,★★★½,False,
Barbie,21 Jul 2023,★★★★,False,
The Meg,16 Jul 2023,★★,False,
Clue,14 Jul 2023,★★★★,False,
Theater Camp,14 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,★★★★,False,
Klaus,10 Jul 2023,★★★★,False,
Coraline,09 Jul 2023,★★★★,False,
Kubo and the Two Strings,08 Jul 2023,★★★★,False,
Turning Red,08 Jul 2023,★★★★½,True,
Past Lives,08 Jul 2023,★★★★½,True,
Nimona,30 Jun 2023,★★★★½,True,
Song of the Sea,25 Jun 2023,★★★★,False,
"Ruby Gillman, Teenage Kraken",25 Jun 2023,★★½,False,
Black Mirror: Loch Henry,24 Jun 2023,★★★½,False,
Wolfwalkers,24 Jun 2023,★★★★★,True,
No Hard Feelings,23 Jun 2023,★★★,False,
Wolfwalkers,18 Jun 2023,★★★★½,True,
The Boogeyman,16 Jun 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,10 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,01 Jun 2023,★★★★★,True,
The Banshees of Inisherin,11 May 2023,★★★★★,True,
Zoolander,11 May 2023,★★★,False,
The Invitation,11 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,07 May 2023,★★★★½,True,
The Orphanage,30 Apr 2023,★★★½,False,
Train to Busan,30 Apr 2023,★★★★★,True,
Evil Dead Rise,30 Apr 2023,★★★,False,
Mafia Mamma,23 Apr 2023,★★★★½,True,
John Wick: Chapter 4,29 Mar 2023,★★★★,False,
Cocaine Bear,18 Mar 2023,★★★½,False,
Scream VI,13 Mar 2023,★★★★,True,
Triangle of Sadness,11 Mar 2023,★★★½,False,
Women Talking,11 Mar 2023,★★★½,False,
The Banshees of Inisherin,09 Mar 2023,★★★★★,True,
TÁR,04 Mar 2023,★★★★★,True,
Passing,22 Feb 2023,★★★★,False,
Swiss Army Man,12 Feb 2023,★★★½,False,
Best in Show,11 Feb 2023,★★★★,True,
Thoroughbreds,10 Feb 2023,★★★★½,True,
Skinamarink,27 Jan 2023,★★½,False,
Weird: The Al Yankovic Story,13 Jan 2023,★★★★★,True,
The First Wives Club,05 Jan 2023,★★★★,True,
The Menu,04 Jan 2023,★★★★,True,
John Wick,04 Jan 2023,★★★★,True,
Glass Onion,02 Jan 2023,★★★★★,True,
Avatar: The Way of Water,26 Dec 2022,★★★★,False,
Avatar,25 Dec 2022,★★★,True,
Puss in Boots: The Last Wish,23 Dec 2022,★★★★★,True,
The Guardians of the Galaxy Holiday Special,22 Dec 2022,★★★,False,
Avatar: The Way of Water,18 Dec 2022,★★★★,False,
Troll,04 Dec 2022,★★,False,
Guillermo del Toro's Pinocchio,03 Dec 2022,★★★★,False,
M3GAN,30 Nov 2022,★★★★★,True,
The Menu,26 Nov 2022,★★★★,True,
Glass Onion,25 Nov 2022,★★★★★,True,
RRR,20 Nov 2022,★★★★½,True,
Causeway,15 Nov 2022,★★★★,False,
Falling for Christmas,14 Nov 2022,★½,False,
Black Panther: Wakanda Forever,12 Nov 2022,★★★★,False,
Terrifier 2,09 Nov 2022,★★½,False,
Terrifier,08 Nov 2022,★½,False,
Into the Woods,07 Nov 2022,★★★,False,
The Cabin in the Woods,06 Nov 2022,★★★½,False,
Barbarian,31 Oct 2022,★★★★,True,
Halloween,31 Oct 2022,★★★★,True,
The Viewing,30 Oct 2022,★★★½,False,
Dreams in the Witch House,29 Oct 2022,★★½,False,
Pickman's Model,29 Oct 2022,★★★,False,
The Outside,28 Oct 2022,★★★,False,
The Autopsy,28 Oct 2022,★★★½,True,
Graveyard Rats,28 Oct 2022,★★★,False,
Lot 36,28 Oct 2022,★★★½,False,
Beetlejuice,27 Oct 2022,★★★★,True,
The Wretched,25 Oct 2022,★★★,False,
House,24 Oct 2022,★★★★,False,
Hush,22 Oct 2022,★★★★,False,
Pearl,21 Oct 2022,★★★,False,
A Nightmare on Elm Street,20 Oct 2022,★★★,False,
Misery,19 Oct 2022,★★★★,False,
Ouija,18 Oct 2022,★★,False,
Ouija: Origin of Evil,17 Oct 2022,★★★½,False,
Night Teeth,16 Oct 2022,★★,False,
