Movie,Date Watched,Rating,Liked,Review
Self Reliance,14 Jan 2024,,False,
The Twilight Saga: Breaking Dawn – Part 2,06 Jan 2024,,False,
Foe,06 Jan 2024,,False,
Anatomy of a Fall,06 Jan 2024,,False,
Air,27 Dec 2023,,False,
Ferrari,27 Dec 2023,,False,
Saltburn,26 Dec 2023,,False,
Maestro,25 Dec 2023,,False,
The Shop Around the Corner,24 Dec 2023,,False,
Last Christmas,23 Dec 2023,,False,
Poor Things,15 Dec 2023,,False,
EXmas,14 Dec 2023,,False,
Feast of the Seven Fishes,13 Dec 2023,,False,
Eileen,06 Dec 2023,,False,
May December,03 Dec 2023,,False,
Friends and Strangers,30 Nov 2023,,False,
Thanksgiving,28 Nov 2023,,False,
The Holdovers,25 Nov 2023,,True,
Love Hard,23 Nov 2023,,False,
"Endings, Beginnings",21 Nov 2023,,False,
Naked,20 Nov 2023,,True,
The Killer,18 Nov 2023,,False,
Dream Scenario,15 Nov 2023,,False,
Killers of the Flower Moon,27 Oct 2023,,False,
Priscilla,22 Oct 2023,,False,
Pride & Prejudice,13 Oct 2023,,True,
Janet Planet,09 Oct 2023,,False,
The Zone of Interest,09 Oct 2023,,True,
More Than Ever,06 Oct 2023,,False,
All of Us Strangers,01 Oct 2023,,True,
Stop Making Sense,28 Sep 2023,,True,
Fireworks,22 Sep 2023,,True,
Theater Camp,17 Sep 2023,,False,
Talk to Me,01 Aug 2023,,False,rocked
Oppenheimer,27 Jul 2023,,True,
The Sweet East,25 Jul 2023,,False,
Barbie,24 Jul 2023,,False,
Past Lives,23 Jul 2023,,False,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,,False,
Asteroid City,06 Jul 2023,,False,
No Hard Feelings,23 Jun 2023,,False,
BlackBerry,14 Jun 2023,,False,
"Are You There God? It's Me, Margaret.",05 May 2023,,False,
Beau Is Afraid,20 Apr 2023,,False,
Rye Lane,06 Apr 2023,,True,"there’s too much to love here! it would be well above the standard rom com if it had just one of the many of things it does well, but it’s all here—great writing, chemistry, confident and unique visual style, perfect runtime, etc"
John Wick: Chapter 4,04 Apr 2023,,False,
The Line,31 Mar 2023,,False,
Scream VI,21 Mar 2023,,False,
Inside,20 Mar 2023,,False,
RRR,18 Mar 2023,,True,
"Goodbye, Dragon Inn",28 Feb 2023,,False,
Kristina Talking Pictures,27 Feb 2023,,False,
To Leslie,25 Feb 2023,,False,
Slacker,18 Feb 2023,,True,
Your Place or Mine,15 Feb 2023,,False,
Somebody I Used to Know,15 Feb 2023,,False,
Knock at the Cabin,08 Feb 2023,,False,
Chemical Hearts,04 Feb 2023,,False,
The Storied Life of A.J. Fikry,03 Feb 2023,,False,
Skinamarink,18 Jan 2023,,False,
Emily the Criminal,17 Jan 2023,,True,
Puss in Boots: The Last Wish,12 Jan 2023,,False,
M3GAN,07 Jan 2023,,False,
Avatar: The Way of Water,06 Jan 2023,,False,
The Menu,04 Jan 2023,,False,
The Banshees of Inisherin,02 Jan 2023,,True,
Guillermo del Toro's Pinocchio,01 Jan 2023,,False,
Funny Pages,27 Dec 2022,,True,
Glass Onion,25 Dec 2022,,False,
The Swearing Jar,24 Dec 2022,,False,
Sense and Sensibility,24 Dec 2022,,False,
The Fabelmans,19 Dec 2022,,False,
About Fate,18 Dec 2022,,False,
Nope,17 Dec 2022,,False,
The Holiday,15 Dec 2022,,False,
Something from Tiffany's,13 Dec 2022,,False,
The Whale,11 Dec 2022,,False,
About Time,10 Dec 2022,,False,
"Lust, Caution",05 Dec 2022,,False,
Bones and All,28 Nov 2022,,False,
The Cutting Edge,26 Nov 2022,,False,
Catherine Called Birdy,26 Nov 2022,,True,
Falling for Christmas,25 Nov 2022,,False,
Don't Worry Darling,25 Nov 2022,,False,
Rachel Getting Married,16 Nov 2022,,True,
My First Film,12 Nov 2022,,True,
Decision to Leave,11 Nov 2022,,False,
My Big Fat Greek Wedding,07 Nov 2022,,False,
See How They Run,06 Nov 2022,,False,
Armageddon Time,04 Nov 2022,,True,
Pickpocket,01 Nov 2022,,False,
Another Round,31 Oct 2022,,False,
Top Gun: Maverick,28 Oct 2022,,True,
The Computer Accent,22 Oct 2022,,False,
White Noise,16 Oct 2022,,False,
Triangle of Sadness,14 Oct 2022,,False,
The Eternal Daughter,10 Oct 2022,,True,
Aftersun,08 Oct 2022,,False,
Pearl,07 Oct 2022,,False,
Showing Up,06 Oct 2022,,False,
TÁR,05 Oct 2022,,False,
Belly,01 Oct 2022,,False,
Barbarian,17 Sep 2022,,False,
Do Revenge,17 Sep 2022,,False,
Married to the Mob,01 Sep 2022,,True,
Everyone Else,01 Sep 2022,,False,
Bodies Bodies Bodies,17 Aug 2022,,False,
Persuasion,13 Aug 2022,,False,
Lilya 4-ever,27 Jul 2022,,False,
Cha Cha Real Smooth,16 Jul 2022,,True,❤️❤️❤️❤️❤️❤️
Marcel the Shell with Shoes On,10 Jul 2022,,False,
Murina,08 Jul 2022,,False,
Boarding Gate,29 Jun 2022,,False,
The Black Phone,27 Jun 2022,,False,
Something in the Air,26 Jun 2022,,False,
Dirty Dancing,19 Jun 2022,,False,
Petite Maman,26 May 2022,,True,
On the Count of Three,16 May 2022,,False,
Rosemary's Baby,12 May 2022,,True,
Along for the Ride,08 May 2022,,False,
The Innocents,24 Apr 2022,,False,
"Paris, 13th District",18 Apr 2022,,False,
The Talented Mr. Ripley,01 Apr 2022,,False,
Everything Everywhere All at Once,01 Apr 2022,,True,
Turning Red,25 Mar 2022,,True,
X,21 Mar 2022,,False,
Encanto,20 Mar 2022,,False,
Drive My Car,20 Mar 2022,,True,
King Richard,14 Mar 2022,,False,
The Lost Daughter,07 Mar 2022,,True,
Jackass Forever,21 Feb 2022,,True,
The Sky Is Everywhere,14 Feb 2022,,False,
I Want You Back,11 Feb 2022,,False,
Cha Cha Real Smooth,25 Jan 2022,,True,❤️❤️❤️❤️❤️❤️
Red Rocket,07 Jan 2022,,False,
Speed,02 Jan 2022,,False,
Harry Potter 20th Anniversary: Return to Hogwarts,01 Jan 2022,,True,
Julia,19 Dec 2021,,False,
The Matrix,18 Dec 2021,,True,
The Hating Game,17 Dec 2021,,False,we (romance novel enthusiasts) deserve BETTER
The Worst Person in the World,11 Dec 2021,,True,
Licorice Pizza,02 Dec 2021,,False,
C'mon C'mon,30 Nov 2021,,True,
"tick, tick...BOOM!",27 Nov 2021,,False,
Eden,15 Nov 2021,,False,
Spencer,14 Nov 2021,,True,
All Is Forgiven,13 Nov 2021,,True,
Dune,24 Oct 2021,,False,
Titane,19 Oct 2021,,False,
The Velvet Underground,16 Oct 2021,,False,
Lamb,15 Oct 2021,,False,
"Oslo, August 31st",14 Oct 2021,,True,
The French Dispatch,11 Oct 2021,,False,
The Power of the Dog,01 Oct 2021,,False,
The Souvenir: Part II,27 Sep 2021,,True,
The Night House,31 Aug 2021,,False,
The Green Knight,24 Aug 2021,,False,
CODA,21 Aug 2021,,False,
In Bruges,16 Aug 2021,,True,
Statues Also Die,16 Jun 2021,,False,
Subject to Review,16 Jun 2021,,False,
Shiva Baby,23 May 2021,,False,
Sound of Metal,16 Apr 2021,,False,
Kajillionaire,01 Apr 2021,,False,
Shithouse,09 Jan 2021,,True," ive been logging movies in my diary on letterboxd religiously since I was 17. back then the only other person i knew who used it was my best friend. i went to college and met other people who did the same and maybe that changed how performative it felt. but it was easy to look like i loved movies. i was watching 3-5 a week just for class. then I graduated, had little time to watch movies because i was… "
My Neighbor Totoro,30 Dec 2020,,False,
Soul,25 Dec 2020,,False,
Black Bear,20 Dec 2020,,False,
Train to Busan,19 Dec 2020,,True,
Tenet,31 Aug 2020,,False,
Plus One,23 Jul 2020,,False,
Palm Springs,17 Jul 2020,,True,
Bad Education,26 Apr 2020,,False,
Honeyland,30 Jan 2020,,False,
1917,13 Jan 2020,,False,
Little Women,25 Dec 2019,,True,
Honey Boy,19 Dec 2019,,False,
Bombshell,16 Dec 2019,,False,lmao the fucking mark duplass jump scare made people in my theater literally hop outta their seats this movie was terrible
Uncut Gems,15 Dec 2019,,True,
Portrait of a Lady on Fire,12 Dec 2019,,False,
The Squid and the Whale,08 Dec 2019,,False,
Knives Out,03 Dec 2019,,False,
The Irishman,17 Nov 2019,,False,
Marriage Story,16 Nov 2019,,False,
Parasite,05 Nov 2019,,False,
The Lighthouse,21 Oct 2019,,False,
Yesterday,16 Oct 2019,,False,
The Nightingale,18 Sep 2019,,False,
Once Upon a Time… in Hollywood,17 Aug 2019,,False,
Her Smell,09 Aug 2019,,True,
The Art of Self-Defense,20 Jul 2019,,False,
Midsommar,13 Jul 2019,,False,
Toy Story 4,07 Jul 2019,,False,
Spider-Man: Far from Home,05 Jul 2019,,False,
Battle Royale,30 Jun 2019,,False,
Call Me by Your Name,26 Jun 2019,,True,
The Dead Don't Die,20 Jun 2019,,False,i saw this with babe and then we sat in washington square park and i got a lot of bug bites while drinking seltzer. it was nice.
Booksmart,15 Jun 2019,,False,
Catch Me If You Can,09 Jun 2019,,True,
John Wick: Chapter 3 – Parabellum,16 May 2019,,False,
Pokémon Detective Pikachu,14 May 2019,,False,
Long Shot,12 May 2019,,False,
The New Romantic,08 May 2019,,False,
The Farewell,05 May 2019,,False,
Police Story,01 May 2019,,True,
Avengers: Endgame,29 Apr 2019,,False,
Homecoming: A Film by Beyoncé,27 Apr 2019,,False,
Fyre Fraud,26 Apr 2019,,False,
Fyre,26 Apr 2019,,False,
Jaws,26 Apr 2019,,False,
Someone Great,25 Apr 2019,,False,
Some Kind of Wonderful,25 Apr 2019,,False,
Teen Spirit,23 Apr 2019,,False,
"Definitely, Maybe",20 Apr 2019,,False,
Shoplifters,19 Apr 2019,,False,
Hereditary,19 Apr 2019,,False,
The Perfect Date,16 Apr 2019,,False,i obviously lack self-respect
Buzzard,14 Apr 2019,,False,
Buffalo '66,12 Apr 2019,,False,
Happy as Lazzaro,11 Apr 2019,,False,
Us,06 Apr 2019,,False,
A Cinderella Story,05 Apr 2019,,False,
Wendy and Lucy,05 Apr 2019,,False,
Creed,31 Mar 2019,,False,
Fruitvale Station,29 Mar 2019,,False,
High Life,27 Mar 2019,,False,
"Fast Trip, Long Drop",26 Mar 2019,,True,
Captain Marvel,26 Mar 2019,,False,
Captive State,25 Mar 2019,,False,
Teenage Dirtbag,23 Mar 2019,,False,
Free Solo,23 Mar 2019,,False,
The Land of Steady Habits,22 Mar 2019,,False,
Green Book,22 Mar 2019,,False,
John Wick,14 Mar 2019,,False,
The Edge of Seventeen,03 Mar 2019,,False,
Lady Bird,01 Mar 2019,,True,
Climax,22 Feb 2019,,False,
Hamlet 2,17 Feb 2019,,False,
Memories of Underdevelopment,16 Feb 2019,,False,
Little Miss Sunshine,15 Feb 2019,,False,
The Rest I Make Up,12 Feb 2019,,False,
Half Nelson,10 Feb 2019,,False,
High Flying Bird,09 Feb 2019,,False,
Winter's Bone,08 Feb 2019,,False,
The Witch,03 Feb 2019,,True,
Velvet Buzzsaw,02 Feb 2019,,False,
The Princess Diaries,01 Feb 2019,,False,
The Blair Witch Project,01 Feb 2019,,False,
No Regret,30 Jan 2019,,False,
Serenity,29 Jan 2019,,False,
Funny Ha Ha,25 Jan 2019,,False,watched the first half the other night and thought it was dumb as shit and then came back and watched the second half really drunk and sad and thought it was genius
Mulholland Drive,25 Jan 2019,,False,
Cop Car,25 Jan 2019,,False,
I ♥ Huckabees,24 Jan 2019,,True,
The Little Hours,22 Jan 2019,,False,
Glass,22 Jan 2019,,False,
Margaret,21 Jan 2019,,False,
Bird Box,20 Jan 2019,,False,
Fyre,20 Jan 2019,,False,
Picture Day,19 Jan 2019,,False,
Tully,19 Jan 2019,,False,
Every Day,19 Jan 2019,,False,
Terms of Endearment,19 Jan 2019,,False,
Split,18 Jan 2019,,False,
Kids,17 Jan 2019,,False,
mid90s,13 Jan 2019,,False,
Bohemian Rhapsody,12 Jan 2019,,False,
Lovesong,09 Jan 2019,,False,
Minding the Gap,09 Jan 2019,,False,
First Reformed,08 Jan 2019,,True,
Tape,08 Jan 2019,,False,
"Juliet, Naked",08 Jan 2019,,False,"don't be fooled...this movie is decidedly NOT bad and tamara jenkins writes good dialogue and ethan hawke is in it and it's a rom com that didn't make me cringe, like, more than twice"
Private Life,07 Jan 2019,,True,
Life Itself,07 Jan 2019,,False,
Beautiful Boy,05 Jan 2019,,False,
Cold War,03 Jan 2019,,False,
Before Sunrise,03 Jan 2019,,True,
"sex, lies, and videotape",01 Jan 2019,,True,
Shirkers,01 Jan 2019,,False,i fucking hope my film is still in my room when i get back to campus jeeeesus christ
Black Mirror: Bandersnatch,30 Dec 2018,,False,
Mary Poppins Returns,27 Dec 2018,,False,
Vice,25 Dec 2018,,False,fuck out of here adam mckay like honestly. grr
Set It Up,23 Dec 2018,,False,
Madeline's Madeline,19 Dec 2018,,True,
Spider-Man: Into the Spider-Verse,13 Dec 2018,,False,
The Man Who Knew Too Much,12 Dec 2018,,False,
The Man Who Knew Too Much,12 Dec 2018,,False,
Hold the Dark,10 Dec 2018,,False,
Boy Erased,03 Dec 2018,,False,
Crazy Rich Asians,28 Nov 2018,,False,
The Birds,27 Nov 2018,,False,
Roma,25 Nov 2018,,True,
The Favourite,24 Nov 2018,,True,
Widows,21 Nov 2018,,False,
The Bedroom Window,15 Nov 2018,,False,
Torn Curtain,13 Nov 2018,,False,
Topaz,13 Nov 2018,,False,
North by Northwest,06 Nov 2018,,False,
Scream,26 Oct 2018,,False,
Under Capricorn,26 Oct 2018,,False,
A Star Is Born,25 Oct 2018,,False,
Rope,18 Oct 2018,,False,
Where the Sidewalk Ends,16 Oct 2018,,False,
The Face of Another,13 Oct 2018,,False,
Bunny Lake Is Missing,11 Oct 2018,,False,
Psycho,09 Oct 2018,,False,
Strangers on a Train,04 Oct 2018,,False,
Shadow of a Doubt,02 Oct 2018,,False,
Sierra Burgess Is a Loser,30 Sep 2018,,False,
I Confess,27 Sep 2018,,False,
Zama,26 Sep 2018,,False,
Spellbound,25 Sep 2018,,False,
Play Misty for Me,21 Sep 2018,,False,
Suspicion,20 Sep 2018,,False,
Rebecca,18 Sep 2018,,False,
Bonnie and Clyde,15 Sep 2018,,True,
Notorious,13 Sep 2018,,False,
The Fly,12 Sep 2018,,True,
Lifeboat,11 Sep 2018,,False,
Appaloosa,03 Sep 2018,,False,
Operation Finale,03 Sep 2018,,False,
The Miseducation of Cameron Post,27 Aug 2018,,False,
Home Again,27 Aug 2018,,False,
Sharp Objects,26 Aug 2018,,False,
Mission: Impossible – Fallout,20 Aug 2018,,False,
The Rider,19 Aug 2018,,False,
To All the Boys I've Loved Before,18 Aug 2018,,False,
BlacKkKlansman,16 Aug 2018,,False,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,05 Aug 2018,,False,
Patti Cake$,05 Aug 2018,,False,
Dave Chappelle's Block Party,29 Jul 2018,,False,
Hot Summer Nights,28 Jul 2018,,False,
"Love, Simon",28 Jul 2018,,False,
Eighth Grade,16 Jul 2018,,True,
Sorry to Bother You,05 Jul 2018,,False,
Incredibles 2,03 Jul 2018,,False,
Set It Up,01 Jul 2018,,False,
Ocean's Eight,18 Jun 2018,,False,
Hereditary,08 Jun 2018,,False,
My Life as a Zucchini,07 Jun 2018,,False,
Miss Stevens,30 May 2018,,False,
Deadpool 2,23 May 2018,,False,
Bad Genius,19 May 2018,,False,
Needing You...,08 May 2018,,False,
Flowers of Shanghai,03 May 2018,,False,
Let the Sunshine In,27 Apr 2018,,False,
The Hole,26 Apr 2018,,False,
Vive L'Amour,24 Apr 2018,,False,
You Were Never Really Here,24 Apr 2018,,False,
Icarus,21 Apr 2018,,False,
Paddington 2,20 Apr 2018,,False,
Brimstone & Glory,20 Apr 2018,,True,
City of Life and Death,19 Apr 2018,,False,
Pulse,18 Apr 2018,,False,
My Own Breathing,17 Apr 2018,,False,
Boat People,17 Apr 2018,,False,
Isle of Dogs,15 Apr 2018,,False,
Landline,14 Apr 2018,,False,
Shaun of the Dead,11 Apr 2018,,False,
"Like Father, Like Son",10 Apr 2018,,False,
Maborosi,10 Apr 2018,,False,
Ready Player One,08 Apr 2018,,False,
Nobody Knows,07 Apr 2018,,False,
House,04 Apr 2018,,False,
Terrorizers,04 Apr 2018,,False,
A Quiet Place,03 Apr 2018,,False,
Yi Yi,03 Apr 2018,,True,
Suspiria,02 Apr 2018,,False,
Unsane,01 Apr 2018,,False,
Fantastic Mr. Fox,30 Mar 2018,,True,
Fireworks,29 Mar 2018,,True,
Thoroughbreds,28 Mar 2018,,False,
The Exorcist,28 Mar 2018,,False,
A Scene at the Sea,27 Mar 2018,,True,
Night of the Living Dead,26 Mar 2018,,False,
Gerald's Game,20 Mar 2018,,False,
Thelma,12 Mar 2018,,False,
In the Mood for Love,08 Mar 2018,,True,
The Tingler,07 Mar 2018,,False,
Happy Together,07 Mar 2018,,False,
Ashes of Time,06 Mar 2018,,False,
House of Wax,05 Mar 2018,,False,
Annihilation,02 Mar 2018,,True,
A City of Sadness,01 Mar 2018,,True,
Sonatine,22 Feb 2018,,False,
Fish Tank,21 Feb 2018,,True,
The Curse of the Cat People,21 Feb 2018,,False,
I Walked with a Zombie,21 Feb 2018,,False,
Cat People,21 Feb 2018,,False,
Spring in a Small Town,20 Feb 2018,,False,
The Legend of Fong Sai Yuk,20 Feb 2018,,False,
Eyes Without a Face,19 Feb 2018,,True,
Rhymes for Young Ghouls,18 Feb 2018,,False,
