Movie,Date Watched,Rating,Liked,Review
Heat,14 Jan 2024,★★★★½,False,
The Boy and the Heron,13 Jan 2024,★★★½,False,
Monster,08 Jan 2024,★★★★,False,
Days of Being Wild,05 Jan 2024,★★★★,False,
Priscilla,04 Jan 2024,★★½,False,
Vertigo,02 Jan 2024,★★★★½,False,
La La Land,01 Jan 2024,★★★★★,True,
Phantom of the Paradise,28 Dec 2023,,False,
Tag,26 Dec 2023,★★½,False,
Perfect Days,11 Dec 2023,★★★★½,False,
Bad Luck Banging or Loony Porn,01 Dec 2023,★★★½,False,
Poor Things,25 Nov 2023,★★★★½,True,
Oppenheimer,14 Nov 2023,★★★★½,False,
The Killer,11 Nov 2023,★★★½,False,
In the Mouth of Madness,05 Nov 2023,★★★½,False,
World War Z,02 Nov 2023,★★★½,False,
Anatomy of a Fall,21 Oct 2023,★★★★,False,
Strange Way of Life,03 Oct 2023,★★½,False,
Werewolf by Night,22 Sep 2023,★★★★,False,
Doctor Strange in the Multiverse of Madness,21 Sep 2023,★★★½,False,
The Vanishing,21 Sep 2023,★★★★½,False,
Fast Five,20 Sep 2023,★★★,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,19 Sep 2023,★★★★,False,
Past Lives,27 Aug 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,16 Aug 2023,★★★★½,False,
Barbie,28 Jul 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,21 Jul 2023,★★★★½,False,
Dungeons & Dragons: Honor Among Thieves,20 Jul 2023,★★★★,False,
Asteroid City,19 Jul 2023,★★★★,False,
Mission: Impossible – Dead Reckoning Part One,14 Jul 2023,★★★★,False,
Electric Dreams,02 Jul 2023,★★★½,False,
Lady Vengeance,01 Jul 2023,★★★★,False,
Bodies Bodies Bodies,28 Jun 2023,★★★½,False,
Glass Onion,26 Jun 2023,★★★★,False,
Elemental,25 Jun 2023,★★★½,False,
Carl's Date,25 Jun 2023,,False,
The Innocent,24 Jun 2023,★★★★,False,
Barbarian,18 Jun 2023,★★★★,False,
The Little Mermaid,02 Jun 2023,★★★½,False,
The Covenant,14 May 2023,★★★★,False,
Infernal Affairs,04 May 2023,★★★★,False,
Triangle of Sadness,02 May 2023,★★★★,False,
EO,30 Apr 2023,★★★½,False,
No Bears,21 Apr 2023,★★★★½,False,
Aftersun,11 Apr 2023,★★★★★,True,
John Wick: Chapter 4,31 Mar 2023,★★★★,False,
Maybe Today,24 Feb 2023,★★★,False,
Nope,08 Feb 2023,★★★★,False,
Bullet Train,27 Dec 2022,★★★½,False,
The Banshees of Inisherin,22 Dec 2022,★★★★,False,
Tenet,08 Nov 2022,★★★,False,
Decision to Leave,17 Sep 2022,★★★★½,False,
WandaVision,01 Jul 2022,★★★,False,
Crimes of the Future,24 Jun 2022,★★★½,False,
Everything Everywhere All at Once,01 Jun 2022,★★★★★,True,
The Batman,04 May 2022,★★★★½,True,
Shang-Chi and the Legend of the Ten Rings,03 May 2022,★★½,False,
Spider-Man: No Way Home,30 Mar 2022,★★★½,False,
Turning Red,13 Mar 2022,★★★★,False,
The Batman,10 Mar 2022,★★★★½,True,
No Time to Die,08 Mar 2022,★★★½,False,
The Worst Person in the World,13 Feb 2022,★★★★½,False,
Wheel of Fortune and Fantasy,05 Feb 2022,★★★★½,False,
The Tragedy of Macbeth,28 Jan 2022,★★★★,False,
The Matrix Resurrections,19 Jan 2022,★★,False,
Black Widow,16 Jan 2022,★★★,False,
The French Dispatch,08 Jan 2022,★★★★,False,
Drive My Car,31 Dec 2021,★★★★★,True,
C'mon C'mon,25 Dec 2021,★★★★½,False,
Drive My Car,30 Nov 2021,,True,
Shiva Baby,25 Nov 2021,★★★★,False,
Asako I & II,23 Nov 2021,★★★★½,True,
Dune,20 Oct 2021,★★★★,False,
Moonstruck,10 Sep 2021,★★★★,False,
Godzilla vs. Megalon,30 Aug 2021,,False,
Blessed Land,30 Aug 2021,,False,
The Green Knight,29 Aug 2021,★★★,False,
The Long Goodbye,21 Aug 2021,★★★½,False,
Shin Godzilla,05 Apr 2021,★★★★,False,
Sound of Metal,18 Mar 2021,★★★★½,False,
"Kalel, 15",16 Mar 2021,★★★½,False,
Minari,16 Mar 2021,★★★★,False,
Mission: Impossible – Fallout,15 Mar 2021,★★★★½,True,
Whisper of the Heart,14 Mar 2021,★★★★½,True,
Soul,14 Jan 2021,★★★★,False,
Midnight in a Perfect World,10 Dec 2020,★★★½,False,
Ode to Nothing,06 Dec 2020,★★★★½,True,
Genus Pan,05 Dec 2020,★★,False,
Balangiga: Howling Wilderness,03 Dec 2020,★★★,False,
Cleaners,27 Nov 2020,★★★★½,True,Thank goodness for Upstream that I can watch the Buwan ng Wika story again. Probably one of my favorite sequences ever from a local film only because of how close and personal it felt to me. 
Joint Security Area,23 Nov 2020,★★★★½,False,
Nowhere to Hide,22 Nov 2020,★★½,False,
Mildred Pierce,19 Nov 2020,★★★★½,False,
The Queen's Gambit,18 Nov 2020,★★★★,False,
"Merry Christmas, Mr. Lawrence",17 Nov 2020,★★★½,False,
Moonbird,17 Nov 2020,,False,
The Tender Game,17 Nov 2020,,True,
Date with Dizzy,17 Nov 2020,,False,
Beau Travail,12 Nov 2020,★★★★½,False,
Election,03 Nov 2020,★★★★,False,
The Texas Chain Saw Massacre,11 Oct 2020,★★★★½,False,
Lost in America,04 Oct 2020,★★★★,False,
Real Life,03 Oct 2020,★★★★½,False,
Modern Romance,01 Oct 2020,★★★★½,False,
Graduate First,30 Sep 2020,★★★,False,
Police,29 Sep 2020,★★★★,False,
Under the Sun of Satan,28 Sep 2020,★★★★,False,
Beats Per Mizu,26 Sep 2020,★★★½,False,
We Won't Grow Old Together,25 Sep 2020,★★★★,False,
The Mouth Agape,20 Sep 2020,★★★★½,False,
Loulou,17 Sep 2020,★★★,False,
The Two of Us,14 Sep 2020,★★★★,False,
La Jetée,08 Sep 2020,,True,
Exporting Raymond,03 Sep 2020,★★★,False,
La Ciénaga,02 Sep 2020,★★★★,False,
Calendar,30 Aug 2020,★★★,False,
The Tune,29 Aug 2020,★★★★,False,
Princess Cyd,27 Aug 2020,★★★★,False,
Day of the Outlaw,25 Aug 2020,★★★½,False,
Guide Dog,25 Aug 2020,,False,
Next of Kin,24 Aug 2020,★★★★,False,
Rancho Notorious,23 Aug 2020,★★★★,False,
The Sweet Hereafter,22 Aug 2020,★★★½,False,
Blood on the Moon,21 Aug 2020,★★★,False,
Guard Dog,20 Aug 2020,,False,
The Cruz Brothers and Miss Malloy,19 Aug 2020,★★★,False,
Losing Ground,18 Aug 2020,★★★★,False,
Overseas,16 Aug 2020,★★★,False,
Fatigued,16 Aug 2020,★★½,False,
"Buding, Ang Babayi Nga Naglutaw",15 Aug 2020,★★★,False,
An Elegy to Forgetting,14 Aug 2020,★★★★,True,"Screw Alzheimer’s disease. It eats away at your thoughts and memories, until you can’t remember when and how to do even the most basic of tasks such as swallowing. "
Adela,12 Aug 2020,,False,
Eyeball,12 Aug 2020,★★,False,
Heneral Rizal,12 Aug 2020,★★,False,
Basurero,12 Aug 2020,★★★½,False,
Nang Em,11 Aug 2020,★★½,False,
Arise,11 Aug 2020,★½,False,
Chanting the Passion,11 Aug 2020,★★★★,False,
The Broken Vinyl Record,11 Aug 2020,★★★½,False,
Living Things,10 Aug 2020,★★★★½,False,
Quing Lalam Ning Aldo,10 Aug 2020,★★★½,False,
To Calm the Pig Inside,10 Aug 2020,★★★★,False,
The Slums,10 Aug 2020,★★★★,False,
