Movie,Date Watched,Rating,Liked,Review
Kitchen,10 Jan 2024,★★,False,
Targets,09 Jan 2024,★★★,False,
Leave the World Behind,10 Dec 2023,★,False,
Special Section,30 Nov 2023,★★★,False,
Flowers of Shanghai,29 Nov 2023,★★★★,False,
Day of Despair,28 Nov 2023,★★★★,False,
Harry and Tonto,27 Nov 2023,★★★,False,
Man on the Roof,26 Nov 2023,★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,25 Nov 2023,★,False,
Believer 2,19 Nov 2023,★,False,
The Creator,18 Nov 2023,★,False,
BlackBerry,16 Nov 2023,★★★,False,
The Exorcist: Believer,12 Nov 2023,★,False,
Rebound,11 Nov 2023,★★★,False,
Bodyguard,10 Nov 2023,,True,
The Killer,10 Nov 2023,★★★,False,
A Haunting in Venice,04 Nov 2023,★★★,False,
When Evil Lurks,29 Oct 2023,★★,False,
Five Nights at Freddy's,27 Oct 2023,★★,False,
Asteroid City,14 Oct 2023,★,False,
Dead End,13 Oct 2023,★★★,False,
Ballerina,12 Oct 2023,★★,False,
The Nun II,08 Oct 2023,★,False,
Reptile,01 Oct 2023,★★,False,
Avataro Sentai Donbrothers,28 Sep 2023,,True,
No One Will Save You,25 Sep 2023,★,False,
Past Lives,21 Sep 2023,★★,False,
Life Sentence,16 Sep 2023,★★,False,
Talk to Me,14 Sep 2023,★,False,
Luther: The Fallen Sun,12 Sep 2023,★★,False,
Vacation,11 Sep 2023,★★,False,
Shooting Gallery,10 Sep 2023,★★★★,False,
Meg 2: The Trench,09 Sep 2023,★,False,
Train of Shadows,08 Sep 2023,★★★★,False,
The Juniper Tree,04 Sep 2023,★★★★,False,
Adrift in Tokyo,04 Sep 2023,★★★,False,
Zatoichi Challenged,03 Sep 2023,★★,False,
Nefarious,02 Sep 2023,★,False,
Between the Seasons,01 Sep 2023,★★,False,
A Man Vanishes,30 Aug 2023,★★★★,False,
The Boogeyman,29 Aug 2023,★★,False,
Noise,27 Aug 2023,★★,False,
This World of Ours,26 Aug 2023,★★★,False,
Buddha Collapsed Out of Shame,25 Aug 2023,★★★★,False,
They Can't Hang Me,24 Aug 2023,★★★,False,
There's a Strong Wind in Beijing,24 Aug 2023,,True,
Twin Peaks: The Return,22 Aug 2023,,True,
Le Notti Bianche,18 Aug 2023,★★★★,False,
Nocebo,16 Aug 2023,★,False,
Triangle of Sadness,15 Aug 2023,★★,False,
Twin Peaks: Fire Walk with Me,12 Aug 2023,★★★★,False,
Cobweb,11 Aug 2023,★,False,
Aloners,10 Aug 2023,★★★,False,
The Celebration,09 Aug 2023,★★★★,False,
Bright Future,07 Aug 2023,★★★★,False,
Twin Peaks,07 Aug 2023,,True,
The Passenger,05 Aug 2023,★★★,False,
Death Smiles on a Murderer,03 Aug 2023,★★★,False,
Sympathy for the Devil,02 Aug 2023,★,False,
Insidious: The Red Door,01 Aug 2023,★,False,
Purple Hearts,30 Jul 2023,★,False,
Shattered Image,27 Jul 2023,★★★,False,
Troll,27 Jul 2023,★,False,
They Cloned Tyrone,26 Jul 2023,★,False,
The Grandson,24 Jul 2023,★,False,
Padre Pio,23 Jul 2023,★★★,False,
Kandahar,21 Jul 2023,★,False,
Need for Speed,16 Jul 2023,★★,False,
The Black Demon,13 Jul 2023,★,False,
Through My Window: Across the Sea,08 Jul 2023,★,False,
Sonic the Hedgehog 2,01 Jul 2023,,False,
Sonic the Hedgehog,27 Jun 2023,★★,False,
Meet Dave,18 Jun 2023,★,False,
Extraction 2,17 Jun 2023,★,False,
A Model Family,15 Jun 2023,,False,
Malum,11 Jun 2023,★,False,
Hypnotic,30 May 2023,★,False,
Love Again,24 May 2023,★,False,
Mercy Falls,20 May 2023,★,False,
To Catch a Killer,18 May 2023,★★★,False,
65,14 May 2023,★,False,
The Wandering Earth II,13 May 2023,★,False,
Air,12 May 2023,★★,False,
The Covenant,11 May 2023,★★★,False,
Evil Dead Rise,09 May 2023,★,False,
The Pope's Exorcist,07 May 2023,★★,False,
Through My Window,06 May 2023,★,False,
Scream VI,02 May 2023,★,False,
Scream,01 May 2023,★,False,
The Tutor,24 Apr 2023,★,False,
The Taking of Power by Louis XIV,20 Apr 2023,★★★,False,
Hana & Alice,13 Apr 2023,★★,False,
The Belly of an Architect,10 Apr 2023,★★★★,False,
Nomadland,09 Apr 2023,★★,False,
Lights of Kyoto,02 Apr 2023,★★,False,
"He Won't Kill, She Won't Die",01 Apr 2023,★,False,
The Novelist's Film,31 Mar 2023,★★★,False,
Notorious,31 Mar 2023,★★★,False,
Beanpole,30 Mar 2023,★★★,False,
The Lost Daughter,29 Mar 2023,★,False,
La Ronde,28 Mar 2023,★★,False,
Le Plaisir,26 Mar 2023,★★★,False,
Letter from an Unknown Woman,25 Mar 2023,★★★,False,
Little Dixie,15 Mar 2023,★★,False,
Yuki & Nina,13 Mar 2023,★★★★,False,
Operation Fortune: Ruse de Guerre,12 Mar 2023,★,False,
The Gentlemen,11 Mar 2023,★★,False,
Gannibal,10 Mar 2023,,True,
The Harvest,08 Mar 2023,★,False,
ZeroZeroZero,03 Mar 2023,,False,
Stories We Tell,03 Mar 2023,★★★,False,
I Am Love,25 Feb 2023,★,False,
Little Children,24 Feb 2023,★★,False,
Knock at the Cabin,22 Feb 2023,★,False,
Manhattan,15 Feb 2023,★★★,False,
True North: Inside the Rise of Toronto Basketball,15 Feb 2023,,True,
The Magnificent Ambersons,14 Feb 2023,★★★★★,False,
The Meetings of Anna,13 Feb 2023,★★★,False,
Vicky Cristina Barcelona,12 Feb 2023,★★,False,
Valerie and Her Week of Wonders,10 Feb 2023,★★★,False,
The Hypothesis of the Stolen Painting,10 Feb 2023,,True,
Manoel’s Destinies,09 Feb 2023,★★★★★,False,
Hovering Over the Water,04 Feb 2023,★★★★★,False,
This Transient Life,03 Feb 2023,★★★★,False,
A Moment of Romance,02 Feb 2023,★★★★,False,
L'Eclisse,01 Feb 2023,★★★★★,False,
The Outsider,25 Jan 2023,,True,
The Killer,25 Jan 2023,★★,False,
M3GAN,24 Jan 2023,★,False,
The Chestnut Man,23 Jan 2023,,False,
Time to Hunt,22 Jan 2023,★★,False,
If Cats Disappeared from the World,21 Jan 2023,★★,False,
Night in Paradise,21 Jan 2023,★★★,False,
"Family Romance, LLC",21 Jan 2023,★★,False,
The Paleface,20 Jan 2023,,False,
Like a French Film,19 Jan 2023,★,False,
A Quiet Dream,18 Jan 2023,★★★,False,
Babette's Feast,16 Jan 2023,★★★,False,
Before We Vanish,16 Jan 2023,★★★,False,
Swallow,15 Jan 2023,★,False,
On the Rocks,15 Jan 2023,★,False,
Raging Fire,12 Jan 2023,★★★,False,
The Divine Fury,11 Jan 2023,★,False,
Zatoichi's Cane Sword,10 Jan 2023,★★,False,
Youth,09 Jan 2023,★★,False,
Hunt,09 Jan 2023,★★★,False,
The Pale Blue Eye,08 Jan 2023,★★,False,
0.5 mm,08 Jan 2023,★★★★,False,
Metamorphosis,08 Jan 2023,★,False,
The Great White Silence,07 Jan 2023,★★★★★,False,
The Chronicles of Evil,06 Jan 2023,★,False,
White Noise,06 Jan 2023,★★★,False,
Bluebeard,06 Jan 2023,★★,False,
Il Mare,05 Jan 2023,★★★,False,
The Menu,03 Jan 2023,★,False,
Seance,03 Jan 2023,★★,False,
Zatoichi the Outlaw,02 Jan 2023,★★★,False,
Resurrection,02 Jan 2023,★,False,
Till Death,01 Jan 2023,★,False,
"Right Now, Wrong Then",31 Dec 2022,★★★★★,False,
A Midsummer's Fantasia,31 Dec 2022,★★★,False,
Don't Worry Darling,30 Dec 2022,★,False,
Bleak Night,29 Dec 2022,★★★,False,
Romance Joe,28 Dec 2022,★★,False,
The Moustache,11 Dec 2022,★★★,False,
Shattered,10 Dec 2022,★,False,
Black Butterfly,01 Dec 2022,★★,False,
Bad Influence,20 Nov 2022,★,False,
Smile,17 Nov 2022,★,False,
The Swimmer,07 Nov 2022,★★★★,False,
Bullet Train,28 Oct 2022,★★,False,
He's Watching,27 Oct 2022,★,False,
Barbarian,25 Oct 2022,★,False,
Creep,24 Oct 2022,★★,False,
Black Sabbath,23 Oct 2022,★★★,False,
Jack's Back,22 Oct 2022,★★★,False,
Pearl,21 Oct 2022,★,False,
Extraterrestrial,19 Oct 2022,★,False,
Dead & Buried,16 Oct 2022,★★★,False,
The Slumber Party Massacre,15 Oct 2022,★★,False,
Beyond the Darkness,15 Oct 2022,★★,False,
Alone in the Dark,14 Oct 2022,★,False,
Found,12 Oct 2022,★,False,
The North Water,11 Oct 2022,,True,
Demons,08 Oct 2022,★★★,False,
Significant Other,07 Oct 2022,★★★,False,
Mr. Harrigan's Phone,07 Oct 2022,★,False,
Breaking,26 Sep 2022,★,False,
The Spy Who Came in from the Cold,24 Sep 2022,★★★★,False,
No One's Ark,23 Sep 2022,★★★,False,
Tomorrow at Ten,23 Sep 2022,★★,False,
All Under the Moon,21 Sep 2022,★★★,False,
Himitsu Sentai Gorenger: The Movie,21 Sep 2022,,True,
Chōjin Sentai Jetman,18 Sep 2022,,True,
Do Revenge,17 Sep 2022,★,False,
Three Thousand Years of Longing,16 Sep 2022,★★,False,
Carter,09 Sep 2022,★,False,
Black Bird,05 Sep 2022,,False,
Killer's Kiss,27 Aug 2022,,False,
Samaritan,27 Aug 2022,★,False,
Midnight,24 Aug 2022,★★,False,
Poor Pretty Eddie,20 Aug 2022,★★★,False,
I Now Pronounce You Chuck & Larry,19 Aug 2022,★,False,
Glorious,19 Aug 2022,★,False,
The Chocolate War,17 Aug 2022,★★★,False,
