Movie,Date Watched,Rating,Liked,Review
The Terminal,30 Oct 2023,★★,False,opa….
Do the Right Thing,28 Sep 2023,★★★★,False,"hot today, hot yesterday, hot tomorrow"
The Quiet Girl,26 Feb 2023,★★★★,False,
Everything Everywhere All at Once,14 May 2022,★★,False,"i must be trapped in the universe where i’m one of the only people who disliked this film. 2 stars though, because for what was mostly quirky marvel movie….it did still make me cry about my mom by the end"
A Serious Man,28 Jan 2022,★★★★★,True,watched this again just to give it 5 stars again
The French Dispatch,03 Nov 2021,★★½,False,basically fine
Pretend It's a City,25 Sep 2021,★,False,
Jennifer's Body,29 Jul 2021,,False,
Bo Burnham: Inside,01 Jul 2021,★★,False,
The Taking of Pelham 1 2 3,13 Jun 2021,★,False,this would never happen on the franklin avenue shuttle
Lost Highway,22 Mar 2021,★★★★,False,wowie!
Won't You Be My Neighbor?,20 Mar 2021,,False,
Ammonite,16 Mar 2021,★★,False,"ok so...questionable chemistry aside, this film is so texturally rich on so many levels and that’s a merit i can’t set aside. the lighthouse x portrait of a lady on fire crossover nobody asked for but was delivered to us anyway"
Joan Didion: The Center Will Not Hold,10 Jan 2021,,False,
Faces Places,09 Jan 2021,★★★★★,False,
High School,03 Jan 2021,★★★★,False,
Caché,14 Dec 2020,★★★★,False,
Funny Games,05 Dec 2020,★★★★,False,"“wait, you can make a subtle film about a woman’s life getting fucked up by people entering her home without her permission that ultimately serves as greater commentary on the human race? take notes aronofsky”"
The Gleaners and I,22 Nov 2020,★★★★★,False,
The Seventh Seal,08 Nov 2020,★★★,False,
The Queen's Gambit,06 Nov 2020,,True,
The Last Picture Show,26 Oct 2020,★★★★,False,
Practical Magic,26 Oct 2020,★★,False,"1 star for the film, an extra star for the Roman & Williams set design"
My Best Friend's Wedding,26 Oct 2020,★,False,absolutely absurd behaviorthis film is the driving force behind the downfall of rom coms
Borat Subsequent Moviefilm,22 Oct 2020,,False,
Annie Hall,13 Oct 2020,★★★★★,False,
Hannah and Her Sisters,13 Oct 2020,★★★,False,
The Squid and the Whale,23 Sep 2020,★★,False,
I'm Thinking of Ending Things,23 Sep 2020,★★,False,
"Life, and Nothing More...",05 Jul 2020,★★★★★,False,
Where Is the Friend's House?,20 Jun 2020,★★★★★,False,
Vivre Sa Vie,17 Jun 2020,★★★★,False,
Nebraska,17 Jun 2020,★★★,False,
Columbus,17 Jun 2020,★★★★★,True,
One Hour Photo,09 May 2020,★★,False,"visually gorgeous and incredibly uncomfortable, but its merits end there. too stanley parable-esque"
Rushmore,07 Apr 2020,★★★★★,False,
"Tiger King: Murder, Mayhem and Madness",06 Apr 2020,★★,False,
All That We Destroy,07 May 2019,★,False,
Frank,15 Dec 2018,★★★★,False,
Children of Men,08 Nov 2018,★★★★★,False,
Halloween,31 Oct 2018,★★,False,
Selma,22 Oct 2018,,False,
Sorry to Bother You,12 Oct 2018,,False,
22 July,10 Oct 2018,,False,
Marnie,27 Sep 2018,★★½,False,
The Cabinet of Dr. Caligari,06 Sep 2018,★★★★,False,
It Follows,14 Aug 2018,★★★½,False,
Waiting for Guffman,14 Aug 2018,★★★★,False,
Garden State,31 Jul 2018,★★★½,False,
Three Identical Strangers,29 Jul 2018,★★★,False,
The Endless,27 Jul 2018,★★,False,
Hotel Chevalier,24 Jun 2018,,False,
The Royal Tenenbaums,24 Jun 2018,,True,
The Darjeeling Limited,24 Jun 2018,,True,
Bottle Rocket,24 Jun 2018,,False,
The Life Aquatic with Steve Zissou,24 Jun 2018,,False,

Followers
isabirdwing,patticake666,milan98,ali142,cinephile1988,samdebrod,julesgeist,wizardofdod,lepelstat,bignasty,adam_

Following
fumilayo,isabirdwing,gertrudkanning,dash_cam,patticake666,milan98,ladybirdlazarus,ali142,samdebrod,julesgeist,wizardofdod,evaloveless,campbart,acax87,lepelstat,bignasty,adam_,trcksbeforefood
