Movie,Date Watched,Rating,Liked,Review
The Killer,05 Jan 2024,★★½,False,
The Swan,04 Jan 2024,,True,
Overnight,01 Jan 2024,,False,
Legally Blonde,31 Dec 2023,,False,
Old Dads,31 Dec 2023,★★½,False,
Always Be My Maybe,30 Dec 2023,,False,
She's All That,30 Dec 2023,,False,
Poor Things,24 Dec 2023,★★★★½,True,
The Boy and the Heron,23 Dec 2023,★★★½,True,
The River Runner,21 Dec 2023,★½,False,Netflix doc
The Spectacular Now,19 Dec 2023,★★★★,False,
14 Peaks: Nothing Is Impossible,18 Dec 2023,★★★½,False,
Dream Scenario,05 Dec 2023,★★½,True,
Bridget Jones's Diary,03 Dec 2023,,False,
The Boondock Saints,29 Nov 2023,,True,
Saltburn,26 Nov 2023,★★★★,True,
PlayTime,15 Nov 2023,,True,
La La Land,17 Sep 2023,,False,
Frances Ha,11 Sep 2023,★★★★★,True,
Inside,06 Sep 2023,★★½,False,
Black Mirror: Mazey Day,26 Aug 2023,★★,False,
Theater Camp,26 Aug 2023,★★★★½,True,
Bottoms,25 Aug 2023,★★★★,False,Busy year for Ayo Edebiri
Gran Turismo,24 Aug 2023,★★,False,Bonus star for Kenny G
We Were Meant To,19 Aug 2023,,False,
Blue Beetle,17 Aug 2023,★,False,
Oldboy,16 Aug 2023,★★★★★,True,Cant believe I can see this masterpiece again on big screen in LA
Shortcomings,15 Aug 2023,★★★,False,The worst (asian) person in the world
Teenage Mutant Ninja Turtles: Mutant Mayhem,09 Aug 2023,★★★,False,
Talk to Me,07 Aug 2023,★★★,False,
The First Slam Dunk,27 Jul 2023,★★★★,False,
Oppenheimer,26 Jul 2023,★★★★½,False,
Adam's Song,24 Jul 2023,,False,
Barbie,21 Jul 2023,★★★★,False,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★½,True,
Indiana Jones and the Dial of Destiny,10 Jul 2023,½,False,A very good sleep!
Insidious: The Red Door,08 Jul 2023,★★,False,
Joy Ride,05 Jul 2023,★★★,False,
No Hard Feelings,05 Jul 2023,★★★,False,
Asteroid City,24 Jun 2023,★★★½,True,
Black Mirror: Beyond the Sea,19 Jun 2023,★★★,False,
Black Mirror: Loch Henry,19 Jun 2023,★★★½,False,
Black Mirror: Joan Is Awful,18 Jun 2023,★★★½,False,
Spider-Man: Into the Spider-Verse,18 Jun 2023,★★★★★,True,
Transformers: Rise of the Beasts,18 Jun 2023,★★,False,
The Flash,16 Jun 2023,★★★½,False,
"Mara Has Three Jobs in San Juan, Puerto Rico",12 Jun 2023,,False,
Order for Pickup,12 Jun 2023,,False,
Rocky Road On Channel Three,12 Jun 2023,,False,
Sarajin,12 Jun 2023,,False,
The Gag,12 Jun 2023,,False,
Sorry Grandpa Hsiao,12 Jun 2023,,False,
"In Your Light, Do We See Light",12 Jun 2023,,False,
Last Days of the Lab,12 Jun 2023,,True,
My Nights Glow Yellow,12 Jun 2023,,False,
The K-Town Killer,10 Jun 2023,,True,
Smoking Tigers,10 Jun 2023,,True,Tribeca Film Festival 2023
A Strange Path,09 Jun 2023,,False,Tribeca Film Festival 2023
Magic Mike's Last Dance,07 Jun 2023,½,False,
Past Lives,05 Jun 2023,★★★★,True,
Moonrise Kingdom,05 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,True,
The Big Shave,03 Jun 2023,,False,
You Hurt My Feelings,02 Jun 2023,★★★,True,Adding to the heart but mid star list
The Little Mermaid,30 May 2023,★★★★,False,
The French Dispatch,29 May 2023,★★★★★,True,
Fast X,24 May 2023,½,False,
Shazam! Fury of the Gods,22 May 2023,½,False,
Sisu,14 May 2023,★★½,False,
Polite Society,10 May 2023,★★★½,False,
Guardians of the Galaxy Vol. 3,05 May 2023,★★★½,False,
Suzume,22 Apr 2023,★,False,
Beau Is Afraid,14 Apr 2023,★★★,False,
Air,09 Apr 2023,★★★,False,
Skinamarink,09 Apr 2023,★★½,False,"Ah, should've watched it in theater"
The Super Mario Bros. Movie,08 Apr 2023,★★½,False,
Scream VI,06 Apr 2023,★★★★,False,Letterboxd users are probably killers - Mindy
Dungeons & Dragons: Honor Among Thieves,31 Mar 2023,★★★½,False,
Jackals & Fireflies,30 Mar 2023,★★★★½,True,
John Wick: Chapter 4,26 Mar 2023,★★½,False,
Aftersun,25 Mar 2023,★★★,True,Ready to watch a couple more times
Your Place or Mine,28 Feb 2023,½,False,
Cocaine Bear,24 Feb 2023,½,False,
Ant-Man and the Wasp: Quantumania,19 Feb 2023,½,False,
TÁR,22 Jan 2023,★★★★,False,
Missing,17 Jan 2023,★★★,False,
Broker,16 Jan 2023,★★★★,True,
Guillermo del Toro's Pinocchio,16 Jan 2023,★★★,False,
I Missed You,12 Jan 2023,★,False,
