Movie,Date Watched,Rating,Liked,Review
A Beautiful Thing: IDLES Live at le Bataclan,14 Jan 2024,★★★★,True,mark bowen needs to play harry in a live action adaptation of disco elysium
The Last Dragon,13 Jan 2024,★★★★½,True,a fever dream and william h macy showing up out of nowhere doesnt help it
Doctor Who: The Church on Ruby Road,10 Jan 2024,★★★★,True," a rough 4, for surencuti has me sold, kinda amazing that he’s the first non-adorkable doctor in, like, 20 years? dude’s just hot and charming as hell, knows it, rolls with it, and sells practically every line without breaking a sweat. millie gibson though? shes alright. honestly, apart from gatwa, im not super sold on the supporting cast, which is worryingwill say, this is the gayest doctor who has maybe ever been but only 65% of that feels… "
Adventure Time: Fionna & Cake,08 Jan 2024,★★★★,True,"damn solid, hoping for more but am pretty content with what this is, all things considered"
Manhunter,03 Jan 2024,★★★★½,True,"an odyssey of sorts, thick with its own nefarious and ethereal magic, Manhunter is much like a fresh cut wound by steel wire in dark winter, insofar as it stings like a motherfucker and burns in the freeze. Petersen and Cox also give all-timer performances (the latter providing Lecter with an arrogance I quickly got addicted to), so all in all i’m calling this a massive W for me considering its my first film of 2024. here’s to the rest of the year!"
Wizard City,28 Dec 2023,★★★★,True,was expecting this to be my least favorite of Distant Lands but it wasn’t! fun stuff
Adventure Time: Distant Lands,28 Dec 2023,★★★★½,True,lotsa tears were shedplot threads put to bedafter the last episode I said“Hey Finn! Let’s watch it again!”
Together Again,28 Dec 2023,★★★★★,True,"WAAAAAHHH WAHHH WAAAAAAAAH WAAAAAH *takes a breathe, coughs up phlegm* WAAAAAAAH WAAAAAAAHHHH WAH WAHHHHJHH WAAAHHHH"
Adventure Time: Elements,28 Dec 2023,★★★★,True,"something about Elements never really did it for me? probs cuz its RIGHT after Islands, but hey! still some good stuff here"
Adventure Time: Islands,28 Dec 2023,★★★★½,True,lesser peak but damn good
Adventure Time: Stakes,28 Dec 2023,★★★★★,True,this was peak
BMO,15 Dec 2023,★★★★,True,"SURPRISINGLY mean lil episode, damn!"
Riders of Justice,12 Dec 2023,★★★½,True,
Doctor Who: The Giggle,10 Dec 2023,★★★★½,True,
Obsidian,07 Dec 2023,★★★★,True,
Hardcore,06 Dec 2023,★★★★,True,
A Nightmare on Elm Street 3: Dream Warriors,05 Dec 2023,★★★★½,True,
Doctor Who Children in Need Special 2023,03 Dec 2023,★★★★,True,
Doctor Who: Wild Blue Yonder,03 Dec 2023,★★★★★,True,
Doctor Who: The Star Beast,27 Nov 2023,★★★★,True,
The Great Dope Hunt,24 Nov 2023,★½,True,
Scott Pilgrim Takes Off,24 Nov 2023,★★★★½,True,
Doctor Who: The Power of the Doctor,24 Nov 2023,★★★★,True,
A Nightmare on Elm Street Part 2: Freddy's Revenge,21 Nov 2023,★★★★,True,
The Pit and the Pendulum,09 Nov 2023,★★★½,True,
Harper,09 Nov 2023,★★★★½,True,
The Sniper,12 Oct 2023,★★★,True,
Cure,11 Oct 2023,★★★★★,True,
A Nightmare on Elm Street,10 Oct 2023,★★★★,True,
Saw X,30 Sep 2023,★★★★½,True,
A Man's Neck,28 Sep 2023,★★★★½,True,
The Great Silence,26 Sep 2023,★★★★½,True,
Cop,15 Sep 2023,★★★★,True,
Outlaw Johnny Black,14 Sep 2023,★★★★½,True,
The Outfit,13 Sep 2023,★★★½,True,
Who Killed Captain Alex?,08 Sep 2023,★★★★,True,
