Movie,Date Watched,Rating,Liked,Review
Godzilla Minus One,14 Jan 2024,,False,
Society of the Snow,13 Jan 2024,,False,
Oppenheimer,12 Jan 2024,,False,
Napoleon,10 Jan 2024,,False,
Anatomy of a Fall,09 Jan 2024,,False,
American Fiction,07 Jan 2024,,False,
The Iron Claw,06 Jan 2024,,False,
Eileen,04 Jan 2024,,False,
The Creator,03 Jan 2024,,False,
Wonka,03 Jan 2024,,False,
The Royal Hotel,02 Jan 2024,,False,
Passages,02 Jan 2024,,False,
How to Have Sex,02 Jan 2024,,False,
Ferrari,02 Jan 2024,,False,
Poor Things,25 Dec 2023,,False,
Maestro,22 Dec 2023,,False,
May December,18 Dec 2023,,False,
NYAD,16 Dec 2023,,False,
Priscilla,15 Dec 2023,,False,
Saltburn,13 Dec 2023,,False,
Dream Scenario,12 Dec 2023,,False,
Rustin,11 Dec 2023,,False,
The Killer,10 Dec 2023,,False,
Leave the World Behind,09 Dec 2023,,False,
Killers of the Flower Moon,08 Dec 2023,,False,
May December,07 Dec 2023,,False,
The Holdovers,06 Dec 2023,,False,
How the Grinch Stole Christmas,04 Dec 2023,,False,Commentary w/ Ron Howard
The Social Network,20 Nov 2023,,False,
Dumb Money,14 Nov 2023,,False,
Home Alone,29 Oct 2023,,False,
"Hail, Caesar!",09 Oct 2023,,False,Gets better every time
The Founder,25 Sep 2023,,False,
Some Like It Hot,25 Sep 2023,,False,
Gentlemen Prefer Blondes,25 Sep 2023,,False,
Scarface,24 Sep 2023,,False,
Bottoms,22 Sep 2023,,False,
The Beach Bum,17 Sep 2023,,False,
Theater Camp,17 Sep 2023,,False,
Barbie,15 Sep 2023,,False,
Emma.,07 Sep 2023,,False,
Eraserhead,31 Aug 2023,,False,
Little Children,20 Aug 2023,,False,
No Hard Feelings,18 Aug 2023,,False,
Earth Mama,17 Aug 2023,,False,
The Mummy,05 Aug 2023,,False,
Oppenheimer,02 Aug 2023,,False,
Barbie,25 Jul 2023,,False,
Black Holes: The Edge of All We Know,23 Jul 2023,,False,
A Man Called Otto,21 Jul 2023,,False,
Asteroid City,16 Jul 2023,,False,
Asteroid City,11 Jul 2023,,False,
Jumanji,08 Jul 2023,,False,
Transformers,01 Jul 2023,,False,
Past Lives,27 Jun 2023,,False,
Sanctuary,20 Jun 2023,,False,
Black Mirror: Joan Is Awful,19 Jun 2023,,False,
Moonrise Kingdom,19 Jun 2023,,False,
The Grand Budapest Hotel,18 Jun 2023,,False,
Mary Poppins Returns,16 Jun 2023,,False,
Aquaman,16 Jun 2023,,False,
Wonder Woman,15 Jun 2023,,False,
Spider-Man: No Way Home,14 Jun 2023,,False,
Beau Is Afraid,13 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,13 Jun 2023,,False,
Showing Up,12 Jun 2023,,False,
Encino Man,11 Jun 2023,,False,
How to Blow Up a Pipeline,11 Jun 2023,,False,
"Are You There God? It's Me, Margaret.",11 Jun 2023,,False,
Spider-Man: Into the Spider-Verse,10 Jun 2023,,False,
Drive My Car,30 May 2023,,False,
The Ring,24 May 2023,,False,
Three Thousand Years of Longing,24 May 2023,,False,
Spider-Man,23 May 2023,,False,Sam raimi spiderman forever!
Spider-Man: Homecoming,17 May 2023,,False,
Pirates of the Caribbean: The Curse of the Black Pearl,16 May 2023,,False,
Air,15 May 2023,,False,
Rye Lane,02 May 2023,,False,
Missing,02 May 2023,,False,
Peter Pan & Wendy,01 May 2023,,False,
Cocaine Bear,23 Apr 2023,,False,
Apollo 10½: A Space Age Childhood,06 Apr 2023,,False,
Cars,05 Apr 2023,,False,Gave us carussy
Avatar,15 Mar 2023,,False,
Avatar: The Way of Water,12 Mar 2023,,False,
The Sea Beast,11 Mar 2023,,False,
The Quiet Girl,11 Mar 2023,,False,
All That Breathes,09 Mar 2023,,False,
Living,09 Mar 2023,,False,
Triangle of Sadness,08 Mar 2023,,False,
Fire of Love,07 Mar 2023,,False,
War for the Planet of the Apes,06 Mar 2023,,False,
The Bad Guys,06 Mar 2023,,False,
Wendell & Wild,05 Mar 2023,,False,
M3GAN,04 Mar 2023,,False,
Hit the Road,04 Mar 2023,,False,
Palm Trees and Power Lines,03 Mar 2023,,False,
The Cathedral,03 Mar 2023,,False,
A Love Song,01 Mar 2023,,False,
Honk for Jesus. Save Your Soul.,28 Feb 2023,,False,
Catherine Called Birdy,27 Feb 2023,,False,
Murina,27 Feb 2023,,False,
Top Gun: Maverick,26 Feb 2023,,False,"Populist cinema ""Tom Cruise saved the cinema""#1 domestic box office"""" Home theater demoAnd the Oscar goes to..."
EO,25 Feb 2023,,False,
Close,24 Feb 2023,,False,
Empire of Light,21 Feb 2023,,False,
Summering,18 Feb 2023,,False,
Dawn of the Planet of the Apes,17 Feb 2023,,False,
TÁR,17 Feb 2023,,False,
Where the Wild Things Are,12 Feb 2023,,False,
Black Panther: Wakanda Forever,10 Feb 2023,,False,
Ready Player One,09 Feb 2023,,False,
Chinatown,08 Feb 2023,,False,
EO,08 Feb 2023,,False,
The Batman,07 Feb 2023,,False,
Ratatouille,06 Feb 2023,,False,
The Batman,05 Feb 2023,,False,
Flight of the Navigator,04 Feb 2023,,False,
The Sound of Music,03 Feb 2023,,False,
Roman Holiday,03 Feb 2023,,False,
Knock at the Cabin,02 Feb 2023,,False,
Turning Red,01 Feb 2023,,False,
Till,29 Jan 2023,,False,
Puss in Boots: The Last Wish,28 Jan 2023,,False,
Blonde,25 Jan 2023,,False,
Skinamarink,24 Jan 2023,,False,
The Good Nurse,23 Jan 2023,,False,
To Leslie,21 Jan 2023,,False,
Mrs. Harris Goes to Paris,21 Jan 2023,,False,
Cuties,20 Jan 2023,,False,
Casablanca,17 Jan 2023,,False,
GoodFellas,16 Jan 2023,,False,
Everything Everywhere All at Once,14 Jan 2023,,False,
Modern Times,12 Jan 2023,,False,
Women Talking,11 Jan 2023,,False,
Beau Travail,11 Jan 2023,,False,
Psycho,08 Jan 2023,,False,
"This Is Not a Burial, It’s a Resurrection",05 Jan 2023,,False,
This Place Rules,04 Jan 2023,,False,
Top Gun: Maverick,03 Jan 2023,,False,"Populist cinema ""Tom Cruise saved the cinema""#1 domestic box office"""" Home theater demoAnd the Oscar goes to..."
White Noise,03 Jan 2023,,False,
Babylon,02 Jan 2023,,False,
Spirited,30 Dec 2022,,False,
The Eternal Daughter,26 Dec 2022,,False,
Toto the Hero,25 Dec 2022,,False,
I Wanna Dance with Somebody,25 Dec 2022,,False,
Glass Onion,25 Dec 2022,,False,
Elvis,23 Dec 2022,,False,
Neptune Frost,22 Dec 2022,,False,
The Whale,21 Dec 2022,,False,Wow. Nominate brendan fraser NOW!!
The Inspection,20 Dec 2022,,False,
The Woman King,19 Dec 2022,,False,
Top Gun: Maverick,18 Dec 2022,,False,"Populist cinema ""Tom Cruise saved the cinema""#1 domestic box office"""" Home theater demoAnd the Oscar goes to..."
Petite Maman,17 Dec 2022,,False,
"BARDO, False Chronicle of a Handful of Truths",16 Dec 2022,,False,
The Banshees of Inisherin,14 Dec 2022,,False,
Guillermo del Toro's Pinocchio,12 Dec 2022,,False,
The Hunt,10 Dec 2022,,False,
To the Sea,10 Dec 2022,,False,
Cha Cha Real Smooth,08 Dec 2022,,False,
Jungle Cruise,06 Dec 2022,,False,
10 Things I Hate About You,06 Dec 2022,,False,
Dog,05 Dec 2022,,False,
West Side Story,05 Dec 2022,,False,
Bones and All,04 Dec 2022,,False,
Weird: The Al Yankovic Story,04 Dec 2022,,False,
The Territory,03 Dec 2022,,False,"Recomended from Michael Moore's Rumble podcast, good doc"
Escape from L.A.,02 Dec 2022,,False,
The Menu,30 Nov 2022,,False,
Glass Onion,29 Nov 2022,,False,
Citizen Kane,28 Nov 2022,,False,
Eraserhead,27 Nov 2022,,False,
A Clockwork Orange,27 Nov 2022,,False,
Nightmare Alley,24 Nov 2022,,False,
The Fabelmans,21 Nov 2022,,False,
Pretty in Pink,20 Nov 2022,,False,
"Planes, Trains and Automobiles",19 Nov 2022,,False,
She Said,19 Nov 2022,,False,
Twelve Monkeys,18 Nov 2022,,False,
