Movie,Date Watched,Rating,Liked,Review
Saltburn,29 Dec 2023,,False,Surprised at how along for the ride I was for the beginning! Then unfortunately it drops the ball halfway through and spends the rest of the time doing an unearned touchdown celebration
Leave the World Behind,24 Dec 2023,,False,"All buildup, no payoff. Makes sense the Obamas EP’d this. "
May December,19 Dec 2023,,True,"Immediately in 2023 top 5 for me. Everyone’s very good but Charles Melton is great, imagine being on Riverdale and then dropping this… "
Past Lives,28 Nov 2023,,True,I wanted like 20% more characterization of these people but otherwise so sweet. Watched theater camp a day later and laughed at the line “you’re an old soul. This is your last life.”
Chungking Express,27 Nov 2023,,True,Exercising instead of facing your emotions way before it was cool
The Holdovers,14 Nov 2023,,True,Made me miss Mass
No One Will Save You,01 Oct 2023,,False,Prequel to the SNL sketch where Kate McKinnon is abducted by aliens
Infinity Pool,30 Aug 2023,,True,the production design of the foreign country was cool
Treasure Planet,06 Aug 2023,,True,Sooooo 2002 and I love that about it
Oppenheimer,27 Jul 2023,,True,The parts where it’s a subjective look at how someone grapples with having done something so enormous are incredible. Hewing so closely to “how it really happened” hurts the movie. Less realism! More movie magic!
Indiana Jones and the Dial of Destiny,04 Jul 2023,,False,Never had I ever been more sure a movie would end with Phoebe Waller-Bridge putting on the Indiana Jones hat
Asteroid City,01 Jul 2023,,False,"Kinda was nothing to me, unfortunately. Even despite the chapter headings I was checking my watch. Top little guy of the year but the total was less than the sum of its parts."
No Hard Feelings,27 Jun 2023,,True,
Sanctuary,16 Jun 2023,,False,
Reality,30 May 2023,,True,
Dungeons & Dragons: Honor Among Thieves,05 Apr 2023,,True,
Legally Blonde,15 Mar 2023,,True,
Closer,24 Feb 2023,,True,
Clueless,20 Feb 2023,,True,
Puss in Boots: The Last Wish,10 Feb 2023,,True,
Perfect Blue,29 Dec 2022,,True,
The Game,28 Dec 2022,,False,
Coco,27 Dec 2022,,True,
Avatar: The Way of Water,17 Dec 2022,,True,
Notes on a Scandal,11 Dec 2022,,True,
Triangle of Sadness,13 Nov 2022,,True,
The Banshees of Inisherin,31 Oct 2022,,False,
Insidious,30 Sep 2022,,False,
Don't Worry Darling,25 Sep 2022,,False,
Barbarian,16 Sep 2022,,True,
Green Room,22 Aug 2022,,True,
Eyes Wide Shut,21 Aug 2022,,True,
Bodies Bodies Bodies,05 Aug 2022,,True,
Nope,27 Jul 2022,,False,
The Gray Man,23 Jul 2022,,False,
Where the Crawdads Sing,16 Jul 2022,,False,
Sea Fever,06 Jul 2022,,False,
Elvis,26 Jun 2022,,False,
Cha Cha Real Smooth,26 Jun 2022,,True,
The Departed,20 Jun 2022,,True,
There's Something About Mary,16 Jun 2022,,False,
Blue Ruin,13 Jun 2022,,False,
Watcher,07 Jun 2022,,True,
Hush,04 Jun 2022,,True,
Boys State,03 Jun 2022,,True,
The Diary of a Teenage Girl,27 May 2022,,True,
Top Gun,26 May 2022,,False,
Grey Gardens,23 May 2022,,True,
Charlie Wilson's War,17 May 2022,,False,
Short Cuts,12 May 2022,,False,
The Northman,28 Apr 2022,,True,
Everything Everywhere All at Once,23 Apr 2022,,True,
Ambulance,22 Apr 2022,,True,
Miss Americana,13 Apr 2022,,False,
Jerrod Carmichael: Rothaniel,03 Apr 2022,,True,
The Outfit,21 Mar 2022,,True,
The Sting,17 Mar 2022,,True,
The Batman,14 Mar 2022,,True,
Death at a Funeral,13 Mar 2022,,True,
What If,11 Mar 2022,,True,
No Exit,08 Mar 2022,,False,
Fresh,07 Mar 2022,,True,
'71,01 Mar 2022,,True,
Death on the Nile,21 Feb 2022,,True,
The Worst Person in the World,08 Feb 2022,,True,
Jackass Forever,05 Feb 2022,,True,
The Prestige,29 Jan 2022,,True,
A Hero,27 Jan 2022,,True,
The Tragedy of Macbeth,18 Jan 2022,,True,
Notting Hill,16 Jan 2022,,True,
The French Dispatch,15 Jan 2022,,True,
Possessor,13 Jan 2022,,False,
Licorice Pizza,08 Jan 2022,,True,
Deathtrap,03 Jan 2022,,True,
Nightmare Alley,02 Jan 2022,,True,
The Alpinist,01 Jan 2022,,True,
Run Lola Run,30 Dec 2021,,True,
Master and Commander: The Far Side of the World,29 Dec 2021,,True,
Don't Look Up,28 Dec 2021,,False,
Atonement,27 Dec 2021,,True,
Gladiator,25 Dec 2021,,True,
The King's Man,23 Dec 2021,,False,
Being the Ricardos,22 Dec 2021,,False,
Thank You for Smoking,21 Dec 2021,,True,
West Side Story,14 Dec 2021,,True,
Identity,04 Dec 2021,,False,
"tick, tick...BOOM!",04 Dec 2021,,True,
Top Secret!,23 Nov 2021,,True,
The Man Standing Next,15 Nov 2021,,True,
Pirates of the Caribbean: The Curse of the Black Pearl,07 Nov 2021,,True,
Last Night in Soho,29 Oct 2021,,False,
Dune,22 Oct 2021,,True,
Titane,10 Oct 2021,,True,
No Time to Die,08 Oct 2021,,True,
The Informant!,29 Sep 2021,,True,
Mulholland Drive,29 Sep 2021,,True,
Fantastic Mr. Fox,29 Sep 2021,,True,
Squid Game,28 Sep 2021,,True,
Dating & New York,25 Sep 2021,,False,
Dear Evan Hansen,24 Sep 2021,,True,
The Night House,17 Sep 2021,,True,
The Card Counter,14 Sep 2021,,False,
Malignant,13 Sep 2021,,False,
Point Break,10 Sep 2021,,False,
Another Round,10 Sep 2021,,True,
The French Connection,09 Sep 2021,,True,
The White Tiger,09 Sep 2021,,True,
The Squid and the Whale,04 Sep 2021,,True,
28 Days Later,04 Sep 2021,,True,
What We Do in the Shadows,01 Sep 2021,,True,
In Bruges,01 Sep 2021,,True,
Attack the Block,16 Aug 2021,,True,
Free Guy,12 Aug 2021,★★½,False,
Austin Powers: International Man of Mystery,01 Aug 2021,★★★,False,
The Green Knight,30 Jul 2021,★★★★,False,
Zola,09 Jul 2021,★★★,False,
No Sudden Move,06 Jul 2021,★★★,False,
F9,28 Jun 2021,★★★,False,
Battle Royale,28 Jun 2021,★★★½,False,
In the Loop,28 Jun 2021,★★★★,False,
Shithouse,11 Jun 2021,★★★★★,False,
In the Heights,11 Jun 2021,★★★★,False,
A Quiet Place Part II,30 May 2021,★★★★,False,
Little Shop of Horrors,28 May 2021,★★★★,False,
Those Who Wish Me Dead,26 May 2021,★★★,False,
Weiner,23 May 2021,★★★★★,False,
Stowaway,12 May 2021,★★,False,
The Godfather: Part II,12 May 2021,★★★★,False,
John Tucker Must Die,03 May 2021,★★,False,
Moulin Rouge!,25 Apr 2021,★★½,False,
Down with Love,25 Apr 2021,★★★½,False,
An Inspector Calls,22 Apr 2021,★★★,False,
Sorcerer,22 Apr 2021,★★★½,False,
Four Weddings and a Funeral,20 Apr 2021,★★★★,False,
While We're Young,20 Apr 2021,★★★,False,
Shiva Baby,05 Apr 2021,★★★★,False,
Bad Trip,28 Mar 2021,★★★½,False,
Minari,21 Mar 2021,★★★½,False,
Judas and the Black Messiah,12 Mar 2021,★★★★½,False,
Billie Eilish: The World's a Little Blurry,01 Mar 2021,★★★½,False,
I Care a Lot,23 Feb 2021,★★½,False,
The Friends of Eddie Coyle,06 Feb 2021,★★★★,False,
Last Year at Marienbad,31 Jan 2021,★★,False,

Followers
sofimanzin,glossii,myao96,maurohamlin,spongebobandpat,missflo,oliviabean,catagelabert,notisha,gabbe_w,sorkhi,betsyg,beccarghh,cinephile12345,ianmolloy00,hgodssa,maariap29,beard_bro,carolineshark,maissoulam,heyitsmealicem,memento_11,perrodelacalle,emanuelbulija,beachhouseh0tty,emturner98,normalhuman7629,barbieenthusiat,lilastanley,mriss17,lorenapierce,hardtimes,johnpluto88,nazeerthomas,hal90000000,ignorantcritic,buckypool,abigailb06,frijolitos,cinematweets,rahulmenon,sahebsuri,eshaankabir,danthetvman,mracrizzy,ximed,jenryder,lord_bullingdon,manicluna,imaximilian,domsplanet,jaywfisher,aravindkannoth,judy1976,odunor,majidtabkhpaz,docm3n,emcstrach,rexblau,redberry74,kanesthename,augustusv,jcicco,st0ve,milesbon,notapro192,kelly_lyn,hskerrett,lmetlicka,natekrieger,thetruebuckaroo,jordanperry,fumilayo,justrodman,baileyandcami,shaviddayne,skipperjens,ilmtmm,tarpley,sophiekissinger,harryw23,lanceopp

Following
