Movie,Date Watched,Rating,Liked,Review
Fresh Kill,14 Aug 2023,★★★★,True,"Obsessed, 👄 !!"
Barbie,13 Aug 2023,★★★,True,
Battle at Versailles,09 Aug 2023,★★★★,True,I would do literally anything to be there
Charulata,08 Aug 2023,★★★½,True,"Objectively gorgeous, hypnotic music, peaceful, beautiful shots, great camera work. overall though a bit slow for me"
The Night of the Hunter,08 Aug 2023,★★★★★,True,STILL HITS!
Take the Money and Run,08 Aug 2023,★★,False,"Few gags were funny, didn't feel grounded enough or ridiculous enough to really land w me"
Mistress America,08 Aug 2023,★★★,True,Defensively psychoanalysing people you're jealous of
C'mon C'mon,20 Mar 2023,★★★★,True,Devastatingly sweet
Cocaine Bear,20 Mar 2023,★,False,straight people camp
Everything Everywhere All at Once,30 Jan 2023,★★★★½,True,"Just a well crafted entertaining film, silliness grounded by a really solidly built emotional core"
Funny Ha Ha,29 Jan 2023,★★★½,True,post graduation films hit! Like in the stomach
28 Days Later,27 Jan 2023,★★★½,True,
"The World, the Flesh and the Devil",26 Jan 2023,★★★★,True,Beautiful beautiful film
Force Majeure,26 Jan 2023,★★★★,True,
The Lord of the Rings: The Fellowship of the Ring,19 Jan 2023,★★★,True,
Aftersun,17 Jan 2023,★★★½,True,
Nina Wu,17 Jan 2023,★★★★,True,
Fire Island,12 Jan 2023,★★★,True,
Chicken Run,04 Jan 2023,★★★½,True,
Glass Onion,04 Jan 2023,★★★,True,
Annie Hall,01 Jan 2023,★★★★½,True,
The Northman,13 May 2022,★★★,True,
White Hot: The Rise & Fall of Abercrombie & Fitch,12 May 2022,★★★,True,
The Hunger Games: Catching Fire,29 Apr 2022,★★★½,True,a genuine slay sorry folks!
The Hunger Games: Mockingjay – Part 1,29 Apr 2022,★★,False,
The Hunger Games: Mockingjay – Part 2,28 Apr 2022,★★,True,
The Hunger Games,28 Apr 2022,★★★,False,
The Worst Person in the World,07 Apr 2022,★★★,True,
Her,03 Apr 2022,★★★½,True,
jeen-yuhs: A Kanye Trilogy,05 Mar 2022,★★★½,True,
Belfast,28 Feb 2022,★½,False,
The Night of the Hunter,21 Feb 2022,★★★★★,True,STILL HITS!
Don't Look Up,15 Feb 2022,★★½,True,
"tick, tick...BOOM!",15 Feb 2022,★★★★,True,
The Secret World of Arrietty,15 Feb 2022,★★★★,True,
Princess Mononoke,15 Feb 2022,★★★½,True,
The Queen,14 Feb 2022,★★★★,True,
Spencer,14 Feb 2022,★★★,True,
Pig,14 Feb 2022,★★★★,True,
Barbarella,17 Sep 2021,★★★★½,True,
Judas and the Black Messiah,17 Sep 2021,★★★★,True,
I Care a Lot,11 Sep 2021,★★,False,
Before Sunrise,09 May 2021,★★★½,True,
Freaky Friday,23 Apr 2021,★★★★½,True,
Boys State,14 Dec 2020,★★★½,True,
Scott Pilgrim vs. the World,27 Jul 2020,★★★★½,True,
Mistress America,27 Jul 2020,★★★★,True,Defensively psychoanalysing people you're jealous of
Snow on tha Bluff,25 Jul 2020,★★★★,True,
Annie Hall,25 Jul 2020,★★★★½,True,
Funny Girl,01 Jul 2020,★★★,True,
Jojo Rabbit,07 Feb 2020,★★★★,True,
Frances Ha,16 Jan 2020,★★★★½,True,
Marriage Story,16 Jan 2020,★★★★½,True,
Pan's Labyrinth,10 Jan 2020,★★★★★,True,
The King,10 Jan 2020,★★★,True,
Uncut Gems,08 Jan 2020,★★★½,True,
Loving Vincent,30 Dec 2019,★★★,True,
The Birds,29 Dec 2019,,True,
Rear Window,29 Dec 2019,,True,
Wet Hot American Summer,29 Dec 2019,★★★½,True,
Crash,29 Dec 2019,★★,False,
Do the Right Thing,29 Dec 2019,,True,
Hairspray,29 Dec 2019,,True,
The Exterminating Angel,29 Dec 2019,★★★★½,True,
Frances Ha,29 Dec 2019,★★★★,True,
Annie Hall,29 Dec 2019,★★★★½,True,
Little Women,29 Dec 2019,★★★★½,True,
Harry Potter and the Prisoner of Azkaban,29 Dec 2019,★★★★,True,
Boyhood,29 Dec 2019,★★★★½,True,
Pan's Labyrinth,29 Dec 2019,★★★★½,True,
Black Swan,29 Dec 2019,★★★★½,True,
Spider-Man: Far from Home,29 Dec 2019,★,False,
2001: A Space Odyssey,29 Dec 2019,★★★★½,True,
The Favourite,29 Dec 2019,★★★★,True,
The Avengers,29 Dec 2019,½,False,
Lady Bird,29 Dec 2019,★★★★★,True,

Followers
millgroomx,chrissinnott,papaflake,tobyanderson,olivertowarek,alisoooon,linog5,filmabuser33,taylorblegh,bobbaroo32,the_foetus,retronerd,rosepeters,tashazoey,kesuprasad,dan_felix,emmajohnson,reeceq,tommypigatto,vocloz

Following
glennards,chrissinnott,jennyscoones,tobyanderson,lajbb,finnjamin99,alisoooon,olivertowarek,bobbaroo32,taylorblegh,drilreviews,nadiawesome,papaflake,the_foetus,retronerd,tashazoey,rosepeters,simonlux84,kurstboy,emmajohnson,tommypigatto,reeceq,vocloz
