Movie,Date Watched,Rating,Liked,Review
American Fiction,11 Jan 2024,,False,
Poor Things,05 Jan 2024,★★★★★,True,
Saltburn,01 Jan 2024,,False,not as shocking as it wanted to be?
Good Boys,31 Dec 2023,★★★★,False,
The Iron Claw,29 Dec 2023,★★★★½,False,i didn’t know zac efron could do that and now i’m bawling
Akira,26 Dec 2023,,False,
Nausicaä of the Valley of the Wind,25 Dec 2023,★★★★½,True,
Wonka,25 Dec 2023,,False,unhinged in the best way
Dungeons & Dragons: Honor Among Thieves,25 Dec 2023,,False,
Leave the World Behind,22 Dec 2023,,False,
May December,18 Dec 2023,★★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,18 Dec 2023,,False,
Ramboy,06 Dec 2023,,False,
Saltburn,05 Dec 2023,,False,not as shocking as it wanted to be?
Theater Camp,02 Dec 2023,★★★★,False,
You Are So Not Invited to My Bat Mitzvah,29 Nov 2023,,False,
Scream 2,28 Nov 2023,,False,
Asteroid City,27 Nov 2023,,False,
Black Swan,25 Nov 2023,★★★★,False,
Napoleon,25 Nov 2023,★★★,False,
Johnny Mnemonic,24 Nov 2023,,False,
Emily the Criminal,22 Nov 2023,,False,
Matchstick Men,21 Nov 2023,★★★,False,
Spider-Man: Across the Spider-Verse,20 Nov 2023,,False,
Dream Scenario,14 Nov 2023,,False,
Annie Hall,12 Nov 2023,,False,
The Holdovers,09 Nov 2023,★★★★,True,
Anatomy of a Fall,31 Oct 2023,★★★★,True,
Talk to Me,18 Oct 2023,,False,
Beyond the Black Rainbow,12 Oct 2023,,False,
Close-Up,10 Oct 2023,★★★★,False,
Three Colours: Blue,10 Oct 2023,★★★★,True,
Arrival,28 Sep 2023,,False,
WHAT DID JACK DO?,28 Sep 2023,,False,
Friday the 13th: The Final Chapter,14 Sep 2023,★★★★,False,
Friday the 13th Part III,14 Sep 2023,★★★,False,
Friday the 13th Part 2,14 Sep 2023,★★★½,False,
Hanna,13 Sep 2023,,False,
Barbie,12 Sep 2023,,False,
Past Lives,09 Sep 2023,★★★★★,True,
There Will Be Blood,09 Sep 2023,★★★★½,False,oilman
No Hard Feelings,05 Sep 2023,½,False,
Boogie Nights,04 Sep 2023,★★★★,False,
Infinity Pool,04 Sep 2023,,False,
Bottoms,31 Aug 2023,,True,
Prisoners,26 Aug 2023,★★½,False,what was up w those snakes though
Little Miss Sunshine,18 Aug 2023,★★★★,True,
Troy,15 Aug 2023,,False,
Walkabout,19 Jul 2023,,False,
Wild Things,19 Jul 2023,,False,
Princess Mononoke,18 Jul 2023,★★★★½,True,
What Happens in Vegas,18 Jul 2023,★★,False,
The 400 Blows,04 Jul 2023,,False,
The Straight Story,03 Jul 2023,★★★★,True,
Queen Christina,03 Jul 2023,★★★★,True,happy pride‼️‼️
East of Eden,30 Jun 2023,★★★½,True,his mannerisms are everything
From Here to Eternity,28 Jun 2023,★★★★,False,
Stella Dallas,28 Jun 2023,★★★★,True,
Blow Out,25 Jun 2023,★★★★,True,
"Rome, Open City",25 Jun 2023,★★★★★,True,
Spellbound,25 Jun 2023,★★,False,
The Celluloid Closet,25 Jun 2023,★★★★,True,
Aftersun,18 Jun 2023,★★★★,True,
Yeast,15 Jun 2023,,False,
The Lovers on the Bridge,06 Jun 2023,,True,
The Green Ray,05 Jun 2023,,True,
Conan the Barbarian,24 May 2023,★★,False,
RoboCop,23 May 2023,★★★★½,False,
Smokey and the Bandit,22 May 2023,★★★★,False,
The Mummy,21 May 2023,,False,
A Bay of Blood,16 May 2023,★★★,False,
Evil Dead Rise,16 May 2023,★★½,False,
Eer,09 May 2023,,False,this guy loveeees body horror
Eye Myth,04 May 2023,,False,
Mothlight,04 May 2023,,False,
Ritual in Transfigured Time,04 May 2023,,False,
At Land,04 May 2023,,False,
Meshes of the Afternoon,04 May 2023,,False,
Museo,30 Apr 2023,★★★,False,
John Mulaney: Baby J,30 Apr 2023,,False,
Sick of Myself,29 Apr 2023,★★★★,False,
Terminator 2: Judgment Day,09 Apr 2023,,False,
The Terminator,08 Apr 2023,,True,
The Package,11 Mar 2023,,False,
Holy Spider,06 Mar 2023,,False,
The DUFF,20 Feb 2023,,False,
Just My Luck,19 Feb 2023,,False,
Never Been Kissed,17 Feb 2023,,False,when the teacher is upset that she’s not underage<<<
Cha Cha Real Smooth,11 Feb 2023,,False,
The Square,29 Jan 2023,★★★★,False,
Force Majeure,28 Jan 2023,★★★½,False,
Kiki's Delivery Service,24 Jan 2023,★★★★,True,
Penguins of Madagascar,22 Jan 2023,,False,
Decision to Leave,19 Jan 2023,★★★★,False,
Paprika,18 Jan 2023,★★★★,False,
My Neighbor Totoro,16 Jan 2023,,True,
The Hangover Part II,15 Jan 2023,,False,
Robin Hood,10 Jan 2023,,False,
The Case of Hana & Alice,10 Jan 2023,★★★★,True,
