Movie,Date Watched,Rating,Liked,Review
"sex, lies, and videotape",15 Jan 2024,★★★★,False,
INU-OH,15 Jan 2024,★★★★,False,okami vibes
Never-Ending Man: Hayao Miyazaki,15 Jan 2024,★★★½,False,"""our era is ending"" ""there is the onion"""
Plastic Bag,15 Jan 2024,★★★½,False,"compare to CH's vibrator boyfriend (www.youtube.com/watch?v=WEzlBwaFKHc), but more environmental and with werner's voice"
The Wanted 18,15 Jan 2024,★★★,False,
Sitting,15 Jan 2024,,False,
Homage by Assassination,15 Jan 2024,,False,www.youtube.com/watch?v=L25WlRh6OlI
Fannie's Film,15 Jan 2024,,False,
Killing Time,15 Jan 2024,,False,"edicius kept on telling me that I'm not a cactus, that I need a lot of watering, that I should quit alfalfa, and that my pants would rip once I set out to meet him"
Two Solutions for One Problem,15 Jan 2024,,False,
So Can I,15 Jan 2024,,False,
The Sea Horse,15 Jan 2024,,False,
The Alphabet,15 Jan 2024,,False,there's a banger sample in there (or two)
Six Men Getting Sick,15 Jan 2024,,False,"we get sick a lot, yet that means we also get better each time"
Little Terrorist,15 Jan 2024,,False,
Nymphomaniac: Vol. I,15 Jan 2024,,False,
The Arrival of a Train at La Ciotat,15 Jan 2024,,False,
Two,15 Jan 2024,,False,"if love is experiencing the world from the view of difference and not identity, then power is accentuating this difference until it breaks"
The Pervert's Guide to Cinema,14 Jan 2024,,False,
All the Beauty and the Bloodshed,14 Jan 2024,★★★★,False,
Tales from Earthsea,14 Jan 2024,,False,
Little Miss Sunshine,14 Jan 2024,,False,
The Worst Person in the World,13 Jan 2024,,False,
Tales from Earthsea,13 Jan 2024,,False,
American Beauty,13 Jan 2024,★★★½,False,
Diary of a Pregnant Woman,13 Jan 2024,★★★★★,False,cabbage
Song of the Sea,13 Jan 2024,★★★★,False,I wonder if this inspired the art style in old man’s journey… 
Infinity Pool,12 Jan 2024,★★★,False,west worldian pix of dorian gray with a sprinkle of uncut gems
Confessions of a Dangerous Mind,12 Jan 2024,★★★★,False,
Heaven Knows What,12 Jan 2024,★★★★,False,
Inside the Iranian Uprising,12 Jan 2024,,False,
Shirin,11 Jan 2024,★★★½,False,The shade and shape of the blue chairs
Joyland,11 Jan 2024,★★★★,False,
Starlet,11 Jan 2024,★★★★,False,
Shirin,11 Jan 2024,★★★½,False,The shade and shape of the blue chairs
"Paris, Texas",10 Jan 2024,,False,
Anatomy of a Fall,10 Jan 2024,★★★★,False,
May December,10 Jan 2024,★★★★½,False,
Travis: The Ultimate Documentary,09 Jan 2024,,False,
Fire and Ice,08 Jan 2024,½,False,
Poor Things,07 Jan 2024,★★★★★,False,
Priscilla,07 Jan 2024,★★★★,False,
Soviet Toys,07 Jan 2024,,False,
The Rat Catcher,06 Jan 2024,,False,
Meeting the Man: James Baldwin in Paris,06 Jan 2024,,False,
A Tiger in Paradise,01 Jan 2024,,False,
Barbie,31 Dec 2023,★★½,False,
Saltburn,29 Dec 2023,★★½,False,
I'm Thinking of Ending Things,24 Dec 2023,★★★★,False,
BLUE EYE SAMURAI,23 Dec 2023,★★★★½,False,
Passages,22 Dec 2023,★★★★,False,
Cube,22 Dec 2023,,False,
Rewind & Play,22 Dec 2023,★★★★★,False,
Rotting in the Sun,21 Dec 2023,★★★★½,False,
Israelism,21 Dec 2023,,False,
The Five Devils,20 Dec 2023,★★★★½,False,
Sanctuary,20 Dec 2023,★★★★,False,
Our Boys,19 Dec 2023,★★★★,False,
Naila and the Uprising,19 Dec 2023,★★★★★,False,
Passages,18 Dec 2023,★★★★,False,
The Boy and the Heron,18 Dec 2023,★★★★½,False,
The Pigeon Tunnel,16 Dec 2023,★★★½,False,
Objector,16 Dec 2023,,False,
Children of the Mist,16 Dec 2023,★★★★★,False,
Howl's Moving Castle,10 Dec 2023,★★★★,False,
Salt of This Sea,05 Dec 2023,★★★★,False,
Salt of This Sea,05 Dec 2023,★★★½,False,
Past Lives,22 Jul 2023,★★★★,False,
Mission: Impossible – Dead Reckoning Part One,22 Jul 2023,★★★,False,
The Trial,13 Jul 2023,★★★½,False,
Past Lives,11 Jul 2023,★★★★,False,
Long Shot,04 Jul 2023,★★★★,False,
Garlic Is as Good as Ten Mothers,04 Jul 2023,★★★½,False,
Tampopo,04 Jul 2023,★★★★★,True,
Dune,03 Jul 2023,★★★★,True,
Jojo Rabbit,02 Jul 2023,★★★,False,
Brian Wilson: Long Promised Road,01 Jul 2023,★★★½,False,
What We Do in the Shadows,01 Jul 2023,★★★★★,False,
Black Mirror: Demon 79,29 Jun 2023,,False,
Black Mirror: Demon 79,29 Jun 2023,,False,
In the Last Days of the City,24 Jun 2023,★★★★,False,
"Synecdoche, New York",24 Jun 2023,★★★★½,False,
The Ballad of Buster Scruggs,24 Jun 2023,★★★½,False,
Uncle Yanco,24 Jun 2023,★★★★★,False,
Black Mirror: Joan Is Awful,23 Jun 2023,★★,False,
Matewan,23 Jun 2023,★★★★,False,
A Woman Under the Influence,23 Jun 2023,★★★,False,
Run Lola Run,23 Jun 2023,★★★★,False,
You Hurt My Feelings,20 Jun 2023,★★,False,
Araya,19 Jun 2023,★★★★,False,
Sweet Sweetback's Baadasssss Song,15 Jun 2023,★★★★★,True,
Dungeons & Dragons: Honor Among Thieves,17 Apr 2023,★½,False,
October (Ten Days that Shook the World),14 Apr 2023,★★★★★,True,
Adaptation.,06 Apr 2023,★★★★,False,
John Wick: Chapter 4,04 Apr 2023,★★★★½,False,
Citizen Kane 2,31 Jan 2023,★★★★★,True,
Nope,08 Jan 2023,★★★,False,
Pi,05 Jan 2023,★★★★,False,
Force Majeure,05 Jan 2023,★★★,False,
Everything Everywhere All at Once,05 Jan 2023,★★½,False,
Triangle of Sadness,05 Jan 2023,★★★★½,False,
Hell or High Water,05 Jan 2023,★★★★★,False,
Triangle of Sadness,05 Jan 2023,★★★½,False,
The Thing,01 Jan 2023,★★★★,False,
The Adventures of Prince Achmed,01 Jan 2023,★★,False,
Sicario,31 Dec 2022,★★★,False,
