Movie,Date Watched,Rating,Liked,Review
Lost Boy,09 Jan 2024,★★,False,
The Boy and the Heron,03 Jan 2024,★★★★,True,I so could have watched another hour of this—a world you just never want to leave. Miyazaki is a literal gift to this planet and I still kind of can't believe we got to experience a new film of his in theatres. Without a doubt a cinema-going event I will never forget !!!!
Crazy Rich Asians,01 Jan 2024,★★★½,True,
Saltburn,28 Dec 2023,★★★★,True,"Emerald Fennell you nasty as hell but I’m not complaining. STUPIDLY gorgeous cinematography (4:3 used so well here MWAH), stylish montages, linen, cigarettes, obsession, HOT people and a whole lot of fucked up pervertedness. A great time naturally"
Four Christmases,26 Dec 2023,★★★½,True,
Wonka,23 Dec 2023,★★★,False,"The return of the (Paul) King…except this time he’s stuck with a somewhat unconvincing lead performance and a mostly dud script/musical numbers. When it works, it’s magical though. King’s style shines through even though it’s a big step down quality wise from the Paddington films"
May December,22 Dec 2023,★★★★,True,
Bottoms,18 Dec 2023,★★★★,True,
Love Actually,04 Dec 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★½,False,I didn’t pay to see this and I still feel like I wasted my money
Reality,15 Nov 2023,★★★,True,
Dumb Money,27 Oct 2023,★½,False,
80 for Brady,25 Oct 2023,★★★,True,
Hairspray,24 Oct 2023,★★★,True,
A Simple Wish,20 Oct 2023,★★★,True,
The Creator,12 Oct 2023,★★★,True, I wish the CREATOR of this SCRIPT (ily Gareth Edwards) hand-balled it to someone else where ✨CHARACTER DEVELOPMENT✨ and ✨BETTER WRITING✨ was a thing. It’s hard not to be disappointed by how this turned out. The direction is strong and the technical elements impress…I liked the through-line of the story however simple it is…BUT THE SCREENPLAY and CHARACTERISATION. Oof. It’s a film all about love and emotion but it’s severely lacking in both. The central heart of the story didn’t… 
Alien,08 Oct 2023,★★★★,True,
The Boogeyman,06 Oct 2023,★★★,True,
(500) Days of Summer,03 Oct 2023,★★★★½,True,
No One Will Save You,01 Oct 2023,★★★½,True,Brian Duffield you fucking rock honestly. So many of these visuals are gonna stick with me for a very long time. But once fucking again shame on Disney for not putting this in theatres..depressing to think this could disappear into thin air like their other Disney+/Hulu releases :/
Ghost in the Shell,22 Sep 2023,,True,The vibes were immaculate but my dumb ass couldn’t understand 95% of this ngl
Theater Camp,08 Sep 2023,★★★★½,True,
Don't Worry Darling,07 Sep 2023,★★★½,True,
Resurrection,28 Aug 2023,★★★,False,BONE-CHILLING. 
Past Lives,26 Aug 2023,★★★½,True,
It Lives Inside,17 Aug 2023,★★,False,
"Red, White & Royal Blue",15 Aug 2023,★★★,True,Sooo it’s giving temu original and it’s often not very well written/directed/performed…BUT it’s so extremely charming and the first half is swoon town central. Does take quite a nose dive in the latter half sadly that it never really recovers from. Still gonna take it as a w for the gays tho
Talk to Me,03 Aug 2023,★★★★,True,I am the least patriotic person on the planet..but it does fill me with a slight sense of pride when a really great Australian film comes along and blows up in way that’s deserved. Such a crazy strong debut from two filmmakers who without question have a long and exciting career ahead of them
White Chicks,30 Jul 2023,★★★½,True,
