Movie,Date Watched,Rating,Liked,Review
Oldboy,15 Jan 2024,★★★½,False,I would never open a box wrapped in that unsightly purple wrapping paper.
Downhill Racer,14 Jan 2024,★★★½,False,Maybe the most beautiful sports movie?? Stunning. And filmed ON LOCATION. IN EUROPE. A few more highlights:
John Wick: Chapter 2,14 Jan 2024,,False,
Parasite,13 Jan 2024,★★★★½,False,"Between Parasite and Justin Bieber, it’s been a wild PR decade for peaches."
John Wick,13 Jan 2024,★★★★½,False,"If I were a criminal, I too would conduct my business behind a Peter Luger’s. "
Paper Moon,12 Jan 2024,★★★★,False,"It’s a movie of bittersweet imbalances that equal out to something charming. The tone perfectly captures a half-smile, half-full-crescent world with a kid who had to grow up a little too early, and a man who is resisting adult responsibility. Probably my favorite Bogdanovich."
The Lobster,12 Jan 2024,★★★½,False,If your aunts who ask why you’re still single opened a White Lotus… this is what it would be like.
Oppenheimer,12 Jan 2024,★★★★½,False,"A story of ripples and all the ways men obsess about them, construct them, lose control of them, and fail to grasp the reach of their consequences. "
Poor Things,12 Jan 2024,★★★★½,False,
The Hateful Eight,11 Jan 2024,★★★★½,False,
No Hard Feelings,11 Jan 2024,,False,
That Darn Cat!,10 Jan 2024,★★★★½,False," I was raised on this movie. I'm pretty sure it taught me the word ""darn,"" so I have that to thank it for. Here's a list of other perks:- A titular theme song by Bobby Darin - Referring to a dumb boyfriend as ""flypaper."" The boyfriend is also named ""Canoe,"" like as his actual name. - While were on Canoe, he also wears a fake mustache and gets stuck in a garage door, which is premium content. - ED… "
Blackhat,10 Jan 2024,★★★½,False,"""Is that tangible enough for you?"""
Speed,09 Jan 2024,★★★★½,False,Amazing how well this holds up after 30 years. The practical stunts and the masterful direction of Jan de Bont keep you so glued to the screen you barely notice some unfortunate scripting.
Shiva Baby,08 Jan 2024,,False,
Marnie,08 Jan 2024,★★★½,False," I love feeling the suspense of Hitchcock films. I think I hate how I feel when I watch Marnie.Though I suppose that is an accomplishment in some way. It’s just too close to home on all sides—Tippie, Hitchcock, and even me. Hitchcock spoke often about intentionally making the audience participants in his films. I definitely found myself in this one, wanting to get out.There is something in this that breaks the “art vs artist” debate. The two are… "
The Blues Brothers,07 Jan 2024,★★★★,False,"""How often does the train go by?""""So often you won’t even notice it."""
The Birds,07 Jan 2024,★★★★,False,
Chinatown,07 Jan 2024,★★★★★,False,
Step Brothers,06 Jan 2024,,False,
A New Leaf,06 Jan 2024,★★★★½,False,
Vertigo,05 Jan 2024,★★★★★,True,
The 39 Steps,05 Jan 2024,★★★★,False,
Rope,04 Jan 2024,★★★★½,False,
Memory,04 Jan 2024,★★★½,False,
Rear Window,03 Jan 2024,★★★★★,False,
North by Northwest,03 Jan 2024,★★★★★,True,
Broadcast News,01 Jan 2024,★★★★★,False,
Thief,01 Jan 2024,★★★★½,True,
"Are You There God? It's Me, Margaret.",31 Dec 2023,,False,
Nightcrawler,31 Dec 2023,,False,
Casablanca,31 Dec 2023,★★★★★,True,
The Girl with the Dragon Tattoo,30 Dec 2023,★★★★½,False,
Licorice Pizza,30 Dec 2023,,False,
His Girl Friday,29 Dec 2023,,True,
Kill Bill: Vol. 2,29 Dec 2023,★★★★,False,
Phantom Thread,29 Dec 2023,★★★★★,True,
Kill Bill: Vol. 1,28 Dec 2023,★★★★½,True,
Thief,28 Dec 2023,★★★★½,True,
Kicking and Screaming,27 Dec 2023,,True,
Ferrari,26 Dec 2023,★★★★½,False,
The Big Lebowski,25 Dec 2023,★★★★½,True,
Notting Hill,25 Dec 2023,,False,
Rounders,24 Dec 2023,★★★★,False,
The Iron Claw,24 Dec 2023,★★★★,False,
GoodFellas,23 Dec 2023,★★★★★,True,
Pulp Fiction,22 Dec 2023,★★★★★,True,
Maestro,22 Dec 2023,★★★,False,
Armageddon Time,21 Dec 2023,,False,
All of Us Strangers,21 Dec 2023,★★★½,False,
Inglourious Basterds,20 Dec 2023,★★★★,False,
American Fiction,20 Dec 2023,,False,
Behind the Candelabra,19 Dec 2023,,False,
Pulp Fiction,18 Dec 2023,★★★★★,True,
Greenberg,18 Dec 2023,★★★★,False,
Lost in Translation,17 Dec 2023,★★★★½,True,
Paterson,17 Dec 2023,★★★★★,True,
Sea of Love,16 Dec 2023,★★★★,False,
The Florida Project,16 Dec 2023,,False,
The Daytrippers,15 Dec 2023,,False,
There Will Be Blood,15 Dec 2023,★★★★½,False,
The Pelican Brief,14 Dec 2023,★★★½,False,
The Zone of Interest,14 Dec 2023,,False,
A Room with a View,13 Dec 2023,,False,
Frances Ha,13 Dec 2023,,False,
A Woman Under the Influence,12 Dec 2023,★★★★★,False,
Eileen,12 Dec 2023,★★★,False,
The Truman Show,11 Dec 2023,★★★★★,True,
Dazed and Confused,11 Dec 2023,,False,
Leave the World Behind,11 Dec 2023,,False,
Blade Runner 2049,10 Dec 2023,,False,
Fallen Leaves,10 Dec 2023,★★★★½,False,
Her,10 Dec 2023,★★★★,False,
Singin' in the Rain,09 Dec 2023,★★★★★,False,
Charade,09 Dec 2023,★★★★,False,
The Souvenir: Part II,08 Dec 2023,,False,
I'm Thinking of Ending Things,08 Dec 2023,,False,
Poor Things,08 Dec 2023,★★★★½,False,
The Souvenir,07 Dec 2023,★★★★½,False,
The Game,07 Dec 2023,★★★★,False,
Jackie Brown,06 Dec 2023,★★★★★,False,
Uncut Gems,06 Dec 2023,★★★★½,False,
Summer Stock,05 Dec 2023,,False,
May December,04 Dec 2023,★★★½,False,
Carol,04 Dec 2023,,False,
Clueless,03 Dec 2023,★★★★★,False,
