Movie,Date Watched,Rating,Liked,Review
Ski School,14 Jan 2024,,False,
The Quiet Earth,13 Jan 2024,,True,
Two Evil Eyes,13 Jan 2024,,False,
Three O'Clock High,13 Jan 2024,,True,
Anatomy of a Fall,13 Jan 2024,,True,
Kinjite: Forbidden Subjects,10 Jan 2024,,False,"Next-level sleaze right here. Charles Bronson really cornered the market in the republican wet dream genre of police action thrillers at one point. Every scene feels gross, filled with odd dialogue (""Some oriental man touched my holy of holies!"") and a whole lot of stereotypes and racist tirades. You know when people say that Blazing Saddles could never be made today? They should really replace that with this film."
"Oh, God!",08 Jan 2024,,False,
Cat's Eye,06 Jan 2024,,True,
Night of the Comet,06 Jan 2024,,True,
3-Iron,04 Jan 2024,,True,
The Substitute 2: School's Out,04 Jan 2024,,False,"I much prefer Tom Berenger's rough edge in the first Substitute but Treat Williams is serviceable in a softer, less menacing version of the Substitute. This is pretty much a rehash of the first movie and there's nothing here that one-ups the crazy moments in the first."
The Shadow of the Cat,03 Jan 2024,,False,
Pet Sematary II,02 Jan 2024,,False,
The Lonely Guy,01 Jan 2024,,True," There was so many great gags in this movie that had me laughing. The humor of this movie is very much my style. It's operating in its own world logic so the situations can be absurd as they want, such as having a store sell cardboard cutouts of celebrities for lonely guys to a bit where Steve Martin has to find Charles Grodin before he jumps off the Manhattan Bridge where several men are already jumping off the bridge. It's… "
Fearless,30 Dec 2023,,True,
Maestro,30 Dec 2023,,False,
The Color Purple,28 Dec 2023,,False," While a musical adaptation of The Color Purple is more of an admirable attempt rather than just redoing was has already been done before, this version can't seem to quite translate that broadway show seamlessly to film. I don't really want to compare this to the Spielberg original because their intentions are different, but I can't help but bring my own baggage going into this movie. I love, love, love the Spielberg version. It's such an emotional gut punch and… "
Die Hard 2,28 Dec 2023,,True,
A Very Good Girl,27 Dec 2023,,True,
Must Love Dogs,26 Dec 2023,,True,
Roadblock,26 Dec 2023,,False,
Jingle All the Way,25 Dec 2023,★★★★,True,
The Miracle Club,24 Dec 2023,,False,
The Rapture,23 Dec 2023,,False,
Poor Things,22 Dec 2023,,True," I'm surprised this movie has had such a glowing reaction from people given that its weirdness goes beyond that of the weirdness you'd see in your typical A24 movie (And this is technically a Disney Film!). You know from the opening few minutes of this movie that no other film looks quite like this. The sets, the costumes, the manic camerawork, it gives a personality to the film. On a technical level, the movie just nails it. The dialogue is… "
Thanksgiving,20 Dec 2023,,True,
Rollercoaster,17 Dec 2023,,True,
Wonka,16 Dec 2023,★★★★½,True," A delight from start to finish. Being a huge Wonka fan, I was a little apprehensive coming into this movie. The trailers didn't quite sell it to me at all, with a lot of time being used to sell Hugh Grant's Oompa Loompa. But lo and behold, the movie is a musical through and through, and a fantastic one at that. Chalamet gives a great take on Willy Wonka. He shines in this. The supporting cast is fantastic, with each… "
I Wouldn't Be in Your Shoes,16 Dec 2023,,False,
Riki-Oh: The Story of Ricky,15 Dec 2023,,True,
High Anxiety,13 Dec 2023,,False,
Ernest Scared Stupid,13 Dec 2023,,False,
Ernest Goes to Jail,12 Dec 2023,,True,"Best Ernest movie so far. They seem to hit a sweet spot with this one where the story is compelling, the gags funny, and the slapstick taken to absurd levels. Whether it goes downhill from here, I'll have to see."
Ernest Saves Christmas,11 Dec 2023,,False,
Ernest Goes to Camp,10 Dec 2023,,False,
May December,10 Dec 2023,,False,
Mr. Monk's Last Case: A Monk Movie,09 Dec 2023,,True,
Memoirs of an Invisible Man,09 Dec 2023,,True,
You Light Up My Life,09 Dec 2023,,False,
Blind Date,05 Dec 2023,,False,
Dream Scenario,04 Dec 2023,,True,
Star Dust,03 Dec 2023,,True,
The Daytrippers,03 Dec 2023,,False,
Candy Cane Lane,02 Dec 2023,,False,
Sidewalks of New York,30 Nov 2023,,False,
The Dead Pool,29 Nov 2023,,False," Truly brings the Dirty Harry Franchise to the 80s, for better or worse. ""The Dead Pool"" feels nothing like the other entries in the franchise, yet it follows it beat for beat at the same time. New killer, new partner, a robbery that Harry has to stop, the department just berating Harry for how he does things, the ending where the camera does the crane/helicopter zoom out shot. The Harry character is flanderized to a point where he just becomes… "
Stolen Kisses,28 Nov 2023,,True,
Frontier Marshal,27 Nov 2023,,False,
Sudden Impact,27 Nov 2023,,True,
The Enforcer,25 Nov 2023,,False,
Sesame Street Presents: Follow That Bird,25 Nov 2023,,True,
The Hudsucker Proxy,24 Nov 2023,,True,
Fools Rush In,22 Nov 2023,,False,
Albert Brooks: Defending My Life,22 Nov 2023,,True,
Magnum Force,21 Nov 2023,,True,
Dirty Harry,21 Nov 2023,,True,
Shriek If You Know What I Did Last Friday the Thirteenth,20 Nov 2023,,False,"I know comedy is subjective but if you think this movie is funnier than Scary Movie, you're crazy. There's some clever gags but it's a pretty scattershot spoof with a hell of a lot more misses. I'm pretty astonished how they got recognizable names in this from Coolio to Rose Marie to Mink Stole to Shirley Jones to make tiny appearances."
Arthur,18 Nov 2023,,False,
A Farewell to Arms,16 Nov 2023,,False,
Close,15 Nov 2023,,False,
Cadillac Man,12 Nov 2023,,False,
The Holdovers,12 Nov 2023,★★★★★,True,
The Killer,11 Nov 2023,,True," I was surprised at how simple and by the numbers the overall plot is. This isn't really different than any other hitman seeks revenge after the consequences of a botched job storyline. Fortunately, Fincher is that great a filmmaker I was still engaged and just vibing with the film. It's plays like a videogame with all the chapters and stuff. I was interested in Fassbender's character and trying to figure him out as a character as it goes on and… "
A Real Young Girl,10 Nov 2023,,False,
Crossing Delancey,07 Nov 2023,,False,
The Hotel New Hampshire,06 Nov 2023,,False,I came in expecting a goofy comedy about a family running a rundown hotel. I came out absolutely flabbergasted. 
Trip,05 Nov 2023,,False,
Joyland,05 Nov 2023,,True,
Here Today,05 Nov 2023,,False,
Speed 2: Cruise Control,04 Nov 2023,,False,
Quiz Lady,03 Nov 2023,,True,
Seven Minutes in Heaven,02 Nov 2023,,False," The boy on the poster isn't even the love interest in this obscure coming-of-age movie from the 80s. Instead, Jennifer Connelly and Maggie Corman are pining for older guys, with questionable age gaps, a sign that this is truly the 80s where this fact isn't even brought up as a side note. I wanted to like this movie more because it has the nostalgic vibe to it. I actually dug the soundtrack. It's like a mix of pop and jingles… "
The Story of Us,01 Nov 2023,,False,
