Movie,Date Watched,Rating,Liked,Review
The Retirement Plan,14 Jan 2024,★,False,
The Umbrellas of Cherbourg,14 Jan 2024,★★★★½,False,
Hitchcock/Truffaut,14 Jan 2024,★★★½,False,
Rashomon,14 Jan 2024,★★★★,False,
Hamlet,11 Jan 2024,★★★★,False,
Saltburn,11 Jan 2024,★★,False,AI generated cinema
Anatomy of a Fall,10 Jan 2024,★★★★½,False,
May December,09 Jan 2024,★★★,False,
On the Waterfront,08 Jan 2024,★★★★★,True,
I'm No Angel,08 Jan 2024,★★★★,False,
The Band Wagon,07 Jan 2024,★★★★,False,
PlayTime,06 Jan 2024,★★★★★,False,
Thank You and Good Night,06 Jan 2024,★★★★½,False,
"Are You There God? It's Me, Margaret.",06 Jan 2024,★★★½,False,
The Holdovers,05 Jan 2024,★★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Dec 2023,★★,False,
Godzilla Minus One,13 Dec 2023,★★★★,False,
The Trial of Joan of Arc,03 Dec 2023,★★★★,False,
Terrifier 2,02 Dec 2023,★★★★,False,
Prom Night,28 Nov 2023,★★★★,False,
Chico & Rita,27 Nov 2023,★★★★½,False,
Person to Person,26 Nov 2023,★★★★★,True,
The Craft,24 Nov 2023,★★★½,False,
The Blackening,17 Nov 2023,★★★½,False,
The Exorcist: Believer,16 Nov 2023,★★½,False,
Hellraiser,28 Oct 2023,★★★★,False,
Influencer,27 Oct 2023,★★★★,False,
Taylor Swift: The Eras Tour,13 Oct 2023,★★★★,False,
Person to Person,31 Aug 2023,★★★★★,True,
Deep Cover,29 Aug 2023,★★★★½,False,
Oppenheimer,14 Aug 2023,★★½,False,
Person to Person,02 Aug 2023,★★★★½,True,
The Exhibited,31 Jul 2023,★★★★,True,
Asteroid City,23 Jun 2023,★★★★,True,
Evil Dead Rise,21 Apr 2023,★★★½,False,
Knock at the Cabin,17 Feb 2023,★★½,False,
The Visit,27 Jan 2023,★★,False,
Aftersun,26 Jan 2023,★★★★,False,
Skinamarink,20 Jan 2023,★★★★½,False,
M3GAN,13 Jan 2023,★★★½,False,
The Banshees of Inisherin,07 Jan 2023,★★★★,False,
Chico & Rita,04 Jan 2023,★★★★,False,
Sullivan's Travels,01 Jan 2023,★★★½,False,
Computer Chess,13 Dec 2022,★★★★,False,
Funny Ha Ha,13 Dec 2022,★★★½,False,
His Girl Friday,11 Dec 2022,★★★★,False,
Au Hasard Balthazar,11 Dec 2022,★★,False,
Cléo from 5 to 7,10 Dec 2022,★★★★½,True,
Meshes of the Afternoon,07 Dec 2022,★★★★★,True,
Sunset Boulevard,06 Dec 2022,★★★★,True,
Only Angels Have Wings,04 Dec 2022,★★★★,True,
Funny Pages,26 Nov 2022,★★★★★,True,
Funny Pages,16 Nov 2022,★★★★★,True,
Shithouse,10 Sep 2022,★★★★,True,
All My Friends Hate Me,09 Sep 2022,★★★★½,True,
Thing from the Factory by the Field,15 Aug 2022,★★★★,True,
Buzzard,02 Aug 2022,★★★★★,True,
My Dinner with Andre,01 Aug 2022,★★★★★,True,
Leave Her to Heaven,31 Jul 2022,★★★★,True,
Gentlemen Prefer Blondes,31 Jul 2022,★★★½,True,
Fat City,31 Jul 2022,★★★★½,True,
SubUrbia,30 Jul 2022,★★½,True,
The Gray Man,30 Jul 2022,★★,True,
The Black Phone,18 Jul 2022,★★★★,True,
Sword of Trust,14 Jul 2022,★★★★,False,
The Matrix Resurrections,01 Jul 2022,★★★,True,
Emergency,04 Jun 2022,★★★★½,True,
The Holy Mountain,31 May 2022,★★★½,True,
The Blue Light,31 May 2022,★★★★½,True,
Hangover Square,13 May 2022,★½,True,
8½,20 Apr 2022,★★★★½,False,
Hard Grit,20 Apr 2022,★★★★★,True,
Apollo 10½: A Space Age Childhood,10 Apr 2022,★★★★,True,
Pickpocket,07 Apr 2022,★★★★★,True,
Death on the Nile,02 Apr 2022,★★½,False,

Followers
eliankaova,resulonrsl,dan_felix,augustjames,mannyunger,slugbitch

Following
northernlion,chibby,jaredgilman,elihayes,augustjames,dylanpren17,mannyunger,slugbitch
